name,link,ingredients,steps,nutrition,image_url
A Spotlight On Allrecipes Allstar: Candice Walker,https://www.allrecipes.com/a-spotlight-on-allrecipes-allstar-candice-walker-8665225,,,,https://www.allrecipes.com/thmb/DTvWg-0z2XUtFigoigyN9ZMViuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR_Allstars_PhotoTreaments_4x3_CandiceWalker-252959e395f34a92a8dcf6758bed81c2.jpg
A Spotlight On Allrecipes Allstar: Stacey Freeman,https://www.allrecipes.com/a-spotlight-on-allrecipes-allstar-stacey-freeman-8619207,,,,https://www.allrecipes.com/thmb/zmpssYMbLc6A8jCx-AjiArR79gw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20220928-DSC_8164-Edit-f7938a333f7a4ee6a7523de52ed6e7e8.jpg
A Spotlight On Allrecipes Allstar: Lisa Lynn Backus,https://www.allrecipes.com/a-spotlight-on-allrecipes-allstar-lisa-lynn-backus-8644933,,,,https://www.allrecipes.com/thmb/--Z91C2F-o9foqEnM7Cn3sppI1o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR_Allstars_MaySpotlight_4x3-f1aa8cf785ca4dabbd658809111f9501.jpg
A Spotlight On Allrecipes Allstar: Nicole Russell,https://www.allrecipes.com/a-spotlight-on-allrecipes-allstar-nicole-russell-8603772,,,,https://www.allrecipes.com/thmb/zg2Pt0hIzXAWYt8D19gq1XzBy8Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Headshot-50f363818e4c4483b5fd9db3fb4837b4.jpg
2-Ingredient Everything Bagel Chicken Wings,https://www.allrecipes.com/2-ingredient-everything-bagel-chicken-wings-recipe-8748399,"{'quantity': '2', 'unit': 'pounds', 'name': 'wings (wingettes or drumettes)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'everything bagel seasoning'}","Preheat an air fryer to 390 degrees F (199 degrees C).. Place wings in a large bowl. Sprinkle everything seasoning over the top. Using your hands, mix well until wings are evenly coated.. Place wings in the basket of the air fryer, skin side up. Cook for 20 minutes. Shake and cook until crisp, about 3 minutes more.","calories: 48, fat: 3g, carbs: 2g, protein: 2g, servings: 4",https://www.allrecipes.com/thmb/uwD6UCRf2adY4W89DHr9Vkhsi2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8748399_Air-Fryer-Everything-BagelChicken-Wings_Nicole-Russell_4x3-238df557fbcb4e7f9959b9a88a65c278.jpg
Miso Chicken Noodle Soup,https://www.allrecipes.com/miso-chicken-noodle-soup-recipe-8748347,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '8.5', 'unit': 'ounces', 'name': 'frozen udon noodles'}, {'quantity': '4', 'unit': 'ounces', 'name': 'rotisserie chicken'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'miso paste'}, {'quantity': None, 'unit': None, 'name': 'everything bagel seasoning,'}","In a saucepan over medium high heat, heat water to boiling. Add udon noodles. Cook until noodles are softened, 4 to 5 minutes.. Add rotisserie chicken. Turn heat to low. Remove 2 to 3 tablespoons water, and stir miso paste into water until smooth. Mix diluted miso paste back into noodles. Cook for 2 to 3 minutes.. Ladle soup into bowls and garnish with everything bagel seasoning.","calories: 223, fat: 8g, carbs: 19g, protein: 19g, servings: 2",https://www.allrecipes.com/thmb/ZzxdIrDHx6wJBGulcKfS0gLIhcY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8748347_Miso-Chicken-Noodle-Soup_TheDailyGourmet_4x3-9f1129c8a23d45d89210fe6def9fc220.jpg
4-Ingredient Potato Soup,https://www.allrecipes.com/4-ingredient-potato-soup-recipe-8744009,"{'quantity': '1/2', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(28 ounce) bag', 'name': 'potatoes O’Brien with onions and peppers'}, {'quantity': '30', 'unit': 'ounces', 'name': 'chicken broth'}, {'quantity': '8', 'unit': 'ounce', 'name': 'garlic and herb cheese spread'}, {'quantity': '1', 'unit': 'pinch', 'name': 'black pepper'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels; chop roughly when cool enough to handle.. Working in batches, pour potatoes into the same skillet, and cook until lightly browned, about 5 minutes. Remove potatoes to a slow cooker. Stir in chicken broth. Dollop cheese spread on top; scatter bacon on top. Cover slow cooker and cook on High until potatoes are very tender, 3 to 4 hours.. If desired, ladle some of the soup, no more than halfway full, into a high powered blender. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend, about 45 seconds.. Pour soup back into slow cooker. Stir to combine; serve immediately.","calories: 367, fat: 21g, carbs: 25g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/i3_fWWimTnP36KVVmfZ9oN5ja3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8744009_4-Ingredient-Potato-Soup_TheDailyGourmet_4x3-e57e4000db1149b39c3c928a3547630b.jpg
Spinach Artichoke Chicken Bake,https://www.allrecipes.com/spinach-artichoke-chicken-bake-recipe-8745127,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'boneless chicken breast'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '3', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh basil,'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1 (', 'unit': '14.6 ounce) can', 'name': 'artichoke hearts in water'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seasoned bread crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Heat olive oil and butter together in a large, ovenproof skillet over medium heat.. When butter is sizzling, add chicken pieces. Season with salt and pepper. Brown one side of the chicken pieces, 3 to 5 minutes; turn, and add diced red onion, minced garlic, and minced fresh basil. (See Note.). Cook, stirring often, until garlic is fragrant and onion is softened, about 3 minutes. Season with pepper flakes, and add artichokes and tomatoes. Stir in spinach; remove skillet from heat.. Combine Italian seasoned bread crumbs and shredded Parmesan cheese. Sprinkle bread crumb mixture over skillet contents.. Bake in the center of the preheated oven, uncovered, until bubbly and brown, about 25 minutes. Garnish with fresh basil and serve warm.","calories: 524, fat: 17g, carbs: 30g, protein: 63g, servings: 4",https://www.allrecipes.com/thmb/TE4PLlFvjsVZ6j_yVOR2r5QY4gQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745127_Spinach-Artichoke-Chicken-Bake_Brenda-Venable_4x3-f94f732fe5f447e0bc1828218a783922.jpg
Apple Cider Cut-Out Cookies,https://www.allrecipes.com/apple-cider-cut-out-cookies-recipe-8745830,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'apple cider'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'apple cider'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': ""confectioner's sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'ground cinnamon for sprinkling (optional)'}","Place butter into a light-colored saucepan over medium heat. Cook, stirring frequently, until butter is browned and smells nutty, 5 to 10 minutes. Pour butter into a large mixing bowl.. To the same saucepan, carefully pour in 2 cups of apple cider (it will sputter a bit). Place pan back over medium heat, and cook, stirring often, until cider has reduced to 1/2 cup, 20 to 25 minutes. Measure out 2 tablespoons of the reduced cider; set aside to use for icing. Pour remaining reduced cider into the bowl with browned butter. Allow to cool for 20 minutes.. Add brown sugar, white sugar, egg, vanilla, cinnamon, salt, nutmeg, cloves, and allspice to the butter-cider mixture. Whisk until thoroughly combined. Add in 1 1/2 cups flour, cornstarch, and baking powder, and mix until just combined. Add in remaining 1 1/2 cups flour, and mix until just combined; dough will be thick. Knead dough with your hands a few times until smooth. Pat dough into a flat disc, then wrap and refrigerate for at least 1 hour, or up to 48 hours.. Remove dough from refrigerator. If dough is too stiff to roll out, allow it to sit out at room temperature until it softens slightly, about 15 minutes. Lightly flour a work surface and roll dough out 1/4-inch thick. Cut out cookies using cutters. Gather dough scraps back together, re-roll, and cut out cookies until dough is all used up. Place cut-outs into the refrigerator for at least 15 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. Place chilled cut-outs 1 inch apart on prepared baking sheets.. Bake cookies in the preheated oven, one sheet at a time, until slightly puffed, 10 to 12 minutes. Cool cookies on the pan for several minutes, then remove to a wire rack to cool completely.. For icing, whisk together the reserved 2 tablespoons reduced cider, heavy cream, 1 tablespoons (non-reduced) apple cider, powdered sugar, honey, salt, and vanilla together until smooth. If icing is too thick, add more apple cider until desired consistency is reached; conversely, if icing is too thin, add more powdered sugar to thicken.. Place a wire rack over a baking sheet. Carefully hold a cookie by its edges. Dip the top of the cookie into the icing, then lift straight up to allow excess icing to drip off for several seconds. Carefully invert cookie and place onto the wire rack to catch any icing drips. Lightly sprinkle the top of the cookie with extra cinnamon before icing sets, if desired. Repeat with remaining cookies. Once icing is set, store cookies in an airtight container.","calories: 113, fat: 4g, carbs: 18g, protein: 1g, servings: 40",https://www.allrecipes.com/thmb/9lM_ubNuEMIDd1XlluO8QmCrEjg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745830_Apple-Cider-Cut-Out-Cookies_Kim-Shupe_4x3-60a5e0da7bc44d30bb0d4ad15208293e.jpg
Philly Cheesesteak Smothered Tater Tots,https://www.allrecipes.com/philly-cheesesteak-smothered-tater-tots-recipe-8747185,"{'quantity': '1', 'unit': '(2 pound)-package', 'name': 'tater tots'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': '(12 ounce) box', 'name': 'frozen sandwich beef'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Montreal steak seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with foil; arrange tater tots on the sheet in a single layer.. Bake in the preheated oven until golden, about 20 minutes.. Meanwhile, cook and stir onion, green pepper, and red  pepper in a large skillet over medium-high heat for 5 minutes. Add beef, Worcestershire sauce, and steak seasoning. Cook until most of liquid has evaporated, about 6 minutes.. Divide beef mixture over baked tater tots with a slotted spoon. Sprinkle shredded cheese over the top.. Bake until cheese is melted and beginning to brown, about 5 minutes more.","calories: 542, fat: 29g, carbs: 48g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/5-pVPK0-SZYmG5bfo003ipHouHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747185_Philly-Cheesesteak-Smothred-Tater-Tots_Nicole-Russell_4x3-bb148a6f261244dfb41a2b5405a660eb.jpg
