name,link,ingredients,steps,nutrition,image_url
20 Desserts With Store-Bought Angel Food Cake,https://www.allrecipes.com/gallery/angel-food-cake-desserts/,,,,https://www.allrecipes.com/thmb/De5FU88ug2tjoTZ7MFWR_fP2UZ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Screen-Shot-2021-04-05-at-8.38.33-PM-3c8ddd11d7c94e4383baf288d2e73c71.png
Chocolate Angel Food Cake I,https://www.allrecipes.com/recipe/8252/chocolate-angel-food-cake-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'egg whites'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat oven to 325 degrees F (165 degrees C).. In a medium bowl, mix confectioners' sugar, cake flour, and cocoa. Sift together 2 times, and set aside.. In a clean large bowl, whip egg whites, salt, and cream of tartar with an electric mixer on high speed until very stiff. Fold in white sugar 2 tablespoons at a time while continuing to mix. Fold in flour mixture, a little at a time, until fully incorporated. Stir in vanilla. Pour into a 10 inch tube pan.. Bake at 325 degrees F (165 degrees C) for approximately 1 hour, or until cake springs back when touched.","calories: 179, fat: 0g, carbs: 40g, protein: 5g, servings: 14",https://www.allrecipes.com/thmb/rjNrhzhTppyl_WW1D6fw_blJ8aE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2795214-68312b1282cc49fc823a0f62662ecc24.jpg
Angel Food Cake,https://www.allrecipes.com/recipe/15432/angel-food-cake-iii/,"{'quantity': '1', 'unit': 'cup', 'name': 'cake flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '12', 'unit': '', 'name': 'egg whites'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 375 degrees F (190 degrees C). Clean and fully dry a 10-inch tube pan.. Sift together flour, and 3/4 cup sugar, set aside.. Whip egg whites, along with vanilla, cream of tartar, and salt, in a large bowl to medium stiff peaks. Gradually add remaining 3/4 cup sugar while continuing to whip to stiff peaks. When the egg white mixture has reached its maximum volume, fold in the sifted ingredients gradually, 1/3 at a time. Do not overmix. Put the batter into the tube pan.. Bake in the preheated oven until the cake springs back when touched, 40 to 45 minutes.. Balance the tube pan upside down on the top of a bottle to prevent decompression while cooling. When cool, run a knife around the edge of the pan and invert onto a plate.","calories: 136, fat: 0g, carbs: 30g, protein: 4g, servings: 14",https://www.allrecipes.com/thmb/5mczj98ozGGMiwFq47IF4CJa_Hc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4559826-4d5db2e5066c4f84bad03db54a09c141.jpg
Mock Angel Food Cake,https://www.allrecipes.com/recipe/7868/mock-angel-food-cake/,"{'quantity': '4 ½', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '4', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '16', 'unit': None, 'name': 'egg whites'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}","Preheat the oven to 350 degrees F (175 degrees C).. Sift cake flour, sugar, and salt three times then stir in boiling water. Let cool.. Beat egg whites, cream of tartar, baking powder, vanilla, and almond flavorings until stiff peaks form. Fold into flour mixture and pour batter into one ungreased 12x18-inch baking pan.. Bake at 350 degrees F (175 degrees C) for 35 minutes. Cool cake inverted in pan, laying a tea towel underneath cake to absorb steam. Frost as desired once cake is cooled.","calories: 575, fat: 1g, carbs: 132g, protein: 11g, servings: 10",https://www.allrecipes.com/thmb/DytXEMJd_mfj2xGTfFGKch_4nCI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/462044-29bd63a2b202470ca182f2c705e34715.jpg
Heavenly Raspberry Dessert,https://www.allrecipes.com/recipe/244321/heavenly-raspberry-dessert/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'angel food cake'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'raspberry-flavored gelatin mix (such as Jell-O®)'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '1', 'unit': '(15 ounce) package', 'name': 'frozen raspberries in syrup, thawed and undrained'}, {'quantity': '1', 'unit': 'pint', 'name': 'heavy whipping cream'}","Butter a 9-inch tube pan. Break angel food cake into chunks; set aside.. Stir raspberry gelatin and boiling water together in a bowl until gelatin is dissolved; place gelatin in the refrigerator to cool slightly, about 10 minutes. Stir raspberries with syrup into gelatin.. Beat cream in a chilled glass or metal bowl with an electric mixer until soft peaks form; fold whipped cream into raspberry mixture.. Pour about 1/4 cup of raspberry mixture into prepared pan. Place 1/3 of cake chunks into pan; pour 1/3 of remaining raspberry mixture over cake. Repeat layering with remaining ingredients, ending with the raspberry mixture. Chill in refrigerator until firm, about 2 hours.. To remove from pan, center a serving plate over tube pan; invert.","calories: 357, fat: 18g, carbs: 47g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/dbPtumUdhY1ZRSVbEQLeihVFi8U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2366122-963c09bf51564a76962593d9eaced5e4.jpg
Cherry Angel Food Cake,https://www.allrecipes.com/recipe/25981/cherry-angel-food-cake/,"{'quantity': '1', 'unit': 'cup', 'name': 'cake flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'egg whites'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'maraschino cherries, drained and sliced'}","Preheat the oven to 325 degrees F (165 degrees C). Sift flour three times.. Beat egg whites, cream of tartar, and salt in a large glass or metal mixing bowl until foamy. Gradually add sugar, continuing to beat until stiff peaks form. Blend in vanilla and almond extract.. Fold sifted flour into egg white mixture until no streaks remain. Pour 1/2 of the batter into a clean, dry 10-inch tube pan, and arrange 1/2 of the cherries overtop. Repeat once more.. Bake in the preheated oven for 50 minutes. Cool cake in the pan, inverted onto a wire rack, empty wine bottle, or thin-necked glass bottle; this will prevent the cake from sinking.","calories: 143, fat: 0g, carbs: 33g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/GsIZhSNN7vWxwksGVRmwv-EXu30=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/575330-a2a00e3350b44d0eb0bbc8a1237d812d.jpg
High-Altitude Angel Food Cake,https://www.allrecipes.com/recipe/72998/high-altitude-angel-food-cake/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'sifted cake flour'}, {'quantity': '1 ⅛', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'egg whites'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon extract'}","Preheat the oven to 330 degrees F (165 degrees C).. In a large glass or metal bowl, whip egg whites with cream of tartar and salt until soft peaks form. Gradually sprinkle in the sugar while continuing to whip to medium peaks. Since this is a high-altitude recipe, whip them only until they form a peak that falls over. Stir in the vanilla and lemon extracts. Use a rubber spatula to fold in flour a fourth at a time. Spoon into a clean and dry 9 inch tube pan.. Bake for 25 minutes in the preheated oven, then increase the temperature to 375 degrees F (190 degrees C). Continue baking for another 3 minutes, or until the cake begins to shrink down a bit. Invert pan over a wire rack to cool. When cool, run a thin spatula or knife around the outer edge, and tap out firmly.","calories: 221, fat: 0g, carbs: 47g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/-GOGsfKxzgI7uDlnFkzd2UHaiOs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2110991-aef63a670544465592fdd20dfcc47966.jpg
2-Ingredient Pineapple Angel Food Cake,https://www.allrecipes.com/recipe/283630/2-ingredient-pineapple-angel-food-cake/,"{'quantity': '1', 'unit': '(20 ounce) can', 'name': 'crushed pineapple, in juice'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'angel food cake mix'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine crushed pineapple with juice and cake mix in a large bowl; beat with an electric mixer on low speed for 30 seconds, then beat on medium speed for 1 minute. Pour into an ungreased 10-inch tube pan.. Bake in the preheated oven until deep golden brown, 40 to 45 minutes. Remove from the oven and immediately turn upside down to cool in the pan, inverted onto a wire rack, empty wine bottle, or thin-necked glass bottle (this will prevent the cake from sinking), about 2 hours.. Run a table knife around the edges of the tube pan; turn out cooled cake onto a serving plate. Cut into slices using a serrated knife.","calories: 166, carbs: 38g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/qqBQl2bYGbIOGTuQdbfiqhxTxpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2-Ingredient-Pineapple-Angel-Food-Cake-lutzflcat-2000-38fee611e9344da990ad1a95e8961658.jpg
Homemade Angel Food Cake,https://www.allrecipes.com/recipe/8428/homemade-angel-food-cake/,"{'quantity': '18', 'unit': '', 'name': 'egg whites'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'cake flour'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C). Sift cake flour and confectioners sugar together 5 times and set aside.. In a large clean bowl, whip egg whites with a pinch of salt until foamy. Add cream of tartar and continue beating until soft peaks form. Gradually add sugar while beating, and continue to beat until very stiff. Add vanilla.. Quickly fold in flour mixture. Pour into a 10 inch tube pan.. Bake at 350 degrees F (175 degrees C) for 45 minutes.","calories: 159, fat: 0g, carbs: 34g, protein: 6g, servings: 14",https://www.allrecipes.com/thmb/pSNFBUjHok9jJ44FkkJwnW9-qHo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/602869-6e32f048aef24a8782a322f2898f3b18.jpg
Microwave Mini Angel Food Cake,https://www.allrecipes.com/recipe/283629/microwave-mini-angel-food-cake/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'angel food cake mix'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Put cake mix, water, and vanilla in a microwave-safe mug and stir until well combined.. Microwave on high for 1 minute.","calories: 13, carbs: 1g, servings: 1",https://www.allrecipes.com/thmb/JG0dEXIjFb2rU6mQvqH1OCJsTi4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/283629microwave-mini-angel-food-cakenicolekrystyn-ff67f4677a18486cbbdbff01fd865d06.jpg
