name,link,ingredients,steps,nutrition
Sicilian Eggplant Caponata,https://www.allrecipes.com/recipe/247268/eggplant-caponata-sicilian-version/,"{'quantity': '1', 'unit': None, 'name': 'eggplant, peeled and cut into ½-inch cubes'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped celery'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'canned plum tomatoes, drained and coarsely chopped'}, {'quantity': '12', 'unit': '', 'name': 'green olives, pitted and coarsely chopped'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'drained capers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly minced oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced fresh parsley, or to taste'}","Toss eggplant with salt and place in a colander set over a bowl. Let sit, about 30 minutes. Rinse and pat dry.. Heat 2 tablespoons olive oil in a large skillet over medium heat. Add celery; cook, stirring often, until softened, about 3 to 4 minutes. Add onion and garlic; cook and stir until onion is soft and lightly golden, about 4 to 5 minutes. Transfer the mixture to a bowl using a slotted spoon.. Heat remaining 2 tablespoons olive oil in the skillet. Add eggplant and cook, stirring constantly, until lightly browned, 5 minutes.. Stir in celery mixture, tomatoes, olives, capers, tomato paste, and oregano. Bring to a boil; reduce heat to low and simmer uncovered until caponata is thickened, about 15 minutes.. Season caponata with vinegar, sugar, salt, and black pepper. Transfer to a serving bowl and garnish with parsley.","calories: 54, fat: 4g, carbs: 5g, protein: 1g, servings: 16"
Best Caprese Skewers,https://www.allrecipes.com/recipe/212896/caprese-appetizer/,"{'quantity': '20', 'unit': '', 'name': 'grape tomatoes'}, {'quantity': '10', 'unit': 'ounces', 'name': 'mozzarella cheese, cubed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh basil leaves, chopped'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '20', 'unit': '', 'name': 'toothpicks'}","Gather all ingredients.. Toss tomatoes, mozzarella cheese, olive oil, basil, salt, and pepper together in a bowl until well coated.. Skewer one tomato and one piece of mozzarella cheese on each toothpick.","calories: 104, fat: 7g, carbs: 2g, protein: 7g, servings: 10"
Air Fryer Arancini,https://www.allrecipes.com/recipe/278615/air-fryer-arancini/,"{'quantity': '3', 'unit': 'large', 'name': 'eggs, divided'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '', 'unit': '', 'name': '1/2 teaspoon Highlands Italian cheese sprinkle (optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'ounces', 'name': 'fresh mozzarella cheese, cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}","Beat 2 eggs lightly in a large bowl. Stir in rice, Parmesan cheese, butter, cheese sprinkle, 1/2 teaspoon salt, and 1/4 teaspoon pepper; mix to combine. Cover and refrigerate the mixture for 20 minutes.. Preheat an air fryer to 370 degrees F (187 degrees C) according to manufacturer's instructions.. Roll mixture into 1 1/2-inch balls. Press a mozzarella cube into the center of each ball and reshape.. Combine bread crumbs, Italian seasoning, salt, and pepper in a shallow dish. Beat remaining egg lightly in a second bowl. Dip each rice ball first into egg, then roll in the bread crumb mixture. Place rice balls in air fryer basket and spray with cooking spray.. Cook in the preheated air fryer for 6 minutes. Increase temperature to 400 degrees F (200 degrees C) and air fry for 3 more minutes.","calories: 385, fat: 21g, carbs: 39g, protein: 15g, servings: 5"
Prosciutto e Melone (Italian Ham and Melon),https://www.allrecipes.com/recipe/106695/prosciutto-e-melone-italian-ham-and-melon/,"{'quantity': '1', 'unit': '', 'name': 'cantaloupe - seeded and cut into 8 wedges'}, {'quantity': '8', 'unit': 'thin slices', 'name': 'prosciutto'}",Remove the flesh from the rind of the cantaloupe; wrap each piece of cantaloupe with a slice of prosciutto. Arrange on a platter and serve cold.,"calories: 99, fat: 5g, carbs: 11g, protein: 4g, servings: 4"
Cherry Pepper Poppers,https://www.allrecipes.com/recipe/53144/cherry-pepper-poppers/,"{'quantity': '1', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '12', 'unit': '', 'name': 'fresh cherry peppers'}, {'quantity': '6', 'unit': 'ounces', 'name': 'sharp provolone cheese, cubed'}, {'quantity': '6', 'unit': 'ounces', 'name': 'prosciutto, thinly sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Slice the tops off of the cherry peppers and carefully remove the seeds, keeping peppers whole. Wrap a cube of cheese with prosciutto, and stuff into a pepper. If there is still room inside the pepper, stuff in more prosciutto. Repeat with remaining peppers.. Place all of the stuffed peppers into a 1 quart jar - or one that your peppers will all fit into, and sprinkle salt over them. Pour in enough olive oil to cover the peppers. Cover, and let stand for 1 hour before eating. Refrigerate leftovers.","calories: 278, fat: 27g, carbs: 2g, protein: 7g, servings: 12"
Antipasti Garlic Bread,https://www.allrecipes.com/antipasti-garlic-bread-recipe-8716000,"{'quantity': '1', 'unit': None, 'name': 'French baguette'}, {'quantity': '2 to 3', 'unit': None, 'name': 'garlic cloves, peeled'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mozzarella cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry tomatoes,'}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'prosciutto'}, {'quantity': '2 to 3', 'unit': None, 'name': 'basil leaves'}","Preheat the oven’s broiler to 500 degrees F (260 degrees C), and set a rack 6 inches from the heat source. Line a baking sheet with foil. Lay bread slices on the prepared sheet.. Rub peeled garlic cloves over a microplane grater to make a paste. Add garlic paste to a bowl; sprinkle with salt. Add softened butter and mix well. Spread 1 to 2 teaspoons garlic butter on each bread slice.. Broil garlic bread under the preheated broiler until golden, 1 to 3 minutes.. Remove garlic bread from oven to cool slightly on a wire rack. Place mozzarella and tomatoes in a bowl; gently toss mixture, and divide evenly between bread slices. Garnish with prosciutto and basil; serve.","calories: 439, fat: 21g, carbs: 44g, protein: 19g, servings: 8"
Tomato and Mozzarella Bites,https://www.allrecipes.com/recipe/104806/tomato-and-mozzarella-bites/,"{'quantity': '20', 'unit': '', 'name': 'toothpicks'}, {'quantity': '20', 'unit': '', 'name': 'grape or cherry tomatoes, halved'}, {'quantity': '20', 'unit': '', 'name': 'fresh basil leaves'}, {'quantity': '20', 'unit': '', 'name': 'small balls fresh mozzarella cheese (often labeled bocconcini)'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra virgin olive oil'}","Thread a tomato half, a basil leaf, a mozzarella ball, and another tomato half onto a toothpick. Repeat with remaining ingredients.. Arrange toothpicks on a serving platter and season with salt and pepper.. Mix vinegar and oil together in a small bowl to serve as a dipping sauce.","calories: 58, fat: 6g, carbs: 2g, protein: 0g, servings: 10"
Fried Stuffed Squash Blossoms,https://www.allrecipes.com/recipe/234616/fried-stuffed-squash-blossoms/,"{'quantity': '12', 'unit': '', 'name': 'fresh zucchini blossoms'}, {'quantity': '¾', 'unit': 'cup', 'name': 'soft goat cheese at room temperature'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Gruyère cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'self-rising flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ice-cold water, or as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil for frying, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour, or as needed'}","Gather all ingredients. Gently rinse the squash blossoms to remove any dirt or debris; remove the stamens as they are bitter and not edible.. Bring a pot of lightly salted water to a boil. Prepare a large bowl of ice-cold water. Drop squash blossoms into the boiling water until slightly wilted, 30 to 45 seconds; lift with a slotted spoon and immediately place into the cold water to chill. Remove and drain on paper towels.. Make the filling: Mix goat cheese, Gruyère, egg yolk, pepper, and cayenne together in a bowl until smooth. Spoon into a 1-quart resealable plastic bag, squeeze out the air, and seal the bag. Cut a small corner off the bag.. Gently insert the cut corner of the bag into the open end of a blossom and pipe in about 1 tablespoon filling, making sure it fills all the way to the bottom. Lift petals up and drape over filling to cover completely. Fold any excess petals over the top of the filled blossom to keep them out of the way. Repeat to fill remaining blossoms. Refrigerate until cheese is set and firm, at least 30 minutes.. Meanwhile, make the batter: Combine flour and cornstarch in a mixing bowl. Whisk in ice-cold water, a little at a time, until batter is smooth and has the thickness of pancake batter.. Heat 1 inch oil in a cast iron skillet to 350 degrees F (175 degrees C). A drop of batter carefully dripped into the oil should sizzle immediately.. Remove squash blossoms from the refrigerator and dust lightly with all-purpose flour on all sides. Shake off excess flour and dip blossoms in batter. Let excess batter drip off.. Gently lay about six coated squash blossoms on their sides in hot oil and cook until pale golden brown, about 1 minute on the first side and 30 seconds to 1 minute on the remaining sides.. Transfer to a paper towel-lined plate and repeat to fry remaining blossoms. Let cool slightly before serving.","calories: 448, fat: 42g, carbs: 13g, protein: 5g, servings: 12"
Antipasto,https://www.allrecipes.com/recipe/23401/antipasto/,"{'quantity': '4', 'unit': 'cups', 'name': 'chopped cauliflower'}, {'quantity': '4', 'unit': 'cups', 'name': 'pearl onions'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped red bell peppers'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped green bell peppers'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped celery'}, {'quantity': '2', 'unit': '', 'name': 'cucumbers - peeled, seeded and chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'carrots, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pickling spice, wrapped in cheesecloth'}, {'quantity': '1', 'unit': 'cup', 'name': 'black olives'}, {'quantity': '1', 'unit': 'cup', 'name': 'pitted green olives'}, {'quantity': '4', 'unit': 'cups', 'name': 'canned mushrooms'}, {'quantity': '1 ½', 'unit': '(5 ounce) cans', 'name': 'tuna, drained and flaked'}","In a large bowl with enough lightly salted water to cover, place the cauliflower, pearl onions, red bell peppers, green bell peppers, celery and cucumbers. Soak 8 to 12 hours, or overnight.. In a small bowl with enough lightly salted water to cover, place the carrots. Soak 8 to 12 hours, or overnight.. In a large saucepan, place the vegetable oil, vinegar, tomato paste and pickling spice. Bring the mixture to a boil. Drain and rinse the carrots, and place them in the mixture. Boil 10 minutes.. Drain and rinse the vegetables in the cauliflower mixture. Place them into the saucepan. Cook 10 minutes, or until the cauliflower is tender but crisp.. Stir black olives, green olives, mushrooms and tuna into the mixture. Remove the mixture from heat. Discard the wrapped pickling spice. While still hot, transfer to sterile containers and refrigerate.","calories: 101, fat: 9g, carbs: 5g, protein: 2g, servings: 56"
Antipasto Squares,https://www.allrecipes.com/recipe/57808/antipasto-squares/,"{'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'refrigerated crescent dinner rolls'}, {'quantity': '¼', 'unit': 'pound', 'name': 'thinly sliced boiled ham'}, {'quantity': '¼', 'unit': 'pound', 'name': 'thinly sliced provolone cheese'}, {'quantity': '¼', 'unit': 'pound', 'name': 'thinly sliced Swiss cheese'}, {'quantity': '¼', 'unit': 'pound', 'name': 'thinly sliced Genoa salami'}, {'quantity': '¼', 'unit': 'pound', 'name': 'thinly sliced pepperoni sausage'}, {'quantity': '1', 'unit': '(12 ounce) jar', 'name': 'roasted red peppers, drained, cut into thin strips'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Preheat the oven to 350 degrees F (175 C).. Unroll one package of crescent roll dough; arrange in the bottom of a 9x13 inch pan. Layer ham, provolone cheese, Swiss cheese, salami, pepperoni, and red peppers on top of dough.. Beat eggs lightly in a bowl; stir in Parmesan cheese and black pepper. Pour 3/4 of the egg mixture over peppers. Unroll remaining dough and arrange over the top of the peppers; brush with remaining egg mixture. Cover with aluminum foil.. Bake in the preheated oven for 25 minutes. Remove foil and bake until dough is fluffy and golden brown, another 10 to 20 minutes. Cut into squares; serve warm, or at room temperature.","calories: 452, fat: 29g, carbs: 25g, protein: 20g, servings: 10"
