name,link,ingredients,steps,nutrition,image_url
Sarah's Homemade Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,"{'quantity': '4', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 121, fat: 0g, carbs: 32g, protein: 0g, servings: 4",https://cdn.jwplayer.com/v2/media/647yo1IR/thumbnails/Z1b0R11Y.jpg
Slow Cooker Applesauce,https://www.allrecipes.com/recipe/149218/spiced-slow-cooker-applesauce/,"{'quantity': '8', 'unit': '', 'name': 'apples - peeled, cored, and thinly sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}",Gather all ingredients.. Combine apples and water in a slow cooker.. Cook on Low for 6 to 8 hours.. Stir in brown sugar and pumpkin pie spice.. Continue cooking another 30 minutes.,"calories: 151, fat: 0g, carbs: 39g, protein: 0g, servings: 8",https://www.allrecipes.com/thmb/L-F1Uw2VN8iW7HHH9Lc9AWd8ybw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-149218-Spiced-Slow-Cooker-Applesauce-gw-ddmfs-beauty-4x3-c84e627647ed4b3ea094b66aa19e18f9.jpg
Applesauce,https://www.allrecipes.com/recipe/54346/applesauce/,"{'quantity': '6', 'unit': 'cups', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}","In a 2 quart saucepan over medium heat, combine apples, water, cinnamon, and cloves. Bring to a boil, reduce heat, and simmer 10 minutes. Stir in sugar, and simmer 5 more minutes.","calories: 195, fat: 0g, carbs: 51g, protein: 1g, servings: 4",https://www.allrecipes.com/thmb/jK4UIr2RTp_LS8ROUzaCMpNGRLY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/54346-Applesauce-Tammy-Lynn-4x3-1-2000-511aa6cacdfb44c3bb30b97bfbd3788b.jpg
Applesauce for the Freezer,https://www.allrecipes.com/recipe/234078/applesauce-for-the-freezer/,"{'quantity': '3 ½', 'unit': 'pounds', 'name': 'apples - peeled, cored, and quartered'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar, or less to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice, or more to taste'}, {'quantity': '1', 'unit': '(3 inch) piece', 'name': 'cinnamon stick'}, {'quantity': '4', 'unit': '', 'name': 'strips lemon zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Stir apples, water, brown sugar, white sugar, lemon juice, cinnamon stick, lemon zest, and salt together in a large pot. Place a cover on the pot and bring the mixture to a boil. Reduce heat to medium-low and cook until the apples are soft, 20 to 30 minutes.. Remove pot from heat. Remove and discard cinnamon stick and lemon zest strips. Mash apples with a potato masher.","calories: 63, fat: 0g, carbs: 17g, protein: 0g, servings: 20",https://www.allrecipes.com/thmb/EUhjKQJWb7EN3DZk7w2cJ7F2O-0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049469-applesauce-for-the-freezer-Sue-4x3-1-ec3a138c1fa04878b485011ce84c603b.jpg
Applesauce Muffins,https://www.allrecipes.com/applesauce-muffins-recipe-8702299,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons plus 2 teaspoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'applesauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Preheat the oven to 400 degrees F (200 degrees C). Prepare a 6-cup jumbo muffin pan with liners or grease with butter.. For crumb topping, add butter, flour, brown sugar, and walnuts to a small bowl. Use a fork to combine until mixture is small crumbles. Set aside.. For muffins, whisk milk, eggs, and butter together in a bowl. Add brown sugar, applesauce, and vanilla. Whisk until blended. Set aside.. In a separate bowl, stir together flour, baking powder, salt, cinnamon, cloves, and nutmeg. Add the dry mixture to the wet ingredients and carefully fold in just until combined. Fill each muffin tin about 2/3 full with batter and sprinkle evenly with crumb topping.. Bake in the preheated oven just until a toothpick comes out clean, about 25 minutes. Remove muffins from the pan to cool on a rack.","calories: 383, fat: 11g, carbs: 65g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/3Rc-9sobBTugcDnqR4m9A3y9ofs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8702299_Applesauce-Muffins_TheDailyGourmet_4x3-e6aec0571ede4d258433b6a651ab26a5.jpg
Cranberry Sauce Extraordinaire,https://www.allrecipes.com/recipe/13643/cranberry-sauce-extraordinaire/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'fresh cranberries'}, {'quantity': '1', 'unit': '', 'name': 'orange, peeled and pureed'}, {'quantity': '1', 'unit': '', 'name': 'apple - peeled, cored and diced'}, {'quantity': '1', 'unit': '', 'name': 'pear - peeled, cored and diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped dried mixed fruit'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","In a medium saucepan, boil water and sugar until the sugar dissolves. Reduce the heat to simmer, and stir in cranberries, pureed orange, apple, pear, dried fruit, pecans, salt, cinnamon, and nutmeg. Cover, and simmer for 30 minutes, stirring occasionally, until the cranberries burst. Remove from heat, and let cool to room temperature.","calories: 195, fat: 7g, carbs: 36g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/PqoNDKUqkiywKW-SYZWHbunVYuA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2907429-cranberry-sauce-extraordinaire-Elizabeth-4x3-1-b324d62d29484113a2ae92ef5dbb0c9f.jpg
Cranberry Sauce with Apples,https://www.allrecipes.com/recipe/267958/cranberry-sauce-with-apples/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'fresh cranberries, rinsed and sorted'}, {'quantity': '2', 'unit': 'large', 'name': 'Granny Smith apples - peeled, cored, and diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 112, carbs: 29g, protein: 0g, servings: 10",https://www.allrecipes.com/thmb/PQ0iKXON0GqIeSUl3WgiqTXZhO8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5720523-6e3e0e5b41a840cc877cebad9125b187.jpg
No Cook Applesauce,https://www.allrecipes.com/recipe/223485/no-cook-applesauce/,"{'quantity': '12', 'unit': '', 'name': 'apples - peeled, cored, and chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Blend apples, brown sugar, water, lemon juice, and cinnamon in a blender until smooth.","calories: 107, fat: 0g, carbs: 28g, protein: 0g, servings: 16",https://www.allrecipes.com/thmb/jcLgNvUxkJlYJ5HUGCjQWq4fovQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1060959-no-cook-applesauce-ReneePaj-4x3-1-8622d012073f4a738b7209a3e8e558d8.jpg
Willis Farm Applesauce,https://www.allrecipes.com/recipe/233160/willis-farm-applesauce/,"{'quantity': '6', 'unit': '', 'name': 'apples - peeled, cored, and chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cinnamon candies (such as Red Hots®)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}","Combine apples and water in a large pot over medium heat; bring to a simmer and cook for 5 minutes.. Stir cinnamon candies and sugar into apples and water; return mixture to a simmer and cook until candies melt, about 15 minutes.. Remove pot from heat and set aside until mixture cools, about 15 minutes.. Mash apples with a potato masher until no large chunks remain. Alternately, you can blend the mixture with an immersion blender to get a smoother applesauce.","calories: 123, fat: 0g, carbs: 32g, protein: 0g, servings: 6",https://www.allrecipes.com/thmb/pBfzN4xdnVkJ9Ldq8NsICX8WsHo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3326921-4caff73bebe14c89b6647735a65dcec0.jpg
Blushing Applesauce,https://www.allrecipes.com/recipe/142643/blushing-applesauce/,"{'quantity': '5', 'unit': 'pounds', 'name': 'unpeeled Macintosh apples, quartered and cored'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Place apples in a large pot with sugar, water, and lemon juice. Bring to a boil, then reduce heat to medium-low and simmer, uncovered, stirring occasionally, until apples are very soft and lose their shape, about 25 minutes.. Remove apples from the heat and allow to cool slightly. Puree apples in a food processor or food mill. If using the food processor, strain apples through a sieve to remove pieces of apple skin.. Stir in cinnamon and nutmeg. Serve at room temperature or refrigerate and serve cold.","calories: 179, fat: 0g, carbs: 47g, protein: 1g, servings: 10",https://www.allrecipes.com/thmb/ZDV5I8Zn4BP84U3lUT4Q8L31arw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/697847-9d957d13dfcb46378492a778d0c4c16d.jpg
