name,link,ingredients,steps,nutrition,image_url
Hot Honey Butter Cream Cheese Stuffed Bagel,https://www.allrecipes.com/hot-honey-butter-cream-cheese-stuffed-bagel-recipe-8664575,"{'quantity': '1', 'unit': None, 'name': 'bagel'}, {'quantity': '1', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'flaky salt'}","Preheat an air fryer to 390 degrees F (199 degrees C) according to manufacturer's instructions.. Make 8 small cuts in the bagel, taking care not to cut all the way through, to create small openings.  Add a piece of cream cheese in each crevice around the bagel. Combine honey and melted butter in a small dish and coat the stuffed bagel liberally. Sprinkle with salt.. Place bagel in the air fryer until golden brown, 5 to 7 minutes. Drizzle with more honey if desired.","calories: 820, fat: 24g, carbs: 129g, protein: 24g, servings: 1",https://cdn.jwplayer.com/v2/media/JSje10Sp/thumbnails/TqsVkBqL.jpg
Fruit Pizza Chopped Bagel,https://www.allrecipes.com/fruit-pizza-chopped-bagel-recipe-8605156,"{'quantity': '1', 'unit': None, 'name': 'plain bagel, sliced in half horizontally'}, {'quantity': '2', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioner's sugar""}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mixed fruit,'}",,"calories: 830, fat: 23g, carbs: 133g, protein: 26g, servings: 1",https://cdn.jwplayer.com/v2/media/pUHCoWFo/thumbnails/ZGC0ogK0.jpg
California BLT Chopped Bagel,https://www.allrecipes.com/california-blt-chopped-bagel-recipe-8604129,"{'quantity': '1', 'unit': None, 'name': 'everything bagel'}, {'quantity': '2', 'unit': 'ounces', 'name': 'chive and onion cream cheese, softened'}, {'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '2', 'unit': 'leaves', 'name': 'romaine lettuce'}, {'quantity': '1', 'unit': 'slice', 'name': 'tomato'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/4', 'unit': None, 'name': 'avocado, diced'}",,"calories: 1285, fat: 67g, carbs: 137g, protein: 43g, servings: 1",https://cdn.jwplayer.com/v2/media/YvyxenPc/thumbnails/pQGuUXoS.jpg
25 Breakfast Bagel Ideas That Go Way Beyond Plain Cream Cheese,https://www.allrecipes.com/breakfast-bagel-ideas-8415826,,,,https://www.allrecipes.com/thmb/uPDAcwpXhRIn03aN5zZvKwhEO4M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4Bagel-Egg-Boats-2000-c12a4a40d7424860bb84ddb259a8a9d5.jpg
Real Homemade Bagels,https://www.allrecipes.com/recipe/220619/real-homemade-bagels/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'water'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'instant yeast'}, {'quantity': '4', 'unit': 'quarts', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'honey (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'poppy seeds (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried onion flakes (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt (Optional)'}","Make bagels: Combine water, flour, sugar, salt, vegetable oil, and yeast in the bowl of a stand mixer fitted with the dough hook. Mix on low speed until dough is well-developed, about 8 minutes. To ensure the gluten has developed fully, cut off a walnut-sized piece of dough. Flour your fingers, and then stretch the dough: if it tears immediately, the dough needs more kneading. Fully developed dough should form a thin translucent ""windowpane."". Transfer dough to a lightly oiled bowl, cover it with plastic wrap and a kitchen towel, and let rise for 2 hours.. Punch dough down, place it on a lightly floured work surface, and use a knife or dough scraper to divide the dough into 6 pieces (or more, for smaller bagels). Roll each piece of dough into a sausage shape about 6 inches long. Join the ends to form a circle. Repeat with the remaining dough, and let the bagels rest for 15 minutes.. Preheat the oven to 475 degrees F (245 degrees C). Line a baking sheet with parchment paper. Arrange small plates with poppy seeds, sesame seeds, and onion flakes next to the baking sheet.. Bring 4 quarts of water to a boil in a large pot. Add honey, if desired (see Editor's Note). Boil three bagels at a time, until they rise to the surface of the pot, about 1 minute per side. Remove bagels with a slotted spoon and place them on the lined baking sheet.. Dip the tops of the wet bagels into the toppings and arrange them, seed-side up, on the baking sheet. Sprinkle with coarse salt, if desired.. Bake in the preheated oven until the bagels begin to brown, 15 to 20 minutes.","calories: 278, fat: 7g, carbs: 56g, protein: 2g, servings: 6",https://cdn.jwplayer.com/v2/media/Pv1RiAkF/poster.jpg?width=720
Bread Machine Bagels,https://www.allrecipes.com/recipe/7178/bread-machine-bagels/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '3', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '2 ¼', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornmeal'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg white, beaten'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'poppy seeds'}","Place water, flour, 2 tablespoons sugar, salt, and yeast into a bread machine in the order listed, or follow the order recommended by the manufacturer if different. Run 'Dough' cycle. Remove dough from the machine after the cycle is done, about 90 minutes.. Place dough onto a lightly floured surface and let rest for 10 to 15 minutes.. Cut dough into nine equal pieces. Roll each piece into a small ball and flatten into a circle. Poke a hole in the middle of each circle with your thumb. Poke your thumb through the hole and twirl each circle a bit to enlarge the hole and to even out dough around the hole. Place back onto the floured surface, cover with a clean cloth, and let rest for 10 minutes.. While dough is resting, bring 3 quarts water to a boil in a large pot. Preheat the oven to 375 degrees F (190 degrees C). Sprinkle cornmeal onto an ungreased baking sheet.. Stir 3 tablespoons sugar into boiling water. Working in batches, carefully transfer two bagels at a time to the boiling water and boil for 1 minute, turning halfway through. Drain briefly on a clean towel, then arrange on the prepared baking sheet. Brush with egg white and sprinkle with poppy seeds.. When all bagels have been boiled and topped with poppy seeds, bake in the preheated oven until golden brown, 20 to 25 minutes.","calories: 50, fat: 1g, carbs: 9g, protein: 1g, servings: 9",https://www.allrecipes.com/thmb/dKDTX_JdnuKp-hzYDy2HmdWDL88=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6740208-4923b5c55af74e5880f9116ee05aa9e3.jpg
Boiled Bagels,https://www.allrecipes.com/recipe/6849/boiled-bagels/,"{'quantity': '4 ¼', 'unit': 'cups', 'name': 'all-purpose flour, divided, or as needed'}, {'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}","Combine 1 1/2 cups flour and yeast in a large bowl. Mix water, 3 tablespoons sugar, and salt together; add to dry ingredients. Beat with a mixer for half a minute at low speed, scraping the sides of the bowl clean. Beat at a higher speed for 3 minutes. Then mix in enough flour by hand to make a moderately stiff dough.. Turn out onto a lightly floured surface and knead until smooth and elastic, 8 to 10 minutes. Cover and let rest for 15 minutes.. Cut into 12 portions and shape into smooth balls. Poke a hole in the center with your finger, and gently enlarge the hole while working the bagel into a uniform shape. Cover and let rise for 20 minutes.. Meanwhile, start a gallon of water boiling. Add in remaining 1 tablespoon sugar and mix it around a bit. Reduce to simmering.. Preheat the oven to 375 degrees F (190 degrees C).. When bagels have risen, put 4 or 5 bagels into the water and cook for 7 minutes, turning once. Drain.. Place drained bagels on a greased baking sheet and bake in the preheated oven for 30 to 35 minutes. Remove from the oven and eat hot or cold.","calories: 181, fat: 1g, carbs: 38g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/OQK2mDVHhkMhR56azcyexgOZYJM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3697747-0fc7c102577942d89be069eadd67beb7.jpg
Bialys vs. Bagels: What's the Difference?,https://www.allrecipes.com/article/bialys-vs-bagels/,,,,https://www.allrecipes.com/thmb/ocQSz4wf6rSdMtFxVhW6OIxGVxQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/bailys-vs-bagels-2x1-social-tout-c02653a149db40d5a028c2ec023f9e9b.png
Pumpernickel Bagels,https://www.allrecipes.com/recipe/223557/pumpernickel-bagels/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole-wheat flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'rye flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'instant coffee granules'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'caraway seeds'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'gallon', 'name': 'water'}","Combine warm water, whole-wheat flour, and yeast in a small bowl. Let stand until the yeast softens and begins to froth and bubble, about 10 minutes.. Mix rye flour, molasses, cocoa powder, vegetable oil, coffee granules, caraway seeds, and salt in a large bowl. Add yeast mixture and all-purpose flour. Turn dough onto a floured surface; knead until smooth and elastic, about 10 minutes. Grease a large bowl.. Transfer dough to greased bowl; cover with a warm damp towel or plastic wrap. Let rise in a warm area until doubled in size, about 1 hour.. Preheat the oven to 450 degrees F (230 degrees C). Grease a baking sheet.. Bring water to a boil in a large pot. Divide dough into 13 pieces; shape into balls. Press a hole into the center of each dough ball; pull dough to form a 1-inch hole in the center, keeping dough about 1/2-inch thick. Drop dough circles into boiling water, 3 or 4 at a time. Boil each side for 45 seconds. Remove with a slotted spoon and drain for about 1 minute. Arrange boiled bagels on the prepared baking sheet.. Bake bagels in the preheated oven until just starting to brown on the bottom, 8 to 10 minutes.","calories: 160, fat: 2g, carbs: 34g, protein: 4g, servings: 13",https://www.allrecipes.com/thmb/wVuZE6c2ymlUq5Mt5Ef6C-t1cdA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5517311-pumpernickel-bagels-Carsons-Mommy-4x3-1-2000-0b21d44ca2014f7c80e15f91d3593a75.jpg
Moist Passover Bagel,https://www.allrecipes.com/recipe/140020/moist-passover-bagel/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'water'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'peanut oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'matzo meal'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a baking sheet with cooking spray.. Combine water, oil, salt, and sugar in a large saucepan and bring to a boil. Remove from heat. Stir in matzo meal until well combined; allow to cool for at least 5 minutes. Add eggs, 2 at a time, stirring to incorporate into dough after each addition.. Form 2 tablespoons dough into a ball using wet hands. Transfer to the prepared baking sheet. Repeat with remaining dough. Poke a hole into the middle of each ball.. Bake in the preheated oven until lightly brown, 50 to 60 minutes.","calories: 220, fat: 15g, carbs: 19g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/aXmhn4HLC4xKUBjfpnhXG0XiKko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7964865-a89acdd439854b73a1540de0c07412f7.jpg
