name,link,ingredients,steps,nutrition,image_url
Party Beans,https://www.allrecipes.com/recipe/45410/party-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'sliced bacon'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground round'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'baked beans with pork'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'white beans, drained'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'butter beans, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed dark brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'barbeque sauce'}, {'quantity': '1', 'unit': '(1 ounce) envelope', 'name': 'dry onion soup mix'}","Preheat the oven to 350 degrees F (175 degrees C).. In a large skillet over medium heat, cook bacon until crisp. Drain, crumble, and set aside. In the same skillet, cook and crumble the ground round until evenly browned. Drain.. In a large deep casserole dish or Dutch oven, combine the bacon, beef, baked beans, white beans, and butter beans. Stir in the brown sugar, barbeque sauce, and onion soup mix until well blended.. Bake, uncovered, for 1 hour in the preheated oven.","calories: 382, fat: 13g, carbs: 47g, protein: 21g, servings: 12",https://www.allrecipes.com/thmb/sB0I-t4CJiT8rS0dwGR7EbiRUz8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2292520-fe75e65fa91740a79322420b724cdcdd.jpg
BBQ'D Beans,https://www.allrecipes.com/bbq-beans-recipe-8653439,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '3', 'unit': 'large', 'name': 'green peppers'}, {'quantity': '2', 'unit': 'large', 'name': 'onions'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '2', 'unit': '(19.75 ounce) cans', 'name': 'pork and beans,'}, {'quantity': '1', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'yellow mustard'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}",,"calories: 346, fat: 11g, carbs: 42g, protein: 21g, servings: 12",https://www.allrecipes.com/thmb/i1FsozXWuGO--Mtrh4qC8O42pYk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8653439-bbq-beans-recipe-VAT-4x3-Awithspoon-ba1d37ea36c2494f857bc948e3a4f53f.jpg
Southern Baked Beans,https://www.allrecipes.com/southern-baked-beans-recipe-7554356,"{'quantity': '8', 'unit': 'ounces', 'name': 'lean ground beef'}, {'quantity': '3', 'unit': 'strips', 'name': 'bacon, diced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'diced yellow onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green pepper'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'dark brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'yellow mustard'}, {'quantity': '2 (28-', 'unit': 'ounce) cans', 'name': 'baked beans'}",,"calories: 191, fat: 3g, carbs: 33g, protein: 11g, servings: 14",https://www.allrecipes.com/thmb/5O_Y0j-XAMnFAySvHTHA5RoJqnI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7554356-southern-baked-beans-mfs-step7-3x4-2115-1bc9f489d2304c26bd31ce78b7807a4f.jpg
Frijoles Borrachos (Drunken Baked Beans),https://www.allrecipes.com/drunken-baked-beans-frijoles-borrachos-recipe-7511596,"{'quantity': '1/2', 'unit': 'cup', 'name': 'lightly packed light brown sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'prepared red salsa'}, {'quantity': '3', 'unit': 'cans', 'name': 'pinto beans, drained, not rinsed'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped jalapeno peppers'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'prepared mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Mexican oregano'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': '12-ounce bottle', 'name': 'Mexican lager-style beer (such as Modelo)'}, {'quantity': '3', 'unit': 'strips', 'name': 'bacon (optional)'}",,"calories: 187, fat: 1g, carbs: 36g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/t9Pmt1vP/poster.jpg?width=720
Boston Baked Beans,https://www.allrecipes.com/recipe/18255/boston-baked-beans/,"{'quantity': '2', 'unit': 'cups', 'name': 'dry navy beans, soaked overnight'}, {'quantity': '½', 'unit': 'pound', 'name': 'uncooked bacon strips'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'molasses'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dry mustard'}",,"calories: 382, fat: 6g, carbs: 63g, protein: 21g, servings: 6",https://cdn.jwplayer.com/v2/media/VfHuunjz/poster.jpg?width=720
Baked Beans from Scratch,https://www.allrecipes.com/recipe/165249/baked-beans-from-scratch/,"{'quantity': '1', 'unit': 'cup', 'name': 'navy beans, soaked overnight and drained'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'molasses'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}","Gather the ingredients.. Place beans in a large saucepan with 4 cups of water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer 1 hour.. Preheat the oven to 375 degrees F (190 degrees C). Stir ketchup, maple syrup, brown sugar, molasses, Worcestershire sauce, salt, pepper, and chili powder together in a small bowl; set aside.. Once beans have simmered for 1 hour, drain, and reserve cooking liquid. Pour beans into a 1 1/2-quart casserole dish; stir in chopped onion and molasses mixture. Stir in enough reserved cooking liquid so sauce covers beans by 1/4 inch.. Cover and bake in the preheated oven for 10 minutes; reduce heat to 200 degrees F (95 degrees C) and cook 6 hours longer, stirring beans after they have cooked for 3 hours. Once beans are tender and sauce has reduced and is sticky, remove from the oven, stir, recover, and allow to stand 15 minutes before serving.","calories: 122, fat: 0g, carbs: 26g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/GGG7anE488mfCzMFijdvL6M0T_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-165249-baked-beans-from-scratch-VAT-4x3-3f47fbc5e1554dc4b34fa8a567f39dd1.jpg
Easy Baked Beans,https://www.allrecipes.com/recipe/21655/simple-baked-beans/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '(16 ounce) cans', 'name': 'baked beans with pork'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onions'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared mustard'}, {'quantity': '2', 'unit': 'slices', 'name': 'bacon, chopped'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a casserole dish with cooking spray.. Mix together baked beans with pork, molasses, onions, brown sugar, ketchup, and mustard together in a large bowl.. Transfer mixture to the prepared dish and top with chopped bacon.. Cover and bake in the preheated oven until thickened, about 3 hours.. Serve hot and enjoy!","calories: 176, fat: 4g, carbs: 32g, protein: 6g, servings: 10",https://cdn.jwplayer.com/v2/media/Nbgoipvx/poster.jpg?width=720
Slow Cooker Homemade Beans,https://www.allrecipes.com/recipe/58389/slow-cooker-homemade-beans/,"{'quantity': '3', 'unit': 'cups', 'name': 'dry navy beans, soaked overnight or boiled for one hour'}, {'quantity': '6', 'unit': 'slices', 'name': 'thick cut bacon, cut into 1 inch pieces'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'ketchup'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dry mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}","Gather all ingredients.. Drain soaking liquid from beans; place them in a slow cooker.. Stir bacon, onion, ketchup, water, brown sugar, molasses, mustard, and salt into beans until well mixed.. Cover and cook on Low for 8 to 10 hours; stir occasionally if possible.","calories: 296, fat: 3g, carbs: 57g, protein: 12g, servings: 12",https://www.allrecipes.com/thmb/R0F4e5Z5cDfjujMm6xHM7moiOpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/58389-slow-cooker-homemade-beans-ddmfs-4x3-5560-c03a187eb3f7438b8c84bf7b87d6cf4d.jpg
Homemade Baked Beans,https://www.allrecipes.com/recipe/232677/homemade-baked-beans/,"{'quantity': '½', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'Great Northern beans, rinsed and drained'}, {'quantity': '2', 'unit': 'small', 'name': 'onions, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'water (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'molasses'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 2 1/2-quart baking dish.. Place bacon in a large skillet and cook over medium-high heat until crisp, about 10 minutes; drain and cool on paper towels. Crumble bacon once cooled.. Mix bacon, beans, onions, water, brown sugar, ketchup, molasses, vinegar, mustard, salt, and garlic powder together in the prepared baking dish. Cover the dish with aluminum foil.. Bake in preheated oven until bubbling, 45 minutes.","calories: 361, fat: 13g, carbs: 51g, protein: 11g, servings: 8",https://cdn.jwplayer.com/v2/media/WW0E7DwX/poster.jpg?width=720
Instant Pot Baked Beans,https://www.allrecipes.com/recipe/272258/instant-pot-baked-beans/,"{'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'pound', 'name': 'dry navy beans, rinsed and picked through'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'ounces', 'name': 'salt pork, diced'}, {'quantity': '6', 'unit': 'ounces', 'name': 'bacon, cut into small pieces'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, minced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'yellow mustard'}","Combine water and beans in a multi-functional pressure cooker (such as an Instant Pot). Close and lock the lid. Select high pressure according to manufacturer's instructions; set the timer for 15 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, about 20 minutes; quick-release remaining pressure according to manufacturer's directions. Unlock and remove the lid. Drain and rinse beans with cold water and set aside. Rinse and wipe out the Instant Pot insert and place back into the pressure cooker.. Turn on the Instant Pot and select the Sauté function. Heat olive oil until shimmering, 2 to 3 minutes. Add salt pork, bacon, and onion; cook until fat begins to render, 1 to 2 minutes. Pour in 1/2 cup water and scrape any browned bits off the bottom. Turn the Instant Pot off.. Whisk together molasses, ketchup, brown sugar, mustard, and remaining 1 cup water in a small bowl. Return cooked beans to the pot along with ketchup mixture. Gently stir to combine. Close and lock the lid. Select high pressure according to manufacturer's instructions; set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, about 20 minutes; quick-release remaining pressure according to manufacturer's directions. Unlock and remove the lid. Beans will thicken as they cool. Serve immediately or freeze portions for later.","calories: 321, fat: 15g, carbs: 36g, protein: 11g, servings: 12",https://www.allrecipes.com/thmb/fJOE6P1QVycqgpp0O7iIyY2KF6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6459860-instant-pot-baked-beans-France-C-4x3-1-28215aa7107843a19995fce6ad5c3fd4.jpg
