name,link,ingredients,steps,nutrition
75 Delicious Ways To Use Overripe Bananas,https://www.allrecipes.com/overripe-banana-recipes-8699052,,,
4-Ingredient Banana Bread,https://www.allrecipes.com/4-ingredient-banana-bread-recipe-8707031,"{'quantity': '5', 'unit': 'small ripe spotted', 'name': 'bananas, divided (about 4 1/2 ounces each)'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1/2 cup plus 1', 'unit': None, 'name': 'dark brown sugar, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'self rising flour'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Line a 9- x 5-inch loaf pan with parchment paper, leaving a 2-inch overhang on all sides; set aside.. Mash 4 of the bananas in a large bowl using a fork until mostly smooth to equal 1 1/2 cups. Add eggs and 1/2 cup brown sugar; stir until combined.. Add flour to the banana mixture; stir until just combined and no dry streaks remain, scraping down the sides of the bowl as needed.. Pour batter into the prepared loaf pan and spread into an even layer.. Slice remaining banana in half lengthwise; lay banana halves over the top, cut side up. Evenly sprinkle remaining 1 tablespoon brown sugar over the top.. Bake in the preheated oven until a wooden pick inserted in the center comes out with a few moist crumbs, 50 to 55 minutes. Let cool in pan on a wire rack for 15 minutes; using parchment paper overhang.. Remove loaf from pan and slice; serve warm. Enjoy!","calories: 157, fat: 1g, carbs: 34g, protein: 3g, servings: 12"
Banana Bread Brownies,https://www.allrecipes.com/banana-bread-brownies-recipe-8583080,"{'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'ounces', 'name': 'dark chocolate, broken into pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, at room temperature'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': None, 'name': 'bananas, mashed (about 1 cup)'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '12', 'unit': 'slices', 'name': 'banana (optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}",,"calories: 401, fat: 23g, carbs: 48g, protein: 4g, servings: 12"
Banana Banana Bread,https://www.allrecipes.com/recipe/20144/banana-banana-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2 ⅓', 'unit': 'cups', 'name': 'mashed overripe bananas'}",,"calories: 231, fat: 9g, carbs: 35g, protein: 4g, servings: 12"
Banana Chocolate Chip Bread,https://www.allrecipes.com/recipe/230482/banana-chocolate-chip-bread/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'ripe bananas, mashed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}",,"calories: 378, fat: 16g, carbs: 58g, protein: 5g, servings: 10"
Joy's Easy Banana Bread,https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/,"{'quantity': '3', 'unit': '', 'name': 'ripe bananas, mashed'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}",,"calories: 225, fat: 5g, carbs: 42g, protein: 3g, servings: 10"
Janet's Rich Banana Bread,https://www.allrecipes.com/recipe/17066/janets-rich-banana-bread/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '2', 'unit': '', 'name': 'medium bananas, sliced'}",,"calories: 291, fat: 16g, carbs: 36g, protein: 3g, servings: 10"
Extreme Banana Nut Bread 'EBNB',https://www.allrecipes.com/recipe/67937/extreme-banana-nut-bread-ebnb/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'cups', 'name': 'mashed overripe bananas'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9x5-inch loaf pans.. Sift flour, baking soda, and salt into a large bowl.. Cream sugar and butter together in a separate bowl. Stir in bananas, eggs, and walnuts until well blended.. Pour wet ingredients into flour mixture and stir just until blended. Divide the batter evenly between the two prepared pans.. Bake in the preheated oven until a paring knife inserted into the crown of each loaf comes out clean, 60 to 70 minutes.. Remove from the oven and let loaves cool in the pans for at least 5 minutes. Turn out onto a cooling rack, and let cool completely, about 30 minutes.. Slice and serve. For more intense flavor, wrap each loaf in aluminum foil to keep in the moisture, then refrigerate for at least 2 hours before serving.","calories: 232, fat: 12g, carbs: 30g, protein: 3g, servings: 24"
6 Little Mistakes That Could Ruin Your Banana Bread,https://www.allrecipes.com/article/banana-bread-mistakes/,,,
Banana Sour Cream Bread,https://www.allrecipes.com/recipe/6984/banana-sour-cream-bread/,"{'quantity': '3 ¼', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'ground cinnamon, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '6', 'unit': '', 'name': 'very ripe bananas, mashed'}, {'quantity': '1', 'unit': '(16 ounce) container', 'name': 'sour cream'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts (Optional)'}","Gather all ingredients.. Preheat the oven to 300 degrees F (150 degrees C). Grease four 7x3-inch loaf pans. Mix 1/4 cup sugar and 1 teaspoon cinnamon together in a small bowl until well combined; dust the greased pans lightly with sugar mixture.. Beat remaining 3 cups sugar and butter together in a large bowl with an electric mixer until smooth.. Add mashed bananas, sour cream, eggs, vanilla, and remaining 2 teaspoons cinnamon; continue to beat until well-blended.. Add flour, baking soda, and salt; mix until just combined. Stir in walnuts and divide batter evenly into the prepared pans.. Bake in the preheated oven until a toothpick inserted in center comes out clean, about 1 hour.. Serve and enjoy!","calories: 263, fat: 10g, carbs: 40g, protein: 4g, servings: 32"
