name,link,ingredients,steps,nutrition,image_url
Puppy Chow Crispy Treats,https://www.allrecipes.com/puppy-chow-crispy-treats-recipe-8732234,"{'quantity': '6', 'unit': 'ounces', 'name': '72% dark chocolate chips'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'creamy peanut butter'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '12', 'unit': 'ounce', 'name': 'rice cereal squares'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'powdered sugar'}, {'quantity': '8', 'unit': 'cups', 'name': 'miniature marshmallows'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'creamy peanut butter (such as Skippy)'}",,"calories: 472, fat: 22g, carbs: 65g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/2t6S3-dOmhi2tAyavEARAh25ZgQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732234-puppy-chow-treats-beauty-042-4x3-b6d6e2efb9774c3d988487df2b9b2cca.jpg
Deviled Blondies,https://www.allrecipes.com/deviled-blondies-recipe-8719173,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'rounded tablespoon', 'name': 'Gochujang chili paste,'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'sticks', 'name': 'salted butter, melted and cooled slightly'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'macadamia nuts'}",,"calories: 471, fat: 29g, carbs: 50g, protein: 5g, servings: 9",https://cdn.jwplayer.com/v2/media/GVFO7J4V/thumbnails/c0vw4RQm.jpg
Apple Butter Cheesecake Bars,https://www.allrecipes.com/apple-butter-cheesecake-bars-recipe-8707173,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '3', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3 (8-', 'unit': 'ounce) packages', 'name': 'cream cheese, at room temperature'}, {'quantity': '3/4 cup', 'unit': None, 'name': 'sour cream, at room temperature'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'apple butter'}","Gather all ingredients.. Prepare the Graham Cracker Crust: Preheat oven to 350 degrees F (175 degrees C) with rack in lower third position. Line a 9- x 13-inch baking pan with aluminum foil, leaving a 2-inch overhang on the long sides. Lightly coat pan and foil with cooking spray.. Stir together graham cracker crumbs, butter, sugar, cinnamon, and salt in a large bowl until combined and evenly moistened. Press mixture evenly into the bottom of the prepared pan.. Bake in the preheated oven until lightly golden and fragrant, 7 to 10 minutes. Let cool slightly, about 15 minutes. Reduce oven temperature to 300 degrees F (150 degrees C).. Prepare the Cheesecake Filling: Beat cream cheese and sour cream in a stand mixer fitted with the paddle attachment on medium speed until fluffy and fully combined, 3 to 4 minutes. Beat in sugar and salt on medium speed until combined, about 1 minute.. Add eggs, 1 at a time, beating on low speed just until combined after each addition and stopping to scrape down sides of bowl with a rubber spatula as needed, 1 to 2 minutes total. Add heavy cream and vanilla extract; beat on low speed just until combined.. Pour Cheesecake Filling into cooled Graham Cracker Crust. Evenly dollop apple butter over Cheesecake Filling; using a butter knife or small spatula inserted about halfway into filling, decoratively swirl apple butter using zig-zag motions until desired distribution.. Place baking pan inside a large roasting pan and place in preheated oven. Pour boiling water into roasting pan so it reaches halfway up the sides of the baking pan. Bake at 300 degrees F (150 degrees C) until cheesecake slightly jiggles when shaken but is set around the edges, 35 to 40 minutes.. Turn off oven and leave oven door cracked open 7 to 8 inches; let cheesecake cool in oven for 30 minutes. Remove roasting pan from oven and carefully remove cheesecake from water bath. Let cool in pan at room temperature 30 minutes, then cover and refrigerate until completely chilled, at least 4 hours or up to overnight.. Using foil overhang as handles, lift the cheesecake out of the pan and place it onto a cutting board. Cut it into 12 (3 x 2 1/2-inch) rectangles. Serve chilled.","calories: 570, fat: 39g, carbs: 49g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/_CxneeyfwKEjHxMQlBr_SHOaob8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8707173-Apple-Butter-Cheesecake-Bars-ddmfs-0288-4x3-beauty-c8e8021d20664398ba0179f10f5a27af.jpg
Berries-and-Cream Bars,https://www.allrecipes.com/berries-and-cream-bars-recipe-8691436,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '10', 'unit': 'tablespoons', 'name': 'unsalted butter, at room temperature'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'whole milk, at room temperature'}, {'quantity': '1/2 cup plus 2/3', 'unit': 'cup', 'name': 'mixed berry jam or preserves, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'whipping cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'marshmallow creme'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'freeze-dried strawberries or raspberries'}",,"calories: 431, fat: 21g, carbs: 57g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/Z56MRtBnK7jzK3iHG3dNE6mfX9o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8691436-berries-and-cream-snack-cake-4x3-a5b7cbf4752345acac0f8eb1c67009f2.jpg
Cinnamon Roll Blondies,https://www.allrecipes.com/cinnamon-roll-blondies-recipe-8687135,"{'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '7', 'unit': 'tablespoons', 'name': ""confectioner's sugar""}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'heavy cream'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. For filling: in a small bowl, mix brown sugar and cinnamon together until thoroughly combined. Set aside.. For blondies: Whisk melted butter, white sugar, brown sugar, vanilla, salt, and nutmeg until thoroughly combined. Add in egg and egg yolk and mix until thoroughly combined. Add in flour and baking soda and mix until just incorporated.. Spread half the batter into an even layer in the prepared pan (it will be a somewhat thin layer). Sprinkle cinnamon-sugar mixture evenly over the batter. Place dollops of remaining batter over the cinnamon-sugar layer, and carefully spread into an even layer to cover cinnamon-sugar completely.. Bake in the preheated oven until bars begin to pull away from the sides of the pan, are puffed in the middle, and golden brown on top, 25 to 30 minutes. Allow bars to cool completely in the pan.. For glaze: beat cream cheese, powdered sugar, vanilla and salt together with an electric mixer until completely smooth. Add in heavy cream and beat until smooth. If glaze is too thick, add more heavy cream a small amount at a time; if glaze is too thin, add more powdered sugar until desired consistency is reached.. Pour glaze onto cooled bars and spread into an even layer. Cut into 16 bars.","calories: 181, fat: 8g, carbs: 25g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/fOiRI3OvcFnSWT9DmAoPVEtFl5c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8687135_Cinnamon-Roll-Blondies_Kim-Shupe_4x3-1f1bc4c80a2c4ce2bc4228f76d05b38d.jpg
Margarita Bars,https://www.allrecipes.com/margarita-bars-recipe-8680582,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '10', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'sweetened condensed milk'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'lime zest'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tequila'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'orange liqueur'}, {'quantity': None, 'unit': None, 'name': 'sea salt'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Line a 9-inch square baking pan with aluminum foil, leaving a 2-inch overhang on all sides. Lightly coat with cooking spray; set aside.. Stir together graham cracker crumbs, melted butter, sugar, and 1/4 teaspoon of the salt in a bowl until fully combined and resembles wet sand. Transfer to prepared baking pan, and firmly press into an even layer on bottom of pan.. Bake in the preheated oven until just golden brown and fragrant, 8 to 10 minutes. Remove from oven, and let cool slightly, about 5 minutes.. Whisk together yolks, condensed milk, lime zest and juice, and remaining 1/2 teaspoon salt in a large bowl until smooth. Add tequila and orange liqueur, and whisk until fully combined, about 30 seconds. Pour over slightly cooled crust.. Bake in the preheated oven until edges are set and center has a slight jiggle, 25 to 28 minutes.. Remove from oven; let cool to room temperature in pan on wire rack, about 1 hour. Place in freezer, uncovered, until chilled and set, at least 2 hours or up to 12 hours.. Using excess foil as handles, remove bars from pan, transfer to a cutting board; cut evenly into 16 bars, trimming edges, as desired. Garnish with flaky sea salt and additional lime zest. Serve.","calories: 382, fat: 16g, carbs: 49g, protein: 10g, servings: 16",https://www.allrecipes.com/thmb/nFRyhTH1IZAZQ96RzQO3TAsXyag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8680582-margarita-bars-ddmfs-2456-beauty-4x3-255b0328e5dd4b078df88b467617130a.jpg
Lemon Curd-Poppy Seed Crumb Bars,https://www.allrecipes.com/lemon-curd-poppy-seed-crumb-bars-recipe-8645738,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'poppy seeds'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'lemon curd'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}","Preheat the oven to 350 degrees F (175 degrees C). Line a 9x9-inch pan with enough parchment paper to have overhang all sides.. In a large bowl, mix together melted butter, brown sugar, vanilla, salt, and almond extract until thoroughly combined. Add in flour, baking powder, and poppy seeds and mix until combined.. Measure out about 1 1/2 cups of the mixture and press evenly into the bottom of the prepared pan. Reserve remaining mixture to use as the crumb topping.. Bake in the preheated oven until crust is just beginning to turn golden brown, 15 to 18 minutes.. Meanwhile, prepare the filling. Mix lemon curd, lemon zest, flour, egg, vanilla extract, and salt together in a bowl with a whisk or electric mixer until thoroughly combined. Pour in sweetened condensed milk and mix until combined.. Remove crust from oven and allow to cool for 5 minutes. Pour filling over crust and smooth into an even layer using a spatula. Sprinkle reserved crumbs evenly over filling.. Bake until bars look set, 20 to 25 minutes. Allow bars to cool completely in the pan. Place bars into the refrigerator until chilled, at least 4 hours. Cut into 16 bars before serving.","calories: 331, fat: 14g, carbs: 47g, protein: 5g, servings: 16",https://www.allrecipes.com/thmb/cWzqXoODYGM2KGmaQSGG-SnODOI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8645738_Lemon-Curd-Poppy-Seed-Crumb-Bars_Kim_4x3-920d93b5a84d4cb4961c336cee6ad6f4.jpg
Pumpkin Spice Rice Krispie Treats,https://www.allrecipes.com/pumpkin-spice-rice-krispie-treats-recipe-8387013,"{'quantity': '6', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pumpkin puree'}, {'quantity': '2 (10', 'unit': 'ounce) bags', 'name': 'mini marshmallows'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '12', 'unit': 'cups', 'name': 'Rice Krispies'}","Grease a 9x13-inch baking pan or casserole dish with butter or cooking spray.. Add butter and pumpkin puree to a large pot set over medium heat. Stir well and add vanilla, cinnamon, ginger, cloves, and salt. Once the mixture is heated through and homogenous, add marshmallows. Stir constantly, still over medium heat, until marshmallows have melted, about 5 minutes. Remove from heat; cool for 15 to 20 minutes.. Pour in cereal and mix well. This will require some elbow grease to get all of the cereal evenly coated in the pumpkin-marshmallow mixture!. Pour mixture into the prepared pan and use a spatula to flatten and spread out evenly. Place in the freezer until cool to the touch, 15 to 30 minutes.. To slice and serve, run a knife along the sides of the pan and invert onto a cutting board. Using a large chef's knife, cut treats into bars.","calories: 156, fat: 3g, carbs: 32g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/UJwKRuVjkC4695fm3hEpMlW3k18=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8387013_Pumpkin-Spice-Rice-Krispie-Treats_Diana-Moutsopoulos_4x3-0553c163f25b4cc59060c4cf56214468.jpg
Marshmallow Cereal Treats,https://www.allrecipes.com/marshmallow-cereal-treats-6815538,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, divided'}, {'quantity': '1', 'unit': '(10.5 ounce) package', 'name': 'miniature marshmallows'}, {'quantity': '2', 'unit': 'cups', 'name': 'crispy rice cereal (such as Rice Krispies®)'}, {'quantity': '2', 'unit': 'cups', 'name': ""brown sugar and butter-flavored breakfast cereal (such as Cap'n Crunch®)""}, {'quantity': '2', 'unit': 'cups', 'name': 'fruit-flavored breakfast cereal (such as Froot Loops®)'}","Use about half the butter to generously grease a 9x13-inch baking dish.. Melt remaining butter in a non-stick stock pot over medium heat; add marshmallows and cook, stirring frequently, until the marshmallows are melted, 5 to 7 minutes. Remove pot from heat.. Stir crispy rice cereal, brown sugar and butter-flavored breakfast cereal, and fruit flavored breakfast cereal into the marshmallow mixture to coat; pour into the prepared baking dish and press flat.. Cool treats completely before cutting into 3-inch squares.","calories: 210, fat: 8g, carbs: 32g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/QP3Rhz6d1e0CHxKJ9ANJi97OCqw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1343399-cb0d14efdcbd4a6098c18e075a25fa7e.jpg
Coconut Chocolate Rice Krispie Treats,https://www.allrecipes.com/coconut-chocolate-rice-krispie-treats-6795534,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'large marshmallows'}, {'quantity': '5', 'unit': 'cups', 'name': 'chocolate flavored crispy rice cereal'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sweetened flaked coconut'}",Grease a 9x13 inch pan. Melt butter in large sauce pan over medium-low heat. Add marshmallows and stir until melted and smooth. Remove from heat.. Quickly stir the marshmallow mixture into the cereal and coconut to coat. Press into the prepared pan with the back of a buttered spoon. Cool completely before cutting into squares.,"calories: 92, fat: 3g, carbs: 18g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/MvG4MsLcOVXgXvJ17SMKIZYT1Y0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/441954-ddaa858b9b244a3d87f8ec3fc6d2f137.jpg
