name,link,ingredients,steps,nutrition
Hamburger Stroganoff,https://www.allrecipes.com/recipe/262069/hamburger-stroganoff/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef chuck'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'beef broth'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'egg noodles'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'finely grated raw horseradish (Optional)'}","Cook and stir beef, mushrooms, onion, and garlic in a large nonstick skillet over medium-high heat until beef is browned and crumbly, 6 to 8 minutes. Add flour; cook and stir until combined, about 2 minutes. Stir in broth, condensed soup, Worcestershire sauce, pepper, and salt; bring to a boil. Reduce the heat and simmer, stirring occasionally, until flavors blend, about 15 minutes.. When you reduce the heat, bring a large pot of lightly salted water to a boil. Add noodles, return to a boil, and cook, uncovered and stirring occasionally, until tender yet firm to the bite, about 6 minutes. Drain and keep warm.. Mix sour cream and horseradish together in a bowl. Stir into beef mixture and cook until hot, about 5 minutes. Serve over noodles.","calories: 737, fat: 34g, carbs: 78g, protein: 32g, servings: 4"
Simple Hamburger Stroganoff,https://www.allrecipes.com/recipe/23260/simple-hamburger-stroganoff/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'egg noodles'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, cut into pieces'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'chopped mushrooms, with liquid'}, {'quantity': '1', 'unit': '(.75 ounce) packet', 'name': 'dry brown gravy mix'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}","Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain.. Meanwhile, cook ground beef in a large skillet over medium-high heat, stirring occasionally, until browned and crumbly, 5 to 7 minutes; drain and discard grease. Stir in cream cheese, mushrooms with liquid, and gravy mix; cook and stir over medium heat until cream cheese melts, 2 to 3 minutes. Add condensed soup, sour cream, and milk; cook, stirring occasionally, until smooth and creamy, 3 to 5 minutes.. Drain egg noodles; stir into the beef mixture. Cook until heated through, 2 to 3 minutes.","calories: 735, fat: 42g, carbs: 61g, protein: 29g, servings: 6"
Beef Stroganoff,https://www.allrecipes.com/recipe/25202/beef-stroganoff-iii/,"{'quantity': '2', 'unit': 'pounds', 'name': 'beef chuck roast'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': 'ounces', 'name': 'butter'}, {'quantity': '4', 'unit': '', 'name': 'green onions, sliced (white parts only)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed beef broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared mustard'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'sliced mushrooms, drained'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white wine'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}","Remove any fat and gristle from chuck roast; cut into strips ½-inch thick by 2-inches long. Season with ½ teaspoon salt and ½ teaspoon pepper.. Melt butter in a large skillet over medium heat. Add beef and brown quickly.. Push beef to one side of the skillet. Add onions; cook and stir for 3 to 5 minutes, then push to the side with beef.. Stir flour into juices on the empty side of the pan. Pour in beef broth and bring to a boil, stirring constantly. Lower the heat and stir in mustard. Cover and simmer for 1 hour or until the beef is tender.. Five minutes before serving, stir in mushrooms, sour cream, and white wine. Cook until heated through; season with salt and pepper.. Enjoy served over hot cooked noodles.","calories: 422, fat: 31g, carbs: 5g, protein: 30g, servings: 8"
Simple Beef Stroganoff,https://www.allrecipes.com/recipe/16311/simple-beef-stroganoff/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'egg noodles'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'fat-free condensed cream of mushroom soup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 679, fat: 41g, carbs: 48g, protein: 29g, servings: 4"
Beef Stroganoff for Instant Pot,https://www.allrecipes.com/recipe/258468/beef-stroganoff-for-instant-pot/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '2', 'unit': 'pounds', 'name': 'beef stew meat, cut into 1-inch cubes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '3', 'unit': 'cups', 'name': 'chopped mushrooms'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'wide egg noodles'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream, or to taste'}","Gather all ingredients.. Turn on a multi-functional pressure cooker (such as an Instant Pot) and select Sauté function. Heat oil for 1 minute.. Add onion and 1/2 teaspoon salt to pot; cook and stir until onion begins to soften, 3 to 4 minutes.. Sprinkle beef with 1 teaspoon salt and the pepper. Add to the pot. Cook and stir until beef is evenly browned, about 2 minutes.. Add garlic and thyme; cook until fragrant, about 30 seconds.. Pour in soy sauce. Stir mushrooms into the pot. Stir in flour until incorporated. Stir in chicken broth and remaining 1/2 teaspoon salt.. Close and lock the lid. Set to high pressure according to manufacturer's instructions for 10 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure carefully using the quick-release method.. Open pot; stir in egg noodles. Close and lock the lid. Set to high pressure according to manufacturer's instructions for 5 minutes.. Release pressure naturally for 5 minutes according to manufacturer's instruction. Release remaining pressure using the quick-release method. Open pressure cooker; stir in sour cream.. Serve and enjoy!","calories: 536, fat: 26g, carbs: 45g, protein: 29g, servings: 8"
Slow Cooker Beef Stroganoff,https://www.allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/,"{'quantity': '1', 'unit': 'pound', 'name': 'cubed beef stew meat'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed golden mushroom soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}","Combine beef, soup, onion, water, and Worcestershire sauce in a slow cooker.. Cook on Low for 8 hours or High for 5 hours. Stir in cream cheese just before serving.. Enjoy hot served over cooked noodles.","calories: 376, fat: 27g, carbs: 10g, protein: 22g, servings: 4"
Chicken Stroganoff-Stuffed Baked Potatoes,https://www.allrecipes.com/chicken-stroganoff-stuffed-baked-potatoes-recipe-7970457,"{'quantity': '4', 'unit': '(8 ounce)', 'name': 'baking potatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': None, 'name': 'sea salt, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': None, 'name': 'onion, diced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mushrooms, diced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ijon mustard'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh parsley (optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Scrub potatoes and dry with a clean towel. Oil potato skins with olive oil and sprinkle with sea salt.. Bake directly on a rack in the center of the preheated oven until tender when pierced with a fork, about 55 minutes.. In a large skillet over medium heat, melt butter. Add onions and cook for about 2 minutes, then add mushrooms, salt, and pepper, and cook until mushrooms are golden, 5 to 8 minutes. Stir often.. Stir in garlic, and cook until fragrant, about 30 seconds. Add wine, stir up any browned bits from the bottom of the skillet, and cook, stirring, 1 to 2 minutes.. Sprinkle flour over the skillet. Stir quickly, making sure all the flour is moistened, and allow to cook about 1 minute.. Combine broth and mustard. When flour is bubbling, pour in the mixture, stirring quickly, and making sure there are no lumps of flour. Bring to a boil, and cook 3 to 4 minutes.. Add chicken and stir. When mixture begins to bubble and chicken is warmed through, remove from heat and stir in sour cream.. Remove potatoes from the oven, and place a potato on each plate. Carefully split potatoes lengthwise with a knife, ladle stroganoff sauce over each potato, and garnish with fresh parsley, if desired.","calories: 628, fat: 29g, carbs: 62g, protein: 26g, servings: 4"
18 Recipes to Make with Stew Meat Besides Stew,https://www.allrecipes.com/gallery/what-to-make-with-stew-meat/,,,
Rich and Creamy Beef Stroganoff,https://www.allrecipes.com/recipe/219046/rich-and-creamy-beef-stroganoff/,"{'quantity': '2', 'unit': '(2 pound)', 'name': 'beef chuck roast, cut into 1/2-inch thick strips'}, {'quantity': '½', 'unit': 'cup', 'name': 'red wine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, divided'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced mushrooms'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'beef stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared yellow mustard'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sour cream'}","Place beef into a large bowl. Stir in red wine, salt, and black pepper. Marinate for 10 minutes, then remove beef and pat dry with a paper towel. Reserve remaining marinade.. Heat olive oil in a large skillet over medium heat. Stir in beef; cook and stir until browned, 5 to 7 minutes. Transfer beef to a plate, then drain any remaining grease from the skillet.. Melt 2 tablespoons butter in the skillet over medium heat. Stir in onion, garlic, and a pinch of salt. Cook and stir until onion is soft and translucent, 3 to 4 minutes. Transfer onion mixture to the plate with beef; set aside.. Melt 2 tablespoons butter in the skillet over medium heat. Add mushrooms; cook and stir until tender, about 10 minutes. Transfer mushrooms to a bowl; set aside.. Melt 1/4 cup butter in the skillet over medium heat. Whisk in flour; cook and stir until flour no longer tastes raw, about 4 minutes. Slowly whisk in beef stock. Bring to a boil, stirring constantly, then reduce heat to medium-low.. Pour in reserved marinade, Worcestershire sauce, red pepper flakes, and mustard, then add beef and onion mixture. Cover and simmer until meat is tender, about 1 hour. Season with salt and black pepper.. Stir in mushrooms, cream cheese, and sour cream about 5 minutes before serving.","calories: 567, fat: 45g, carbs: 8g, protein: 29g, servings: 8"
Chef John's Classic Beef Stroganoff,https://www.allrecipes.com/recipe/220059/chef-johns-classic-beef-stroganoff/,"{'quantity': '2', 'unit': 'pounds', 'name': 'beef chuck roast, cut into 1/2-inch thick strips'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'sliced mushrooms'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, sliced or diced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'creme fraiche'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh chopped chives'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Season beef generously with salt and pepper.. Heat oil in a large skillet over high heat until nearly smoking. Stir in beef; cook, stirring constantly, for 6 to 7 minutes, until liquid evaporates and meat browns.. Remove meat from the pan and set aside. Stir mushrooms, onions, and butter into the pan; cook and stir over medium heat until vegetables are lightly browned.. Add garlic and stir for 30 seconds. Stir in flour; cook for 1 to 2 minutes until incorporated. Stir in wine and 1 cup of broth, scraping the bottom of the pan to release any browned bits. Bring to a simmer and cook until the sauce thickens, about 3 to 4 minutes.. Return beef to the pan. Stir in remaining cup of broth; bring to a simmer and cook on low heat for about 1 hour, covered, until beef is tender and sauce is thick. Stir every 20 minutes.. Stir in crème fraîche. Stir in chives. Season with salt and pepper to taste.. Serve hot and enjoy!","calories: 307, fat: 25g, carbs: 4g, protein: 16g, servings: 8"
