name,link,ingredients,steps,nutrition,image_url
How To Make Biscotti,https://www.allrecipes.com/article/perfect-biscotti/,,,,https://www.allrecipes.com/thmb/w4IZHzYyK0tHR-vQlAY-XAxqO9g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6178964_CranberryPistachioBiscotti4x3-4f6499e318034afb82db2238a79836c5.jpg
Chef John's Gingerbread Biscotti,https://www.allrecipes.com/recipe/282544/chef-johns-gingerbread-biscotti/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'packed dark brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'molasses'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'finely chopped crystallized ginger'}, {'quantity': '3', 'unit': '(1 ounce) squares', 'name': 'white chocolate, melted'}","Whisk flour, baking powder, salt, ground ginger, cinnamon, nutmeg, and cayenne together in a bowl until thoroughly combined.. Combine butter, brown sugar, and molasses in a bowl; mix with a spatula until creamy. Whisk in eggs, one at a time, until smooth. Add vanilla and chopped ginger. Mix and mash with the whisk until ginger is evenly distributed and coated with the butter-sugar mixture, about 1 minute.. Mix in 1/2 of the dry ingredients with a spatula until incorporated. Mix in remaining dry ingredients until dough is very wet and sticky.. Transfer dough to a long piece of plastic wrap, using a buttered knife to help if necessary. Wrap plastic around the dough and shape with your hands into a uniform log, about 12 to 14 inches long by 2 1/2 inches wide. Place in the refrigerator to chill for at least 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with a silicone baking mat.. Remove dough from the refrigerator, unwrap, and place on the prepared baking sheet. Wet your fingers and smooth out any edges.. Bake in the center of the preheated oven until a toothpick inserted into the center comes out clean, about 30 minutes.. Remove loaf from the oven, cover with a clean towel, and let sit for 20 minutes. Reduce oven temperature to 325 degrees F (165 degrees C).. Uncover the loaf and brush a little water around the bottom edge to soften. Transfer to a cutting board.. Use a serrated knife to cut the loaf into 1/2-inch slices. Cut at an angle for longer biscotti, or straight across for shorter ones. Transfer slices back to the baking sheet.. Return to the oven and bake for 20 minutes. Flip biscotti and cook until they are dry and crispy all the way through, 10 to 15 minutes longer. Transfer to a cooling rack and let cool to room temperature.. Place melted white chocolate into a plastic bag. Snip off a corner and pipe over biscotti. Let sit until chocolate has cooled and hardened, about 30 minutes.","calories: 160, fat: 6g, carbs: 26g, protein: 3g, servings: 18",https://cdn.jwplayer.com/v2/media/YrW2WHxB/poster.jpg?width=720
Cantuccini,https://www.allrecipes.com/recipe/267859/cantuccini/,"{'quantity': '9', 'unit': 'ounces', 'name': 'all-purpose flour'}, {'quantity': '9', 'unit': 'ounces', 'name': 'superfine sugar'}, {'quantity': '2', 'unit': 'medium', 'name': 'eggs'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'ounces', 'name': 'roughly chopped hazelnuts'}, {'quantity': '1 ½', 'unit': 'ounces', 'name': 'roughly chopped almonds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'whole anise seeds'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.. Combine flour, sugar, eggs, egg yolk, baking powder, and vanilla extract in a food processor. Blend until the mixture forms a ball, scraping the sides of the bowl once or twice. Turn mixture onto a lightly floured surface and knead in hazelnuts, almonds, and anise seeds.. Beat egg yolk and water together in a bowl.. Divide dough into 3 pieces and roll into logs about 1 1/2 inches wide. Place onto the prepared baking sheet at least 2 inches apart. Brush with egg yolk-water mixture.. Bake in the preheated oven for 30 minutes.. Remove from oven and reduce heat to 300 degrees F (150 degrees C). Cut logs diagonally into 1-inch slices and lay cut-sides down on the baking sheet. Return cantuccini to the oven until dry and firm, 30 to 40 minutes more.. Cool on a wire rack and store in an airtight container.","calories: 115, fat: 3g, carbs: 19g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/KBodenLFgDJwIEpi9shhE8VySCo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7471607-a62057a07f784e2eb8e6ed73a88237dd.jpg
Maple Walnut Biscotti,https://www.allrecipes.com/recipe/234043/maple-walnut-biscotti/,"{'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'maple extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter, melted'}, {'quantity': '¾', 'unit': 'cup', 'name': ""confectioners' sugar""}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.. Sift flour, baking powder, and salt together in a bowl.. Beat 1/2 cup butter and white sugar with an electric mixer in a large bowl until smooth. Beat in 1 egg until completely blended, then beat in remaining 1 egg, 1/2 cup maple syrup, and maple extract. Stir in flour mixture just until dough forms; fold in walnuts just until combined.. Divide dough in half. Shape each portion into a log the length of a baking sheet; place on the prepared baking sheet. Flatten each log into a rectangle 3-inches wide and 1-inch tall.. Bake in the preheated oven until lightly browned on the bottom and slightly cracked on top, about 30 minutes. Remove from oven; cool for 15 minutes, but leave oven on.. Slice logs diagonally into 1/2-inch-thick slices; lay slices on their sides on the baking sheet.. Bake biscotti in the preheated oven until lightly browned and crisp on the outside, about 8 minutes. Remove from oven; cool for a few minutes.. Combine 1/4 cup maple syrup and 1 tablespoon melted butter in a bowl. Gradually stir in confectioners' sugar until smooth. Drizzle maple glaze lightly with a spoon over warm biscotti.","calories: 239, fat: 10g, carbs: 35g, protein: 4g, servings: 20",https://www.allrecipes.com/thmb/u1uFXbMBznZ2a3OOarUn9SSt2lU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1058604-38faaa665d3a47ac8df00824773b037a.jpg
Chef John's Almond Biscotti,https://www.allrecipes.com/recipe/260575/chef-johns-almond-biscotti/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole roasted almonds'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped roasted almonds'}","Whisk flour, baking powder, and salt together in a mixing bowl.. Place butter, 1 cup plus 1 tablespoon sugar, and olive oil in a separate mixing bowl. Mix together thoroughly until mixture has a creamy texture. Add 1 egg; mix into butter/sugar mixture. Whisk in 2nd egg, vanilla extract, and almond extract; whisk until smooth. Add flour mixture. Mix until flour is incorporated. Add whole almonds and chopped almonds; mix in evenly. Cover bowl with plastic wrap; refrigerate 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line a rimmed baking sheet with a silicone mat.. Divide dough in half. Place each half on a length of plastic wrap and shape into a log. Wrap with the plastic wrap and press into a shape about 3 or 4 inches wide and about 1/2 inch high. Transfer both pieces to prepared baking sheet leaving about 3 or 4 inches of space between them to allow for spreading.. Bake in center of preheated oven until turning golden and a toothpick inserted into the center comes out clean, about 30 minutes. Let cool 15 minutes before slicing.. Reduce oven temperature to 325 degrees F (165 degrees C).. Cut each piece at a slight angle into 1/2- to 1 -inch thick slices with a serrated knife. Transfer pieces back to baking sheet in a single layer. Bake 12 minutes; remove from oven and flip pieces over. Return pan to oven and bake until biscotti are golden brown and crunchy, about 20 minutes.. Transfer biscotti to a cooling rack; let cool to room temperature.","calories: 200, fat: 8g, carbs: 29g, protein: 4g, servings: 15",https://cdn.jwplayer.com/v2/media/yAV7nkwo/poster.jpg?width=720
Cranberry Pistachio Biscotti,https://www.allrecipes.com/recipe/10638/cranberry-pistachio-biscotti/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'light olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'pistachio nuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried cranberries'}","Preheat the oven to 300 degrees F (150 degrees C). Line a cookie sheet with parchment paper.. Mix sugar and oil together in a large bowl until well blended. Mix in vanilla and almond extracts, then beat in eggs. Combine flour, baking powder, and salt in a separate bowl; gradually stir into egg mixture until combined. Fold in pistachios and cranberries by hand.. Divide dough in half. Form each piece into a 12x2-inch log on the prepared cookie sheet. Dough may be sticky; wet hands with cool water to handle dough more easily.. Bake in the preheated oven until logs are light brown, about 35 minutes. Remove from the oven and set aside to cool for 10 minutes.. Reduce oven temperature to 275 degrees F (135 degrees C).. Cut logs on the diagonal into 3/4-inch-thick slices. Lay cookies cut-side down on the cookie sheet.. Bake cookies until dry, 8 to 10 minutes.","calories: 92, fat: 4g, carbs: 12g, protein: 2g, servings: 36",https://cdn.jwplayer.com/v2/media/dDMqAMN6/poster.jpg?width=720
Cranberry-Orange Biscotti,https://www.allrecipes.com/recipe/231047/cranberry-orange-biscotti/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange zest (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'sweetened dried cranberries (such as Craisins®), or more to taste'}","Preheat oven to 325 degrees F (165 degrees C). Line a baking sheet with parchment paper.. Beat butter and sugar together in a bowl until mixture is creamy. Beat in eggs, orange zest, orange extract, and almond extract.. Whisk flour, baking powder, baking soda, and salt in a separate bowl; mix dry ingredients into moist ingredients to make a stiff dough. Mix sweetened cranberries into dough. Form dough into a ball, cut into halves, and shape each half into a log. Place logs onto prepared baking sheet.. Bake in the preheated oven until the edges are lightly browned, 20 to 25 minutes. Let logs cool completely on wire racks.. Cut logs into slices on a slight diagonal and lay the slices on the parchment-lined baking sheet. Bake biscotti until crisp and lightly golden brown, about 7 minutes.","calories: 294, fat: 9g, carbs: 50g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/TeaKwNhDnusF-_1nDyGOePwkyy0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1004230-38a9ecb23b9d4c8ca92a058b5210bb8a.jpg
Double Chocolate Biscotti,https://www.allrecipes.com/recipe/10432/double-chocolate-biscotti/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': '(1 ounce) squares', 'name': 'white chocolate, chopped'}, {'quantity': '¾', 'unit': 'cup', 'name': 'semisweet chocolate chips'}","Beat sugar and butter together in a large bowl with an electric mixer until light and fluffy. Gradually beat in cocoa and baking powder. Beat for 2 minutes. Beat in the eggs one at a time. Stir in flour by hand. Mix in white chocolate and chocolate chips. Cover dough, and chill for about 10 minutes.. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a cookie sheet. Divide dough into two parts, and roll each part into a 9-inch long log. Place logs on prepared cookie sheet, about 4 inches apart. Flatten slightly.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 20 to 25 minutes. Cool on cookie sheet for 5 minutes, then carefully transfer to a wire rack to cool for 1 hour.. Preheat the oven to 325 degrees F ( 165 degrees C). Cut each loaf into 1/2-inch wide diagonal slices. Place slices on an ungreased cookie sheet.. Bake in the preheated oven for 9 minutes. Turn cookies over, and bake for 7 to 9 minutes. Cool completely, then store in an airtight container.","calories: 99, fat: 5g, carbs: 13g, protein: 2g, servings: 36",https://www.allrecipes.com/thmb/u8lnSAh52d6CA9hlY77SVxZhsRQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/582756-ddf5f21424ab4080b6668d60978ffe37.jpg
Italian Biscotti,https://www.allrecipes.com/recipe/11593/italian-biscotti/,"{'quantity': '12', 'unit': 'ounces', 'name': 'butter'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'anise extract'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '6', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '8', 'unit': 'ounces', 'name': 'chopped almonds'}","Preheat oven to 350 degrees F ( 165 degrees C ).. In a large bowl, cream the butter and sugar together. Add eggs one at a time; beat until fluffy. Stir in the anise and vanilla extracts. Sift together the flour, baking powder, and salt; Add them to the egg mixture along with the chopped almonds. Stir with a spoon and as the dough comes together, Knead by hand.. Divide the dough into 4 parts. Roll each piece into a log about 15 inches long. Place logs onto cookie sheets, 2 to a sheet, the long way. Flatten the logs out until they are about 3 inches wide with a slight hump going down the middle. Bake for 25 to 30 minutes in the preheated oven, loaves should be firm. Cut the loaves into diagonal slices 1/2 inch wide, place the slices onto the cookie sheets and return to the oven. Toast on one side, then turn them over to do the other side. This will take about 7 to 10 minutes.","calories: 275, fat: 14g, carbs: 32g, protein: 6g, servings: 30",https://www.allrecipes.com/thmb/_lMnxzDSMdeFX4JfZzrHTF2R298=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/394274-3df82b3e92be4d409be88aa7c5ddefa9.jpg
Gingerbread Biscotti,https://www.allrecipes.com/recipe/43941/gingerbread-biscotti/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole wheat flour'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C). Grease a cookie sheet.. Combine sugar, eggs, oil, and molasses in a large bowl. Combine all-purpose flour, whole wheat flour, ground ginger, baking powder, ground cinnamon, ground cloves, and ground nutmeg in a separate bowl; stir into sugar mixture until a stiff dough forms.. Divide dough in half; shape each into a roll the length of the cookie sheet. Place rolls on the prepared cookie sheet; pat down to flatten dough until 1/2-inch thick.. Bake in the preheated oven for 25 minutes. Remove from oven; set aside to cool.. When cool enough to touch, cut into 1/2-inch thick diagonal slices.. Place sliced biscotti on cookie sheet; bake until toasted and crispy, 5 to 7 minutes on each side.","calories: 70, fat: 2g, carbs: 12g, protein: 1g, servings: 48",https://www.allrecipes.com/thmb/7y65HnDLBZCAinTBCpMtPZ4Ush4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-43941-gingerbread-biscotti-VAT-4x3-2-50277a652d4046b286ced692c5d1b152.jpg
