name,link,ingredients,steps,nutrition,image_url
Country Ham and Biscuits,https://www.allrecipes.com/country-ham-and-biscuits-recipe-8707673,"{'quantity': '1/4', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '3', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'whole buttermilk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'bacon grease'}, {'quantity': '3', 'unit': 'slices', 'name': 'country ham'}, {'quantity': None, 'unit': None, 'name': 'softened butter, for serving'}",,"calories: 656, fat: 40g, carbs: 57g, protein: 16g, servings: 6",https://www.allrecipes.com/thmb/njXWmGjeZAFazgy_TXGhy8CvNpE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8707673-country-ham-biscuits-4x3-815b7fdd4894447d89228a8ca07a05ea.jpg
Cream Cheese Biscuits,https://www.allrecipes.com/cream-cheese-biscuits-recipe-8687110,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour, plus more for work surface'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'ounces cold', 'name': 'cream cheese'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'whole buttermilk'}","Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.. Whisk together flour, sugar, baking powder, salt, and baking soda in a large bowl until combined. Add butter and cream cheese and mix in with a pastry cutter or two forks until mixture is crumbly and resembles a coarse meal.. Pour in the 1 1/2 cups buttermilk and gently stir until mixture resembles a shaggy, slightly sticky dough.. Turn dough onto a lightly floured work surface and knead a few times to combine. Lightly coat hands and rolling pin with flour; gently pat and roll dough to 3/4-inch-thickness, adding more flour as needed to keep dough from sticking.. Use a 3-inch biscuit cutter, dipping biscuit cutter in flour between cuts, to cut into 12 biscuits, rerolling dough scraps once. Place biscuits onto prepared baking sheet about 3/4-inch apart. Brush tops of biscuits with remaining 1 tablespoon buttermilk.. Bake in the preheated oven until golden brown, 15 to 17 minutes. Serve warm.","calories: 263, fat: 11g, carbs: 35g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/ckrbyLTySK7G8t_M0du7aKUYcCs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8687110-cream-cheese-biscuits-ddmfs-3437-4x3-1ebe66acb05f442fa8d6564813a19d60.jpg
Rotel Biscuit Bombs,https://www.allrecipes.com/rotel-biscuit-bombs-recipe-8559227,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped white onion'}, {'quantity': '1/2', 'unit': 'lb', 'name': 'ground sirloin'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'low sodium taco seasoning, plus more for garnish'}, {'quantity': '1/2', 'unit': '(10-ounce)', 'name': 'diced tomatoes with green chiles'}, {'quantity': '4', 'unit': 'ounces', 'name': 'merican cheese'}, {'quantity': '2', 'unit': 'ounce) cans', 'name': 'refrigerated biscuits, cold'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': None, 'unit': None, 'name': 'taco sauce for dipping (optional)'}",,"calories: 230, fat: 9g, carbs: 29g, protein: 9g, servings: 16",https://cdn.jwplayer.com/v2/media/943Yad6V/thumbnails/Z5za9MPK.jpg
Iced Dried Cherry Biscuits,https://www.allrecipes.com/iced-dried-cherry-biscuits-recipe-8364196,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'flour, plus more for rolling'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'dried cherries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'orange zest, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': None, 'unit': 'stick (8 tablespoons)', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Greek-style yogurt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'orange juice, or more as needed'}, {'quantity': '1', 'unit': 'cup sifted', 'name': 'powdered sugar'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'whole milk'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'sea salt'}","Preheat the oven to 425 degrees F (218 degrees C). Line a large baking sheet with parchment paper.. Whisk together flour, dried cherries, sugar, baking powder, orange zest, baking soda, and fine sea salt in a large bowl.. Coat whole stick of butter in the flour mixture. Grate butter on the large holes of a box grater into bowl. If butter starts to melt, coat butter in flour mixture again and continue grating. Use your fingers to toss butter in flour mixture until all butter pieces are separated and coated in flour. Mixture should resemble coarse crumbs.. Whisk together yogurt and orange juice in a small bowl; add to flour mixture. Gently fold to bring dough together. Dough should be moistened but still crumbly. If dough is too dry, add more cold orange juice, 1 tablespoon at a time, until fully moistened.. Turn dough out onto a lightly floured work surface. Lightly knead three or four times until dough comes together. Sprinkle with flour; pat to 3/4 inch thickness. Cut dough into four equal portions. Stack portions, press down, and pat again to form a 3/4-inch-thick rectangle. Repeat process three times, adding flour as needed.. Press a 2 1/2- to 3-inch biscuit cutter straight down into dough to cut out biscuits. Gently knead scraps together, pat to 3/4-inch thickness, and repeat cutting. Arrange on prepared baking sheet (biscuits should be barely touching).. Bake until tops are crisp and golden brown, 15 to 16 minutes. Let cool on the baking sheet for 5 minutes.. Stir together powdered sugar, milk, and 1/8 teaspoon sea salt in a bowl until icing is well combined. Drizzle biscuits with icing; garnish with more orange zest.. Store in an airtight container up to 3 days; chill up to 1 week. To reheat, bake about 10 minutes at 375 degrees F (190 degrees C).","calories: 213, fat: 8g, carbs: 34g, protein: 3g, servings: 14",https://www.allrecipes.com/thmb/6CaRb5sx1iH09BCbXrprQaHos1Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8364196-iced-dried-cherry-biscuits-4x3-ecabc210edee4fa295707f93399a4171.jpg
Herby Ricotta Biscuits,https://www.allrecipes.com/herby-ricotta-biscuits-recipe-8347357,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1 stick (8', 'unit': 'tablespoons) very cold', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'full-fat ricotta cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/4', 'unit': 'up', 'name': 'fresh herbs'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Preheat oven to 425 degrees F (220 degrees C). Line a large baking sheet with parchment paper. Whisk together flour, baking powder, baking soda, and fine sea salt in a large bowl.. Coat whole stick of butter in flour mixture. Grate butter on the large holes of a box grater into bowl. (If butter starts to melt, coat butter in flour mixture again and continue grating.) Use your fingers to toss butter in flour mixture until all butter pieces are separated and coated in flour. Mixture should resemble coarse crumbs.. Whisk together ricotta  and water in a small bowl; add to flour mixture. Gently fold to bring dough together. Dough should be moistened but still crumbly. If dough is too dry, add more cold water, 1 tablespoon at a time, until fully moistened.. Turn dough out onto a lightly floured work surface. Lightly knead three or four times until dough comes together. Sprinkle with flour; pat to 3/4-inch thickness. Cut dough into four equal portions. Stack portions, press down, and pat again to form a 3/4-inch-thick rectangle. Repeat process three times, adding flour as needed.. Press a 2 1/2- to 3-inch biscuit cutter straight down into dough to cut out biscuits. Gently knead scraps together, pat to 3/4-inch thickness, and repeat cutting. Arrange on prepared baking sheet (biscuits should be barely touching).. Bake in the preheated oven until tops are crisp and golden brown, 15 to 16 minutes. Let cool on baking sheet 5 minutes.. Stir together fresh herbs and lemon zest in a small bowl. Brush tops of baked biscuits with melted butter; sprinkle with herb mixture and Parmesan cheese. (Store in an airtight container up to 3 days; chill up to 1 week. To reheat, bake about 10 minutes at 375 degrees F (190 degrees C).","calories: 173, fat: 10g, carbs: 16g, protein: 4g, servings: 14",https://www.allrecipes.com/thmb/N-cnxmE2yT2SOaLIqyXNFIFIMcQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347357-Herby-Ricotta-Biscuits-AR1424-4x3-82d4d9db5c1249c8ae4c62f0da64dfc1.jpg
Sweet Potato Sage Biscuits,https://www.allrecipes.com/sweet-potato-sage-biscuits-recipe-8347363,"{'quantity': '1 (8', 'unit': 'ounce)', 'name': 'sweet potato'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh sage'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1 stick (8', 'unit': 'tablespoons) very cold', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yogurt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sea salt'}","Preheat oven to 400 degrees F (200 degrees C). Line a large baking sheet with parchment paper.. Pierce sweet potato several times with a fork, place on a microwave-safe plate, and microwave on High until tender when pierced with a fork, about 5 minutes. When cool enough to handle, scoop out flesh and mash. Measure 1 cup mashed sweet potato; reserve remaining potato for another use.. Whisk together flour, sage,  baking powder, baking soda, and fine sea salt in a large bowl.. Coat whole stick of butter in flour mixture. Grate butter on the large holes of a box grater into bowl. (If butter starts to melt, coat butter in flour mixture again and continue grating.) Use your fingers to toss butter in flour mixture until all butter pieces are separated and coated in flour. (Mixture should resemble coarse crumbs.). Whisk together yogurt, milk, and honey in a bowl, and stir in 1 cup cooled mashed sweet potato; add to flour mixture. Gently fold to bring dough together. Dough should be moistened but still crumbly. If dough is too dry, add more cold water, 1 tablespoon at a time, until fully moistened.. Turn dough out onto a lightly floured work surface. Lightly knead three or four times until dough comes together. Sprinkle with flour; pat to 3/4-inch thickness. Cut dough into four equal portions. Stack portions, press down, and pat again to form a 3/4-inch-thick rectangle. Repeat process three times, adding flour as needed.. Press a 2 1/2- to 3-inch biscuit cutter straight down into dough to cut out biscuits. Gently knead scraps together, pat to 3/4-inch thickness, and repeat cutting. Arrange on prepared baking sheet (biscuits should be barely touching).. Bake in the preheated oven until tops are crisp and golden brown, 16 to 18 minutes. Let cool on baking sheet 5 minutes. Brush tops of baked biscuits with melted butter and sprinkle with flaky salt. (Store in an airtight container up to 3 days; chill up to 1 week. To reheat, bake about 10 minutes at 375 degrees F (190 degrees C).",,https://www.allrecipes.com/thmb/Z-9rFWbLY87IRIJajOwrgAwEdyw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347363-Sweet-Potato-Biscuit-AR1420-4x3-92eeacb9596143f2a733d2ca125f6791.jpg
Classic Biscuits,https://www.allrecipes.com/classic-biscuits-recipe-8347321,"{'quantity': '2 1/4', 'unit': 'cups', 'name': 'flour, plus more for rolling'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '8', 'unit': 'tablespoons)', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'yogurt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sea salt'}","Preheat oven to 425 degrees F (220 degrees C). Line a large baking sheet with parchment paper. Whisk together flour, baking powder, baking soda, and fine sea salt in a large bowl.. Coat whole stick of butter in flour mixture. Grate butter on the large holes of a box grater into bowl. (If butter starts to melt, coat butter in flour mixture again and continue grating.) Use your fingers to toss butter in flour mixture until all butter pieces are separated and coated in flour. (Mixture should resemble coarse crumbs.). Whisk together yogurt and water in a small bowl; add to flour mixture. Gently fold to bring dough together. Dough should be moistened but still crumbly. If dough is too dry, add more cold water, 1 tablespoon at a time, until fully moistened.. Turn dough out onto a lightly floured work surface. Lightly knead three or four times until dough comes together. Sprinkle with flour; pat to 3/4-inch thickness. Cut dough into four equal portions. Stack portions, press down, and pat again to form a 3/4-inch-thick rectangle. Repeat process three times, adding flour as needed.. Press a 2 1/2- to 3-inch biscuit cutter straight down into dough to cut out biscuits. Gently knead scraps together, pat to 3/4-inch thickness, and repeat cutting. Arrange on prepared baking sheet (biscuits should be barely touching).. Bake in the preheated oven  until tops are crisp and golden brown, 15 to 16 minutes. Let cool on baking sheet 5 minutes. Brush tops with melted butter and sprinkle with flaky salt. (Store in an airtight container up to 3 days; chill up to 1 week. To reheat, bake about 10 minutes at 375 degrees F (190 degrees C).)","calories: 158, fat: 9g, carbs: 16g, protein: 3g, servings: 14",https://www.allrecipes.com/thmb/_GG4ePvyPu76AMofA9ot3Bz8p5Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8347321-classic-biscuits-AR142-4x3-03e8ae8b16eb4d0b848d77dd74319177.jpg
Strawberry Biscuits,https://www.allrecipes.com/strawberry-biscuits-recipe-7564428,"{'quantity': '1 2/3', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'butter, frozen'}, {'quantity': '1', 'unit': 'cup', 'name': 'strawberries'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': ""confectioner's sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}","Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.. Combine flour, the 1/4 cup sugar, baking powder, and salt in a large bowl. Grate frozen butter into dry ingredients. Gently mix. Add strawberries and mix until strawberries are coated with the flour mixture.. Combine buttermilk and vanilla. Pour into strawberry mixture and stir until barely combined. Do not overmix or biscuits will be tough.. Use an ice cream scoop to scoop biscuits onto the prepared baking sheet. Brush top of biscuits with heavy cream and sprinkle with the 2 tablespoons sugar.. Bake in the preheated oven until bottoms are browned, 15 to 17 minutes. Let sit for 5 minutes. Remove biscuits and cool completely on a wire rack.. Whisk powdered sugar and milk together in a cup. Drizzle over biscuits.","calories: 336, fat: 18g, carbs: 40g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/tNuGINxIv_UsXxQpQSkYMjS9-Ms=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7564428_Strawberry-Biscuits_Yoly_4x3-29996bdfc6f44b83956d2921f094aeff.jpg
Parmesan Chive Biscuits,https://www.allrecipes.com/parmesan-chive-biscuits-recipe-7505885,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chives'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4 cup plus 1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted,'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. In a bowl, whisk together flour, Parmesan, chives, baking powder, salt, baking soda, and pepper.. Stir in sour cream until the mixture resembles coarse grains. Add milk and fold until it just comes together. Scoop the batter by the 1/4 cup using a cookie scoop or an ice cream scoop onto the prepared baking sheet, 1 inch apart.. Bake in the preheated oven for 15 minutes. Remove and brush with melted butter. Bake until golden brown, 5 to 7 minutes more.","calories: 170, fat: 9g, carbs: 18g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/Ov7rkLlzM804JjNRc0FHTxok3-I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7505885_Parmesan-Chive-Biscuits-Orsi_4x3-bc7b1d1b3eac47b8ba7f5c3f021f4071.jpg
Strawberry Rhubarb Drop Biscuits,https://www.allrecipes.com/strawberry-rhubarb-drop-biscuits-recipe-7495124,"{'quantity': '1 1/4', 'unit': 'cups', 'name': 'rhubarb'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'strawberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'stick', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fruit syrup'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg (optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'water (optional)'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}",,"calories: 233, fat: 10g, carbs: 34g, protein: 4g, servings: 10",https://cdn.jwplayer.com/v2/media/yrF9yWax/poster.jpg?width=720
