name,link,ingredients,steps,nutrition,image_url
Blintz Souffle II,https://www.allrecipes.com/recipe/212822/blintz-souffle-ii/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': '(13 ounce) packages', 'name': 'frozen cheese-filled blintzes'}, {'quantity': '4', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange juice'}","Preheat oven to 350 degrees F (175 degrees C).. Melt the butter in a 2-quart casserole, and place the frozen blintzes on top of the butter in a single layer. Mix the eggs, sour cream, sugar, salt, vanilla extract, and orange juice in a bowl until thoroughly combined, and pour the mixture over the blintzes.. Bake in the preheated oven until the top is lightly browned, and a toothpick inserted into the center of the casserole comes out clean, about 45 minutes.","calories: 410, fat: 19g, carbs: 53g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/Be9Wcs5L4ihezWkVr_EKSNHkB4Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4023492-blintz-souffle-ii-Kari-4x3-1-025b835492bc40a583057b32b87f4d16.jpg
Cottage Cheese Blintzes,https://www.allrecipes.com/recipe/212387/cottage-cheese-blintzes/,"{'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil, or as needed'}, {'quantity': '2', 'unit': '(16 ounce) containers', 'name': 'small curd cottage cheese, very well drained'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil, or as needed'}","Whisk together the eggs, milk, and 2 tablespoons of vegetable oil in a bowl; gradually add in the flour, whisking to remove all lumps.. Brush a small skillet with 1 teaspoon vegetable oil, and heat over medium-high heat. Pour about 2 tablespoons of batter per crepe into the heated skillet, and tilt the pan to completely cover the surface with batter. Crepes should be about 5 inches in diameter. Cook the crepes until golden on the bottom, and set but not wet on top, 1 to 2 minutes per crepe. Don't flip the crepes. Set the cooked crepes aside.. Mix the cottage cheese, egg yolks, sugar, and lemon juice in a bowl until very well combined. To fill, place a crepe in front of you on a work surface with the cooked side up, and place about 1/4 cup of cheese filling in the center of the crepe. Fold the right and left edges of the crepe over the filling, and roll the crepe over to seal the filling in, making a compact little roll filled with cheese. Set the blintzes aside.. Heat 1 teaspoon of vegetable oil in a large skillet over medium-low heat, and place the filled blintzes into the hot skillet. Pan-fry the blintzes until golden brown on each side, about 2 minutes per side. Eat hot or cold.","calories: 149, fat: 7g, carbs: 11g, protein: 10g, servings: 15",https://www.allrecipes.com/thmb/DotyoLYDgpuN2Hgtmg-zPtz6gEA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1005390-fb82c2a949db4d739f5b09c5ac3a9e4d.jpg
Cheese Blintzes,https://www.allrecipes.com/recipe/14966/cheese-blintzes/,"{'quantity': '1', 'unit': '(1 pound) loaf', 'name': 'white bread'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'pint', 'name': 'sour cream'}","Preheat oven to 350 degrees F (175 degrees C). Spray a cookie sheet generously with non-stick cooking spray.. Trim crusts from bread and roll the slices flat.. In a small bowl combine sugar and cinnamon to make a mixture.. In a large mixing bowl, mix softened cream cheese, milk and vanilla until smooth. Spread this mixture onto each slice of flattened bread. Roll each bread slice up. Dip bread/cream cheese rolls in melted butter, roll the blintzes immediately in the sugar-cinnamon mixture. Cut rolls into 1 inch pieces. Arrange the blintzes on the prepared cookie sheet.. Bake for 10 minutes. Serve with sour cream.","calories: 534, fat: 40g, carbs: 35g, protein: 10g, servings: 9",https://www.allrecipes.com/thmb/kzFr48A5JHAz7o8UfLOMkavHOZ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8498818-b85de0e147b445e0848b61138fb9e122.jpg
Traditional Cheese Blintzes,https://www.allrecipes.com/recipe/260547/traditional-cheese-blintzes/,"{'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour, sifted'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry small curd cottage cheese'}, {'quantity': '3 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, or as needed, divided'}","Beat eggs in a bowl. Add milk, oil, and 1/2 teaspoon salt. Beat in flour using an electric mixer until well blended. Let batter stand for 15 to 30 minutes.. Mix the remaining 1 teaspoon salt, cottage cheese, sugar, sour cream, egg yolk, and cinnamon together in a bowl to make the filling.. Melt butter in a 6- to 7-inch skillet. Spoon a portion of the batter onto the skillet; cook until lightly browned on the bottom, about 3 minutes. Turn out onto a tea towel. Repeat with the remaining batter, thinning with small amounts of water if necessary and greasing the pan after every 2 to 3 blintzes.. Preheat oven to 400 degrees F (200 degrees C). Grease a baking sheet.. Melt the remaining butter in the skillet over low heat, about 1 minute.. Place a blintz on a clean work surface with the uncooked side up. Add 1 tablespoon filling and roll up, completely covering the filling. Place on the prepared baking sheet. Repeat with the remaining blintzes. Brush filled blintzes with melted butter.. Bake in the preheated oven until brown, 15 to 20 minutes.","calories: 253, fat: 14g, carbs: 17g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/hwTmAV8qS3R9g2wZ-92a1gK1Z-c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4564399-b911d5509bf845159e1567688f348fe5.jpg
Strawberry Blintzes,https://www.allrecipes.com/recipe/246832/strawberry-blintzes/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'cottage cheese'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, or as needed'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen sweetened strawberries, thawed, or to taste'}","Beat flour, eggs, and salt together in a large bowl until smooth. Gradually stir in milk and 1 1/2 tablespoons melted butter. Cover with plastic wrap; rest in the refrigerator at least 2 hours.. Combine cottage cheese, cream cheese, sugar, and vanilla extract in a blender; blend until filling is smooth.. Melt a bit of butter in a large skillet or crêpe pan over medium heat. Ladle a small amount of batter into the skillet and immediately swirl the skillet to spread batter out in a thin layer. Cook until set, about 30 seconds. Flip and cook until second side is cooked, about 10 seconds more. Transfer to a plate to cool. Repeat with remaining butter and batter.. Spoon filling onto blintzes and fold. Top with strawberries.","calories: 201, fat: 10g, carbs: 20g, protein: 8g, servings: 10",https://www.allrecipes.com/thmb/s1zWaA2OrrhCMW1rQ9jjfobjTCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4561866-5edfd49d342f4b97bbee5b270796b18a.jpg
Marylyn's Cheese Blintzes,https://www.allrecipes.com/recipe/212819/marylyns-cheese-blintzes/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'cottage cheese'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'farmers cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}","Place the water, milk, eggs, melted butter, 1/2 teaspoon of salt, 1 teaspoon of vanilla extract, and flour in the container of a blender, and blend until the mixture forms a smooth batter, about 1 minute. Pour into a bowl, and refrigerate at least 1 hour.. Clean the blender container, then add the cottage cheese, farmers cheese, sour cream, sugar, 1 teaspoon of vanilla extract, and 1 pinch of salt. Pulse the filling mixture a few times to combine, then blend until the filling is smooth, about 2 minutes.. Melt 1 teaspoon of butter in an 8-inch skillet over medium heat until the foam disappears from the skillet. Pour about 2 tablespoons of batter into the heated skillet, and swirl the pan to coat the bottom completely. Cook until the crepe is opaque and set, 1 to 2 minutes, and set aside, uncooked side down, on a plate lined with wax paper. Repeat with the rest of the batter, buttering the pan every few crepes if needed.. To fill, place a crepe in front of you on a work surface with the cooked side up, and place about 1 1/2 tablespoons of cheese filling about 1 1/2 inches from the top of the crepe. Fold the top edge of the crepe over the filling, and fold the two sides inward to completely enclose the cheese. Roll the crepe over to seal the filling in, making a compact filled roll.. Melt 1 teaspoon of butter, or as needed, in a skillet over medium-low heat. Pan fry the blintzes on both sides until the filling is hot and brown spots appear on the crepe, 1 to 2 minutes per side.","calories: 321, fat: 20g, carbs: 20g, protein: 15g, servings: 10",https://www.allrecipes.com/thmb/TqHAU5TIrQSRrp6ulCP25A_4vBA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6979316-96e54923a7604e978350574a98c2f155.jpg
Orange Blintzes,https://www.allrecipes.com/recipe/199579/orange-blintzes/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vanilla yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'small curd cottage cheese'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'dry bread crumbs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated orange zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}","Mix 2 tablespoons of sugar, 1 teaspoon of orange zest, salt, and flour in a small bowl. Combine milk and yogurt in a separate bowl. Stir in olive oil and mix until smooth. Beat 4 eggs in a large bowl, then add orange juice. Stir in the yogurt mixture followed by the flour mixture. Beat until smooth. Allow batter to rest at room temperature for 1 hour.. Beat 1 egg with 3 tablespoons of sugar, then add butter and cottage cheese, mixing until smooth. Stir in the bread crumbs and 1 tablespoon of orange zest. Refrigerate until the batter is ready.. Lightly butter a 6 inch skillet, and heat over medium heat. For each crepe, pour 1/4 cup of the batter into the skillet, and immediately rotate the skillet until the batter evenly coats the bottom in a thin layer. Cook until the top of the crepe is no longer wet and the bottom has turned light brown. Run a spatula around the edge of the skillet to loosen; flip the crepe, and cook until the other side has turned light brown. Stack the crepes in a clean kitchen towel, placing waxed paper between each.. Place 2 to 3 tablespoons of the filling onto the golden side of the crepe. Roll the crepe up and repeat until all the blintzes are made. Heat 2 tablespoons of butter in a large skillet and fry 4 to 5 blintzes at a time until golden brown, about 2 minutes on each side.","calories: 611, fat: 31g, carbs: 56g, protein: 28g, servings: 4",https://www.allrecipes.com/thmb/eaaiAHSp9WNxFYZmWynOm18tQTY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1444887-13e8a4b782234a73a0044bfa7c43d385.jpg
Cheese and Lemon Blintzes,https://www.allrecipes.com/recipe/260548/cheese-and-lemon-blintzes/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar, or to taste'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, or as needed'}","Mix flour, eggs, and salt together in a bowl until smooth and creamy.. Lightly coat a small skillet with cooking spray. Pour 2 to 3 tablespoons of batter into the skillet. Swirl around until even and then place skillet over medium heat. Cook until sides begin to curl away, about 2 minutes. Turn and cook other side until lightly browned, about 1 minute more. Put onto a plate.. Mix cream cheese, raisins, sugar, egg yolks, lemon peel, vanilla extract, and cinnamon together in a bowl to make the filling. Place 2 to 3 teaspoons of filling on each blintz and roll up like a small burrito.. Melt 1 tablespoon butter in a skillet over medium heat. Cook the filled blintzes, turning carefully, until lightly browned, about 30 seconds each.","calories: 237, fat: 16g, carbs: 18g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/n9NUBc0e1pywB8rZKZWdNk5y7sg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6814227-c5212658d6424b5f9db2d07817cdebfc.jpg
Baby Blintz Stacks,https://www.allrecipes.com/recipe/212779/baby-blintz-stacks/,"{'quantity': '1', 'unit': '(24 ounce) carton', 'name': 'cottage cheese'}, {'quantity': '2', 'unit': '', 'name': 'fresh peaches - peeled, pitted and chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '', 'name': 'fresh peaches, pitted and sliced'}","Stir together the cottage cheese, chopped peaches, 3 tablespoons white sugar, 1/4 teaspoon salt, and the almond extract in a bowl until evenly combined. Stir together the sour cream and brown sugar in a separate bowl. Refrigerate both fillings until ready to use.. Whisk together the flour, 1 tablespoon of white sugar, the baking powder, 1/2 teaspoon salt, and the nutmeg in a bowl. Beat the eggs, milk, butter, and vanilla extract in a separate bowl until smooth. Stir in the flour mixture until no lumps remain.. Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle to form silver dollar-sized blintzes. Cook until bubbles form and the edges are dry, about 2 minutes. Flip, and cook until browned on the other side. Repeat with remaining batter.. To assemble, spread 1 tablespoon of peach filling on top of each blintz. Stack together 5 blintzes to make a serving portion, and spoon the sweetened sour cream overtop. Garnish with peach slices.","calories: 264, fat: 10g, carbs: 29g, protein: 14g, servings: 10",https://www.allrecipes.com/thmb/BWjoaOZegw280o6FwO26DkFIe3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/635288-9b69c51b431c4531b15172e66d2db574.jpg
Cheese Blintzes II,https://www.allrecipes.com/recipe/212780/cheese-blintzes-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'cottage cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'melted butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, or as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cinnamon sugar, or as needed'}","Place the milk, whole eggs, salt, and flour into a blender. Blend until smooth. Refrigerate at least 20 minutes. Meanwhile, make the filling by beating together the cottage cheese, egg yolk, melted butter, sugar, lemon juice, and vanilla extract in a bowl with an electric mixer until smooth.. Preheat an oven to 425 degrees F (220 degrees C). Lightly grease a baking sheet.. Melt some of the 2 tablespoons of butter in a skillet over medium-high heat. Pour in about 2 tablespoons of the batter and tilt the pan to completely coat with the batter. Cook until golden on the bottom, and no longer wet on the top, about 2 minutes per crepe. Repeat with remaining batter.. Place 1 to 2 tablespoons of the filling near one edge of a crepe. Fold this side up towards the center, then fold the sides in. Fold the top over the filling, and place seam-side-down onto the prepared baking sheet. Repeat with the remaining crepes and filling.. Bake in the preheated oven 10 minutes, then sprinkle with cinnamon sugar, and continue baking until lightly golden, about 5 minutes more.","calories: 392, fat: 18g, carbs: 33g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/-5324jp7gohQLqlgRY9Y7c8Hm6U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5286799-412a0ed034de44e780709cd7481cb33e.jpg
