name,link,ingredients,steps,nutrition,image_url
Cinnamon Roll Blondies,https://www.allrecipes.com/cinnamon-roll-blondies-recipe-8687135,"{'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '7', 'unit': 'tablespoons', 'name': ""confectioner's sugar""}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'heavy cream'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. For filling: in a small bowl, mix brown sugar and cinnamon together until thoroughly combined. Set aside.. For blondies: Whisk melted butter, white sugar, brown sugar, vanilla, salt, and nutmeg until thoroughly combined. Add in egg and egg yolk and mix until thoroughly combined. Add in flour and baking soda and mix until just incorporated.. Spread half the batter into an even layer in the prepared pan (it will be a somewhat thin layer). Sprinkle cinnamon-sugar mixture evenly over the batter. Place dollops of remaining batter over the cinnamon-sugar layer, and carefully spread into an even layer to cover cinnamon-sugar completely.. Bake in the preheated oven until bars begin to pull away from the sides of the pan, are puffed in the middle, and golden brown on top, 25 to 30 minutes. Allow bars to cool completely in the pan.. For glaze: beat cream cheese, powdered sugar, vanilla and salt together with an electric mixer until completely smooth. Add in heavy cream and beat until smooth. If glaze is too thick, add more heavy cream a small amount at a time; if glaze is too thin, add more powdered sugar until desired consistency is reached.. Pour glaze onto cooled bars and spread into an even layer. Cut into 16 bars.","calories: 181, fat: 8g, carbs: 25g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/fOiRI3OvcFnSWT9DmAoPVEtFl5c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8687135_Cinnamon-Roll-Blondies_Kim-Shupe_4x3-1f1bc4c80a2c4ce2bc4228f76d05b38d.jpg
Maple Pecan Blondies,https://www.allrecipes.com/maple-pecan-blondies-recipe-7775410,"{'quantity': '2', 'unit': 'cups', 'name': 'all purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'pecans, toasted and chopped, divided'}",,"calories: 284, fat: 15g, carbs: 34g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/qPbYdDTYHt2F0mRisxVR0egpcm8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7775410-maple-pecan-blondies-ddmfs-3x4-5886-e176adf3b72245ba829a750d60e8a03f.jpg
Blonde Brownies,https://www.allrecipes.com/recipe/10177/blonde-brownies-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'sifted all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'semisweet chocolate chips'}","Gather the ingredients. Preheat the oven to 350 degrees F (180 degrees C). Grease a 9x9-inch baking pan.. Sift together sifted flour, baking powder, salt, and baking soda in a medium bowl. Stir in chopped nuts; set aside.. Mix brown sugar and melted butter in a large bowl until combined; cool slightly.. Stir beaten egg and vanilla into brown sugar mixture. Add flour mixture, a little at a time, mixing just until combined. Spread batter into the prepared baking pan. Sprinkle chocolate chips on top.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 20 to 25 minutes.","calories: 477, fat: 23g, carbs: 65g, protein: 6g, servings: 6",https://cdn.jwplayer.com/v2/media/p8Nyh7w1/thumbnails/4CBfFYiD.jpg
Deviled Blondies,https://www.allrecipes.com/deviled-blondies-recipe-8719173,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'rounded tablespoon', 'name': 'Gochujang chili paste,'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'sticks', 'name': 'salted butter, melted and cooled slightly'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'macadamia nuts'}",,"calories: 471, fat: 29g, carbs: 50g, protein: 5g, servings: 9",https://cdn.jwplayer.com/v2/media/GVFO7J4V/thumbnails/c0vw4RQm.jpg
Maple Blondies,https://www.allrecipes.com/maple-blondies-recipe-7561826,"{'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/2', 'unit': 'cup', 'name': ""confectioner's sugar""}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'extract,'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt, or to taste'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. In a large bowl, whisk together melted butter, 1/2 cup maple syrup, brown sugar, egg, 1 teaspoon maple extract, and vanilla extract until thoroughly combined. Add in flour, baking soda, 1/2 teaspoon salt, cinnamon, and nutmeg, and mix until combined.. Pour batter into prepared pan and smooth into an even layer. Bake until bars feel just set, 15 to 20 minutes. Remove to cool on a wire rack for about 15 minutes.. Meanwhile, make the glaze. Whisk together confectioner's sugar, 2 tablespoons maple syrup, heavy cream, 3/4 teaspoon maple extract, and 1/8 teaspoon salt until smooth.. After bars have cooled for 15 minutes, pour glaze evenly over bars. Allow glaze to set, and bars to cool completely. Cut into 16 bars.","calories: 156, fat: 7g, carbs: 22g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/OOlax_eGfl65iAm-TWJaJc8pVaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7561826_Maple-Blondies_Kim_4x3-0930e841d54c4f97a956835863abfc3a.jpg
Butterscotch Brownies,https://www.allrecipes.com/recipe/10285/butterscotch-brownies-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled slightly'}, {'quantity': '2', 'unit': 'cups', 'name': 'packed light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'instant coffee granules'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '3', 'unit': 'cups', 'name': ""sifted confectioners' sugar""}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}","Preheat the oven to 350 degrees F (180 degrees C). Grease a 7x11-inch baking pan.. Sift flour, baking powder, and salt together in a bowl.. Make the bars: Beat brown sugar and melted butter until well combined. Beat in eggs and vanilla, then gradually stir in flour mixture. Fold in walnuts until well combined. Spread batter into the prepared pan.. Bake in the preheated oven until light golden brown, 30 to 35 minutes. Cool in the pan for 10 minutes, then turn out of the pan and finish cooling on a wire rack, 15 to 20 minutes.. Meanwhile, make the frosting: Dissolve coffee in water in a small bowl.. Beat confectioner's sugar and butter in a mixing bowl with an electric mixer until light and fluffy. Beat in coffee mixture until incorporated.. Spread frosting over cooled bars. Let frosting set before cutting into 36 squares.","calories: 208, fat: 10g, carbs: 28g, protein: 2g, servings: 36",https://www.allrecipes.com/thmb/VgfGgcDmTpJKGTg7O5uG8_UZbaA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1043171-butterscotch-brownies-ii-ReneePaj-4x3-1-117ae4dc6f12486eb26136c23081b186.jpg
Milly's Oatmeal Brownies,https://www.allrecipes.com/recipe/219067/millys-oatmeal-brownies/,"{'quantity': '1', 'unit': 'cup unsalted', 'name': 'butter, room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'firmly packed light brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking pan.. Beat butter, brown sugar, and white sugar together in a large bowl until thoroughly combined and creamy. Beat in eggs, one at a time, mixing well after each addition. Stir in vanilla extract until combined. Stir in rolled oats, flour, chocolate chips, raisins, walnuts, baking soda, baking powder, and salt until all ingredients moistened; spread into the prepared baking pan.. Bake in the preheated oven until golden brown, 20 to 25 minutes. Let cool in the pan for about 5 minutes before cutting into bars.","calories: 447, fat: 23g, carbs: 58g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/L9gICx38E5q-DLJ-QEo1KCjotjE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/849829-61764b7dc88e4f478e1af92a7bdbf256.jpg
Brown Sugar Blondies,https://www.allrecipes.com/recipe/275342/brown-sugar-blondies/,"{'quantity': '2', 'unit': 'cups', 'name': 'packed light brown sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan.. Mix brown sugar, flour, walnuts, butter, eggs, baking powder, vanilla extract, and salt together in a bowl by hand until smooth. Spread evenly into the prepared pan.. Bake in the preheated oven until the top is dry and edges have started to pull away from the sides of the pan, 25 to 30 minutes.. Remove from the oven and let cool for 10 to 15 minutes before slicing.","calories: 260, fat: 12g, carbs: 37g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/eKNkKMo-Ww6AZffv3QZEpUh6WDw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7036120-brown-sugar-blondies-Lori-4x3-1-13df54602a2c4bc593113d4b41c4898f.jpg
Vegan Pumpkin Pie Blondies,https://www.allrecipes.com/recipe/235259/vegan-pumpkin-pie-blondies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pumpkin puree'}, {'quantity': '3 ½', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}",,"calories: 61, fat: 2g, carbs: 11g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/GNQNfe20kwmL0SaU7i7RE_Ms4X0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-235259-vegan-pumpkin-pie-blondies-ddmfs-3x4-13358-769245fb60094598ae0d988cf3e02f22.jpg
White Chocolate Blondie Brownies,https://www.allrecipes.com/recipe/217158/white-chocolate-blondie-brownies/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3', 'unit': '(1 ounce) squares', 'name': 'white chocolate, chopped'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'white chocolate chips'}","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan.. Melt the butter and white chocolate together over low heat in a saucepan. Remove from heat, and let cool slightly. Meanwhile beat eggs with sugar and vanilla extract in a mixing bowl; mix in the butter mixture, and stir in the flour and salt until thoroughly combined. Scoop the batter into the prepared baking pan; sprinkle with white chocolate chips.. Bake in the preheated oven until a toothpick inserted into the center of the pan comes out clean, 30 to 35 minutes. Allow to cool in pan for about 10 minutes before cutting into bars.","calories: 244, fat: 12g, carbs: 31g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/KASlh-uwKL6_-wHjHfiS6UlTQds=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/621097-9aabbd5d39c6473e83c789813986cb8a.jpg
