name,link,ingredients,steps,nutrition
Bunny Mary,https://www.allrecipes.com/bunny-mary-recipe-8739310,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'celery seed'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'carrot juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'prepared horseradish'}","Place celery seed on a plate. Moisten the rim of a glass with a lime wedge. Dip rim in celery seed until coated. Set aside.. Fill a shaker with ice. Add carrot juice, vodka, lime juice, Worcestershire sauce, Tabasco, and horseradish. Shake until well combined. Pour into the prepared glass.","calories: 202, fat: 0g, carbs: 19g, protein: 2g, servings: 1"
Al's Bloody Marys,https://www.allrecipes.com/recipe/259169/als-bloody-marys/,"{'quantity': '16', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '2', 'unit': 'cups', 'name': 'tomato juice (such as Sacramento®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'tomato and clam juice cocktail (such as Clamato®)'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared horseradish, or to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'finely ground black pepper, or to taste'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'hot pepper sauce (such as Tabasco®), or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'celery salt, or to taste'}, {'quantity': '', 'unit': '', 'name': 'ice'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges, or as needed'}","Combine vodka, tomato juice, tomato and clam juice, lemon juice, lime juice, Worcestershire sauce, horseradish, black pepper, pepper sauce, and celery salt in a large pitcher. Add ice and pour cocktail into glasses; serve each with a lime wedge.","calories: 180, fat: 0g, carbs: 14g, protein: 1g, servings: 8"
Dill Pickle Bloody Mary,https://www.allrecipes.com/recipe/272853/dill-pickle-bloody-mary/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'dill pickle juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sriracha salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'celery seed'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable juice (such as V8®)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'freshly squeezed lime juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'powdered horseradish'}, {'quantity': '4', 'unit': 'dashes', 'name': 'hot pepper sauce (such as Tabasco®), or to taste'}, {'quantity': '', 'unit': '', 'name': '4 bamboo skewers'}, {'quantity': '4', 'unit': '', 'name': 'pickled eggs'}, {'quantity': '4', 'unit': '', 'name': 'pickled okra spears'}, {'quantity': '4', 'unit': '', 'name': 'dill pickles'}, {'quantity': '8', 'unit': '', 'name': 'ice cubes'}, {'quantity': '4', 'unit': '', 'name': 'celery stalks'}","Pour dill pickle juice into a shallow plate. Combine sriracha salt, celery seed, and black pepper on another shallow plate.. One-by-one, dip the rims of 4 glasses first into the dill pickle juice and then into the salt mixture to coat the rims. Place glasses into the refrigerator or freezer. Pour remaining dill pickle juice and salt mixture into a large pitcher. Add vegetable juice, vodka, lime juice, horseradish powder, and hot sauce. Mix well. Allow Bloody Mary mixture to rest for at least 1 hour in the refrigerator.. Slide 1 pickled egg, 1 pickled okra spear, and 1 dill pickle onto each bamboo skewer.. Before serving, add 2 two ice cubes, 1 loaded bamboo skewer, and 1 celery stalk to each rimmed glass. Give the Bloody Mary pitcher a stir and pour evenly into the 4 prepared glasses. Serve immediately.","calories: 264, fat: 6g, carbs: 20g, protein: 11g, servings: 4"
True Wisconsin Bloody Mary,https://www.allrecipes.com/recipe/161632/true-wisconsin-bloody-mary/,"{'quantity': '4', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1', 'unit': '(1.5 fluid ounce) jigger', 'name': 'vodka'}, {'quantity': '3', 'unit': '', 'name': 'pimento-stuffed green olives'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brine from olive jar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'celery salt, plus more for garnish'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '3', 'unit': 'dashes', 'name': ""hot pepper sauce (e.g. Texas Pete's)""}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato and clam juice cocktail'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, with leaves'}","Fill a large tumbler with ice cubes. Pour in vodka, then add olives and brine. Season with celery salt, pepper, Worcestershire sauce, and hot pepper sauce. Top with tomato and clam juice cocktail. Stir with celery stalk and leave in as a garnish. Sprinkle with additional celery salt before serving.",
Bloody Maria,https://www.allrecipes.com/bloody-maria-recipe-8730420,"{'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Tajin®)'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'tomato juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'prepared horseradish'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'celery seed'}","Place Tajin on a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into Tajin. Set aside.. Fill a cocktail shaker with ice. Add tomato juice, tequila, lime juice, Worcestershire sauce, Tabasco, horseradish, and celery seed. Shake until the outside of shaker is frosted; strain into the prepared glass.","calories: 158, fat: 1g, carbs: 6g, protein: 1g, servings: 1"
Bloody Caesar,https://www.allrecipes.com/bloody-caesar-recipe-8730391,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'celery salt,'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '4', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Tabasco'}, {'quantity': '8', 'unit': 'fluid ounces', 'name': 'Clamato'}, {'quantity': '1', 'unit': None, 'name': 'celery stick, plus other garnishes'}","Sprinkle celery salt onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Add vodka, Worcestershire sauce, and Tabasco sauce, then fill with Clamato juice and gently stir. Sprinkle in a pinch of celery salt, then garnish with lime wedge, celery stick and other preferred garnishes.","calories: 286, fat: 1g, carbs: 37g, protein: 3g, servings: 1"
Classic Bloody Mary,https://www.allrecipes.com/recipe/65037/classic-bloody-mary/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt, or as needed'}, {'quantity': '', 'unit': '', 'name': 'ice cubes, as needed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'spicy tomato-vegetable juice cocktail (such as V8®)'}, {'quantity': '1', 'unit': '(1.5 fluid ounce) jigger', 'name': 'vodka'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot pepper sauce (such as Tabasco®)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery'}, {'quantity': '2', 'unit': '', 'name': 'garlic-stuffed green olives, threaded onto a toothpick'}",,"calories: 141, fat: 0g, carbs: 9g, protein: 2g, servings: 1"
Classic Canadian Caesar,https://www.allrecipes.com/recipe/233521/classic-canadian-caesar/,"{'quantity': '1', 'unit': '', 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'celery salt, or as needed'}, {'quantity': '', 'unit': '', 'name': 'ice cubes, as needed'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'vodka'}, {'quantity': '1', 'unit': 'dash', 'name': 'Worcestershire sauce, or to taste'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot pepper sauce (such as Tabasco®), or to taste'}, {'quantity': '8', 'unit': 'fluid ounces', 'name': 'tomato and clam juice cocktail (such as Clamato®)'}, {'quantity': '1', 'unit': '', 'name': 'celery stick'}",,"calories: 204, fat: 1g, carbs: 31g, protein: 3g, servings: 1"
Bloody Mary Cocktail,https://www.allrecipes.com/recipe/221309/bloody-mary-cocktail/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'ice cubes, more as needed'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'tomato juice'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '¼', 'unit': 'fluid ounce', 'name': 'fresh lemon juice'}, {'quantity': '4', 'unit': 'dashes', 'name': 'hot pepper sauce (such as Tabasco®)'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, for garnish'}","Fill a pint glass or goblet with 1 1/2 cups ice. Set aside.. Combine tomato juice, vodka, lemon juice, hot pepper sauce, Worcestershire sauce, salt, black pepper, and 1 cup ice in a mixing glass. Stir until chilled and strain into the reserved ice-filled pint glass or goblet.. Garnish with celery stalk.","calories: 126, fat: 0g, carbs: 7g, protein: 1g, servings: 1"
Spicy Red Snapper (Bloody Mary with Gin),https://www.allrecipes.com/recipe/145374/spicy-red-snapper-bloody-mary-with-gin/,"{'quantity': '5', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1', 'unit': '(6 fluid ounce) can', 'name': 'tomato juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'dry gin'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'brine from olive jar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'hot chili powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'celery salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fresh-ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'prepared horseradish'}, {'quantity': '1', 'unit': '', 'name': 'celery stalk'}, {'quantity': '1', 'unit': 'small', 'name': 'dill pickle'}, {'quantity': '2', 'unit': '', 'name': 'stuffed green olives'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lemon'}","Place ice cubes into a cocktail shaker, and pour in tomato juice, gin, lemon juice, hot sauce, and Worcestershire sauce. Season with chili powder, garlic powder, cumin, celery salt, pepper, and horseradish. Cover and shake until the outside of the shaker has frosted. Pour contents (including ice) into a 12 ounce highball glass. Garnish with celery, pickle, olives, and lemon wedge before serving.","calories: 242, fat: 2g, carbs: 21g, protein: 3g, servings: 1"
