name,link,ingredients,steps,nutrition,image_url
Preserved Lemon Blueberry Pie,https://www.allrecipes.com/preserved-lemon-blueberry-pie-recipe-8702870,"{'quantity': None, 'unit': 'pastry for a 9-inch double-crust pie, chilled', 'name': 'pastry for a 9-inch double-crust pie, chilled'}, {'quantity': None, 'unit': None, 'name': 'flour for dusting, as needed'}, {'quantity': '6', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tapioca starch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon lemon', 'name': 'zest (from an organic lemon)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'preserved lemon, rinsed and finely diced'}",,"calories: 389, fat: 13g, carbs: 67g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/2vnDmODtyrA2dH1myVFcKNeuZCc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Preserved-Lemon-Blueberry-Pie-4x3-75af5550f2964e8a8bc7fc5ae96b67d0.jpg
Blueberry Cream Cheese Pie,https://www.allrecipes.com/recipe/232160/sweet-blueberry-cream-cheese-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '4', 'unit': 'cups', 'name': 'blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'lemon juice'}","Preheat the oven to 300 degrees F (150 degrees C).. Mix flour, pecans, and butter in a bowl. Press dough into a 9x13-inch baking dish to form a crust.. Bake in preheated oven until golden brown, about 30 minutes. Allow crust to cool completely.. Meanwhile, heat blueberries, sugar, cornstarch, and 1 teaspoon lemon juice in a saucepan over medium heat until berries burst and juice thickens, about 10 minutes. Allow blueberry sauce to cool completely.. Beat cream cheese until fluffy. Add sweetened condensed milk and blend well. Stir in 1/3 cup lemon juice. Pour cream cheese filling into cooled crust and spread blueberry sauce over cream cheese. Chill in refrigerator for at least 2 hours before serving.","calories: 631, fat: 33g, carbs: 79g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/dWS9Q5JoLDNDWVXeWzknfnyPnvA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8312445-de7361a29c414eff8b6bd670d144a032.jpg
Blueberry Galette,https://www.allrecipes.com/recipe/8432564/blueberry-cornmeal-galette/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold unsalted butter, cubed'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'ice water, or as needed'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh blueberries, rinsed and dried'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon zest'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'demerara sugar'}",,"calories: 423, fat: 17g, carbs: 64g, protein: 6g, servings: 6",https://cdn.jwplayer.com/v2/media/RYUVurMW/poster.jpg?width=720
Homemade Blueberry Pie,https://www.allrecipes.com/recipe/12196/blueberry-pie/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}",,"calories: 366, fat: 17g, carbs: 53g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/af2BzllB/poster.jpg?width=720
Blueberry Pie with Frozen Berries,https://www.allrecipes.com/recipe/280289/blueberry-pie-with-frozen-berries/,"{'quantity': '5', 'unit': 'cups', 'name': 'frozen blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'salted butter'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold water, or more as needed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salted butter, cut into small pieces'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salted butter, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}","Preheat the oven to 425 degrees F (220 degrees C).. Make the filling: Combine frozen blueberries, sugar, cornstarch, lemon juice, and salt in a medium pot; mix well to coat blueberries. Cook over medium-high heat, stirring often, 10 to 15 minutes.. Meanwhile, make the crust: Combine flour and salt in a large mixing bowl. Cut in 3/4 cup butter with 2 knives or pastry blender until mixture resembles coarse crumbs. Add water, 1 tablespoon at a time, tossing with a fork, until flour mixture is moistened. Do not add more water than you need: when you squeeze a handful of the moistened pastry mixture, it should form a ball.. Divide the dough in half and shape into balls. Roll out 1 dough ball with a rolling pin into a 10-inch circle. Transfer crust to a 9-inch pie dish. Trim the edge of the crust with scissors and crimp the rim with fingertips and knuckles.. Pour filling into prepared pie crust. Dot with 1 tablespoon butter.. Roll top crust into a 10-inch circle. Cut into 1/2-inch strips with a sharp paring knife or pastry wheel. Start with the longest strips and lay the first 2 in an X in the center of the pie. Alternate horizontal and vertical strips, weaving them in an over-and-under pattern. Use shortest strips for the edges of the lattice. Fold the ends of the lattice strips under the edge of the bottom crust and flute the crust.. Combine remaining 1 teaspoon butter with milk in a microwave-safe cup. Microwave at 10-second intervals until butter is melted; brush over pie.. Bake in the preheated oven until golden brown and bubbly, about 30 minutes.","calories: 467, fat: 20g, carbs: 69g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/6wuqmJTLq3Fv9mrA2BsXcFcoeIs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9427304-bd3b3c4a2437403c9a942f643213edc1.jpg
Three Berry Pie,https://www.allrecipes.com/recipe/12384/three-berry-pie/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'shortening, chilled'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh raspberries'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries, halved'}","Make the crust: Combine flour and salt in a large bowl. Cut in cold shortening with 2 knives or a pastry blender until the mixture resembles coarse crumbs. Add water, 1 tablespoon at a time, tossing with a fork, until flour mixture is moistened. Do not add more water than you need: when you squeeze a handful of the moistened pastry mixture, it should form a ball. Divide the dough in half and shape into balls. Wrap in plastic wrap and refrigerate for at least 30 minutes.. Transfer one dough ball to a lightly floured surface. Roll dough from the center to the edges to form a 12-inch circle. Wrap crust around the rolling pin. Unroll it onto a 9-inch pie plate. Ease crust into the pie plate, being careful not to stretch it. Trim the bottom crust evenly with the rim of the pie plate, and return the pastry-lined pie plate to the refrigerator.. Make the filling: Mix sugar and cornstarch together in a large bowl. Add raspberries, blueberries, and strawberries; gently toss to coat. Allow fruit mixture to stand for about 15 minutes.. Meanwhile, preheat the oven to 375 degrees F (190 degrees C). Place a baking sheet in the oven to preheat.. Roll out remaining dough for top crust. Stir berry mixture and pour into the pastry-lined pie plate. Place top crust over filling and trim the edges, leaving a 1/2-inch overhang. Fold top crust under bottom crust, pressing lightly to seal. Crimp the edges and cut vents in the top to allow steam to escape. To prevent over-browning, cover the edges with foil.. Bake in the preheated oven on the baking tray for 25 minutes. Remove the foil and continue to bake until crust is golden and filling is bubbling, about 20 minutes more.","calories: 361, fat: 18g, carbs: 48g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/UVATXCOj/poster.jpg?width=720
Blueberry Crumb Pie,https://www.allrecipes.com/recipe/86150/blueberry-crumb-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'refrigerated rolled pie pastry'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated lemon zest'}, {'quantity': '5', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold unsalted butter, cut into pieces'}","Preheat the oven to 375 degrees F (190 degrees C).. Make the pie: Press pie pastry into the bottom and up the sides of a 9-inch pie plate to form a crust.. Whisk sugar and flour together in a large bowl. Mix in lemon juice and zest, then gently stir in blueberries. Pour mixture into crust.. Make the topping: Combine oats, brown sugar, flour, and cinnamon in a medium bowl. Cut in cold butter with two knives or a pastry blender until the mixture resembles coarse crumbs. Spread topping evenly over pie filling.. Bake in the preheated oven until filling is bubbly and topping is golden brown, about 40 minutes.. Remove from the oven and cool on a wire rack before serving.","calories: 461, fat: 17g, carbs: 76g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/6j_OAtl_6zmfOUGM24TD9oIn3RA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7225771-blueberry-crumb-pie-Suzy-4x3-1-c032f34125b846e5bae5b9dc6b7d4c16.jpg
Fresh Fruit Flan,https://www.allrecipes.com/recipe/143083/fresh-fruit-flan/,"{'quantity': '2 ⅛', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'fresh strawberries, hulled and halved'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries, rinsed and dried'}, {'quantity': '3', 'unit': '', 'name': 'kiwifruit, peeled and thinly sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 10x15-inch jelly roll pan.. Make the crust: Sift flour, cream of tartar, and baking soda into a mixing bowl.. Beat both sugars, butter, oil, egg, and vanilla in a large bowl with an electric mixer until creamy. Gradually mix in flour mixture until well blended. Spread evenly over the bottom of the prepared pan.. Bake in the preheated oven until golden brown, 10 to 12 minutes. Remove from the oven and let cool completely, about 30 minutes.. Make the filling and top with fruit: Beat cream cheese, sugar, and vanilla in a bowl until smooth and creamy. Spread over cooled crust and arrange fruit decoratively over top. Refrigerate until glaze is ready.. Make the glaze: Stir sugar and cornstarch together in a small saucepan. Whisk in water, orange juice, and lemon juice and bring to a boil over medium heat. Boil gently for 1 minute, then remove from the heat and allow to cool completely, 20 to 30 minutes.. Spoon or brush glaze evenly over fruit. Refrigerate for at least 1 hour before serving.","calories: 314, fat: 18g, carbs: 36g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/vctfm06gTJ4NdHmSViIQrxpMr_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9106305-fresh-fruit-flan-Patsy-4x3-1-07885779f43b4b39af7ff31a21dd2597.jpg
Bumbleberry Pie II,https://www.allrecipes.com/recipe/38398/bumbleberry-pie-ii/,"{'quantity': '5 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'shortening'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vinegar'}, {'quantity': '4', 'unit': 'cups', 'name': 'peeled, chopped apples'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped fresh rhubarb'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '2', 'unit': 'cups', 'name': 'raspberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tapioca'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C).. For the dough: Combine flour and salt in a large bowl. Cut in shortening until mixture resembles coarse crumbs. Whisk water, egg, and vinegar together in a medium bowl. Stir into flour until mixture forms a ball.. Divide dough into 4 equal balls. Wrap in plastic and refrigerate for 4 hours or overnight. Roll out dough to fit two 9-inch pie pans. Place bottom crusts in 2 pie pans. Roll out and set aside top crusts.. For the filling: Combine apples, rhubarb, strawberries, blueberries, raspberries, and lemon juice in a large bowl. Combine sugar, flour, and tapioca in a medium bowl. Gently toss with fruit mixture.. Divide fruit mixture into 2 prepared pastry-lined pie pans. Cover with top crusts. Trim and crimp edges. Whisk together egg yolk and water in a small bowl. Brush tops of pies with egg wash. Cut a few slits in pie tops to allow steam to vent.. Bake in the preheated oven for 50 to 60 minutes, or until filling is bubbly in center and top is golden brown.","calories: 554, fat: 27g, carbs: 74g, protein: 6g, servings: 16",https://www.allrecipes.com/thmb/5BFdJ5B5RZbqdBuQXWG2e5FHkiE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/849467-aa4fb38e54b04438bb396e84f9a351ae.jpg
Blackberry and Blueberry Pie,https://www.allrecipes.com/recipe/12120/blackberry-and-blueberry-pie/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'shortening, chilled'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'fresh blackberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}","Cut shortening into 2 cups flour and salt until the shortening is the size of small peas. Sprinkle in water 1 tablespoon at a time until flour is moistened. Gather into a ball, wrap with plastic, and refrigerate at least 30 minutes. Divide the dough in half and roll out half on a lightly floured board. Line a 9-inch pie dish with the pastry. Roll out the top crust and set aside.. Preheat oven to 425 degrees F (220 degrees C).. Mix sugar, 1/3 cup flour, and cinnamon. Stir in berries to coat. Pour the filling into the pastry-lined pan. Sprinkle with lemon juice and dot with butter. Cover with top crust; cut slits in the top to vent the steam. Seal the crust and flute the edges.. Cover the edges of the crust with foil to prevent over-browning. Bake in the preheated oven until the crust is golden brown and the juices are bubbling, about 45 minutes. Remove foil during the last 12 minutes of baking.","calories: 436, fat: 21g, carbs: 60g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/jhob2sAj/poster.jpg?width=720
