name,link,ingredients,steps,nutrition,image_url
Ukrainian Red Borscht Soup,https://www.allrecipes.com/recipe/84450/ukrainian-red-borscht-soup/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'pork sausage'}, {'quantity': '3', 'unit': 'medium', 'name': 'beets, peeled and shredded'}, {'quantity': '3', 'unit': '', 'name': 'carrots, peeled and shredded'}, {'quantity': '3', 'unit': 'medium', 'name': 'baking potatoes, peeled and cubed'}, {'quantity': '½', 'unit': 'medium head', 'name': 'cabbage, cored and shredded'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced tomatoes, drained'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '8 ¾', 'unit': 'cups', 'name': 'water, divided, or as needed'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream, for topping'}, {'quantity': None, 'unit': None, 'name': 'freshly chopped dill or parsley for garnish'}",,"calories: 257, fat: 14g, carbs: 24g, protein: 10g, servings: 10",https://cdn.jwplayer.com/v2/media/gDJ7eUgp/thumbnails/nhF1n9aY.jpg
Lithuanian Šaltibarščiai (Cold Beet Soup),https://www.allrecipes.com/recipe/215037/lithuanian-saltibarsciai-cold-beet-soup/,"{'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'quart', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'pound', 'name': 'beets, peeled and shredded'}, {'quantity': '1', 'unit': 'large', 'name': 'English cucumber - peeled, quartered, and sliced'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh dill, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced chives'}","Place eggs into a saucepan in a single layer and cover with water by 1 inch. Cover the saucepan and bring to a boil. Remove from the heat and let eggs stand in hot water for 15 minutes. Drain, then run under cold water to cool.. Peel and chop eggs; place into a large bowl. Add buttermilk, beets, cucumber, dill, and chives; stir gently to combine. Chill in the refrigerator for 24 hours before serving.","calories: 115, fat: 4g, carbs: 13g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/8-7UuAuLbBNjIjCHCUw_3ykGVug=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1018299-35ccb64f23dc43108fa1c95d93be48bc.jpg
Beef and Beet Borscht,https://www.allrecipes.com/recipe/229451/beef-and-beet-borscht/,"{'quantity': '1', 'unit': '(1 inch thick) slice', 'name': 'bone-in beef shank'}, {'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped carrots'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '3', 'unit': 'cups', 'name': 'diced peeled beets'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped cabbage'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white vinegar, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream, for garnish'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh dill, for garnish'}","Cook beef shank in a large soup pot over high heat until browned, about 3 minutes per side. Add water, onion, carrots, celery, and bay leaf; bring to a simmer and cook until meat is tender and falling off the bone, about 4 hours. Strain broth and discard solids.. Combine beef broth, beets, and cabbage in the same pot; cook, stirring occasionally, until beets are tender, about 30 minutes. Reduce heat to low; add vinegar, salt, and black pepper.. Serve soup in bowls garnished with sour cream and dill.","calories: 138, fat: 8g, carbs: 12g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/XxKCvSIb/poster.jpg?width=720
Slow Cooker Borscht,https://www.allrecipes.com/recipe/109254/slow-cooker-borscht/,"{'quantity': '1', 'unit': 'pound', 'name': 'beef stew meat, cut into ½-inch pieces'}, {'quantity': '4', 'unit': '', 'name': 'beets, peeled and chopped'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '2', 'unit': '', 'name': 'potatoes, peeled and chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby carrots, cut into ½-inch pieces'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth, or more'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded green cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream, as garnish'}","Place beef, beets, tomatoes, potatoes, carrots, onion, and garlic in a slow cooker. Whisk together the beef broth, tomato paste, vinegar, brown sugar, dill weed, parsley, bay leaf, salt, and pepper. Pour mixture over the beef and vegetables, adding more broth to cover as needed.. Cover and cook on Low for 8½ hours or High for 4 hours.. Set heat to High, then stir in the shredded cabbage. Cover and continue cooking until the cabbage is tender, about 30 minutes. Remove bay leaf. Serve in a bowl with a dollop of sour cream.","calories: 345, fat: 18g, carbs: 33g, protein: 16g, servings: 8",https://www.allrecipes.com/thmb/gCcVE9PmSmY4rH2DJtE55CHtlBM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/449265-5e512470acca4f06964389b7f877c31b.jpg
Russian Cabbage Borscht,https://www.allrecipes.com/recipe/85517/russian-cabbage-borscht/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'thinly sliced potatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly sliced beets'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable stock or water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped onions'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'caraway seed (Optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'celery stalk, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, sliced'}, {'quantity': '3', 'unit': 'cups', 'name': 'coarsely chopped red cabbage'}, {'quantity': '', 'unit': '', 'name': 'black pepper to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fresh dill weed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato puree'}, {'quantity': '', 'unit': '', 'name': 'sour cream, for topping'}, {'quantity': '', 'unit': '', 'name': 'chopped tomatoes, for garnish'}","Place potatoes and beets in a medium saucepan over high heat; cover with stock and boil until vegetables are tender. Remove potatoes and beets with a slotted spoon; reserve stock.. Melt butter in a large skillet over medium heat. Stir in onions, caraway seeds, and salt; cook until onions become soft and translucent. Stir in celery, carrot, and cabbage. Mix in reserved stock; cook, covered, until all vegetables are tender, about 10 minutes.. Add potatoes and beets to the skillet. Season with black pepper and dill weed. Stir in cider vinegar, honey, and tomato puree. Cover, reduce heat to medium-low, and simmer for at least 30 minutes.. Portion borscht into bowls. Top with sour cream, extra dill weed, and chopped tomatoes to serve.","calories: 128, fat: 5g, carbs: 20g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/XgS7DiskapnLJEuFB9UU8G-DeY4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4856553-968168150ab34b6388cf9b0ae472b2a4.jpg
Borscht I,https://www.allrecipes.com/recipe/13015/borscht-i/,"{'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '¾', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green bell pepper, divided'}, {'quantity': '½', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'beet'}, {'quantity': '½', 'unit': 'cup', 'name': 'canned peeled and diced tomatoes'}, {'quantity': '3', 'unit': '', 'name': 'potatoes, quartered'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'canned tomatoes'}, {'quantity': '3', 'unit': 'cups', 'name': 'finely shredded cabbage, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '¾', 'unit': 'cup', 'name': 'diced potatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried dill weed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Place water, salt, carrots, 1/2 of the bell pepper, celery, beet, tomatoes, and quartered potatoes in a large stock pot over high heat. Bring to a boil.. Melt 1/3 cup butter in a separate skillet over medium heat. Saute onions in butter until tender, approximately 5 minutes. Stir in tomatoes, reduce heat to medium low, and simmer for 15 minutes. Remove 1/2 cup of sauce from skillet, and set aside. Stir half of the cabbage into the skillet with remaining sauce, and continue simmering 5 minutes more, or until tender.. Remove beet from boiling liquid and discard. Remove potatoes with a slotted spoon or tongs, and place in a bowl with remaining 1 tablespoon of butter and the cream. Mash together until smooth.. Return the 1/2 cup of reserved onion-tomato sauce to the stock pot. Stir in diced potatoes, and simmer until just tender but still firm, approximately 5 minutes. Increase heat to a low boil, and stir in remaining cabbage, tomato sauce, and mashed potatoes. Reduce heat and simmer a few minutes more. Stir in remaining bell pepper, season with black pepper, and serve.","calories: 185, fat: 9g, carbs: 24g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/AWYi4eQ4Z79bgctqkHXuFeBXhgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7681929-7ece7f07fa5b4d6bb6f3766253f96f71.jpg
Cabbage Borscht Mennonite Soup,https://www.allrecipes.com/recipe/161438/cabbage-borscht-mennonite-soup/,"{'quantity': '2', 'unit': 'pounds', 'name': 'beef soup bones'}, {'quantity': '2', 'unit': 'quarts', 'name': 'water, or more as needed'}, {'quantity': '12', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '6', 'unit': '', 'name': 'potatoes, cubed'}, {'quantity': '1', 'unit': 'head', 'name': 'cabbage, finely chopped'}, {'quantity': '3', 'unit': '', 'name': 'onions, minced'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '10', 'unit': '', 'name': 'whole allspice berries'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '½', 'unit': None, 'name': 'star anise'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped tomato'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}","Bring beef soup bones and water to a boil in a large pot over medium-high heat. Reduce heat; simmer for 1 1/2 hours, adding more water, as necessary, to maintain 2-quart level. Remove and discard soup bones. Strain broth into a fresh pot; return to stovetop.. Add carrots, potatoes, cabbage, onions, parsley, allspice berries, salt, bay leaf, star anise, and black pepper to broth. Cook until potatoes are easily pierced with a fork, about 20 minutes. Stir in tomatoes; return to a boil. Top servings with heavy cream.","calories: 274, fat: 6g, carbs: 51g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/ZSyV3YDwpPNKRi-Z4cgbvys32e4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/369589-06f7e5f4b1b54a7c9e90930ae6dc84c8.jpg
Summa Borscht,https://www.allrecipes.com/recipe/110505/summa-borscht/,"{'quantity': '5', 'unit': 'cups', 'name': 'diced red potatoes'}, {'quantity': '7', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'green onions, chopped'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped fresh dill'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}","Place diced potatoes into a large saucepan, and cover with water. Bring to a boil over high heat, then reduce heat, and simmer until potatoes are tender, about 25 minutes. Stir in the green onions, dill, and buttermilk; bring back to a simmer. Stir in the half-and-half before serving.","calories: 135, fat: 4g, carbs: 20g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/AehDp9I9JMc_8IBSuWq3RtJISTg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/740688-5a6e95121c3d471bab75913834a718a8.jpg
Vegetarian Borscht,https://www.allrecipes.com/recipe/262176/vegetarian-borscht/,"{'quantity': '2', 'unit': 'small', 'name': 'beets, peeled and coarsely grated'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, or as needed'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '', 'name': 'carrot, coarsely grated'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'medium head', 'name': 'cabbage, shredded'}, {'quantity': '¾', 'unit': 'cup', 'name': 'dry yellow lentils'}, {'quantity': '3', 'unit': 'medium', 'name': 'potatoes, peeled and diced'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream, or more to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh dill'}","Combine beets and vinegar in a small frying pan over low heat. Cook, while stirring, until soft, about 15 minutes.. Heat oil in a large frying pan over low heat while beets are cooking. Add onion and stir for 2 minutes. Add carrots and cook, stirring occasionally, until soft, about 10 minutes. Set aside.. Bring water to a simmer in a large saucepan. Add cabbage and lentils; cook for 10 minutes. Add potatoes and cook for 10 minutes more. Stir in cooked beets and onion-carrot mixture. Season with salt and pepper.. Add tomato paste and simmer until all vegetables are tender, about 10 minutes more. Serve with sour cream and dill.","calories: 264, fat: 6g, carbs: 44g, protein: 10g, servings: 6",https://www.allrecipes.com/thmb/Q0AdUsVqFnCNT_JcGIrGYbwuW7o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4971683-94d7b2d97a1945d493dc8b7438cfb5d2.jpg
Cold Russian Borscht,https://www.allrecipes.com/recipe/139247/cold-russian-borscht/,"{'quantity': '4', 'unit': 'medium', 'name': 'beets'}, {'quantity': '4', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': '', 'name': 'cucumber - peeled, seeded, and diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}","Remove stems and leaves from beets, but leave on skins. Cover beets with cold water and bring to a boil in a deep pot. Boil until fork tender, about 40 minutes.. Drain beets, but reserve two cups of the liquid. Strain the liquid and add to a large saucepan. Remove skin from beets. Grate beets through the most coarse blade of a grater. Add to beet liquid. Add beef broth, onion, vinegar, salt, and pepper. Bring to a boil, and then cover and reduce heat to low. Simmer for 20 minutes, then remove from the heat.. Chill in the refrigerator for 1 hour, or until cold, before serving. Ladle into bowls and top each serving with cucumber and a big spoonful of sour cream.","calories: 107, fat: 5g, carbs: 12g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/S2clqF7GbHT9D-ODXxuS9mS90ok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4528186-5d758a2cb10747d190a7ec92a43a06a0.jpg
