name,link,ingredients,steps,nutrition
Our 15 Best Cinnamon Roll Recipes,https://www.allrecipes.com/gallery/best-cinnamon-roll-recipes/,,,
20 Easy Bread Recipes to Make at Home,https://www.allrecipes.com/gallery/easy-bread-recipes/,,,
8 Dutch Oven Bread Recipes That Are Better Than the Bakery,https://www.allrecipes.com/gallery/dutch-oven-bread-recipes/,,,
11 Bread Recipes You Can Make in Your 9x13 Baking Dish,https://www.allrecipes.com/gallery/9x13-bread-recipes/,,,
Cranberry Brie Pull Apart Bread,https://www.allrecipes.com/cranberry-brie-pull-apart-bread-recipe-8732507,"{'quantity': '1 (', 'unit': '1 1/2 to 1 3/4', 'name': 'sourdough loaf or crusty Italian bread, unsliced'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoons', 'name': 'fresh rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '8-ounce', 'name': 'rie cheese, cut lengthwise in 1-inch strips, then thinly sliced crosswise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried cranberries'}","Gather all ingredients.. Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with foil. Cut bread with a serrated knife from the top nearly to the bottom in diagonal 1-inch diamonds (do not cut through).. Combine melted butter, honey, rosemary, thyme, pepper, and salt in a small bowl.. Gently pull bread open at cuts and evenly drizzle with half of the butter mixture.. Stuff Brie and cranberries into the cuts as you go.. Place loaf on prepared baking sheet and drizzle with remaining butter mixture.. Bake until the Brie is melted and the bread is toasty, 20 to 25 minutes. Serve immediately.","calories: 355, fat: 17g, carbs: 41g, protein: 12g, servings: 8"
Easy Pecan Sticky Buns,https://www.allrecipes.com/easy-pecan-sticky-buns-recipe-8745327,"{'quantity': '1/2', 'unit': 'cup', 'name': 'nsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'hopped pecans'}, {'quantity': '2 1/2', 'unit': None, 'name': 'oney'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'anilla bean paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'eavy whipping cream'}, {'quantity': '1', 'unit': '(12-count)-', 'name': 'Hawaiian rolls'}","Preheat the oven to 350 degrees F (175 degrees C). Line a 8x8 cake pan with parchment paper.. Combine butter, sugar, salt, and honey in a pan set over medium heat. Stir while cooking until the sugar dissolves and mixture starts to bubble a little bit, 3 to 5 minutes.. Turn off the heat and add vanilla bean paste, heavy cream, and chopped pecans. Mix until the pecans are fully coated and set aside to cool slightly. Pour all of the sauce in the pan into the prepared cake pan and spread it out into an even layer. Add Hawaiian rolls, top side down.. Bake in the preheated oven until the sauce is very bubbly and the buns are slightly browned , 15 to 20 minutes.. Let it cool for up to 5 minutes before flipping onto a cutting board or plate","calories: 267, fat: 17g, carbs: 27g, protein: 4g, servings: 12"
Ham and Gruyère Scones,https://www.allrecipes.com/ham-and-gruyere-scones-recipe-8747672,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'cooked ham'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Gruyère cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine flour, sugar, baking powder, and salt in a large mixing bowl. Use a pastry cutter to cut butter into flour mixture until it resembles rice or coarse meal. Stir in ham and Gruyère until evenly mixed.. Moisten flour mixture with cream, until dough begins to come together. Add a bit more cream, milk, or water if dough seems dry.. Turn out on a floured work surface and fold dough onto itself. Gently stretch dough, turning and folding 3 or 4 times. Lightly flour a rolling pin and roll dough out 1/2- to 3/4-inch thick, turning dough a quarter turn occasionally.. Cut scones with a lightly floured 3-inch biscuit cutter; press cutter straight down, without twisting. Pat dough scraps together and cut as needed. Line a baking sheet with parchment; place cut scones on the sheet.. Whisk egg, water, and pinch salt together in a small bowl. Brush tops of scones with egg wash, and refrigerate for about 20 minutes.. Preheat the oven to 450 degrees F (235 degrees C). Brush the top of the scones with the egg mixture again.. Bake scones in the center of the preheated oven until tops are crispy and lightly browned, 15 to 20 minutes. Serve warm or at room temperature.","calories: 315, fat: 22g, carbs: 21g, protein: 8g, servings: 10"
Lemon Cranberry Bread,https://www.allrecipes.com/lemon-cranberry-bread-recipe-8747633,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'extra large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'confectioners sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh lemon juice'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Generously butter an 8-1/2x4-1/2-inch loaf pan, and line the bottom with parchment paper.. For bread, whisk together sugar, buttermilk, oil, eggs, lemon zest, lemon juice, salt, and vanilla in a large bowl until thoroughly combined. Add in 2 cups flour, baking powder, and baking soda and mix until incorporated.. Toss cranberries with about 1 1/2 teaspoons flour in a small bowl until coated. Fold cranberries into batter. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out with just a few moist crumbs, 50 to 60 minutes. Cool bread in the pan for 20 minutes, then remove to a wire rack to cool completely.. For icing, beat cream cheese, confectioner’s sugar, lemon juice, milk, and pinch of salt together in a bowl with an electric mixer until fully smooth and combined. Add more milk if needed for thinner icing, 1/2 teaspoon at a time. Spread glaze evenly over the top of cooled loaf.","calories: 395, fat: 14g, carbs: 65g, protein: 5g, servings: 10"
Holiday Monkey Bread,https://www.allrecipes.com/holiday-monkey-bread-recipe-8745645,"{'quantity': '1 1/3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'sticks', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}",,"calories: 404, fat: 19g, carbs: 54g, protein: 5g, servings: 16"
Easy Churro Cronuts,https://www.allrecipes.com/easy-churro-cronuts-recipe-8736194,"{'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'crescent dough sheets'}, {'quantity': '4', 'unit': 'cups', 'name': 'oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': None, 'unit': None, 'name': 'chocolate sauce or chocolate hazelnut spread for serving'}","Remove dough from each can and unroll to a rectangular shape. Fold the shorter end of 1 sheet up 1/3 of the way. Fold the opposite edge 1/3 of the way to fold over (and cover) the first fold. The dough should have 3 layers. Use a 3-inch cutter to cut 3 circles from the dough. Form the scraps into another layered piece and cut out one more circle. Repeat with the remaining dough sheet.  Use a smaller cutter to cut the center out of each circle to form a donut shape and reserve for donut holes.. Fill a large saucepan halfway with oil and place over medium-high heat to reach a temperature of 350 to 365 degrees F (175 to 183 degrees C). Line a tray with paper towels.. Combine sugar and cinnamon in a shallow dish; set aside.. Working with 2 to 3 cronuts at a time, carefully lower each cronut into the hot oil. Fry about 1 minute, rotating occasionally, until browned evenly. Drain briefly on the prepared tray. While donuts are still hot, coat evenly in cinnamon sugar. Repeat with remaining cronuts and doughnut holes.. Serve with chocolate sauce or hazelnut spread for dipping.","calories: 508, fat: 28g, carbs: 60g, protein: 5g, servings: 8"
