name,link,ingredients,steps,nutrition,image_url
10 Copycat Breakfast and Brunch Dishes From Your Favorite Spots,https://www.allrecipes.com/gallery/copycat-breakfast-and-brunch-recipes/,,,,https://www.allrecipes.com/thmb/NDlqHC42UZuesqQrrjtL78PPFLo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4459419-a977b2093ab2483e8e01321cc8813622.jpg
17 Favorite Mexican-Inspired Breakfast Recipes,https://www.allrecipes.com/gallery/the-best-mexican-breakfast-recipes/,,,,https://www.allrecipes.com/thmb/XVWzKTc_CVxlYC-0KEuJLRcTTDk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/optimized-chilaquiles-6-1_resized-54413212cda44978b06b2c9e4d399d80.jpg
12 Crepe Recipes That Make Brunch a Big Deal,https://www.allrecipes.com/gallery/brunch-crepe-recipes/,,,,https://www.allrecipes.com/thmb/LEFl3UWbRbGXkZ8zJGIlveNTR_g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/fullsizeoutput_5-2000-39f02853c7e2438a8f1857b3f92db8cc.jpeg
Chef John's Best Pastries and Breakfast Treats,https://www.allrecipes.com/gallery/chef-johns-best-pastries-and-breakfast-treats/,,,,https://www.allrecipes.com/thmb/_jIr2ovG485nK8gaoZlivDbn1JQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chef-johns-croissants-2000-960605cae0b84d0e8ca031a02c56f052.jpg
Our Top 20 Breakfast Casserole Recipes for Your 9x13 Dish,https://www.allrecipes.com/best-9x13-breakfast-casseroles-8744958,,,,https://www.allrecipes.com/thmb/NIXBlfZYshynJMEz8kmghnqAzDw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/245119-biscuit-and-gravy-casserole-MFS-362-74220dc63df943e78934e64ba44bf08c.jpg
10 Breakfast Casserole Recipes That Start With Refrigerated Crescent Rolls,https://www.allrecipes.com/crescent-roll-breakfast-casserole-recipes-8745333,,,,https://www.allrecipes.com/thmb/SZ8lgQMWOZEqsfZzS8J2tUEjte4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/168244-Simple-Sausage-Casserole-DDMFS-034-4x3-d5977c22aa024fa08011aefb5d54c36a.jpg
Easy Pecan Sticky Buns,https://www.allrecipes.com/easy-pecan-sticky-buns-recipe-8745327,"{'quantity': '1/2', 'unit': 'cup', 'name': 'nsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'hopped pecans'}, {'quantity': '2 1/2', 'unit': None, 'name': 'oney'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'anilla bean paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'eavy whipping cream'}, {'quantity': '1', 'unit': '(12-count)-', 'name': 'Hawaiian rolls'}","Preheat the oven to 350 degrees F (175 degrees C). Line a 8x8 cake pan with parchment paper.. Combine butter, sugar, salt, and honey in a pan set over medium heat. Stir while cooking until the sugar dissolves and mixture starts to bubble a little bit, 3 to 5 minutes.. Turn off the heat and add vanilla bean paste, heavy cream, and chopped pecans. Mix until the pecans are fully coated and set aside to cool slightly. Pour all of the sauce in the pan into the prepared cake pan and spread it out into an even layer. Add Hawaiian rolls, top side down.. Bake in the preheated oven until the sauce is very bubbly and the buns are slightly browned , 15 to 20 minutes.. Let it cool for up to 5 minutes before flipping onto a cutting board or plate","calories: 267, fat: 17g, carbs: 27g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/rTa87LBAt3IpwWeLP9nbNyaSC9U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745327-pecan-sticky-rolls-aaron-alterman-0S0A5166-4x3-a25db1ff5440428aab52c80b78186293.jpg
Ham and Gruyère Scones,https://www.allrecipes.com/ham-and-gruyere-scones-recipe-8747672,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'cooked ham'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Gruyère cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine flour, sugar, baking powder, and salt in a large mixing bowl. Use a pastry cutter to cut butter into flour mixture until it resembles rice or coarse meal. Stir in ham and Gruyère until evenly mixed.. Moisten flour mixture with cream, until dough begins to come together. Add a bit more cream, milk, or water if dough seems dry.. Turn out on a floured work surface and fold dough onto itself. Gently stretch dough, turning and folding 3 or 4 times. Lightly flour a rolling pin and roll dough out 1/2- to 3/4-inch thick, turning dough a quarter turn occasionally.. Cut scones with a lightly floured 3-inch biscuit cutter; press cutter straight down, without twisting. Pat dough scraps together and cut as needed. Line a baking sheet with parchment; place cut scones on the sheet.. Whisk egg, water, and pinch salt together in a small bowl. Brush tops of scones with egg wash, and refrigerate for about 20 minutes.. Preheat the oven to 450 degrees F (235 degrees C). Brush the top of the scones with the egg mixture again.. Bake scones in the center of the preheated oven until tops are crispy and lightly browned, 15 to 20 minutes. Serve warm or at room temperature.","calories: 315, fat: 22g, carbs: 21g, protein: 8g, servings: 10",https://www.allrecipes.com/thmb/CAJsPmQ0CwCjg29vLtRJfj11kFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747672_Ham-and-Gruyere-Scones_Brenda-Venable_4x3-0079f287311d415eaf0bec0e53aa9cb5.jpg
Breakfast Margarita,https://www.allrecipes.com/breakfast-margarita-recipe-8742323,"{'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1/2', 'unit': 'fluid ounce', 'name': 'orange liqueur, such as Cointreau'}, {'quantity': '1', 'unit': None, 'name': 'orange, juiced'}, {'quantity': '1/2', 'unit': None, 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'orange marmalade'}, {'quantity': None, 'unit': None, 'name': 'orange slice, for garnish'}","Fill a shaker halfway with ice; pour in tequila, orange liqueur, orange juice, and lime juice. Shake until the outside of the shaker is frosted, 15 to 30 seconds. Pour into a glass; garnish with an orange slice.","calories: 392, fat: 1g, carbs: 67g, protein: 4g, servings: 1",https://cdn.jwplayer.com/v2/media/iWvR9pzM/thumbnails/nHbVOqNN.jpg
Roscoe's Chilaquiles,https://www.allrecipes.com/roscoe-s-chilaquiles-recipe-8739658,"{'quantity': '3', 'unit': None, 'name': 'chile peppers'}, {'quantity': '1', 'unit': None, 'name': 'chile pepper,'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': None, 'name': 'Roma tomatoes'}, {'quantity': '1', 'unit': None, 'name': 'white onion'}, {'quantity': '3', 'unit': None, 'name': 'garlic cloves,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'beef bouillon cube'}, {'quantity': '2', 'unit': None, 'name': 'culantro leaves'}, {'quantity': '1', 'unit': None, 'name': 'lime, juiced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'oil, divided'}, {'quantity': '12', 'unit': None, 'name': 'corn tortillas'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Mexican crema'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'otija cheese'}, {'quantity': '1', 'unit': None, 'name': 'avocado,'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cilantro leaves'}, {'quantity': '1', 'unit': None, 'name': 'lime'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'oregano,'}","For salsa roja, pour boiling water over peppers and let sit until softened, 15 to 30 minutes.. Meanwhile, add 2 tablespoons olive oil to a skillet over high heat, and sear tomatoes, onions, and garlic until charred for about 2 minutes.. Place softened peppers, charred vegetables, and 1 cup of the chile soaking water in a blender. Reserve remaining 3 cups chile water.  Blend until smooth. Strain the sauce; pour back into the pan.. Cook sauce over medium heat, scraping any charred bits from the bottom of the pan; add 2 cups of remaining chile water. Simmer until sauce is reduced by 1/3. Stir in bouillon cube and last 1 cup chile water, culantro leaves, lime juice; stir until bouillon cube dissolves. Season with salt and pepper.. For chilaquiles, heat oil to 350 degrees F ( 175 degrees C) in a large saucepan over medium heat. Add tortillas and fry until crisp and golden. 2 minutes per batch.. For each serving, heat 1 tablespoon oil in a small nonstick pan over medium heat. Crack an egg into the skillet, and cook until outer edges become opaque, about 1 minute. Turn egg over and cook until whites are completely opaque, 1 to 2 minutes more.. Add a handful of chips to the salsa roja, and turn to coat completely. Remove to a serving plate with a slotted spoon.. Drizzle with crema, top with an egg, cotija cheese, avocado, cilantro, squeeze of lime juice, and drizzle with more salsa roja. Sprinkle with oregano. Repeat with remaining ingredients.","calories: 856, fat: 66g, carbs: 58g, protein: 18g, servings: 4",https://cdn.jwplayer.com/v2/media/qE3NT4RS/thumbnails/O0nm4XIy.jpg
Full English Breakfast,https://www.allrecipes.com/full-english-breakfast-recipe-8739702,"{'quantity': '1', 'unit': '(8 ounce) can', 'name': 'baked beans'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'HP sauce'}, {'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '2', 'unit': None, 'name': 'bangers (British sausages)'}, {'quantity': '1', 'unit': 'bunch', 'name': 'cherry tomatoes on the vine'}, {'quantity': '5', 'unit': 'whole', 'name': 'cremini mushrooms'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}","Place beans in a small saucepan over medium-low heat. Add ketchup and HP sauce, and heat until warmed through, about 5 minutes.. Heat a large skillet over medium heat, and add bacon and sausages. Cook until sausage is browned and bacon is cooked to your taste, about 10 minutes. Remove from the pan and set aside.. Add tomatoes and mushrooms to the skillet, and sear in bacon fat for 2 minutes; remove from the pan.. Add 1 cup water to the pan, crack in eggs, and simmer until whites are opaque and yolks are still runny. Spoon beans onto a plate, and arrange eggs, bacon, bangers, tomatoes, and mushrooms around them.","calories: 1189, fat: 65g, carbs: 90g, protein: 69g, servings: 1",https://cdn.jwplayer.com/v2/media/qE3NT4RS/thumbnails/O0nm4XIy.jpg
