name,link,ingredients,steps,nutrition,image_url
Slow Cooker Breakfast Burritos,https://www.allrecipes.com/recipe/8318088/ham-and-cheese-bisuit-muffins/,"{'quantity': '2', 'unit': 'pounds', 'name': 'bulk breakfast sausage'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'bell pepper, finely chopped'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen shredded hash browns'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '12', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '12', 'unit': '(10 inch)', 'name': 'flour tortillas, warmed'}","Heat a large skillet over medium-high heat. Add sausage and cook, breaking it up with the back of a spoon, until lightly browned and crumbly, about 8 minutes. Add onion and bell pepper; cook until onion is softened, about 5 more minutes. Blot any excess oil in the pan with a paper towel. Continue to cook until sausage is cooked completely, 5 to 7 more minutes. Remove from the heat. (This step can be done 1 day ahead.). Spray a slow cooker with cooking spray. Add sausage mixture, hash browns, and Cheddar cheese.. Whisk eggs, milk, salt, and pepper together in a bowl until well blended. Pour into the slow cooker and stir until evenly combined. Cook on Low 6 to 8 hours or on High for 3 to 4 hours, stirring after the first hour.. Serve mixture inside warmed tortillas with desired toppings.","calories: 746, fat: 51g, carbs: 46g, protein: 28g, servings: 12",https://www.allrecipes.com/thmb/ydAX7X2WWsviJGMEIzHwHTPfUG0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Slow-Cooker-Breakfast-Burrito-Bake-2000-bef7b1b652d64da2baf0e5b5cb76ddd6.jpg
12 Breakfast Burrito Recipes That’ll Keep You Full Until Lunch,https://www.allrecipes.com/breakfast-burrito-recipes-8414003,,,,https://www.allrecipes.com/thmb/zY8P5hxZ_9l1Ze08ppPD-YY9gRU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/214583-SouthwestBreakfastBurritos-ddmfs-3x4-8401-156c7c8d657a4a5d9f3f393146fdafc3.jpg
Breakfast Burrito with Potatoes and Chorizo,https://www.allrecipes.com/breakfast-burrito-with-potatoes-and-chorizo-recipe-8608268,"{'quantity': '1/2', 'unit': 'pound', 'name': 'chorizo'}, {'quantity': '1/2', 'unit': None, 'name': 'poblano pepper, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'yellow onion, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, chopped'}, {'quantity': '2', 'unit': None, 'name': 'Yukon gold potatoes,'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shredded cheese, any kind'}, {'quantity': '4', 'unit': 'burrito-sized', 'name': 'flour tortilla'}","Heat a large skillet over medium heat. Add chorizo, poblano pepper, onions, and red bell pepper. Cook until vegetables are tender, 5 to 7 minutes. Remove skillet from heat.. In a microwave-safe bowl, cook potatoes with a small amount of water until fork tender, 7 to 10 minutes, stirring halfway through; drain. Stir potatoes into chorizo mixture.. Meanwhile, whisk eggs, half-and-half, salt, and pepper together in a large bowl.. Heat butter in a skillet over medium heat. Add egg mixture and scramble until eggs are cooked, about 3 minutes. Remove eggs from heat. Fold in cheese.. Spoon chorizo mixture in a line across the middle of a tortilla, then add a layer of scrambled eggs. Fold opposing edges of the tortilla to overlap the filling. Roll 1 of the opposing edges around the filling creating a burrito.","calories: 1105, fat: 47g, carbs: 129g, protein: 40g, servings: 4",https://www.allrecipes.com/thmb/EdqlfhkvQGlbsdAmub6dq165JmU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8608268_Breakfast-Burrito-with-Chorizo-and-Potatoes_Shelia-Johnson_4x3-134a39baa85e4604af72ab70c1ae932f.jpg
Freeze-and-Reheat Breakfast Burritos,https://www.allrecipes.com/recipe/261844/freeze-and-reheat-breakfast-burritos/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'bacon'}, {'quantity': '10', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'cups', 'name': ""frozen hash brown potatoes with peppers and onion (such as Ore-Ida® Potatoes O'Brien®)""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '10', 'unit': 'sheets', 'name': 'aluminum foil'}, {'quantity': '10', 'unit': 'large', 'name': 'flour tortillas'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'salsa, or to taste'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain on paper towels and crumble into bits. Keep the skillet warm.. Whisk together eggs, milk, and salt in a bowl until combined. Pour into the hot skillet. Cook and stir over medium-high heat until eggs are scrambled and set, about 5 minutes. Transfer to a bowl.. Heat oil in the same skillet over medium-high heat. Add frozen potatoes, garlic salt, and pepper. Fry until browned on the bottom, 4 to 5 minutes. Flip and cook until other side is browned, 4 to 5 minutes more. Let cool.. Lay 10 sheets of aluminum foil, slightly larger than tortillas, on a flat work surface. Lay 1 tortilla on each aluminum foil piece; evenly distribute Cheddar cheese on top. Add scrambled eggs, bacon bits, salsa, and potatoes to each tortilla, in that order. Tightly roll burritos, tucking tops and bottoms in first.. Wrap aluminum foil tightly around each burrito, covering it completely. Place in resealable plastic bags in a single layer. Remove as much air as possible from the bags before sealing. Store in the freezer until ready to reheat.. Reheat by removing the aluminum foil, placing burrito on a microwave-safe plate, and covering it with a paper towel. Heat in the microwave until evenly warmed through, 1 to 2 minutes.","calories: 546, fat: 30g, carbs: 55g, protein: 23g, servings: 10",https://www.allrecipes.com/thmb/BmnDvAZyG_N-R3jhVQxGAF_szG0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/261844-freeze-and-reheat-breakfast-burritos-ddmfs-3X4-0359-8c6dd90974a545ddab2504633cd43f00.jpg
Mexican Breakfast Tacos,https://www.allrecipes.com/recipe/85185/authentic-mexican-breakfast-tacos/,"{'quantity': '6', 'unit': 'ounces', 'name': 'chorizo sausage'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '8', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot pepper sauce (e.g. Tabasco™), or to taste'}","Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Remove sausage to a plate. Drain and discard grease; wipe the skillet clean with a paper towel.. Place the same skillet over medium heat and grease with cooking spray. Whisk together eggs, milk, salt, and pepper in a medium bowl; pour into the prepared skillet. Cook and gently stir until scrambled and almost dry. Add sausage; continue to cook and stir until firm.. Meanwhile, warm a second skillet over high heat. Cook tortillas until hot and crispy on the edges, but still pliable, about 45 seconds per side.. Sprinkle Monterey Jack cheese evenly onto hot tortillas. Top each with scrambled eggs, salsa, and hot pepper sauce.","calories: 537, fat: 34g, carbs: 28g, protein: 31g, servings: 4",https://cdn.jwplayer.com/v2/media/LWXvjVdQ/poster.jpg?width=720
Chorizo Breakfast Burritos,https://www.allrecipes.com/recipe/76464/chorizo-breakfast-burritos/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '¾', 'unit': 'pound', 'name': 'chorizo sausage, casings removed and crumbled'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '1', 'unit': '', 'name': 'green chile pepper, seeded and diced'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': '', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Generously coat a large frying pan with cooking spray. Cook and stir chorizo in the prepared pan over medium-high heat until well browned and crumbled. Add onion and chile pepper; continue cooking, stirring occasionally, until onion is tender.. Beat eggs in a medium bowl and add to chorizo mixture. Reduce heat to medium-low; continue cooking and stirring until eggs are scrambled and no longer runny.. Warm flour tortillas in the microwave for 30 seconds. Spoon chorizo-egg mixture into the middle of each tortilla and top with shredded Cheddar cheese. Roll up like a burrito.","calories: 822, fat: 54g, carbs: 43g, protein: 40g, servings: 4",https://www.allrecipes.com/thmb/rChMTEcFXirGbiuhrQrVCmgj9d8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/727143-f9bddfcb5028406699fd340d15bead19.jpg
Easy Huevos Rancheros,https://www.allrecipes.com/recipe/57947/authentic-huevos-rancheros/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, or more if needed'}, {'quantity': '4', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'refried beans with green chiles'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'butter'}, {'quantity': '4', 'unit': None, 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '8', 'unit': 'slices', 'name': 'bacon, cooked and crumbled'}, {'quantity': '½', 'unit': 'cup', 'name': 'salsa (Optional)'}","Heat oil in a large skillet over medium-high heat. Fry two tortillas at a time in the hot skillet until firm, but not crisp, about 30 seconds per side. Drain on paper towels.. Reduce the heat to medium, and add more oil to the skillet if dry. Crack in eggs and cook until the outer edges become opaque, about 1 minute. Cover, reduce the heat to low, and cook until the whites are completely set, about 4 minutes.. While the eggs are cooking, combine refried beans and butter in a microwave-safe dish. Cover and microwave on high in 1-minute intervals until hot.. Place tortillas onto plates and spread with a layer of hot refried beans. Top with Cheddar, a fried egg, crumbled bacon, and salsa.","calories: 494, fat: 33g, carbs: 24g, protein: 27g, servings: 4",https://cdn.jwplayer.com/v2/media/WsKr1woi/poster.jpg?width=720
Southwest Breakfast Burritos,https://www.allrecipes.com/recipe/214583/southwest-breakfast-burritos/,"{'quantity': '12', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': 'bulk pork sausage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '½', 'unit': '', 'name': 'red onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'tomato, diced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': '(3.5 ounce) can', 'name': 'diced jalapeños (Optional)'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'taco seasoning'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '20', 'unit': '(6 inch)', 'name': 'flour tortillas'}","Gather all ingredients.. Whisk together eggs, milk, and salt in a large bowl. Heat butter in a large skillet over medium-high heat. Pour in egg mixture; cook and stir until eggs are completely set, about 5 minutes.. Break up cooked eggs into small pieces and place into a large bowl. Set aside.. Heat the same large skillet over medium heat. Cook and stir sausage and garlic in the hot skillet for 5 minutes, Add onion; continue to cook and stir until sausage is crumbly, evenly browned, and no longer pink. Drain and discard any excess grease.. Transfer sausage to eggs in the bowl. Stir in tomato, cilantro, jalapeños, and taco seasoning until well combined. Allow mixture to cool to room temperature, then stir in Cheddar cheese.. Lay a tortilla onto your work surface, then spoon some of the egg filling halfway between the bottom edge and the center of tortilla. Flatten filling into a rectangular shape with the back of a spoon. Fold the bottom of tortilla snugly over filling, then fold in the left and right edges. Roll burrito up to the top edge, forming a tight cylinder. Repeat with remaining ingredients.. Wrap individual burritos tightly with plastic wrap and store in the freezer until ready to serve.. To serve, heat burritos in the microwave until hot, 3 to 4 minutes.","calories: 296, fat: 19g, carbs: 19g, protein: 12g, servings: 20",https://cdn.jwplayer.com/v2/media/BjVfM02g/poster.jpg?width=720
New Mexico Green Chile Breakfast Burritos,https://www.allrecipes.com/recipe/200257/new-mexico-green-chile-breakfast-burritos/,"{'quantity': '4', 'unit': '', 'name': 'potatoes, shredded'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen Hatch, New Mexico green chile peppers'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '12', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '6', 'unit': '(10 inch)', 'name': 'flour tortillas'}, {'quantity': '', 'unit': '', 'name': 'butter flavored cooking spray'}, {'quantity': '12', 'unit': 'extra large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}","Place the shredded potatoes in a bowl, cover with water, and set aside. Bring the onion, garlic, green chiles, and chicken broth to a boil in a saucepan over high heat. Reduce the heat to low, and simmer until the sauce thickens; turn off the heat.. Meanwhile, place the strips of bacon on paper towels on a microwave-safe plate, and cook on High until crisp, about 1 minute per strip; set aside.. Heat the vegetable oil over medium-high heat in a large skillet. Drain the potatoes, and add to the skillet. Spoon hot oil over the potatoes; sprinkle with the onion powder, salt, and pepper. Flip the potatoes occasionally, but let them fry until crispy bits form and the potatoes are cooked through, about 15 minutes.. Place the tortillas between two damp paper towels. Microwave on High until warm, about 30 seconds.. Spray a separate skillet with butter flavored cooking spray and cook the eggs over medium heat, whisking them continuously until the eggs are completely set; turn off the heat.. Lay a tortilla flat in front of you. Place some potatoes, scrambled egg, and a strip of bacon on the lower third, leaving about an inch of room from the bottom, and about 1-1/2 inches on the left and right clear for folding the burrito. Spoon on a little of the green chile sauce, and sprinkle with Cheddar cheese.. Fold the left and right edges into the middle about 1-1/2 to 2 inches. Take the bottom edge closest to you with the stuffing and pick it up, pulling it OVER the filling, while keeping the sides in place until that edge now touches the tortilla about 7/8 of the way up to the top edge. Check to see that the sides are still tucked well. If they aren't slide them in a bit now that you have the filling covered. Finish by tucking the bottom flap that you pulled over the filling UNDER the filling a bit to seal it, then continue rolling the burrito up to the top edge, forming a tight cylinder. Let it rest seam-side down, and it will stay nice and tight. Repeat with remaining ingredients.","calories: 873, fat: 50g, carbs: 66g, protein: 40g, servings: 6",https://www.allrecipes.com/thmb/qwDZy2O9AUwVvdNAEIZ6BJ2-uqE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/New-Mexico-Green-Chile-Burritos-Lela-4x3-1-2000-100ed7395e7b4ffdb43c75ec7a82df30.jpg
Bacon and Egg Tacos,https://www.allrecipes.com/recipe/245713/bacon-and-egg-tacos/,"{'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crumbled cooked bacon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'slices', 'name': 'American cheese, diced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '6', 'unit': '', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'salsa (Optional)'}","Whisk eggs together in a bowl; stir in bacon.. Melt butter in a skillet over medium heat. Add egg mixture; cook and stir until eggs are completely set, 2 to 3 minutes. Stir in American cheese, salt, and pepper.. Wrap tortillas in damp paper towels; microwave until warmed through, 30 seconds to 1 minute.. Spoon 1/4 cup egg mixture into the center of each tortilla; fold sides to cover. Serve with salsa.","calories: 436, fat: 22g, carbs: 41g, protein: 19g, servings: 6",https://www.allrecipes.com/thmb/v5u1xw2ZAjnBlUvooEGCHR9JZgM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4484963-bacon-and-egg-tacos-Buckwheat-Queen-4x3-1-5f349875b11242bc9abfdc83edb62f4b.jpg
