name,link,ingredients,steps,nutrition,image_url
15 Satisfying Breakfast Casseroles With Ham,https://www.allrecipes.com/gallery/breakfast-casserole-recipes-with-ham/,,,,https://www.allrecipes.com/thmb/dq_qV_SFLoUaRbYFlaydKLKhDj4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Screen-Shot-2021-08-08-at-5.08.48-PM-1e7f38da675d4358ba8678666aedb364.png
15 Quick and Easy Breakfast Casseroles for Busy Mornings,https://www.allrecipes.com/gallery/easy-breakfast-casseroles/,,,,https://www.allrecipes.com/thmb/kpF7ungWqyEUYiuClVdIwN2iWIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7653762-2000-f218d418579e44a6845a262b03d2c78c.jpg
11 Baked French Toast Casseroles That Make Brunch Easy,https://www.allrecipes.com/gallery/baked-french-toast-casserole-recipes/,,,,https://www.allrecipes.com/thmb/xoxSvYQRpQ07XuN9JtbYvUP9T5I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/overnight-blueberry-french-toast-casserole-830a5903bcc747dd80e4b224ad2e3778.jpg
11 Easy Hashbrown Casseroles for Potato Lovers,https://www.allrecipes.com/gallery/easy-hashbrown-casserole-recipes/,,,,https://www.allrecipes.com/thmb/DhjtNXYj01rqULzLELartmz1NZU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Hash-Brown-and-Egg-Casserole-1b2152f1422640daa6c394f6b1210ff0.jpg
10 Breakfast Casserole Recipes That Start With Refrigerated Crescent Rolls,https://www.allrecipes.com/crescent-roll-breakfast-casserole-recipes-8745333,,,,https://www.allrecipes.com/thmb/SZ8lgQMWOZEqsfZzS8J2tUEjte4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/168244-Simple-Sausage-Casserole-DDMFS-034-4x3-d5977c22aa024fa08011aefb5d54c36a.jpg
Croque Monsieur Casserole,https://www.allrecipes.com/croque-monsieur-casserole-recipe-8714012,"{'quantity': '12', 'unit': None, 'name': 'sourdough English muffins'}, {'quantity': '10', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'sliced ham'}, {'quantity': '3', 'unit': 'cups', 'name': 'Swiss or Gruyere cheese'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a baking dish. Melt 6 tablespoons butter.. Place English muffin cubes in a large bowl and top with melted butter and Dijon mustard. Toss until well coated and place spread out in an even layer on a baking sheet. Bake until lightly browned and lightly toasted, 12 to 14 minutes.. Meanwhile, whisk together eggs, half-and-half, 1 teaspoon salt and 1/2 teaspoon pepper in a bowl until well combined and set aside.. Place half of bread cubes in the prepared baking dish. Fold half of the ham slices and tear into 1 ½-inch pieces and disperse ham between bread cubes. Top evenly with 2 cups of grated Swiss cheese.. Top with remaining bread, ham, and grated Swiss cheese. Pour egg mixture over casserole and press lightly to submerge most of the bread. Let stand at room temperature for 30 minutes.. Bake casserole until egg mixture is absorbed, 45 to 50 minutes. Cover with foil during the last 20 minutes of baking time if casserole is browning too quickly.. Meanwhile, melt remaining butter in a saucepan over medium heat. Whisk in flour and cook, stirring constantly, about 1 minute. Whisk in milk until smooth. Bring mixture to a boil and reduce heat to simmer, stirring occasionally until thickened, about 3 minutes. Add in remaining salt, pepper, and nutmeg and stir. Cook about 8 minutes on low, stirring occasionally, and remove from heat.. Remove casserole from oven and turn on the oven’s broiler. Pour cream sauce over casserole and top with grated Parmesan. Place casserole back in oven and broil until bubbly and lightly browned, about 3 minutes. Let stand for 5 to 10 minutes. Sprinkle with chives and serve.","calories: 906, fat: 52g, carbs: 80g, protein: 30g, servings: 10",https://www.allrecipes.com/thmb/gBPXo9cc-Rdgoho6PKwv_tePfwA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8714012_Croque-Monsieur-Breakfast-Casserole_Dotdash-Meredith-Food-Studios_4x3-81494679ef4e4f5281400d8f83c57905.jpg
Brioche French Toast Casserole,https://www.allrecipes.com/brioche-french-toast-casserole-recipe-8634275,"{'quantity': '1/2', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon, divided'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons pure', 'name': 'maple syrup, plus more for serving'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'vanilla extract'}, {'quantity': '1 (16-', 'unit': 'oz.) day-old', 'name': 'brioche loaf, cut into 1-inch cubes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'granulated sugar'}",,"calories: 356, fat: 21g, carbs: 33g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/v_7b46pdDUoa3rhj5NX9HI8e16A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8634275-brioche-french-toast-casserole-ddmfs-4x3-2-2235fc02468744db8cfffce15272b88b.jpg
Chorizo Breakfast Casserole,https://www.allrecipes.com/chorizo-breakfast-casserole-recipe-8634313,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'lb', 'name': 'chorizo, casings removed'}, {'quantity': '1', 'unit': None, 'name': 'orange bell pepper, finely chopped'}, {'quantity': '1', 'unit': None, 'name': 'poblano chile'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'half and half'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon freshly ground', 'name': 'freshly ground'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mild Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded pepper Jack cheese'}, {'quantity': '5', 'unit': 'cups', 'name': 'refrigerated shredded hash browns'}, {'quantity': '2', 'unit': None, 'name': 'avocados, halved lengthwise and thinly sliced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'scallions'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly coat a 13- x 9-inch baking dish with cooking spray.. Heat a large skillet over medium-high. Add chorizo, and cook, stirring to break up meat into small pieces, until browned, about 8 minutes. Transfer to a paper towel-lined plate. Do not wipe skillet clean.. Add bell pepper and poblano to drippings in skillet; cook over medium, stirring occasionally, until softened, about 5 minutes. Remove skillet from heat.. Whisk together eggs, half-and-half, garlic salt, onion powder, black pepper, and chili powder in a large bowl until fully combined. Stir in sausage, bell pepper and poblano, and cheeses until well combined.. Spread hashbrowns in an even layer in prepared baking dish. Pour egg mixture over hashbrowns, pressing to fully submerge hash browns.. Bake in preheated oven until eggs are set in center and top is golden brown, 40 to 45 minutes. Let stand for 10 minutes. Top evenly with avocado slices. Sprinkle evenly with scallions.","calories: 668, fat: 50g, carbs: 36g, protein: 23g, servings: 12",https://www.allrecipes.com/thmb/eRxXjEFbz7MvMg6j-Avm5h_jzUs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8634313-breakfast-chorizo-casserole-ddmfs-4x3-a2aff592a64f484f89404d412ae270c4.jpg
The Ultimate Brunch Casserole,https://www.allrecipes.com/the-ultimate-brunch-casserole-recipe-8624537,"{'quantity': '1', 'unit': 'pound', 'name': 'hashbrowns'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'chorizo'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '12', 'unit': None, 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'grated cheddar cheese'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1', 'unit': None, 'name': 'avocado'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pickled jalapeños'}",,"calories: 899, fat: 71g, carbs: 29g, protein: 38g, servings: 8",https://www.allrecipes.com/thmb/Ujm-R08JOtFaJlUCEaotH6wpJZc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8624537-ultimate-breakfast-casserole-hero-4x3-8c1275a101cd4c57a21837c38476a08c.jpg
Breakfast Crunchwrap Casserole,https://www.allrecipes.com/breakfast-crunchwrap-casserole-recipe-8623349,"{'quantity': '10', 'unit': None, 'name': 'frozen hash brown patties'}, {'quantity': '1', 'unit': 'pound', 'name': 'breakfast sausage'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pickled jalapeno peppers'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '6', 'unit': '(12-inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '10', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment, and arrange hash brown patties in a single layer.. Bake in the preheated oven until browned and crispy, flipping halfway through, 20 to 25 minutes. Reduce oven temperature to 375 degrees F (190 degrees C).. Meanwhile, heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease.. Stir salsa, sour cream, and jalapenos together in a small bowl; set aside.. Brush 1 tablespoon melted butter evenly on bottom and sides of casserole dish. Arrange 5 tortillas, overlapping each other and lightly draping over the sides, to fully cover the bottom and sides of the dish. Spread cooked sausage over the tortillas.. Melt 1 tablespoon butter in a large nonstick skillet over medium heat. Whisk eggs, water, salt and pepper together in a large bowl until well blended. Add eggs to skillet and cook, stirring constantly, until loosely set and soft-scrambled, about 3 minutes. Spread eggs evenly over sausage.. Drizzle half of sour cream mixture over eggs and sprinkle on 3/4 cup cheese. Top with hash browns and remaining cheese.. Place remaining tortilla in the center of the dish and fold the overlapping tortillas over the center tortilla; press slightly to seal. Brush with remaining 2 tablespoons melted butter, pressing down to help tortilla edges stick together.. Bake in the oven at 375 degrees F (190 degrees C) until toasted golden brown, 25 to 30 minutes. Carefully place a large platter or board over casserole dish; invert casserole onto the board. Cut casserole into squares and serve with remaining sour cream sauce and more salsa as desired.","calories: 918, fat: 52g, carbs: 75g, protein: 36g, servings: 8",https://cdn.jwplayer.com/v2/media/uBeZLeKI/thumbnails/fnfEghYD.jpg
