name,link,ingredients,steps,nutrition
Breakfast Strata,https://www.allrecipes.com/recipe/229312/breakfast-strata/,"{'quantity': '1', 'unit': 'pound', 'name': 'sausage, casings removed'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '10', 'unit': 'cups', 'name': 'cubed, day-old bread'}, {'quantity': '8', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '3', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cubed Black Forest ham'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen chopped spinach, thawed and drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons dry', 'name': 'mustard'}, {'quantity': '2', 'unit': 'teaspoons unsalted', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Generously grease a 9x13-inch casserole dish.. Heat a skillet over medium heat; cook and stir sausage until crumbly and completely browned, about 10 minutes. Transfer cooked sausage to the prepared casserole dish.. Cook and stir mushrooms in the same skillet over medium heat until liquid has been released and mushrooms are lightly browned, 5 to 10 minutes; drain.. Combine mushrooms, bread, eggs, milk, Cheddar cheese, ham, spinach, flour, dry mustard, butter, basil, and salt together in a large bowl; pour over sausage. Cover casserole dish and refrigerate, 2 hours to overnight.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until a knife inserted into the center comes out clean, 60 to 70 minutes.","calories: 600, fat: 37g, carbs: 32g, protein: 34g, servings: 8"
Fluffy Egg Strata,https://www.allrecipes.com/recipe/132372/bacon-egg-and-cheese-strata/,"{'quantity': '12', 'unit': 'thick slices', 'name': 'white bread, cut into 1 inch cubes'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped fresh mushrooms (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crumbled cooked bacon'}, {'quantity': '12', 'unit': '', 'name': 'eggs'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}","Gather all ingredients. Toss cubed bread, cheese, mushrooms, and bacon together in a large bowl; pour into a 9x13-inch baking dish.. Whisk eggs, half-and-half, and mustard together until smooth; pour evenly over bread mixture.. You can bake the strata straightaway but for better results, cover the dish with plastic wrap and refrigerate overnight. When ready to bake, preheat the oven to 350 degrees F (175 degrees C).. Remove plastic wrap from the baking dish; bake strata in the preheated oven until eggs are set and top is golden brown, about 1 hour. Let stand for 10 minutes before serving.","calories: 631, fat: 39g, carbs: 37g, protein: 33g, servings: 6"
"Bacon, Cheddar and Spinach Strata",https://www.allrecipes.com/recipe/245619/bacon-cheddar-and-spinach-strata/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'bacon grease'}, {'quantity': '1', 'unit': '(1 pound) loaf', 'name': 'day-old bread, cubed'}, {'quantity': '12', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly grated nutmeg'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'pound', 'name': 'sliced bacon, cut crosswise into 1/2-inch strips'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh spinach, wilted, squeezed dry'}, {'quantity': '12', 'unit': 'ounces', 'name': 'shredded extra-sharp Cheddar cheese, divided'}","Oil bottom and sides of a 9x13-inch baking dish with about a tablespoon of bacon fat.. Place bread cubes in a large mixing bowl.. Crack eggs into a separate mixing bowl. Season with salt, pepper, cayenne, and nutmeg. Add cream and whisk mixture thoroughly.. Pour egg/cream mixture over the bread cubes and mix to distribute ingredients evenly. Allow bread mixture to sit about 15 minutes to absorb the liquid.. Transfer half of the bread mixture to the baking pan; spread evenly over the bottom and press mixture down a bit. Top with half of the grated Cheddar cheese. Add cooked bacon pieces in an even layer over the cheese. Place the cooked spinach over the bacon; top with half of the remaining cheese. Finish with the rest of the soaked bread cubes, spread evenly and pressed down slightly. Sprinkle with the rest of the grated cheese. Cover and let strata sit at room temperature for 1 hour before baking.. Preheat oven to 350 degrees F (175 degrees C).. Bake strata in preheated oven until set, about 45 minutes. Optionally, you can broil the strata for a minute or two to brown the top.","calories: 535, fat: 40g, carbs: 24g, protein: 22g, servings: 12"
Overnight Asparagus Mushroom Strata,https://www.allrecipes.com/recipe/213651/overnight-asparagus-mushroom-strata/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter, or as needed'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'sliced crimini mushrooms'}, {'quantity': '5', 'unit': '', 'name': 'English muffins, split and toasted'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Colby-Monterey Jack cheese, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus, trimmed and cut into 1-inch pieces'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '½', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '8', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Melt butter in a skillet over medium heat. Add mushrooms; cook and stir until beginning to brown and most of their liquid has evaporated, about 10 minutes.. Grease a 9x13-inch baking dish. Arrange eight muffin halves, cut-side up, in the bottom of the dish. Tear remaining muffins into smaller pieces and use to fill any open spaces. Sprinkle with 1/2 of the cheese, then top with asparagus pieces, mushrooms, red pepper, and onion.. Whisk milk, eggs, salt, mustard powder, and black pepper together in a bowl; pour over muffins and vegetables. Cover the dish and refrigerate, 8 hours to overnight.. The next day, remove the casserole from the refrigerator and let stand for 30 minutes. Spread remaining cheese over the top.. Meanwhile, preheat the oven to 375 degrees F (190 degrees C).. Bake the casserole in the preheated oven until a knife inserted near the edge comes out clean, 40 to 45 minutes. Let stand for 5 to 10 minutes before cutting into squares.","calories: 349, fat: 19g, carbs: 25g, protein: 21g, servings: 8"
Easy Strata and Variations,https://www.allrecipes.com/recipe/76956/easy-strata-and-variations/,"{'quantity': '1', 'unit': 'pound', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'quart', 'name': 'half-and-half'}, {'quantity': '12', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt and several grinds of pepper'}, {'quantity': '12', 'unit': 'slices', 'name': 'fluffy white bread'}, {'quantity': '1', 'unit': 'pound', 'name': 'cubed fully cooked ham'}, {'quantity': '12', 'unit': 'ounces', 'name': 'extra-sharp cheddar cheese, grated'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced scallions'}","Saute mushrooms in 1 tablespoon of oil. Season with salt and set aside.. Whisk half-and-half, eggs, salt and pepper until smooth. Spray a 9-by-13-inch Pyrex or ceramic baking dish with vegetable cooking spray.. Line bottom with 6 slices of bread. Scatter half of the ham, and half of the mushrooms over the bread, then sprinkle with half of the scallions and cheese. Pour 1 cup of egg mixture over the top. Repeat layers with remaining bread, ham, mushrooms, cheese and scallions. Slowly pour remaining egg mixture evenly over top. Cover with plastic wrap, then weight down casserole with 3 16-ounce cans for at least 15 minutes to submerge ingredients. (Can be refrigerated overnight, but return to room temperature before baking.). Adjust oven rack to middle position. Bake in preheated 325-degree oven until custard is just set, about 50 minutes. Turn on broiler and broil until strata is spotty brown and puffy (watch carefully), about 5 minutes longer. Let stand for 8 to 10 minutes, then serve immediately.",
Blueberry Strata,https://www.allrecipes.com/recipe/148505/blueberry-strata/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'loaf', 'name': 'French bread, cubed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'blueberries'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, cut into ½-inch cubes'}, {'quantity': '12', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter'}","Coat a 9x13-inch baking dish with cooking spray. Place half the bread cubes in the dish; top with 1 ½ cups blueberries. Scatter cream cheese over berries. Cover with remaining bread cubes. In a mixing bowl, whisk together eggs, maple syrup, and milk. Pour egg mixture over bread in dish. Cover, and chill overnight.. Preheat oven to 350 degrees F (175 degrees C).. Bake strata, covered, for 30 minutes. Remove cover, and bake for an additional 30 minutes.. While the strata is baking, prepare the blueberry syrup. Combine sugar, cornstarch, and water in a saucepan. Bring mixture to a boil over high heat; cook for 5 minutes. Pour in remaining 1 ½ cups blueberries; continue cooking for 10 minutes. Remove from heat, and stir in butter. Serve warm over slices of the strata.","calories: 369, fat: 16g, carbs: 47g, protein: 11g, servings: 16"
Mom's Breakfast Strata,https://www.allrecipes.com/recipe/33174/moms-breakfast-strata/,"{'quantity': '9', 'unit': 'slices', 'name': 'bread, torn into bite size pieces'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced fresh mushrooms'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '16', 'unit': 'ounces', 'name': 'Cheddar cheese, shredded'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed cooked ham'}, {'quantity': '8', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}","Grease a 9x13 inch baking dish. Layer half of the torn bread in the bottom of the dish. Sprinkle the mushrooms and green bell pepper evenly over the bread layer. Sprinkle with half of the cheese. Top with remaining bread pieces, then layer with the onion and ham. Sprinkle with remaining cheese. Whisk together eggs and milk; pour over the entire pan. Cover with aluminum foil, and refrigerate for 12 to 24 hours.. Preheat the oven to 350 degrees F (175 degrees C).. Bake covered for 35 minutes, then remove foil and bake for an additional 15 minutes, or until top is evenly brown.","calories: 496, fat: 32g, carbs: 20g, protein: 31g, servings: 8"
English Muffin Breakfast Strata,https://www.allrecipes.com/recipe/229313/english-muffin-breakfast-strata/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'ground pork sausage'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, or as needed'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'English muffins, split'}, {'quantity': '10', 'unit': 'ounces', 'name': 'shredded sharp Cheddar cheese, divided'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded mozzarella cheese, divided'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '1', 'unit': '(4 ounce) can', 'name': 'chopped green chiles, drained'}","Heat a large skillet over medium-high heat; add sausage. Cook and stir until crumbly, evenly browned, and no longer pink, about 10 minutes. Drain and discard any excess grease.. Lightly grease a 9x13-inch baking dish.. Spread butter on inside of each English muffin half; arrange in the prepared baking dish. Top with 1/2 each sausage, Cheddar cheese, and mozzarella cheese.. Whisk eggs, sour cream, and green chiles together in a large bowl; pour evenly over sausage and cheese layer. Top with remaining 1/2 each sausage, Cheddar cheese, and mozzarella cheese. Cover strata and chill for 8 hours.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until lightly browned and set in the middle, about 35 minutes. Let stand for 10 minutes before serving.","calories: 359, fat: 26g, carbs: 13g, protein: 18g, servings: 15"
7 Overnight Breakfast Strata Recipes,https://www.allrecipes.com/gallery/overnight-breakfast-strata-recipes/,,,
Sweet Bread Strata,https://www.allrecipes.com/recipe/261055/sweet-bread-strata/,"{'quantity': '6', 'unit': '', 'name': ""Hawaiian bread rolls (such as King's®)""}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Swiss cheese, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '3', 'unit': 'slices', 'name': 'cooked bacon, diced, divided'}, {'quantity': '4', 'unit': '', 'name': 'green onions, diced, divided'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '½', 'unit': 'cup', 'name': 'skim milk'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Preheat the oven to 350 degrees F (175 degrees C).. Cut each roll into 8 cubes. Spread onto a baking sheet in a single layer.. Bake in the preheated oven until toasted, about 10 minutes.. Layer toasted bread cubes in a 1 1/2-quart baking pan. Sprinkle 1/4 cup Swiss cheese, 1/4 cup Cheddar cheese, 1/2 the bacon, and 2 green onions on top of the bread. Shake to settle the toppings into the bread.. Beat eggs together with half-and-half, milk, salt, and pepper in a bowl. Pour over the bread cubes, pressing cubes down into the mixture. Sprinkle the remaining Swiss cheese, Cheddar cheese, bacon, green onions, and Parmesan cheese on top.. Bake in the preheated oven until strata is hot in the center, about 30 minutes.","calories: 323, fat: 9g, carbs: 34g, protein: 18g, servings: 8"
