name,link,ingredients,steps,nutrition,image_url
Broccoli Crunch Salad,https://www.allrecipes.com/broccoli-crunch-salad-recipe-8725179,"{'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'salt to taste'}, {'quantity': '4', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '1', 'unit': '(12 ounce) bag', 'name': 'broccoli slaw mix'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sunflower seeds'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'bacon'}","Combine mayonnaise, apple cider vinegar, sugar, onion powder, pepper, and salt in a bowl. Whisk together until smooth and creamy. Set aside.. In a large bowl combine broccoli slaw, broccoli florets, red onion, sunflower seeds, dried cranberries, and bacon. Pour dressing mix on top of broccoli mix and toss until well coated.. Chill until ready to serve.","calories: 371, fat: 29g, carbs: 24g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/EHm83d1KLfageR5j1gP7Xd1ryek=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8725179_Broccoli-Crunch-Salad_Debbie-Hendrix_4x3-2a9e35259e064feb8f0e4f1e9f6475b3.jpg
Broccoli Caesar Salad,https://www.allrecipes.com/broccoli-caesar-salad-recipe-8720974,"{'quantity': '1', 'unit': 'heaping', 'name': 'bread'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '5', 'unit': 'cups', 'name': 'broccoli'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'aesar dressing'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese, plus more for garnish'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges, for serving'}","​​Preheat oven to 300 degrees F (150 degrees C).. For croutons, toss bread and butter on a 10x15-inch rimmed baking sheet; spread in an even layer. Bake, stirring halfway through, until golden brown, about 20 minutes.. Meanwhile, stir together broccoli, dressing, Parmesan, and lemon juice in a large bowl. Add croutons and pepper; toss to coat. Serve with lemon wedges and garnish with additional Parmesan.","calories: 322, fat: 25g, carbs: 22g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/P9pkyDL5pLsE1avRq4vI4sScT34=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8720974-Broccoli-Caesar-Salad-Allrecipes-Magazine-4x3-913735ac106143749083244b409f2ecd.jpg
Broccoli Salad,https://www.allrecipes.com/recipe/14280/fresh-broccoli-salad/,"{'quantity': '½', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '2', 'unit': 'heads', 'name': 'fresh broccoli, cut into bite-sized pieces'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, sliced into bite-sized pieces'}, {'quantity': '¾', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}",,"calories: 374, fat: 27g, carbs: 29g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/wTq1KBqX/poster.jpg?width=720
Bodacious Broccoli Salad,https://www.allrecipes.com/recipe/14281/bodacious-broccoli-salad/,"{'quantity': '8', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '2', 'unit': 'heads', 'name': 'fresh broccoli, chopped'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sharp Cheddar cheese, shredded'}, {'quantity': '½', 'unit': 'large', 'name': 'red onion, chopped'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice'}","Gather all ingredients.. Place bacon in a large, deep skillet. Cook over medium-high heat until crisp and evenly browned, 8-10 minutes. Transfer to a paper towel-lined plate and crumble when cool enough to handle.. Combine bacon, broccoli, cheese, and onion in a large bowl.. Whisk mayonnaise, red wine vinegar, sugar, pepper, salt, and lemon juice together in a small bowl.. Pour over salad and toss to combine.. Cover and refrigerate until ready to serve.","calories: 273, fat: 24g, carbs: 7g, protein: 8g, servings: 12",https://cdn.jwplayer.com/v2/media/sTJ0X0mO/thumbnails/PPyos1eE.jpg
Easy Broccoli Bacon Salad,https://www.allrecipes.com/recipe/242291/easy-broccoli-bacon-salad/,"{'quantity': '12', 'unit': 'slices', 'name': 'cooked bacon, crumbled'}, {'quantity': '1', 'unit': 'large head', 'name': 'broccoli, cut into florets'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sunflower seeds'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'red wine vinegar'}","Gather all ingredients.. Combine bacon, broccoli, raisins, onion, and sunflower seeds in a large bowl.. Whisk mayonnaise, sugar, and red wine vinegar together in a small bowl until dressing is smooth.. Pour over broccoli mixture and stir to coat.","calories: 231, fat: 14g, carbs: 28g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/p-BOQd2bYgn6VZCi4LX_NAMQ61U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-242291-easy-broccoli-bacon-salad-DDMFS-beauty-4x3-97627b9b6915489eb67e09eb1ce6eb52.jpg
Broccoli and Ramen Noodle Salad,https://www.allrecipes.com/recipe/16414/broccoli-and-ramen-noodle-salad/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'broccoli coleslaw mix'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'chicken flavored ramen noodles'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted peanuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'sunflower seeds'}",,"calories: 562, fat: 34g, carbs: 52g, protein: 17g, servings: 6",https://cdn.jwplayer.com/v2/media/4Nr19gip/poster.jpg?width=720
"Broccoli Salad with Red Grapes, Bacon, and Sunflower Seeds",https://www.allrecipes.com/recipe/232720/broccoli-salad-with-red-grapes-bacon-and-sunflower-seeds/,"{'quantity': '8', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sunflower seed kernels'}, {'quantity': '1', 'unit': 'large head', 'name': 'broccoli, cut into bite-size pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless red grapes, halved'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced red onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned and crisp, about 10 minutes. Drain bacon slices on paper towels. Crumble 7 slices of bacon; mix with sunflower seeds in a resealable plastic bag and set aside.. Combine broccoli, grapes, and onion in a large bowl.. Whisk mayonnaise, vinegar, sugar, and pepper together in a separate bowl; crumble remaining slice of bacon and fold into dressing.. Pour dressing over broccoli mixture; toss to coat evenly. Cover the bowl with plastic wrap and refrigerate for flavors to blend, about 2 hours. Sprinkle bacon-sunflower seed mixture over salad before serving; mix well.","calories: 327, fat: 29g, carbs: 13g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/GDVb0aoxVLZlf9D-CRcORRAMeV8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232720broccoli-salad-with-red-grapes-bacon-and-sunflower-seedslutzflcat4x3-bd3217c562eb46b6845155445233f8e2.jpg
Broccoli Cranberry Salad,https://www.allrecipes.com/recipe/222955/broccoli-cranberry-salad/,"{'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '6', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '3', 'unit': 'heads', 'name': 'broccoli, cut into bite-sized pieces'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'salted sunflower kernels, toasted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dried cranberries'}","Make dressing: Whisk together mayonnaise, sugar, and vinegar in a small bowl. Chill in the refrigerator until needed.. Make salad: Cook bacon in a large skillet over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on a paper towel-lined plate, then crumble and set aside.. Combine broccoli, onion, sunflower seeds, and cranberries in a large serving bowl. Add crumbled bacon and drizzle with dressing; toss until well combined.","calories: 314, fat: 25g, carbs: 19g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/uYBxyy0P5sGe4ZH9ZA6IOir68E4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4542396-3aafa66ba24240da82c8a3a2d8b54527.jpg
Barb's Broccoli-Cauliflower Salad,https://www.allrecipes.com/recipe/16485/barbs-broccoli-cauliflower-salad/,"{'quantity': '12', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'head', 'name': 'cauliflower, chopped'}, {'quantity': '1', 'unit': 'head', 'name': 'fresh broccoli, diced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sunflower seeds'}, {'quantity': '½', 'unit': None, 'name': 'red onion, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'creamy salad dressing'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}","Gather all ingredients.. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels; crumble.. Combine bacon, cauliflower, broccoli, sunflower seeds, and onion in a large bowl.. Whisk salad dressing, sugar, and vinegar together until blended. Pour over cauliflower mixture and toss to coat. Refrigerate and allow to chill before serving.","calories: 419, fat: 34g, carbs: 20g, protein: 10g, servings: 8",https://cdn.jwplayer.com/v2/media/trH3LrdC/poster.jpg?width=720
Broccoli Raisin Salad,https://www.allrecipes.com/recipe/232432/broccoli-raisin-salad/,"{'quantity': '1', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '6', 'unit': 'cups', 'name': 'chopped broccoli'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, finely chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'sunflower seeds'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on paper towels and cool. Chop bacon.. Mix broccoli, bacon, red onion, and raisins in a bowl.. Whisk mayonnaise, sugar, and vinegar together in a bowl; stir dressing into broccoli mixture until evenly coated. Cover bowl and refrigerate for flavors to blend, about 1 hour. Sprinkle salad with sunflower seeds.","calories: 330, fat: 24g, carbs: 25g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/HUq5cr4UKnILYFKm0P1xJnMzltk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3669622-33a6c5422d9a4d958a1eb00287a75e1b.jpg
