name,link,ingredients,steps,nutrition
Strawberry Goat Cheese Bruschetta,https://www.allrecipes.com/recipe/228048/strawberry-goat-cheese-bruschetta/,"{'quantity': '½', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '12', 'unit': 'slices', 'name': 'Italian bread'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'strawberries, washed and diced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh thyme leaves, plus more for serving'}, {'quantity': '1', 'unit': 'cup', 'name': 'goat cheese, room temperature'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground pepper to taste'}","Heat vinegar in a small skillet over medium-low heat. Simmer until reduced by about half, 8 to 10 minutes. Remove from heat and allow to cool to room temperature.. Prepare a grill for high heat. Place bread slices on a foil-lined baking sheet and drizzle with olive oil.. Combine strawberries and thyme in a small bowl and set aside.. Grill bread on the preheated grill until browned, about 3 minutes per side.. Spread goat cheese on toasted bread. Add black pepper, salt, and reduced vinegar to the strawberry mixture. Spoon over the goat cheese topped bruschetta. Garnish with additional thyme.","calories: 303, fat: 15g, carbs: 30g, protein: 12g, servings: 6"
Tomato Bruschetta,https://www.allrecipes.com/recipe/230389/tomato-bruschetta/,"{'quantity': '2', 'unit': 'large', 'name': 'tomatoes, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped red bell pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped red onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil (Optional)'}, {'quantity': '10', 'unit': 'leaves', 'name': 'fresh basil, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(1 pound) loaf', 'name': 'French bread, cut into 1/4-inch slices'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Combine tomatoes, bell pepper, onion, balsamic vinegar, 1/4 cup olive oil, basil, and garlic; let tomato mixture rest for 15 to 30 minutes.. Set oven rack about 6 inches from the heat source and preheat the oven's broiler.. Arrange French bread slices on a large baking sheet; drizzle with 1/4 cup olive oil.. Toast bread in preheated oven until lightly browned, about 1 minute on each side. Top bread slices with tomato mixture using a slotted spoon, allowing excess liquid to drain. Return bread to baking sheet and sprinkle with mozzarella cheese.. Broil in preheated oven until cheese melts, about 3 minutes. Serve immediately.","calories: 248, fat: 12g, carbs: 29g, protein: 7g, servings: 10"
Russian Tomato Salad Bruschetta,https://www.allrecipes.com/recipe/285235/russian-tomato-salad-bruschetta/,"{'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'plain yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced sweet onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'thinly sliced tomatoes'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '8', 'unit': 'thick slices', 'name': 'French bread'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sliced fresh chives'}",,"calories: 162, fat: 6g, carbs: 23g, protein: 5g, servings: 8"
DIY Bruschetta Bar Makes Entertaining Easy,https://www.allrecipes.com/article/diy-bruschetta-bar-makes-entertaining-easy/,,,
Bruschetta with Shallots,https://www.allrecipes.com/recipe/23937/bruschetta-with-shallots/,"{'quantity': '12', 'unit': '', 'name': 'roma (plum) tomatoes, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced shallots'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped fresh basil leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, cut into slivers'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '1', 'unit': '(1 pound) loaf', 'name': 'Italian bread, cut into 1/2 inch slices'}","In a large bowl, toss together the roma tomatoes, minced garlic, shallots, basil, lemon juice, salt, pepper and 1/3 cup olive oil.. Place the slivered garlic and 1/4 cup olive oil in small saucepan over medium heat. Slowly cook and stir 2 to 3 minutes. Discard garlic.. Toast the bread slices, and brush with the olive oil heated with garlic. Top slices with the roma tomato mixture.","calories: 162, fat: 9g, carbs: 17g, protein: 3g, servings: 16"
Tomato and Ricotta Salata Bruschetta,https://www.allrecipes.com/recipe/269163/tomato-and-ricotta-salata-bruschetta/,"{'quantity': '1', 'unit': 'loaf', 'name': 'Italian bread, cut into 1/2-inch diagonal slices'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, halved'}, {'quantity': '6', 'unit': 'medium', 'name': 'tomatoes, seeded and cut into 1/2-inch pieces'}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'ricotta salata, cut into 1/2-inch pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped red onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh basil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Preheat the oven to 400 degrees F (200 degrees C). Place bread slices on a baking sheet.. Bake in the preheated oven until toasted, about 5 minutes. Rub 1 side of the bread with the cut garlic.. Toss tomatoes, ricotta salata, olive oil, vinegar, onion, basil, salt, and pepper together in a bowl. Divide evenly over bread.","calories: 182, fat: 5g, carbs: 27g, protein: 6g, servings: 14"
Bruschette al Lardo di Colonnata,https://www.allrecipes.com/recipe/246813/bruschette-al-lardo-di-colonnata/,"{'quantity': '1', 'unit': 'clove', 'name': 'garlic, halved, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'cherry tomatoes, halved'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh rosemary, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'loaf', 'name': 'crusty Italian bread, sliced and toasted'}, {'quantity': '7', 'unit': 'ounces', 'name': 'lardo (such as Lardo di Colonnata)'}, {'quantity': '', 'unit': '', 'name': 'freshly ground pink peppercorns to taste'}","Mince 1 of the garlic halves and transfer to a bowl. Add tomatoes, rosemary, olive oil, red pepper flakes, and salt; mix well. Refrigerate tomato mixture for 1 hour.. Rub the remaining garlic half over each slice of bread. Spread lardo onto each slice and top with tomato mixture. Sprinkle ground pink peppercorns over tomato mixture.","calories: 378, fat: 23g, carbs: 37g, protein: 7g, servings: 10"
Strawberry-Balsamic Ricotta Bruschetta,https://www.allrecipes.com/recipe/218869/strawberry-balsamic-ricotta-bruschetta/,"{'quantity': '4', 'unit': '', 'name': 'Mission® Artisan® Multigrain Tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'part-skim ricotta cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'serving', 'name': 'non-stick cooking spray, as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh basil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'balsamic glaze'}, {'quantity': '½', 'unit': 'cup', 'name': 'baby arugula'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pine nuts, toasted'}","Preheat a conventional oven to 400 degrees F.. Combine ricotta, honey, and salt in small mixing bowl; whisk to combine and set aside.. Coat tortillas evenly with non-stick spray. Place in single layer on baking pan and bake 8 to 10 minutes or until golden and crispy. Remove from oven and cut each tortilla into 4 equal strips; set aside to cool and crisp.. In second small mixing bowl, combine diced strawberries and chopped basil; set aside.. Spread ricotta mixture evenly across tortilla strips, drizzle each with balsamic glaze, layer with arugula greens, basil scented strawberries and a sprinkling of pine nuts.","calories: 189, fat: 7g, carbs: 26g, protein: 8g, servings: 6"
Lazy Bruschetta,https://www.allrecipes.com/recipe/87358/lazy-bruschetta/,"{'quantity': '4', 'unit': 'slices', 'name': 'Italian bread, 1/2 inch thick'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Italian cheese blend'}","Preheat your oven's broiler.. Arrange the slices of bread in a single layer on a baking sheet. Mix together the olive oil and garlic powder in a cup or small bowl. Brush onto the slices of bread. Cover each piece of bread with tomato slices, then sprinkle with as much cheese as you like. Drizzle just a bit of the olive oil over the cheese.. Broil for 3 to 5 minutes, until cheese is melted and bread is toasted. Make sure you keep an eye on it - it doesn't take long!","calories: 403, fat: 36g, carbs: 13g, protein: 9g, servings: 4"
Chef John's Grilled Swordfish Bruschetta,https://www.allrecipes.com/recipe/238404/chef-johns-grilled-swordfish-bruschetta/,"{'quantity': '1', 'unit': 'cup', 'name': 'cherry tomato halves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'thinly sliced basil'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '6', 'unit': 'slices', 'name': 'French bread'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': '', 'name': 'swordfish steaks'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grapeseed oil'}","Stir tomatoes, balsamic vinegar, extra virgin olive oil, basil, cayenne pepper, salt, and black pepper together in a bowl. Let sit until flavors blend, at least 30 minutes.. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Brush bread slices with olive oil.. Cook bread slices on the preheated grill until browned and crispy, 2 to 3 minutes per side.. Brush swordfish steaks with grapeseed oil and season with salt and black pepper.. Cook swordfish steaks on the preheated grill until fish flakes easily with a fork, about 4 minutes per side.. Divide bread slices between two plates and top each plate with 1 swordfish steak. Spoon 1/2 of the cherry tomato mixture over each steak.","calories: 749, fat: 44g, carbs: 51g, protein: 37g, servings: 2"
