name,link,ingredients,steps,nutrition,image_url
Buffalo Chicken Dip,https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/,"{'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'chunk chicken, drained'}, {'quantity': '¾', 'unit': 'cup', 'name': ""hot pepper sauce (such as Frank's RedHot)""}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'bunch', 'name': 'celery, cut into 4-inch pieces'}, {'quantity': '1', 'unit': '(8 ounce) box', 'name': 'chicken-flavored crackers'}",,"calories: 284, fat: 23g, carbs: 9g, protein: 11g, servings: 20",https://cdn.jwplayer.com/v2/media/TbFjWzW2/thumbnails/ZglaR7az.jpg
Chicken Wing Dip,https://www.allrecipes.com/recipe/90544/chicken-wing-dip/,"{'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'hot pepper sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'diced cooked chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'ranch-style salad dressing'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Mix cream cheese and hot pepper sauce together in a medium bowl until well blended; stir in chicken, dressing, and Cheddar cheese.. Spread into a 9x13-inch baking dish.. Bake in the preheated oven until bubbly, about 30 minutes. If oil collects on the top, dab it off using a paper towel.. Serve and enjoy!","calories: 240, fat: 22g, carbs: 2g, protein: 9g, servings: 16",https://cdn.jwplayer.com/v2/media/iDy6DepT/thumbnails/raYN3foT.jpg
Cheesy Buffalo Chicken Dip,https://www.allrecipes.com/recipe/157725/cheesy-buffalo-chicken-dip/,"{'quantity': '2', 'unit': '', 'name': 'bone-in chicken breast halves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, finely diced'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'reduced-fat cream cheese'}, {'quantity': '¾', 'unit': 'cup', 'name': 'blue cheese dressing'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '⅓', 'unit': 'cup', 'name': ""hot pepper sauce (such as Frank's RedHot)""}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Place chicken breasts in a large saucepan; cover with water. Bring to a boil and cook until no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center of a breast should read at least 165 degrees F (74 degrees C). Drain and allow chicken to cool enough to handle. Pull meat from bones and skin. Shred meat and set aside.. Preheat the oven to 350 degrees F (175 degrees C).. Heat olive oil in a large skillet over medium heat. Cook and stir celery in hot oil until soft. Mix in cream cheese, blue cheese dressing, and ranch dressing. Cook and stir until smooth and creamy. Stir in shredded chicken and hot sauce. Transfer to an 8x8-inch baking dish and sprinkle with shredded cheese.. Bake in the preheated oven until golden and bubbly, about 30 minutes.","calories: 450, fat: 38g, carbs: 5g, protein: 19g, servings: 8",https://cdn.jwplayer.com/v2/media/PmWCG0DC/poster.jpg?width=720
Healthier Buffalo Chicken Dip,https://www.allrecipes.com/recipe/219456/healthier-buffalo-chicken-dip/,"{'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'natural chunk chicken, drained'}, {'quantity': '¾', 'unit': 'cup', 'name': ""hot pepper sauce (such as Frank's RedHot)""}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'reduced-fat cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'light ranch dressing'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded reduced-fat Cheddar cheese, divided'}, {'quantity': '1', 'unit': 'bunch', 'name': 'celery, cleaned and cut into 4-inch pieces'}, {'quantity': '8', 'unit': 'ounces', 'name': 'multigrain crackers'}","Heat chicken and hot sauce in a skillet over medium heat until heated through, about 5 minutes. Stir in cream cheese and ranch dressing; cook and stir until well blended and warm, 5 to 7 minutes. Mix in 1/2 of the Cheddar.. Transfer mixture to a slow cooker. Sprinkle remaining Cheddar over top. Cover and cook on Low until hot and bubbly, about 30 minutes.. Serve with celery sticks and crackers.","calories: 78, fat: 5g, carbs: 6g, protein: 3g, servings: 40",https://www.allrecipes.com/thmb/1Ijwbca5z8JKY7RooaqBf_HgK_k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3236864-healthier-buffalo-chicken-dip-NERDBOX-4x3-1-74f27ec7bef64967abe0b7102f612996.jpg
Vegetarian Buffalo Chicken Dip,https://www.allrecipes.com/recipe/213217/vegetarian-buffalo-chicken-dip/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': ""seasoned chicken-style vegetarian strips (such as Morningstar Farms® Chik'n Strips), diced""}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'reduced fat cream cheese, softened'}, {'quantity': '1', 'unit': '(16 ounce) bottle', 'name': 'reduced-fat ranch salad dressing'}, {'quantity': '1', 'unit': '(12 fluid ounce) bottle', 'name': ""hot buffalo wing sauce (such as Frank's® REDHOT Buffalo Wing Sauce)""}, {'quantity': '1', 'unit': 'cup', 'name': 'Colby-Monterey Jack cheese blend'}","Place the diced vegetarian chicken strips, cream cheese, ranch dressing, and buffalo wing sauce into a slow cooker. Cook on Low, stirring occasionally, until the cheese has melted and the dip is hot, 1 to 2 hours. Stir in the shredded cheese and serve.","calories: 187, fat: 11g, carbs: 12g, protein: 9g, servings: 16",https://www.allrecipes.com/thmb/0-VcjyVVgl6WF-77qu1buV6vNyg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/213217-vegetarian-buffalo-chicken-dip-DDMFS-4x3-1-8c71071601a44abeabe41000da568adf.jpg
Buffalo Chicken Dip with Sour Cream,https://www.allrecipes.com/recipe/282490/buffalo-chicken-dip-with-sour-cream/,"{'quantity': '2', 'unit': '(5 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'ranch dressing'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'hot sauce'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese, divided'}","Bring a large pot of water to a boil. Add chicken; cover and reduce heat to medium. Simmer until chicken is no longer pink in the center and juices run clear, about 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove chicken and shred when cool enough to handle.. Combine ranch dressing and sour cream in a saucepan over low heat. Stir and heat until warm, about 5 minutes. Stir in hot sauce and 1/2 cup Cheddar cheese, followed by shredded chicken.. Transfer mixture to an 8-inch round baking dish and top with remaining 1 cup Cheddar cheese. Place in the refrigerator to cool for 1 to 2 hours.. Preheat the oven to 350 degrees F (175 degrees C).. Remove dip from the refrigerator and bake in the preheated oven until cheese is bubbly, 20 to 30 minutes. Let cool slightly before serving.","calories: 271, fat: 25g, carbs: 3g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/9AkREj5tZdmCbs6lRoOOvMvSFRk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/282490-buffalo-chicken-dip-with-sour-cream-Soup-Loving-Nicole-4x3-1-97d13ea3d5d34722a695e12875e7181b.jpg
Easy Buffalo Chicken Dip,https://www.allrecipes.com/recipe/219899/easy-buffalo-chicken-dip/,"{'quantity': '1', 'unit': '(15 ounce) jar', 'name': 'chunky-style blue cheese salad dressing (such as Marzetti®)'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '3', 'unit': '', 'name': 'cooked chicken breasts, shredded'}, {'quantity': '1', 'unit': '(12 ounce) bottle', 'name': ""Buffalo wing sauce (such as Frank's RedHot®)""}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'blue cheese crumbles'}","Preheat the oven to 350 degrees F (175 degrees C).. Stir together blue cheese salad dressing and cream cheese in a mixing bowl until smooth. Stir in chicken, Buffalo wing sauce, and blue cheese crumbles; pour chicken mixture into a baking dish.. Bake in the preheated oven until bubbling, 15 to 20 minutes.","calories: 240, fat: 22g, carbs: 3g, protein: 8g, servings: 16",https://www.allrecipes.com/thmb/4GJXkols3OzPE2SbFqrRuenCAjg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1082767-acb3afddc13949279b9e49b8a9e50953.jpg
The Best Buffalo Chicken Dip,https://www.allrecipes.com/recipe/284604/the-best-buffalo-chicken-dip/,"{'quantity': '3', 'unit': '(6 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '1', 'unit': 'cup', 'name': ""hot sauce (such as Frank's RedHot)""}, {'quantity': '1½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'crumbled blue cheese'}, {'quantity': '3', 'unit': 'stalks', 'name': 'green onion, green parts only, thinly sliced'}","Preheat the oven to 350 degrees F (175 degrees C).. Place chicken onto a large sheet of foil and sprinkle evenly with salt, pepper, and garlic powder. Wrap foil around chicken to form a pouch, sealing it around the edges. Place foil pouch onto a rimmed baking sheet.. Bake in the preheated oven for 1 hour. Remove from the oven and let stand for 15 minutes to cool slightly.. Meanwhile, increase the oven temperature to 375 degrees F (190 degrees C). Lightly grease a baking dish with cooking spray.. Stir together cream cheese, ranch dressing, and hot sauce in a large bowl until well combined.. Roughly chop or shred cooked chicken. Add to cream cheese mixture along with Cheddar cheese; stir to combine. Pour mixture into the prepared baking dish and sprinkle with blue cheese.. Bake, uncovered, until bubbly and golden around the edges, about 30 minutes. Remove from the oven and let stand for 10 minutes. Sprinkle with green onions and serve.","calories: 175, fat: 15g, carbs: 1g, protein: 8g, servings: 24",https://www.allrecipes.com/thmb/Caguvq2qLbbN_VLHwcq7r9L1n2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9235836-c59b5721fdee411fb7fbdebfd7225d3d.jpg
Buffalo Dip,https://www.allrecipes.com/recipe/240342/buffalo-dip/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'ranch salad dressing, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': ""Buffalo wing sauce (such as Sweet Baby Ray's®)""}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese, or to taste'}, {'quantity': '2', 'unit': '(12.5 fl oz) cans', 'name': 'chicken chunks, drained'}","Preheat the oven to 350 degrees F (175 degrees C).. Beat cream cheese in a deep baking dish until smooth. Add ranch dressing, Buffalo wing sauce, and mozzarella cheese to cream cheese and stir until smooth. Stir in chicken.. Bake in the preheated oven until heated through and bubbling, about 20 minutes.","calories: 349, fat: 26g, carbs: 4g, protein: 24g, servings: 8",https://www.allrecipes.com/thmb/Y9Cw5cNfSyigOW_iFU-9EkiGn0I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1981539-buffalo-dip-CoOkInGnUt-4x3-1-9a1bd9da495f42939f4a686f355c8c53.jpg
Buffalo Ranch Chicken and Cheese Dip,https://www.allrecipes.com/recipe/233777/buffalo-ranch-chicken-and-cheese-dip/,"{'quantity': '2', 'unit': '', 'name': 'cooked chicken breasts, shredded'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'buffalo wing sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ranch salad dressing'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Colby-Monterey Jack cheese'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'scoop-shaped tortilla chips'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix chicken, cream cheese, buffalo wing sauce, ranch dressing, and sour cream together in a large bowl; transfer to a 9x13-inch baking dish. Sprinkle Colby-Monterey Jack cheese evenly on top.. Bake in the preheated oven until cheese is melted and lightly browned, 25 to 30 minutes. Serve with tortilla chips.","calories: 290, fat: 19g, carbs: 21g, protein: 10g, servings: 16",https://www.allrecipes.com/thmb/qlX44caJx-wTsCX9nksexS0xotk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2714476-6771e78028bc4ba6bf0cb5f6feac3727.jpg
