name,link,ingredients,steps,nutrition
Air Fryer Buffalo Wings,https://www.allrecipes.com/air-fryer-buffalo-wings-recipe-8645970,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'sea salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'chicken wings'}","Preheat an air fryer to 380 degrees F (190 degrees C).. Combine sea salt, garlic powder, mustard powder, coriander, smoked paprika, cayenne pepper, and black pepper in a shallow bowl. Dredge each chicken wing in the spice mixture and set into the air fryer basket in one layer.. Cook in the air fryer until chicken wings are no longer pink at the bone and the juices run clear, about 30 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). If wings are smaller, reduce cooking time.","calories: 381, fat: 28g, carbs: 13g, protein: 20g, servings: 4"
Grilled Buffalo Wings,https://www.allrecipes.com/recipe/68028/grilled-buffalo-wings/,"{'quantity': '3', 'unit': 'pounds', 'name': 'chicken wings, separated at joints, tips discarded'}, {'quantity': '1', 'unit': 'cup', 'name': 'Louisiana-style hot sauce'}, {'quantity': '1', 'unit': '(12 fluid ounce) can or bottle', 'name': 'cola-flavored carbonated beverage'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}","Preheat a grill to medium heat.. Mix hot sauce, cola, cayenne pepper, black pepper and soy sauce together in a large pot; add wings to the sauce. Place the pot on one side of the preheated grill; bring to a simmer.. Use tongs to transfer wings out of sauce and place on the preheated grill; cook until lightly charred on both sides, about 8 to 10 minutes, then return wings to the sauce to continue cooking. Repeat this process until chicken is cooked and pulls easily off of the bone, and the sauce is hot and thickened, about 50 minutes. You can serve them as sloppy-style wings, or serve right off the grill for dryer wings.","calories: 129, fat: 7g, carbs: 6g, protein: 10g, servings: 8"
Fried Chicken Wings,https://www.allrecipes.com/recipe/241152/fried-chicken-wings/,"{'quantity': '12', 'unit': '', 'name': 'small chicken wings'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'seasoned salt, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '2', 'unit': 'quarts', 'name': 'vegetable oil for frying'}, {'quantity': '1', 'unit': '(12 fluid ounce) bottle', 'name': ""Buffalo wing sauce (such as Frank's), or to taste""}",,"calories: 531, fat: 41g, carbs: 25g, protein: 16g, servings: 6"
Restaurant-Style Buffalo Chicken Wings,https://www.allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/,"{'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '10', 'unit': '', 'name': 'chicken wings'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil for frying, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'hot sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic powder'}",,"calories: 908, fat: 97g, carbs: 10g, protein: 2g, servings: 5"
Baked Buffalo Wings,https://www.allrecipes.com/recipe/166638/baked-buffalo-wings/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '20', 'unit': '', 'name': 'chicken wings'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '½', 'unit': 'cup', 'name': ""hot pepper sauce (such as Frank's RedHot)""}",,"calories: 125, fat: 9g, carbs: 4g, protein: 7g, servings: 20"
Dry-Rub Air-Fried Chicken Wings,https://www.allrecipes.com/recipe/272428/dry-rub-air-fried-chicken-wings/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'dark brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sweet paprika'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'mustard powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '8', 'unit': '', 'name': 'chicken wings, or more as needed'}","Preheat the air fryer to 350 degrees F (175 degrees C).. Whisk together brown sugar, paprika, salt, garlic powder, onion powder, poultry seasoning, mustard powder, and pepper in a large bowl.. Toss in chicken wings and rub seasonings into chicken with your hands until fully coated.. Arrange wings in the air fryer basket, standing them up on their ends and leaning against each other and the wall of the basket.. Cook in the preheated air fryer until wings are tender inside and golden brown and crisp on the outside, about 35 minutes. Transfer wings to a plate and serve hot.","calories: 318, fat: 19g, carbs: 11g, protein: 26g, servings: 2"
Buffalo Chicken Wings I,https://www.allrecipes.com/recipe/8947/buffalo-chicken-wings-i/,"{'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for deep frying'}, {'quantity': '24', 'unit': '', 'name': 'chicken wings, tips removed and wings cut in half at joint'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'distilled white vinegar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'hot pepper sauce'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Heat the oil in a large skillet or deep fryer to 375 degrees F (190 degrees C). Deep fry chicken wings in oil until done, about 10 minutes. Remove chicken from skillet or deep fryer and drain on paper towels.. Melt the butter in a large skillet. Stir in the, vinegar and hot pepper sauce. Season with salt and pepper to taste. Add cooked chicken to sauce and stir over low heat to coat. The longer the wings simmer in the sauce, the hotter they will be. Serve warm.","calories: 256, fat: 24g, carbs: 0g, protein: 10g, servings: 8"
Easy Restaurant-Style Buffalo Chicken Wings,https://www.allrecipes.com/recipe/232943/easy-restaurant-style-buffalo-chicken-wings/,"{'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '12', 'unit': '', 'name': 'skinless chicken wings'}, {'quantity': '1', 'unit': 'quart', 'name': 'vegetable oil for frying'}, {'quantity': '¾', 'unit': 'cup', 'name': ""hot pepper sauce (such as Frank's RedHot)""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}","Mix flour, salt, pepper, and garlic powder together in a 1-gallon resealable bag; add chicken wings. Seal bag and shake to evenly coat chicken.. Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).. Remove chicken from bag and shake off any excess coating; fry in the preheated oil until chicken is no longer pink in the center, about 7 minutes. Remove chicken with a slotted spoon and drain on a paper towel-lined plate.. Combine hot sauce and butter in saucepan over medium heat; cook until heated through, about 5 minutes. Coat cooked chicken wings with sauce.","calories: 311, fat: 21g, carbs: 14g, protein: 16g, servings: 6"
Original Buffalo Wings,https://www.allrecipes.com/recipe/14879/original-buffalo-wings/,"{'quantity': '4', 'unit': 'pounds', 'name': 'chicken wings'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '4', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot pepper sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'distilled white vinegar'}","Heat oil in a deep-fat fryer or large heavy pot to 375 degrees F (190 degrees C).. Cut off tips, and separate each wing at the joint. Sprinkle with salt and pepper.. Place half of the wings in the deep fryer. When the wings are golden brown and crisp, remove them and drain well. Salt wings to taste. Add remaining wings and repeat frying process. Once wings have drained a bit, place them in a large mixing bowl.. Melt butter or margarine in a small saucepan. Mix in hot sauce and vinegar. Pour melted sauce over the cooked wings, and mix to coat the wings with sauce.","calories: 509, fat: 51g, protein: 14g, servings: 24"
Jeri's Spicy Buffalo Wings,https://www.allrecipes.com/recipe/219900/jeris-spicy-buffalo-wings/,"{'quantity': '2', 'unit': 'pounds', 'name': 'chicken wings'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'hot pepper sauce, or to taste'}","Toss chicken wings in a large bowl with apple cider vinegar, garlic salt, paprika, red pepper flakes, onion salt, and black pepper to coat; cover the bowl with plastic wrap and marinate in the refrigerator for 1 to 4 hours.. Scatter flour over chicken wings; toss to coat. Discard any remaining marinade.. Preheat the oven to 425 degrees F (220 degrees C).. Heat shortening in a large skillet over medium-high heat; fry chicken in hot shortening until golden, 5 to 7 minutes per side. Transfer fried chicken to a baking sheet.. Bake chicken in the preheated oven until no longer pink at the bone and the juices run clear, about 20 minutes. Remove chicken to a paper towel-lined platter to drain.. Make sauce: Melt butter in a large skillet over medium heat. Cook garlic in melted butter until translucent, about 2 minutes. Stir hot sauce into butter-garlic mixture; reduce heat to low and simmer for 5 minutes. Transfer sauce to a large bowl.. Working in batches, add chicken to sauce in the bowl and turn to coat. Drizzle any remaining sauce over wings to serve.","calories: 250, fat: 21g, carbs: 8g, protein: 9g, servings: 8"
