name,link,ingredients,steps,nutrition,image_url
Southwestern Breakfast Burrito,https://www.allrecipes.com/recipe/81631/southwestern-breakfast-burrito/,"{'quantity': '2', 'unit': '', 'name': 'low carb whole wheat tortillas'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cream'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and white pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cumin powder'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'salsa, chunky style'}, {'quantity': '2', 'unit': 'ounces', 'name': 'Cheddar cheese, shredded'}","In a mixing bowl, beat the eggs with the cream, salsa, cumin and a pinch of salt and pepper.. In a non stick skillet over medium-high heat, melt the butter and then scramble the eggs. Just before they are set, add the cheese and fold-in until it begins to melt.. Lay the tortillas on a flat surface. Divide the eggs equally between the two and place on the bottom third of each tortilla. Fold the bottom third over tucking in. Fold in the two sides and then roll up. Serve.","calories: 388, fat: 30g, carbs: 13g, protein: 25g, servings: 2",https://www.allrecipes.com/thmb/tTgVnThNjzJxce7FVG6hxPRhJIY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Southwestern-Breakfast-Burrito-6728409d6c8e4292b973680d28c74cae.jpg
Minute Breakfast Burrito,https://www.allrecipes.com/recipe/135063/minute-breakfast-burrito/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salsa'}, {'quantity': '1', 'unit': 'slice', 'name': 'reduced-fat American cheese'}, {'quantity': '1', 'unit': '', 'name': 'tortilla'}","Spray a cereal bowl with nonstick cooking spray. Crack the eggs into the bowl, add the salsa, and stir. Microwave on high for 1 minute, stir, and cook for another minute or until the mixture firms up.. Place the cheese in the center of the tortilla and top it with the egg mixture. Wrap it all up like a burrito and head for the car.","calories: 465, fat: 23g, carbs: 41g, protein: 25g, servings: 1",https://www.allrecipes.com/thmb/mM-UhVoIeXAC-E5A3Ejw6MEZFfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Minute-Breakfast-Burrito-2000-ed8f2685d28045858e4078ef4c70e9a8.jpeg
Fabulous Wet Burritos,https://www.allrecipes.com/recipe/70404/fabulous-wet-burritos/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'refried beans'}, {'quantity': '1', 'unit': '(4.5 ounce) can', 'name': 'diced green chile peppers'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'chili without beans'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed tomato soup'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'enchilada sauce'}, {'quantity': '6', 'unit': '(12 inch)', 'name': 'flour tortillas, warmed'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded lettuce, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped tomatoes, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Mexican cheese blend, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green onions, divided'}","Crumble ground beef into a skillet over medium-high heat. Cook and stir until evenly browned. Add onion and cook until translucent. Drain grease, and season with garlic, cumin, salt, and pepper. Stir in refried beans and green chilies until well blended. Turn off heat but keep warm.. Combine canned chili, condensed soup, and enchilada sauce in a saucepan. Mix well and cook over medium heat until heated through. Turn off the heat and keep warm.. Place warmed tortilla on a plate and spoon a generous 1/2 cup of the ground beef mixture onto the center. Top with a portion of lettuce and tomato to your liking. Roll up tortilla around the filling, while tucking in the sides. Spoon a generous amount of the sauce over the top and sprinkle with a portion of cheese and green onions. Heat in the microwave until cheese is melted, about 30 seconds. Repeat with remaining tortillas and fillings.","calories: 916, fat: 42g, carbs: 92g, protein: 44g, servings: 6",https://cdn.jwplayer.com/v2/media/UUALPPEF/poster.jpg?width=720
Delicious Black Bean Burritos,https://www.allrecipes.com/recipe/14041/delicious-black-bean-burritos/,"{'quantity': '2', 'unit': '(10 inch)', 'name': 'flour tortillas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '½', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced jalapeno peppers'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '3', 'unit': 'ounces', 'name': 'cream cheese, cubed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Wrap tortillas in foil.. Bake wrapped tortillas in the preheated oven until heated through, about 15 minutes.. Meanwhile, heat oil in a 10-inch skillet over medium heat. Add onion, bell pepper, garlic, and jalapeño; cook and stir for 2 minutes.. Stir in beans and cook until heated through, about 3 minutes. Stir in cream cheese and salt; cook, stirring occasionally, for 2 minutes. Stir in cilantro.. Spoon filling in a line across the middle of each tortilla. Fold opposing edges of the tortilla to overlap the filling. Roll 1 of the opposing edges around the filling creating a burrito. Serve immediately.","calories: 692, fat: 36g, carbs: 70g, protein: 21g, servings: 2",https://cdn.jwplayer.com/v2/media/HDPHVYsl/poster.jpg?width=720
Breakfast Burrito with Potatoes and Chorizo,https://www.allrecipes.com/breakfast-burrito-with-potatoes-and-chorizo-recipe-8608268,"{'quantity': '1/2', 'unit': 'pound', 'name': 'chorizo'}, {'quantity': '1/2', 'unit': None, 'name': 'poblano pepper, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'yellow onion, chopped'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, chopped'}, {'quantity': '2', 'unit': None, 'name': 'Yukon gold potatoes,'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shredded cheese, any kind'}, {'quantity': '4', 'unit': 'burrito-sized', 'name': 'flour tortilla'}","Heat a large skillet over medium heat. Add chorizo, poblano pepper, onions, and red bell pepper. Cook until vegetables are tender, 5 to 7 minutes. Remove skillet from heat.. In a microwave-safe bowl, cook potatoes with a small amount of water until fork tender, 7 to 10 minutes, stirring halfway through; drain. Stir potatoes into chorizo mixture.. Meanwhile, whisk eggs, half-and-half, salt, and pepper together in a large bowl.. Heat butter in a skillet over medium heat. Add egg mixture and scramble until eggs are cooked, about 3 minutes. Remove eggs from heat. Fold in cheese.. Spoon chorizo mixture in a line across the middle of a tortilla, then add a layer of scrambled eggs. Fold opposing edges of the tortilla to overlap the filling. Roll 1 of the opposing edges around the filling creating a burrito.","calories: 1105, fat: 47g, carbs: 129g, protein: 40g, servings: 4",https://www.allrecipes.com/thmb/EdqlfhkvQGlbsdAmub6dq165JmU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8608268_Breakfast-Burrito-with-Chorizo-and-Potatoes_Shelia-Johnson_4x3-134a39baa85e4604af72ab70c1ae932f.jpg
Steak Burrito,https://www.allrecipes.com/steak-burrito-recipe-7561794,"{'quantity': '1', 'unit': '(10-inch)', 'name': 'flour tortilla'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'ribeye steak, warmed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'exican rice, heated'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pinto beans, heated'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped cilantro'}","Fold a paper towel around tortilla. Microwave on High until pliable, 5 to 10 seconds.. Lay tortilla flat on a plate. Layer steak, rice, beans, cheese, onion, and cilantro in a line across the middle of the tortilla. Fold opposing edges of the tortilla to overlap the filling. Roll 1 of the opposing edges around the filling and tuck tortilla to form a burrito.","calories: 2456, fat: 83g, carbs: 321g, protein: 101g, servings: 1",https://www.allrecipes.com/thmb/2d5TfPpiEVG5G24HRi8OZnMd04w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7561794_Leftover-Steak-Burrito_Yoly_4x3-afb91b5eb7444a6697a270d940be8761.jpg
Easy Mexican Pork Burritos,https://www.allrecipes.com/recipe/229057/easy-mexican-pork-burritos/,"{'quantity': '3', 'unit': 'pounds', 'name': 'pork butt roast with bone'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, sliced'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, chopped'}, {'quantity': '2', 'unit': '(1.25 ounce) packages', 'name': 'taco seasoning mix, divided'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'refried beans'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': '(4 ounce) can', 'name': 'chopped green chiles, or to taste'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'shredded Cheddar cheese'}, {'quantity': '20', 'unit': '(8 inch)', 'name': 'flour tortillas'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}","Place pork roast, onion, and garlic into a large pot. Sprinkle one package taco seasoning over top and add enough water to cover roast. Set over medium-high heat and bring to a boil. Reduce the heat to medium-low and simmer until meat is tender and can be pulled apart with a fork, 2 to 3 hours. Check water level every 45 minutes, adding more as needed. Carefully transfer roast to a cutting board. Discard vegetables, but reserve about 1 cup cooking liquid.. Shred pork with a fork, discarding any excess fat. Place pork into a mixing bowl with refried beans, tomatoes, refried beans, chiles, and remaining taco seasoning. Mix until well combined, adding reserved cooking liquid if mixture is too dry.. Spread pork mixture evenly down the center of each tortilla, then sprinkle with Cheddar cheese. Fold the bottom and top edges of each tortilla over the filling, then roll from one side to form a burrito.. Heat 2 tablespoons oil in a large skillet over medium heat. Place two burritos into the hot oil with the seams facing down. Fry until golden, about 2 minutes. flip and repeat on the other side. Drain on a paper towel-lined plate. Continue to fry remaining burritos in batches of two.","calories: 832, fat: 39g, carbs: 71g, protein: 44g, servings: 10",https://www.allrecipes.com/thmb/Q06nu5PyE7yM_G6uMyD0LN9_Drs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/922970-8c22d6f6444c4a74bbe8698cb810ab17.jpg
Chicken Fajita Burrito,https://www.allrecipes.com/recipe/8538304/chicken-fajita-burrito/,"{'quantity': '10', 'unit': 'ounces', 'name': 'skinless, boneless chicken breasts, cut into thin strips'}, {'quantity': '½', 'unit': '', 'name': 'onion, cut into strips'}, {'quantity': '5', 'unit': 'ounces', 'name': 'multi-colored bell pepper strips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fajita seasoning'}, {'quantity': '4', 'unit': '(12 inch)', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'refried beans, warmed'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked Mexican rice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'guacamole'}","Place chicken, onion, bell pepper, oil, lime juice, and fajita seasoning in a resealable plastic bag. Seal the bag and squeeze to ensure all ingredients are combined and well-coated; place in the refrigerator to marinate for 2 hours.. Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with foil. Spread fajita mixture onto sheet pan in a single layer.. Bake in the preheated oven until chicken juices run clear, about 25 minutes. An instant-read thermometer inserted into the chicken strips should read 165 degrees F (74 degrees C).. Wrap tortillas in a damp paper towel, and warm in the microwave until soft and pliable, about 30 seconds. To assemble burritos, spread 1/4 of each of the refried beans, cheese, rice, fajita mixture, sour cream, and guacamole in a line across the middle of each tortilla.. Fold opposing sides of the tortilla in, overlapping the filling. Roll the bottom edge up tightly around the filling, then roll the burrito away from you, keeping the sides folded in.","calories: 792, fat: 29g, carbs: 95g, protein: 37g, servings: 4",https://www.allrecipes.com/thmb/CPJoUnS5ERZF94BH6YsmjTZHr3M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8538304_Chicken-Fajita-Burrito_thedailygourmet_4x3-d381424d6949448596ef3dc66ce5712b.jpg
10 Best Burrito Recipes,https://www.allrecipes.com/article/our-best-burrito-recipes/,,,,
Chorizo Breakfast Burritos,https://www.allrecipes.com/recipe/76464/chorizo-breakfast-burritos/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '¾', 'unit': 'pound', 'name': 'chorizo sausage, casings removed and crumbled'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '1', 'unit': '', 'name': 'green chile pepper, seeded and diced'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': '', 'name': 'flour tortillas'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Generously coat a large frying pan with cooking spray. Cook and stir chorizo in the prepared pan over medium-high heat until well browned and crumbled. Add onion and chile pepper; continue cooking, stirring occasionally, until onion is tender.. Beat eggs in a medium bowl and add to chorizo mixture. Reduce heat to medium-low; continue cooking and stirring until eggs are scrambled and no longer runny.. Warm flour tortillas in the microwave for 30 seconds. Spoon chorizo-egg mixture into the middle of each tortilla and top with shredded Cheddar cheese. Roll up like a burrito.","calories: 822, fat: 54g, carbs: 43g, protein: 40g, servings: 4",https://www.allrecipes.com/thmb/rChMTEcFXirGbiuhrQrVCmgj9d8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/727143-f9bddfcb5028406699fd340d15bead19.jpg
