name,link,ingredients,steps,nutrition
Roasted Butternut Squash Soup,https://www.allrecipes.com/roasted-butternut-squash-soup-recipe-6563399,"{'quantity': '1', 'unit': 'medium head', 'name': 'garlic, halved crosswise'}, {'quantity': '1', 'unit': '(3 ½) pound', 'name': 'butternut squash, halved lengthwise and seeded'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, quartered'}, {'quantity': '1', 'unit': 'medium', 'name': 'leek, white portion only, chopped'}, {'quantity': '1', 'unit': '(1 ½ inch) piece', 'name': 'fresh ginger, peeled'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'coconut milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'curry powder, or more to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil.. Wrap each garlic half in foil and place on the prepared baking sheet. Add squash, cut-side down. Add onion, leek, and ginger.. Roast in the preheated oven until vegetables are golden and squash skin is easily pierced with a fork, 45 minutes to 1 hour.. Squeeze out roasted garlic cloves and scoop out squash flesh into a food processor or blender with onion, leek, and ginger. Add 2 cups broth and purée (in batches if necessary) until smooth. Transfer to a soup pot.. Place the pot over medium heat and add remaining broth. Whisk in coconut milk, curry powder, and cayenne pepper. Season with salt and black pepper, and cook until heated through, about 15 minutes.","calories: 238, fat: 9g, carbs: 40g, protein: 5g, servings: 6"
Butternut Squash Soup,https://www.allrecipes.com/recipe/77981/butternut-squash-soup-ii/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'carrot, chopped'}, {'quantity': '2', 'unit': 'medium', 'name': 'potatoes, cubed'}, {'quantity': '1', 'unit': 'medium', 'name': 'butternut squash - peeled, seeded, and cubed'}, {'quantity': '1', 'unit': '(32 fluid ounce) container', 'name': 'chicken stock'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 255, fat: 9g, carbs: 36g, protein: 9g, servings: 4"
Butternut Squash Soup with Cream Cheese,https://www.allrecipes.com/recipe/12974/butternut-squash-soup/,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'margarine'}, {'quantity': '6', 'unit': 'cups', 'name': 'peeled and cubed butternut squash'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '4', 'unit': 'cubes', 'name': 'chicken bouillon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese'}","Melt margarine in a large saucepan over medium-low heat. Add onion and sauté until soft and translucent, about 5 minutes. Add butternut squash, water, bouillon, marjoram, black pepper, and cayenne pepper.. Bring to a boil over medium-high heat; reduce heat and simmer until squash is tender, about 20 minutes.. Purée squash mixture and cream cheese in a blender or food processor in batches until smooth. Return to saucepan and cook until just heated through.","calories: 398, fat: 33g, carbs: 20g, protein: 8g, servings: 6"
Curried Butternut Squash Soup,https://www.allrecipes.com/recipe/235295/curried-butternut-squash-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'pounds', 'name': 'cubed butternut squash'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'curry powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream, or to taste (Optional)'}","Melt butter in a large pot over medium heat. Add onion and garlic; cook and stir until softened and browned, 10 to 15 minutes.. Stir in broth, butternut squash, curry powder, salt, cumin, and cayenne pepper; bring to a boil. Reduce the heat to low and simmer until squash is tender, about 15 minutes. Remove from the heat.. Stir in half-and-half and honey. Purée soup with an immersion blender until smooth.. Ladle soup into serving bowls and top with a sour cream dollop.","calories: 296, fat: 13g, carbs: 44g, protein: 6g, servings: 4"
Spiced Butternut Squash Soup,https://www.allrecipes.com/recipe/75936/spiced-butternut-squash-soup/,"{'quantity': '3', 'unit': 'pounds', 'name': 'butternut squash, halved and seeded'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': '', 'name': 'leek, sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '2', 'unit': '(49.5 fluid ounce) cans', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'large', 'name': 'russet potatoes, peeled and quartered'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'sherry wine'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream (Optional)'}","Preheat the oven to 375 degrees F (190 degrees C).. Pour a thin layer of water into a baking dish or rimmed baking sheet. Place squash halves, cut-side down, into water in the baking dish.. Bake in the preheated oven until squash is easily pierced with a fork, about 40 minutes. Cool slightly, then remove the skin. Set aside.. Melt butter in a large pot over medium heat. Sauté onion, leek and garlic in hot butter until tender, about 3 minutes. Pour in broth and add potatoes; bring to a boil. Cook until potatoes are soft, about 20 minutes.. Add cooked squash to the pot, then mash with potatoes until small chunks remain. Use an immersion hand blender to purée soup until smooth.. Season soup with cayenne pepper, allspice, nutmeg, ginger, salt, and pepper. Stir in half-and-half cream and sherry. Cook and stir over medium heat until heated through; do not boil. Ladle into soup bowls and top each with a dollop of sour cream to serve.","calories: 298, fat: 11g, carbs: 45g, protein: 7g, servings: 8"
Chef John's Roasted Butternut Squash Soup,https://www.allrecipes.com/recipe/245272/chef-johns-roasted-butternut-squash-soup/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced carrots'}, {'quantity': '6', 'unit': '', 'name': 'whole garlic cloves, peeled'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, or to taste, divided'}, {'quantity': '1', 'unit': '(3 1/2) pound', 'name': 'butternut squash, halved lengthwise and seeded'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth, plus more if needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cider vinegar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'crème fraîche'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh chives'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '6', 'unit': 'large', 'name': 'sage leaves'}","Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).. Start the soup: Drizzle olive oil into large roasting pan. Add onion, carrots, garlic cloves, and a big pinch of salt; toss until vegetables are coated in oil. Place squash halves onto the chopped vegetables with the cut sides facing up. Sprinkle squash with additional salt.. Roast in the preheated oven until squash is tender and easily pierced with the tip of a knife, about 1 hour. Remove from the oven and allow vegetables to cool a bit.. While the vegetables are cooling, make the brown butter: Melt butter in a saucepan over medium heat. When butter foams and starts to turn golden brown, reduce the heat to low. When butter turns from golden to a light, nutty brown, remove from the heat and immediately stir in sage leaves.. Finish the soup: Scoop out squash flesh and place into a large stockpot with remaining roasted vegetables. Stir in chicken broth, brown butter mixture, and maple syrup. Place the pot over high heat and bring to a simmer. Reduce the heat to low and slowly simmer to blend flavors, 45 to 60 minutes. Remove from the heat.. Blend with an immersion blender until very smooth, 3 to 4 minutes. Pass mixture through a strainer to remove any remaining fibrous bits.. If soup seems too thick, add a few tablespoons of water or chicken broth. Stir in cider vinegar, a pinch of salt if needed, and cayenne pepper. Garnish each serving with a dollop of crème fraîche and chopped chives.","calories: 315, fat: 17g, carbs: 42g, protein: 5g, servings: 6"
Best Butternut Squash Soup Ever,https://www.allrecipes.com/recipe/208092/best-butternut-squash-soup-ever/,"{'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'sprigs', 'name': 'fresh thyme'}, {'quantity': '½', 'unit': '', 'name': 'butternut squash - peeled, seeded, and cut into 1-inch cubes'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cube', 'name': 'chicken bouillon'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground allspice'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Melt butter in a large pot over medium heat. Add onion, garlic, and thyme and sauté until onion has softened, about 5 minutes. Add squash and chicken broth; bring to a simmer, then cook until squash is tender, 10 to 15 minutes. Crumble bouillon into the soup. Season with cumin, allspice, salt, and pepper, then remove from heat.. Working in batches, pour soup into a blender, filling no more than halfway. Hold the lid in place with a kitchen towel, then carefully start the blender using a few quick pulses to get the soup moving before leaving it on to purée. Pour soup into a serving bowl. Alternately, you can use a stick blender and purée the soup in the pot.","calories: 140, fat: 5g, carbs: 24g, protein: 4g, servings: 4"
Butternut Squash Sweet Potato Soup,https://www.allrecipes.com/recipe/234839/butternut-squash-sweet-potato-soup/,"{'quantity': '¼', 'unit': 'cup unsalted', 'name': 'butter'}, {'quantity': '1', 'unit': None, 'name': 'butternut squash, peeled, seeded, and cut into chunks'}, {'quantity': '1', 'unit': None, 'name': 'sweet potato, peeled and cut into chunks'}, {'quantity': '1', 'unit': None, 'name': 'sweet onion, chopped'}, {'quantity': '1', 'unit': None, 'name': 'carrot, peeled and chopped'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced, or more to taste'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock, or as needed'}, {'quantity': '3', 'unit': 'small', 'name': 'sweet bell peppers, chopped'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}","Melt butter in a large pot over medium-high heat. Add butternut squash, sweet potato, onion, carrot, celery, and garlic; cook and stir until lightly browned, about 5 minutes.. Stir in chicken stock and bell peppers; bring to a boil. Reduce heat to low, cover, and simmer until squash and potato tender, about 40 minutes.. Fill a blender halfway with soup. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend. Pour into a pot. Repeat with remaining soup. Season with salt and black pepper.","calories: 167, fat: 6g, carbs: 28g, protein: 3g, servings: 8"
Butternut Vegetable Soup,https://www.allrecipes.com/recipe/115746/butternut-vegetable-soup/,"{'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely diced onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'peeled and cubed butternut squash'}, {'quantity': '4', 'unit': 'large', 'name': 'carrots, thinly sliced'}, {'quantity': '12', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '2', 'unit': None, 'name': 'red potatoes, cubed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '4', 'unit': 'cups', 'name': 'finely chopped kale leaves'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'great Northern beans, rinsed and drained'}","Heat vegetable oil in a large Dutch oven over medium heat. Add onion and garlic; cook and stir until onion softened and translucent, about 5 minutes. Add butternut squash and carrots; cook and stir until squash begins to brown, about 15 minutes.. Stir in broth, red potatoes, salt, pepper, and thyme; bring to a boil. Reduce heat and simmer until vegetables tender, about 45 minutes. Stir in kale and great Northern beans; simmer until kale is tender, about 10 minutes.. Add 3 cups soup to a blender, filled no more than halfway (you may have to do this in two batches). Cover and hold down lid with a folded kitchen towel, pulse a few times before leaving on to purée. Return puréed soup to Dutch oven, leave remaining soup chunky. Alternately, you can use an immersion blender and partially purée soup in the Dutch oven.","calories: 187, fat: 7g, carbs: 27g, protein: 6g, servings: 10"
Butternut Squash Soup with Apple,https://www.allrecipes.com/recipe/149141/butternut-and-apple-harvest-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'leeks (white and pale green parts only), chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'large', 'name': 'potato, peeled and cubed'}, {'quantity': '2', 'unit': 'cups', 'name': 'cubed butternut squash'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '1', 'unit': '', 'name': 'Granny Smith apple, peeled, cored, and sliced 1/4-inch thick'}, {'quantity': '1', 'unit': 'quart', 'name': 'chicken stock'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry white wine (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'light cream'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped chives'}","Melt butter in a large pot over medium heat. Stir in leeks and onions; cook and stir until onion softens and turns translucent, about 5 minutes. Add potato, squash, carrots, apple, and chicken stock. Bring to a boil, then reduce heat to medium-low, cover, and simmer until vegetables are soft, about 20 minutes.. Carefully purée soup in batches in a blender, or use a stick blender to purée soup in the pot. Once soup is puréed, return it to the pot and stir in wine and cream. Season with nutmeg, salt, and pepper; simmer gently for 5 minutes. Ladle into bowls and garnish with chopped chives.","calories: 268, fat: 7g, carbs: 48g, protein: 5g, servings: 4"
