name,link,ingredients,steps,nutrition
Cheesy Amish Breakfast Casserole,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/,"{'quantity': '1', 'unit': 'pound', 'name': 'sliced bacon, diced'}, {'quantity': '1', 'unit': 'medium', 'name': 'sweet onion, chopped'}, {'quantity': '9', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'frozen shredded hash brown potatoes, thawed'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'small curd cottage cheese'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'shredded Swiss cheese'}",,"calories: 314, fat: 23g, carbs: 12g, protein: 22g, servings: 12"
Sausage Casserole,https://www.allrecipes.com/recipe/24532/sausage-casserole/,"{'quantity': '1', 'unit': 'pound', 'name': 'sage flavored breakfast sausage'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded potatoes, drained and pressed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': '(16 ounce) container', 'name': 'small curd cottage cheese'}, {'quantity': '12', 'unit': 'ounces', 'name': 'mild Cheddar cheese, shredded'}, {'quantity': '½', 'unit': 'cup', 'name': 'onion, shredded'}, {'quantity': '6', 'unit': 'jumbo', 'name': 'eggs'}","Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish.. Heat a large, deep skillet over medium-high heat. Cook sausage in the hot skillet until evenly browned and crumbly, 5 to 7 minutes. Drain and discard grease.. Stir together shredded potatoes and butter in the prepared baking dish; lightly press mixture into the bottom and sides of the dish.. Mix together sausage, cottage cheese, Cheddar cheese, onion, and eggs in a bowl. Pour over potato mixture.. Bake in the preheated oven until a toothpick inserted into the center of casserole comes out clean, about 1 hour. Let cool for 5 minutes before serving.","calories: 356, fat: 26g, carbs: 8g, protein: 22g, servings: 12"
Tater Tot Breakfast Casserole,https://www.allrecipes.com/recipe/279858/tater-tot-breakfast-casserole/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'pound', 'name': 'breakfast sausage'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen bite-size potato nuggets (such as Tater Tots)'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 2-quart baking dish with cooking spray.. Heat a large skillet over medium-high heat. Cook and stir sausage and onion in the hot skillet until sausage is browned and crumbly, 5 to 7 minutes. Drain and cool.. Meanwhile, whisk milk, eggs, onion powder, salt, garlic powder, and pepper together in a bowl.. Spread sausage mixture over the bottom of the prepared baking dish. Pour egg mixture over the top. Layer with 1/2 of the Cheddar cheese and all of the potato nuggets. Cover with aluminum foil.. Bake in the preheated oven for 40 minutes. Remove foil and sprinkle with the remaining cheese. Bake until melted, about 20 minutes more. Remove from the oven and let stand briefly before serving.","calories: 395, fat: 29g, carbs: 17g, protein: 20g, servings: 8"
"Turkey Sausage, Potato, Brussels Sprouts, and Apple Hash",https://www.allrecipes.com/turkey-sausage-potato-brussels-sprouts-and-apple-hash-recipe-8690240,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'Brussels sprouts'}, {'quantity': '2', 'unit': 'medium', 'name': 'russet potatoes,'}, {'quantity': '1', 'unit': 'pound', 'name': 'turkey sausage'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh sage'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': None, 'name': 'red apple'}, {'quantity': '4', 'unit': None, 'name': 'fried eggs (see Tip)'}","Heat oil and butter in a large skillet over medium heat. Cook Brussels sprouts and potatoes, stirring occasionally, until browned and nearly tender, about 10 minutes. Transfer Brussels sprouts and potatoes to a medium bowl using a slotted spoon.. Cook sausage and onion in same skillet, stirring and breaking up lumps, until sausage is lightly browned, about 6 minutes. Stir in sage, pepper, and salt.. Return Brussels sprouts and potatoes to skillet. Stir in apple. Reduce heat to medium-low; cook, stirring occasionally, until apple is crisp-tender, about 8 minutes. Top each serving with a fried egg.","calories: 507, fat: 25g, carbs: 32g, protein: 38g, servings: 4"
Chef John’s Tortilla de Patatas,https://www.allrecipes.com/chef-john-s-tortilla-de-patatas-recipe-8640102,"{'quantity': '2', 'unit': 'pounds', 'name': 'Yukon gold potatoes or russet potatoes, peeled'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}","Slice potatoes and onions with a very sharp knife or mandoline into 1/8-inch thick slices.. Combine eggs, 1/2 teaspoon salt, black pepper, and cayenne in a large bowl and whisk very thoroughly; set aside.. Add 1/3 cup olive oil to a large nonstick pan and set heat to medium-high. Add potatoes, onions, and remaining salt. Cook, tossing and stirring occasionally, until potatoes are tender, and some onions and potatoes are lightly browned, about 20 minutes. Between stirrings, cover potatoes to reduce cooking time and keep in moisture. For less browning, reduce heat to medium.. Stir potato mixture into egg mixture with a spatula. Cover and let stand for 5 to 10 minutes.. Add remaining olive oil to an 8- or 9-inch nonstick pan, and set the pan over medium-high heat. Pour in egg and potato mixture, and smooth the top. Cook, covered, for about 4 minutes or until the bottom is browned and the edges of tortilla begin to firm up.. Slide tortilla out onto a plate, cover with another plate, and flip the plates over to invert. Slide tortilla back into the pan, and place back over medium-high heat.. Cook, uncovered, until the tortilla is fully set, about 2 minutes more. Tortilla will spring back lightly when pressed in the middle with a finger if eggs are fully cooked. If it feels soft or mushy when pressed, cook for a few minutes more, unless you prefer the tortilla less than fully set.. Slip tortilla onto a serving plate, and serve hot, warm, or room temperature.","calories: 361, fat: 22g, carbs: 33g, protein: 9g, servings: 6"
Deluxe Corned Beef Hash,https://www.allrecipes.com/recipe/216981/deluxe-corned-beef-hash/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '5', 'unit': 'large', 'name': 'Yukon Gold potatoes, peeled and cut into 1/4-inch cubes'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, coarsely shredded'}, {'quantity': '2', 'unit': 'pounds', 'name': 'cooked corned beef, cubed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme leaves'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt to taste'}",,"calories: 320, fat: 14g, carbs: 25g, protein: 25g, servings: 8"
Quick and Easy Home Fries,https://www.allrecipes.com/recipe/71803/quick-and-easy-home-fries/,"{'quantity': '3', 'unit': 'medium', 'name': 'russet potatoes, cubed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter or margarine'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Gather all ingredients.. Rinse potato cubes with cold water and drain well.. Melt butter in a large skillet over medium heat. Place potatoes in the skillet and season with salt and pepper; mix well. Cover and cook for 10 minutes.. Remove the lid and cook, turning frequently, until brown and crisp on all sides, about 10 more minutes.. Serve and enjoy!","calories: 199, fat: 9g, carbs: 28g, protein: 3g, servings: 4"
Classic Hash Browns,https://www.allrecipes.com/recipe/220520/classic-hash-browns/,"{'quantity': '2', 'unit': '', 'name': 'russet potatoes, peeled'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'clarified butter'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 334, fat: 19g, carbs: 38g, protein: 4g, servings: 2"
Leftover Ham -n- Potato Casserole,https://www.allrecipes.com/recipe/220961/leftover-ham-n-potato-casserole/,"{'quantity': '6', 'unit': 'small', 'name': 'potatoes, peeled and cut into ½-inch cubes'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '⅔', 'unit': 'pound', 'name': 'leftover cooked ham, cut into ½-inch cubes'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Cheddar cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'bread crumbs'}",,"calories: 591, fat: 37g, carbs: 40g, protein: 25g, servings: 6"
Best Breakfast Casserole (Hash Browns & Eggs),https://www.allrecipes.com/recipe/87013/hash-brown-and-egg-casserole/,"{'quantity': '1', 'unit': '(2 pound) package', 'name': 'frozen hash brown potatoes, thawed'}, {'quantity': '1', 'unit': 'pound', 'name': 'pork sausage'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '12', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square pan; add hash brown potatoes and arrange in an even layer.. Place sausage and onion in a large skillet over medium heat. Cook and stir until the sausage is browned and crumbled, about 10 minutes; drain.. Meanwhile, whisk eggs, milk, onion powder, garlic powder, salt, and pepper together in a large bowl until well combined.. Pour over the potatoes and sprinkle with 1/2 of the Cheddar cheese.. Add sausage mixture on top and sprinkle with remaining Cheddar. Cover with aluminum foil.. Bake in the preheated oven for 1 hour. Remove foil; return casserole to the oven and bake until a knife inserted into the center comes out clean, about 10 minutes.. Let stand for 5 minutes before serving.","calories: 616, fat: 49g, carbs: 30g, protein: 34g, servings: 6"
