name,link,ingredients,steps,nutrition
Dutch Oven Recipes for Your Next Camping Adventure,https://www.allrecipes.com/gallery/dutch-oven-camping-recipes/,,,
10 Easy Campfire Desserts That Aren't S'mores,https://www.allrecipes.com/gallery/easy-campfire-desserts-that-arent-smores/,,,
Eggs on the Grill,https://www.allrecipes.com/recipe/19621/eggs-on-the-grill/,"{'quantity': '12', 'unit': '', 'name': 'eggs'}","Preheat an outdoor grill for medium high heat.. Coat all holes of a muffin pan with cooking spray and crack an egg into each hole.. Place on grill and grill over medium high heat for 2 minutes, or to desired doneness.","calories: 143, fat: 10g, carbs: 1g, protein: 13g, servings: 6"
5 Campfire Potato Recipes to Make Outside,https://www.allrecipes.com/gallery/campfire-potato-recipes/,,,
Brown Bears,https://www.allrecipes.com/recipe/232171/brown-bears/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'refrigerated biscuit dough'}","Gather all ingredients.. Mix sugar and cinnamon together in a bowl. Pour melted butter into another bowl.. Separate biscuits; form each dough piece into a rope 4 to 5 inches long. Wrap dough pieces around skewers.. Hold skewers over campfire; slowly turn until biscuit dough is browned and set, 8 to 10 minutes.. Dip biscuits into melted butter, then into cinnamon-sugar.","calories: 320, fat: 16g, carbs: 43g, protein: 3g, servings: 8"
Mediterranean Salmon Foil Packets,https://www.allrecipes.com/recipe/264444/grilled-mediterranean-salmon-in-foil/,"{'quantity': None, 'unit': '10 ounces', 'name': 'cherry tomatoes, quartered'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'shallot, finely chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'black olive tapenade or chopped pitted black olives'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '8', 'unit': None, 'name': 'fresh basil leaves'}, {'quantity': '4', 'unit': 'small', 'name': 'fresh thyme sprigs'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '4', 'unit': '', 'name': '(12x18-inch) pieces aluminum foil'}, {'quantity': '4', 'unit': '(7-ounce)', 'name': 'salmon filets, with skin'}","Preheat an outdoor grill for high heat and lightly oil the grate. Close cover.. Combine cherry tomatoes, olive oil, shallot, tapenade, salt, basil, thyme, and pepper in a bowl; mix well.. Lay out foil on a work surface, shiny side-up. Place each salmon fillet skin side-down in the center of a piece of foil. Cover each piece of salmon with 1/4 of the tomato mixture. Fold up the edges of the foil over the salmon to create a packet, making sure to seal the edges well.. Turn down the heat of the grill and carefully place the foil packets on the grate. Close the cover and cook until salmon is pale pink in the center and flakes easily with a fork, 7 to 8 minutes. Remove parcels and let them sit for a few minutes before opening.","calories: 493, fat: 34g, carbs: 10g, protein: 36g, servings: 4"
Fireside Coffee,https://www.allrecipes.com/recipe/232176/fireside-coffee/,"{'quantity': '2', 'unit': 'cups', 'name': 'powdered non-dairy creamer'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'instant coffee granules'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'instant hot chocolate mix'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Mix non-dairy creamer, instant coffee, sugar, hot chocolate mix, cinnamon, and nutmeg in a bowl. Store in an airtight container.","calories: 78, fat: 2g, carbs: 15g, protein: 1g, servings: 40"
Campfire Queso,https://www.allrecipes.com/campfire-queso-recipe-7567853,"{'quantity': '8', 'unit': 'ounces', 'name': 'ground beef'}, {'quantity': '8', 'unit': 'ounces', 'name': 'Italian sausage'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper, seeded and minced'}, {'quantity': '1', 'unit': '10-ounce) can can', 'name': 'diced tomatoes and green chiles (such as RO*TEL®)'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pasteurized cheese product (such as Velveeta®), cubed'}, {'quantity': '1 (', 'unit': '8-ounce) package', 'name': 'cream cheese, softened and cubed'}, {'quantity': '8', 'unit': 'ounces', 'name': 'Pepper Jack'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'salt added canned black beans, rinsed and drained'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'frozen corn'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'diced avocado (about 1/2 avocado)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh cilantro'}, {'quantity': None, 'unit': None, 'name': 'tortilla chips for serving'}","Heat a 10-inch cast-iron skillet on a grill grate over a fire. You can also preheat an outdoor grill to medium-high heat (375 degrees F to 400 degrees F (190 degrees C to 200 degrees C)) .. Add beef, sausage, onion, bell pepper, and jalapeño to the skillet. Cook, stirring to break up lumps, until meat is browned, about 8 minutes. Pour off grease. Stir in tomatoes with green chiles, cheese product, cream cheese, pepper Jack, beans, and corn. Cover skillet with foil and cook for 8 minutes.. Uncover skillet; continue cooking, stirring occasionally, until cheese is melted and bubbly, 2 minutes more.. Top with avocado, sour cream, and cilantro. Serve with tortilla chips.","calories: 4573, fat: 336g, carbs: 163g, protein: 235g"
Chex Muddy Buddies,https://www.allrecipes.com/recipe/229544/chex-muddy-buddies/,"{'quantity': '3', 'unit': 'cups', 'name': 'Rice Chex cereal'}, {'quantity': '3', 'unit': 'cups', 'name': 'Corn Chex cereal'}, {'quantity': '3', 'unit': 'cups', 'name': 'Chocolate Chex cereal'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter or margarine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'powdered sugar'}",,"calories: 206, fat: 9g, carbs: 31g, protein: 3g, servings: 18"
Homemade Beef Jerky,https://www.allrecipes.com/recipe/241555/homemade-beef-jerky/,"{'quantity': '¾', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey, or more to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'pounds', 'name': 'beef top round, thinly sliced'}","Whisk together Worcestershire sauce, soy sauce, smoked paprika, honey, black pepper, red pepper flakes, garlic powder, and onion powder in a large bowl. Add beef; mix until completely coated with marinade. Cover the bowl with plastic wrap and marinate in the refrigerator, 3 hours to overnight.. Preheat the oven to 175 degrees F (80 degrees C). Line a baking sheet with aluminum foil and place a wire rack on top.. Transfer beef to paper towels to dry. Discard marinade.. Arrange beef slices in a single layer on the prepared wire rack on the baking sheet.. Bake in the preheated oven until dry and leathery, 3 to 4 hours.. Cut jerky with scissors into bite-sized pieces.. Enjoy!","calories: 286, fat: 11g, carbs: 14g, protein: 33g, servings: 6"
Hot Water Cornbread,https://www.allrecipes.com/recipe/6953/hot-water-cornbread/,"{'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bacon grease'}, {'quantity': '1', 'unit': 'cup', 'name': 'bacon grease, or as needed'}","Gather all ingredients.. Combine cornmeal, salt, and sugar in a medium bowl. Add boiling water and 1 tablespoon bacon grease; stir until bacon grease melts.. Pour bacon grease to a depth of 1/2-inch in a large skillet; heat to 375 degrees F (190 degrees C).. Shape cornmeal mixture into 12 flattened balls using a heaping tablespoon as a measuring guide.. Fry, turning once, in hot oil until crisp and golden brown, about 5 minutes. Drain on paper towels and serve warm.","calories: 95, fat: 3g, carbs: 16g, protein: 2g, servings: 6"
Calico Beans,https://www.allrecipes.com/recipe/13795/calico-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'bacon, chopped'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pork and beans'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'butter beans'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'lima beans, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard powder'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Cook ground beef and bacon in a large, deep skillet over medium-high heat until evenly brown. Drain and transfer meat to a 4-quart casserole dish.. Add pork and beans, kidney beans, butter beans, lima beans, brown sugar, onion, celery, ketchup, vinegar, and dry mustard to the casserole dish; mix well.. Bake, covered, in the preheated oven until bubbly and heated through, about 1 hour.","calories: 435, fat: 10g, carbs: 67g, protein: 22g, servings: 8"
Campfire Baked Potatoes,https://www.allrecipes.com/recipe/106518/campfire-baked-potatoes/,"{'quantity': '4', 'unit': 'medium', 'name': 'baking potatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '8', 'unit': 'sheets', 'name': 'heavy-duty aluminum foil'}","Poke each potato several times all over with a fork. Smear each potato with 1 tablespoon of butter, then double wrap in aluminum foil.. Bury potatoes in the hot coals of a campfire and cook until crispy on the outside and tender inside, about 30 to 60 minutes.","calories: 266, fat: 12g, carbs: 37g, protein: 4g, servings: 4"
Leslie's Salty Grilled Potatoes,https://www.allrecipes.com/recipe/35536/leslies-salty-grilled-potatoes/,"{'quantity': '4', 'unit': 'medium', 'name': 'potatoes'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'coarse salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Italian seasoning (Optional)'}",,"calories: 291, fat: 12g, carbs: 43g, protein: 6g, servings: 4"
"Jerky Lover's Jerky - Sweet, Hot and Spicy!",https://www.allrecipes.com/recipe/86194/jerky-lovers-jerky-sweet-hot-and-spicy/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cracked black pepper, or to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean beef sirloin tip, sliced into 1/8 inch strips'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'pineapple juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'teriyaki sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'liquid smoke flavoring'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste (Optional)'}","Gather the ingredients.. Mix together onion powder, garlic powder, and black pepper in a small bowl or cup. Season beef lightly, using only part of the spice blend and reserving the rest. Place beef into an airtight plastic container or bowl, and refrigerate.. Stir together brown sugar, soy sauce, pineapple juice, balsamic vinegar, teriyaki sauce, Worcestershire sauce, and liquid smoke flavoring. Heat until brown sugar has completely dissolved. Refrigerate marinade until cool.. Pour cooled marinade over the seasoned meat, and mix by hand to coat. Seal the bowl, and refrigerate for at least 3 hours.. Arrange beef strips on the rack of a dehydrator, and sprinkle with a little bit more of the spice mixture and red pepper flakes. Dry for 5 hours, or to your desired dryness.","calories: 527, fat: 28g, carbs: 47g, protein: 23g, servings: 4"
Homemade Chili Sauce,https://www.allrecipes.com/recipe/58499/chili-sauce/,"{'quantity': '1', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vinegar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'allspice or chili powder, or to taste'}","Stir tomato sauce, brown sugar, vinegar, and allspice together in a mixing bowl until thoroughly blended.. Pour into a covered container; refrigerate until ready to use.","calories: 24, fat: 0g, carbs: 6g, protein: 0g, servings: 10"
Alabama Fire Crackers,https://www.allrecipes.com/recipe/214184/alabama-fire-crackers/,"{'quantity': '1 ⅔', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '(1 ounce) envelopes', 'name': 'ranch dressing mix'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': '(16.5 ounce) package', 'name': 'multigrain saltine crackers'}","Gather all ingredients.. Place vegetable oil, ranch dressing mix, crushed red pepper flakes, garlic powder, onion powder, and black pepper in a 2-gallon resealable plastic bag.. Seal the bag and squeeze with your hands until oil and spices are well combined.. Place crackers into the bag, seal, and turn the bag over to coat crackers with spice mix.. Let sit for about 1 hour, then turn again. Repeat several times until crackers are well-coated with spice mix, then allow the bag to sit 8 hours to overnight.. Remove crackers and serve.","calories: 181, fat: 14g, carbs: 13g, protein: 1g, servings: 30"
Grilled Tomatoes,https://www.allrecipes.com/recipe/218615/grilled-tomatoes/,"{'quantity': '8', 'unit': '', 'name': 'tomatoes, halved lengthwise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Drizzle olive oil over the cut-sides of tomatoes. Sprinkle with garlic; season with salt and black pepper.. Cook tomatoes, cut-sides up, on the preheated grill until they start to sizzle and show blackened grill marks, about 4 minutes. Flip tomatoes over and continue grilling until garlic turns golden brown, about 3 more minutes.","calories: 21, fat: 1g, carbs: 3g, protein: 1g, servings: 16"
Maple Syrup Taffy,https://www.allrecipes.com/recipe/190467/maple-syrup-taffy/,"{'quantity': '1', 'unit': 'gallon', 'name': 'clean fresh snow'}, {'quantity': '2', 'unit': 'cups', 'name': 'real maple syrup'}, {'quantity': '15', 'unit': '', 'name': 'wooden pop sticks'}","Pack clean, fresh snow into a large bowl or baking dish. Smooth the top and place in the freezer.. Pour maple syrup into a large saucepan; bring to a boil. Cook and stir with a wooden spoon over medium-low heat until a small amount of syrup dropped into cold water forms a firm ball. A candy thermometer inserted into the syrup should read between 235 and 245 degrees F (112 to 118 degrees C).. Remove snow from the freezer and set on the counter. Pour about 2 tablespoons syrup per piece over snow in thin lines about 5 inches long. Let syrup strips cool and firm up for 3 to 5 seconds. Pull candy strips out of snow, then wind into a lollipop around the end of a wooden pop stick. Eat while still a little warm.","calories: 110, fat: 0g, carbs: 28g, servings: 15"
S'mores,https://www.allrecipes.com/recipe/22146/smores/,"{'quantity': '1', 'unit': '', 'name': 'large marshmallow'}, {'quantity': '1', 'unit': '', 'name': 'graham cracker'}, {'quantity': '1', 'unit': '(1.5 ounce) bar', 'name': 'chocolate candy bar'}",Heat marshmallow over an open flame until it begins to brown and melt.. Break graham cracker in half; sandwich chocolate between graham cracker and hot marshmallow. Allow marshmallow to cool a little before eating.,"calories: 277, fat: 14g, carbs: 38g, protein: 3g, servings: 1"
