name,link,ingredients,steps,nutrition
Quick-Pickled Carrots and Radishes,https://www.allrecipes.com/quick-pickled-carrots-and-radishes-recipe-8741725,"{'quantity': '1', 'unit': 'pound', 'name': 'carrots, peeled and cut into thin sticks'}, {'quantity': '1', 'unit': 'pound', 'name': 'radishes, trimmed and sliced'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'cider vinegar'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}","Put vegetables in 2 (1-quart) screw-top jars (carrots in one; radishes in the other).. Combine vinegar, water, sugar, and salt in a medium saucepan; bring to a simmer over medium heat, stirring to dissolve salt and sugar. Remove from heat and pour over vegetables in the jars, pressing down to fully submerge (each jar should get about half the liquid). Screw on lids and shake to combine. Chill, covered, for at least 4 hours (and up to 3 weeks).","calories: 17, fat: 0g, carbs: 3g, protein: 0g, servings: 24"
Spicy Pickled Cucumbers,https://www.allrecipes.com/spicy-pickled-cucumbers-recipe-8700794,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white vinegar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '7', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'peppercorns'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'pickling spice'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'mustard seeds'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'fresh dill to taste'}","Rinse cucumbers and pat dry. Trim off the ends, then slice in half. Slice each half into spears. Place spears in a clean, wide mouth mason-type canning jar.. Add water, vinegar, and honey to a saucepan. Add about half the garlic pieces, then drop the remaining garlic into the jar with cucumber spears.. Using a mortar and pestle, grind peppercorns, pickling spice, mustard seeds, and pepper flakes together. Sprinkle about half the mixture into the saucepan, then add remaining mixture to cucumber spears. Add as much fresh dill fronds as desired to the saucepan and also drop some into the pickle jar.. Add salt to the saucepan. Heat on low, stirring constantly, until the honey has melted. Pour over cucumber spears, filling jar to within 1/8-inch of rim, then close the lid on tightly. Refrigerate for 1 week before using.","calories: 56, fat: 0g, carbs: 13g, protein: 0g, servings: 6"
Pickled Cucumbers,https://www.allrecipes.com/pickled-cucumbers-recipe-8698400,"{'quantity': '2', 'unit': '(1 pound)', 'name': 'cucumbers,'}, {'quantity': '3', 'unit': None, 'name': 'green onions'}, {'quantity': '3', 'unit': 'cups', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pickling spice'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'peppercorns'}","Divide cucumber slices and green onions between 2 1-quart jars.. Bring vinegar, water, salt, pickling spice, bay leaves, and peppercorns to a boil in a saucepan; boil for 10 minutes. Remove from heat to cool for 30 minutes.. Pour brine over cucumbers. Cover and refrigerate for a minimum of 8 hours, or 24 hours for best results.","calories: 13, fat: 0g, carbs: 1g, protein: 0g, servings: 20"
Crunchy Quick Refrigerator Dill Pickles,https://www.allrecipes.com/crunchy-quick-refrigerator-dill-pickles-recipe-8664645,"{'quantity': '8', 'unit': None, 'name': 'salad or pickling cucumbers'}, {'quantity': '2', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '5', 'unit': 'sprigs', 'name': 'fresh dill'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'peppercorns'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white vinegar'}","Place half of cucumber slices in a large jar. Add garlic, dill, and peppercorns. Top with remaining cucumbers until the jar is filled tightly.. Bring water, salt, and vinegar to a boil in a small saucepan, stirring occasionally, until salt is dissolved. Remove from heat and let cool 10 minutes. Pour warm mixture over cucumbers and seal jar. Refrigerate at least one day and up to 4 weeks.","calories: 4, fat: 0g, carbs: 1g, protein: 0g, servings: 18"
Pickled Banana Peppers,https://www.allrecipes.com/pickled-banana-peppers-recipe-8664623,"{'quantity': '10', 'unit': None, 'name': 'banana peppers'}, {'quantity': '1', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'slices', 'name': 'jalapenos'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'vinegar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}","Pack peppers, garlic, and jalapenos tightly in a glass jar.. Bring vinegar, water, and salt to a boil, stirring occasionally, until salt is dissolved. Remove from heat and let stand 10 minutes. Pour warm mixture over peppers and seal jar. Refrigerate 12 to 24 hours before using and up to 4 weeks.","calories: 10, fat: 0g, carbs: 1g, protein: 0g, servings: 18"
Easy Fermented Pickled Veggies,https://www.allrecipes.com/easy-fermented-pickled-veggies-recipe-8658149,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '3 3/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'VEGETABLES)'}, {'quantity': '1', 'unit': 'bunch', 'name': 'HERBS)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'peppercorns'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic,'}","To sanitize jar, put a 1-quart wide-mouthed canning jar in a 6- to 8-quart pot; cover with tap water. (You could also use multiple smaller wide-mouthed canning jars.) Bring to a boil; boil 10 minutes. Using tongs, carefully remove jar from pot, draining excess water; let jar cool slightly. Meanwhile, for brine, stir together filtered water and salt in a 1-quart measuring cup until salt is dissolved.. Add radishes (or other VEGETABLES), mint (or other HERBS), peppercorns (or other KICK), and garlic to jar. Veggies can be packed tightly; they will shrink and soften as they pickle. Fill jar with brine; you may have brine left over. Add a fermenting weight or an inverted, sanitized plastic lid to keep vegetables submerged.. Cover jar with a kitchen towel, securing with a rubber band. Let stand at room temperature for  at least 24 hours or up to 3 days. You’ll start to see bubbles forming. The vegetables will become more tart and the brine will become cloudier the longer the pickles stand. Remove fermenting weight and screw on metal lid. Chill up to 3 weeks.","calories: 7, fat: 0g, carbs: 2g, protein: 0g, servings: 16"
Dill Pickle Meatballs,https://www.allrecipes.com/dill-pickle-meatballs-recipe-8648374,"{'quantity': None, 'unit': None, 'name': 'cooking Spray'}, {'quantity': '1', 'unit': 'pound', 'name': '80/20 ground beef'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'round buttery cracker'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'finely chopped dill pickles'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'chopped fresh mixed herbs'}, {'quantity': '1 1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain whole milk yogurt'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttered rice,'}",,
Candied Jalapeños,https://www.allrecipes.com/candied-jalapenos-recipe-8642442,"{'quantity': '1', 'unit': 'pound', 'name': 'jalapeño peppers'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'celery seed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cumin seed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'anise seed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '', 'unit': '', 'name': '1 pint-size canning jar'}","While wearing gloves, rinse jalapeños and remove stem. Cut into 1/4-inch slices and set aside. To reduce the heat from the peppers, you may core out the centers with the seeds and discard before slicing.. Combine brown sugar and apple cider vinegar in a saucepan over medium heat. Add garlic powder, celery seed, turmeric, cumin seed, anise seed, salt, and red pepper flakes. Bring to a simmer for 3 minutes. Add sliced jalapeño peppers and simmer for an additional 4 to 5 minutes.. Remove jalapeños to a jar using a slotted spoon. Continue simmering liquid over medium-low heat until slightly thickened, about 10 minutes more.. Pour liquid over the jalapeños and let cool. Use a strainer to remove excess seeds from the liquid, if desired. Refrigerate for a minimum of 3 days before eating. Store in the refrigerator for up to 3 months.","calories: 58, fat: 0g, carbs: 14g, protein: 0g, servings: 24"
Jam vs. Marmalade: What's the Difference?,https://www.allrecipes.com/marmalade-vs-jam-difference-7480111,,,
Orange Marmalade,https://www.allrecipes.com/recipe/8530802/orange-marmalade/,"{'quantity': '5', 'unit': 'small', 'name': 'navel oranges (about 2¼ pounds), washed and scrubbed'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, washed and scrubbed'}, {'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'granulated sugar'}","Slice off and discard tops and bottoms from oranges and lemon. Peel off and discard skin and pith of 3 of the oranges. Quarter all oranges and lemon lengthwise, then thinly slice into 1/8-inch slices, discarding seeds while slicing. Place all citrus slices in a large bowl and cover with water. Cover and refrigerate for at least 8 hours and up to 24 hours.. Pour orange and lemon slices along with water into a large stainless steel saucepan or Dutch oven. Bring to a boil over high heat. Once boiling, reduce heat to medium and simmer, uncovered, stirring occasionally, until orange rinds have softened and can be cut with a spoon with slight resistance, about 45 minutes, skimming any foam that rises to top during process.. Inspect four (½-pint) canning jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until orange marmalade is ready. Wash new, unused lids and rings in warm soapy water. Place a small plate in the freezer.. Add sugar to orange mixture and bring to a boil over high heat. Cook, stirring occasionally, until liquid has slightly reduced, bubbles are slightly larger in center, and a thermometer reads 220 degrees F (104 degrees C) about 40 to 45 minutes. Mixture will stay between 212 degrees F (100 degrees C) and 216 degrees F (102 degrees C) for the majority of this time and will rise to 220 degrees F (104 degrees C) when enough liquid has evaporated.. To test if marmalade consistency is correct, remove plate from freezer and spoon a small amount of marmalade onto plate. Return plate to freezer for 1 minute. Remove plate from freezer; pull a finger through marmalade and across plate. It should leave a clean trail. If marmalade is runny and does not leave a clean trail, return mixture in pot to a boil over medium-high, and return plate to freezer. Boil marmalade, stirring often, for 3 minutes. Remove from heat, and retest thickness using plate again; repeat if necessary until it reaches desired thickness.. Carefully pour marmalade evenly into the prepared canning jars. Let cool to room temperature, uncovered, about 3 hours. Seal jars. Chill until marmalade sets, at least 2 hours. Store in refrigerator for up to 2 weeks.","calories: 96, carbs: 25g, protein: 0g, servings: 32"
