name,link,ingredients,steps,nutrition
Carrot Pineapple Cake,https://www.allrecipes.com/recipe/15810/carrot-pineapple-cake-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan.. To make the cake: Mix together flour, cinnamon, baking soda, baking powder, and salt in a large bowl. Make a well in the center and add sugar, oil, eggs, and vanilla. Mix with a wooden spoon until smooth. Stir in carrots, coconut, walnuts, and pineapple. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes. Allow cake to cool completely before frosting. (The center of cake may sink slightly as it cools.). To make the frosting: Beat cream cheese and butter in a mixing bowl until smooth. Add confectioners' sugar; beat until creamy.","calories: 329, fat: 19g, carbs: 38g, protein: 4g, servings: 24"
Chef John's Carrot Cake,https://www.allrecipes.com/recipe/263516/chef-johns-carrot-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'coconut oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'finely grated carrots, or more to taste'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'finely crushed pineapple, drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped pecans (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped walnuts (Optional)'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract, or to taste'}, {'quantity': '3', 'unit': 'cups', 'name': ""confectioners' sugar, or to taste""}","Preheat the oven to 350 degrees F (175 degrees C).. Place flour in a bowl. Add salt, baking soda, and baking powder. Sprinkle in ground ginger and cinnamon. Whisk thoroughly until combined. Set aside.. Add sugar to a separate bowl. Whisk in eggs until mixture is smooth and pale yellow, 2 to 3 minutes.. Heat butter and coconut oil in a saucepan over low heat until just melted but not too hot. Whisk into the bowl with the eggs and sugar until well combined. Add carrots, crushed pineapple, pecans, and walnuts. Stir well.. Stir flour mixture into the carrot mixture until no dry spots remain. Pour batter into a greased 9x13-inch baking pan. Tap the pan against your counter to let any big air bubbles rise to the surface.. Bake in the preheated oven until a toothpick inserted into the cake comes out clean, 40 to 45 minutes. Let cool completely before frosting, at least 40 minutes.. Beat cream cheese, butter, and vanilla extract together using an electric mixer until light and fluffy. Gradually beat in the confectioners' sugar to form a smooth frosting. Spread evenly over the cooled cake. Chill completely before slicing.","calories: 728, fat: 41g, carbs: 88g, protein: 7g, servings: 12"
Carrot Cake Bars,https://www.allrecipes.com/carrot-cake-bars-recipe-7372763,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'brown sugar, divided'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, at room temperature'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'grated carrot'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}","Melt butter in a light-colored saucepan over medium heat. Continue to cook, stirring constantly, until butter begins to brown and smell nutty, about 5 minutes. Carefully measure out 1/4 cup of the browned butter and set aside to use in the frosting. Pour remaining brown butter into a large mixing bowl; allow to cool for 10 to 15 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. To the mixing bowl with brown butter, add brown sugar and whisk until combined. Whisk in egg, egg yolk, and vanilla until completely smooth and combined. Add in flour, baking soda, cinnamon, ginger, salt, nutmeg, and allspice and mix until just combined. Fold in carrots. Pour batter into the prepared pan and spread into an even layer.. Bake in the preheated oven until bars spring back when touched lightly in the center, 25 to 30 minutes.. Remove bars from oven to cool in the pan for 10 minutes. Lift bars out of the pan using the parchment overhang, and remove to a wire rack to cool completely.. Meanwhile, prepare frosting. Beat cream cheese in a large bowl with an electric mixer until smooth. Beat in reserved 1/4 cup brown butter on medium-high speed until thoroughly combined. Beat in vanilla, salt, and 1 cup powdered sugar until smooth. Add remaining 1 cup powdered sugar, and beat until thoroughly incorporated. Beat frosting on medium speed until completely smooth, 2 to 3 minutes more. Cover frosting and refrigerate until ready to use.. Spread bars with frosting as desired. For best results when slicing, place frosted bars in the fridge for about 1 hour to allow frosting to set up a bit before cutting. Cut into 16 bars.","calories: 247, fat: 14g, carbs: 27g, protein: 3g, servings: 16"
Carrot Apple Cake with Cream Cheese Frosting,https://www.allrecipes.com/recipe/8542272/carrot-apple-cake-with-cream-cheese-frosting/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'firmly packed dark brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk, at room temperature'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'grated carrot'}, {'quantity': '1', 'unit': 'cup', 'name': 'peeled and grated Granny Smith apple'}, {'quantity': '¾', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped pecans (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '12', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '4 ½', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'heavy cream, or as needed'}","Preheat oven to 350 degrees F (175 degrees C). Grease two 8-inch square pans and line the bottoms with parchment paper.. Whisk flour, baking powder, cinnamon, ginger, baking soda, salt, nutmeg, cloves, and allspice together in a bowl; set aside.. Beat butter, oil, brown sugar, and white sugar together in a large bowl with an electric mixer until light and fluffy. Add eggs one at a time, beating well after each addition. Beat batter for an additional 2 minutes after adding last egg. Beat in vanilla extract. Pour in half of the flour mixture; mix on low speed until just combined. Pour in buttermilk; mix until just combined. Pour in remaining flour mixture; mix until just combined. Fold in carrot, apple, raisins, and pecans.. Divide batter evenly between the two pans. Spread into an even layer in each pan.. Bake in the preheated oven until the top of the cake springs back lightly when touched and a toothpick inserted near the center comes out clean, 40 to 45 minutes.. Allow cakes to cool in pans for 20 minutes; remove to a wire rack to cool completely, about 1 1/2 hours more.. Beat butter in a large bowl with an electric mixer until completely smooth; beat in cream cheese until smooth and thoroughly combined. Beat in confectioners' sugar 1 cup at a time, mixing well after each addition; beat in vanilla and salt. Add in heavy cream; beat on medium-high until frosting is slightly fluffy, about 2 minutes.. Spread frosting onto one cooled cake layer. Stack layers; frost top and sides.","calories: 580, fat: 28g, carbs: 78g, protein: 7g, servings: 16"
Carrot Cake,https://www.allrecipes.com/recipe/7402/carrot-cake-iii/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '4', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}",,"calories: 575, fat: 35g, carbs: 64g, protein: 5g, servings: 18"
Best Carrot Cake Ever,https://www.allrecipes.com/recipe/17393/best-carrot-cake-ever/,"{'quantity': '6', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed pineapple, drained'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Gather all ingredients.. Combine grated carrots and brown sugar in a medium bowl. Let sit for 1 hour, then stir in raisins.. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 10-inch round cake pans. Beat eggs in a large bowl until light.. Gradually beat in white sugar, oil, and vanilla. Stir in pineapple.. Combine flour, cinnamon, baking soda, and salt in a separate bowl, then stir into egg mixture until absorbed.. Stir in carrot mixture and walnuts. Pour evenly into the prepared pans.. Bake in the preheated oven until an inserted toothpick comes out clean, 45 to 50 minutes.. Cool for 10 minutes before removing cake layers from the pans; let cool completely.","calories: 457, fat: 20g, carbs: 66g, protein: 6g, servings: 16"
Sam's Famous Carrot Cake,https://www.allrecipes.com/recipe/8270/sams-famous-carrot-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded carrots'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'crushed pineapple with juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8x12-inch pan.. Sift flour, baking soda, cinnamon, and salt together in a medium bowl; set aside.. Mix sugar, eggs, buttermilk, oil, and vanilla together in a large bowl; gradually add flour mixture until just combined.. Combine shredded carrots, pineapple, coconut, walnuts, and raisins in a separate bowl; stir into cake batter using a large wooden spoon until combined. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, about 1 hour. Allow cake to cool for at least 20 minutes before serving.","calories: 374, fat: 19g, carbs: 49g, protein: 5g, servings: 15"
Moist Carrot Cake,https://www.allrecipes.com/recipe/25553/moist-carrot-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'shredded carrots'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a 9x13-inch pan.. Combine flour, cinnamon, baking powder, baking soda, and salt together in a large bowl; set aside.. Mix sugar, oil, and eggs together in a separate bowl. Beat in flour mixture. Stir in carrots, pineapple, coconut, and walnuts. Pour cake batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 to 40 minutes. Allow to cool.","calories: 569, fat: 36g, carbs: 59g, protein: 6g, servings: 12"
Old-Fashioned Carrot Cake,https://www.allrecipes.com/recipe/15760/carrot-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '4', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish; set aside.. Mix together sugar, oil, buttermilk, eggs, and 1 teaspoon vanilla in a large bowl until well combined. Stir in carrots, pineapple, and coconut. Combine flour, baking soda, cinnamon, and salt in a medium bowl; gently stir into carrot mixture. Mix in nuts until incorporated. Spread batter into the prepared dish.. Bake in the preheated oven until a toothpick inserted into cake comes out clean, about 55 minutes. Remove from the oven and set aside to cool.. Beat together confectioners' sugar, cream cheese, butter, and remaining 1 teaspoon vanilla in a large bowl with an electric mixer until creamy. Frost cooled cake while still in the dish.","calories: 604, fat: 30g, carbs: 80g, protein: 6g, servings: 15"
Easy Carrot Cake,https://www.allrecipes.com/recipe/13598/easy-carrot-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cream cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2 ½', 'unit': 'cups', 'name': ""sifted confectioners' sugar""}","Preheat oven to 350 degrees F (175 degrees C). Grease one 9 or 10 inch tube pan.. Combine the sugar, flour, salt, cinnamon, soda, oil. With an electric mixer beat in the eggs one at a time. Stir in the carrots and the walnuts. Pour the batter into the prepared baking pan.. Bake at 350 degrees F (175 degrees C) for 1 hour 20 minutes. Note: this cake can be made in two 9 inch layer cake pans just change the baking time to 40 minutes.. To Make Frosting: With an electric mixer blend the cream cheese and cream. Add the vanilla and confectioners' sugar. Frosting can be spread and a still warm cake.","calories: 593, fat: 34g, carbs: 69g, protein: 6g, servings: 14"
