name,link,ingredients,steps,nutrition
17 Comfort Food Casseroles Inspired by World Cuisines,https://www.allrecipes.com/gallery/casseroles-inspired-by-world-cuisines/,,,
How to Make Casseroles Without a Recipe,https://www.allrecipes.com/article/make-casseroles-without-a-recipe/,,,
25 Classic Recipes Made Casserole-Style,https://www.allrecipes.com/gallery/classic-recipes-made-casserole-style/,,,
How Casseroles Conquered Comfort Food,https://www.allrecipes.com/article/casseroles-make-a-comeback/,,,
Pizza Rice Bake (Pizzaiola Rice),https://www.allrecipes.com/pizza-rice-bake-recipe-8744154,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white rice'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'vegetable'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'marinara sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Parmesan cheese'}, {'quantity': '15', 'unit': None, 'name': 'pepperoni slices'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded low-moisture part-skim mozzarella cheese'}, {'quantity': None, 'unit': None, 'name': 'torn fresh basil leaves'}",,"calories: 275, fat: 13g, carbs: 29g, protein: 11g, servings: 6"
Creamy Bacon Pasta Bake,https://www.allrecipes.com/creamy-bacon-pasta-bake-recipe-8736946,"{'quantity': '8', 'unit': 'ounces', 'name': 'thick-cut bacon, chopped'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh flat-leaf parsley'}",,"calories: 698, fat: 48g, carbs: 37g, protein: 27g, servings: 6"
Philly Cheesesteak Smothered Tater Tots,https://www.allrecipes.com/philly-cheesesteak-smothered-tater-tots-recipe-8747185,"{'quantity': '1', 'unit': '(2 pound)-package', 'name': 'tater tots'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': '(12 ounce) box', 'name': 'frozen sandwich beef'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Montreal steak seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with foil; arrange tater tots on the sheet in a single layer.. Bake in the preheated oven until golden, about 20 minutes.. Meanwhile, cook and stir onion, green pepper, and red  pepper in a large skillet over medium-high heat for 5 minutes. Add beef, Worcestershire sauce, and steak seasoning. Cook until most of liquid has evaporated, about 6 minutes.. Divide beef mixture over baked tater tots with a slotted spoon. Sprinkle shredded cheese over the top.. Bake until cheese is melted and beginning to brown, about 5 minutes more.","calories: 542, fat: 29g, carbs: 48g, protein: 25g, servings: 6"
The Best Million Dollar Spaghetti,https://www.allrecipes.com/the-best-million-dollar-spaghetti-recipe-8747691,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground sirloin'}, {'quantity': '1', 'unit': 'pound', 'name': 'Italian sausage'}, {'quantity': '32', 'unit': 'ounces', 'name': 'marinara sauce'}, {'quantity': '16', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'cottage cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'chopped parsley, for garnish'}","Heat oil in a large saucepan over medium-high heat. Add onion, 1 teaspoon salt, and garlic; cook until softened, about 3 minutes. Add ground beef and sausage and cook, crumbling with a spoon, until browned, about 5 minutes. Stir in 3 cups marinara sauce; bring to a simmer.  Reduce heat to low and simmer while pasta cooks.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large casserole dish.. Bring a large pot of salted water to a boil. Add pasta and cook until just tender with a bite, about 7 minutes. Drain; return spaghetti to the pot. Stir in 3 1/2 tablespoons butter and remaining marinara sauce.. Combine cottage cheese, cream cheese, sour cream, remaining salt, pepper, and 1 cup mozzarella in a medium bowl and stir until well incorporated.. Add half of pasta to the casserole dish. Spread cheese mixture evenly over pasta. Add remaining pasta; cut remaining 1 1/2 tablespoons butter into thin slices, and arrange over pasta. Top with meat sauce mixture, remaining 2 cups mozzarella, and grated Parmesan cheese. Place casserole dish on a rimmed baking sheet.. Bake in the preheated oven until cheese is melted and browned and pasta is bubbling around the edges, 40 to 50 minutes. Let stand 5 to 10 minutes before serving. Sprinkle with parsley if desired.","calories: 652, fat: 43g, carbs: 29g, protein: 37g, servings: 10"
Loaded Broccoli Casserole,https://www.allrecipes.com/loaded-broccoli-casserole-recipe-8726770,"{'quantity': '8', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '8', 'unit': 'slices', 'name': 'bacon, coarsely chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': '(10-ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '30', 'unit': None, 'name': 'crackers, coarsely crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}","Gather all ingredients.. Preheat oven to 350 degrees F (175 degrees C). Lightly coat a 2-quart baking dish with nonstick cooking spray.. Cook broccoli in a large pot of boiling, lightly salted water for 1 minute; drain. Rinse with cold water; drain again and set aside.. Cook bacon in a large skillet over medium until crisp. Using a slotted spoon, remove bacon to a paper towel lined plate. Crumble bacon when cool.. Add onion to the skillet with bacon drippings; cook over medium about 5 minutes or until tender.. Meanwhile, combine soup , sour cream, garlic powder, salt, and pepper in a large bowl.. Add broccoli, bacon, and cooked onions to the soup mixture and stir to combine. Add cheese, stir.. Transfer broccoli mixture to prepared baking dish.. Combine crushed crackers and melted butter in a small bowl. Sprinkle crumb mixture over casserole.. Bake 45 minutes or until bubbly and golden.. Serve hot and enjoy!","calories: 859, fat: 58g, carbs: 57g, protein: 34g, servings: 4"
Bobotie (South African Beef Casserole),https://www.allrecipes.com/bobotie-south-african-beef-casserole-recipe-8738400,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'curry powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground turmeric'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '4', 'unit': None, 'name': 'bay laurel leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'wine vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chutney,'}, {'quantity': '3', 'unit': 'slices', 'name': 'white bread'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}",,"calories: 441, fat: 27g, carbs: 13g, protein: 36g, servings: 8"
