name,link,ingredients,steps,nutrition,image_url
Cranberry Cheese Ball,https://www.allrecipes.com/cranberry-cheese-ball-recipe-8726774,"{'quantity': '1/4', 'unit': 'cup', 'name': 'cranberry juice cocktail'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries, snipped, divided'}, {'quantity': '1', 'unit': '(8-ounce) package', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'heddar cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chives, divided'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pecans, toasted and finely chopped'}, {'quantity': None, 'unit': None, 'name': 'crackers, crostini, and/or vegetable dippers for serving'}","Gather all ingredients.. Bring cranberry juice just to a boil in a small saucepan. Remove from heat. Add 1/4 cup dried cranberries. Cover; set aside.. Place cream cheese, Cheddar cheese, and butter in a large bowl. Let stand at room temperature for 30 minutes.. Drain cranberries, reserving 1 tablespoon juice. Add plumped cranberries and reserved juice to the bowl with the cheese mixture. Add 1 tablespoon chives, orange zest, brown sugar, and garlic powder. Beat with an electric mixer on medium until light and fluffy.. Place cheese mixture on a sheet of plastic wrap. Use the plastic wrap to shape the mixture into a ball (it won’t be a perfect shape at this point). Wrap in the plastic wrap and chill in the refrigerator for 3 to 24 hours.. Now you can make a better ball shape by rolling the wrapped mixture on your work surface.. Sprinkle remaining 1/4 cup dried cranberries, remaining 1 tablespoon chives, and the pecans on a sheet of plastic wrap or waxed paper. Roll cheese ball in the mixture to coat.. Let stand 15 minutes before serving with crackers, crostini, or vegetable dippers.","calories: 134, fat: 11g, carbs: 6g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/2oUZc4nK-xuUYYPkIhGLD5SU6Yg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8726774-Cranberry-Cheese-Ball-ddmfs-hero-4x3-17403-29c16f7a15dc41df9434296721e8e641.jpg
Pecan Pie Cheese Ball,https://www.allrecipes.com/pecan-pie-cheese-ball-recipe-8732389,"{'quantity': '2', 'unit': 'packages', 'name': 'caramel dip singles'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'toasted pecans'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'package', 'name': 'instant vanilla pudding mix'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': None, 'unit': '2/3 cup', 'name': 'pecans, divided'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': None, 'unit': None, 'name': 'apple slices'}",,"calories: 324, fat: 25g, carbs: 23g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/xc1Qegmu/thumbnails/wZyYC6wL.jpg
Pumpkin Cheese Ball,https://www.allrecipes.com/pumpkin-cheese-ball-recipe-8725706,"{'quantity': '2', 'unit': '(8-ounce) packages cream', 'name': 'cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot pepper sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'heddar cheese'}, {'quantity': '1', 'unit': None, 'name': 'bell pepper'}, {'quantity': None, 'unit': None, 'name': 'crackers for serving'}","Gather all ingredients.. Combine cream cheese, hot pepper sauce, paprika, and garlic in a food processor. Process until well combined.. Add 1 1/2 cups shredded cheese and process until cheese is finely chopped but still very visible.. Sprinkle about 3 tablespoons of the remaining shredded cheese into a 4-inch pile on a large piece of plastic wrap, and top with a rounded scoop of the cheese ball mixture.. Sprinkle the cheese ball mound with the remaining shredded cheese.. Pull sides of plastic wrap up and over the cheese ball mixture to wrap tightly and shape into a ball. (If needed, wrap with an additional piece of plastic wrap to ensure the mixture is very tightly wrapped.). Wrap 4 wide rubber bands around the cheese ball, evenly spacing them to create the indentations that are found on a pumpkin. (Depending on the size of the rubber bands, you may need to double wrap each one to create indentations that are deep enough.). Chill cheese ball in the refrigerator at least 3 hours before serving to allow flavors to meld and the cream cheese to become firm.. Before serving, remove rubber bands and unwrap cheese ball. Place a bell pepper stem on top of the pumpkin and gently press to adhere. Serve with crackers.","calories: 111, fat: 10g, carbs: 2g, protein: 4g, servings: 24",https://www.allrecipes.com/thmb/aPPdrr6CVxOowvkSO49vqsHrlhI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7969895-pumpkin-cheese-ball-ddmfs-4x3-e74e3d517d754057b163995d5948f698.jpg
Snowman Cheese Ball,https://www.allrecipes.com/snowman-cheese-ball-recipe-8406012,"{'quantity': '2 (8-ounce)', 'unit': 'packages', 'name': 'cream cheese, softened'}, {'quantity': '1 (8-', 'unit': 'ounce) package', 'name': 'pepper Jack cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'alt-free Cajun seasoning,'}, {'quantity': '1 (1-', 'unit': 'ounce) packet', 'name': 'ranch dressing mix'}, {'quantity': '10', 'unit': 'whole', 'name': 'peppercorns'}, {'quantity': '1', 'unit': 'baby', 'name': 'carrot'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper with stem'}, {'quantity': None, 'unit': None, 'name': 'crackers for serving'}","Mix cream cheese, pepper Jack cheese, Cajun seasoning, and ranch dressing mix together in a large bowl; divide mixture to form one small cheese ball for the head and one larger cheese ball for the body. Wrap and chill in the refrigerator for 4 hours or up to overnight before serving.. Place larger cheese ball on a serving plate for body. Place smaller cheese ball on top for head. Slice the tip off baby carrot; press into cheese ball for nose. Use whole peppercorns for mouth, eyes, and buttons. Cut the top, with stem, from a jalapeno, and place on top for a hat. Serve with crackers.","calories: 109, fat: 9g, carbs: 3g, protein: 4g, servings: 24",https://www.allrecipes.com/thmb/r4tvu_khh0UUvWB6Xi-5YMTLBC8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8406012_Snowman-Cheese-Ball_Chef-Mo_4x3-f8ca1d827cc54afd85308562d30fde62.jpg
Pine Cone Cheese Ball,https://www.allrecipes.com/recipe/240702/pine-cone-cheese-ball/,"{'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '4', 'unit': 'ounces', 'name': 'goat cheese, softened'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh flat-leaf parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh tarragon'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh thyme'}, {'quantity': '½', 'unit': 'clove', 'name': 'garlic, minced, or more to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole almonds, or as needed'}, {'quantity': '3', 'unit': '', 'name': 'large fresh rosemary sprigs'}","Stir cream cheese, goat cheese, parsley, tarragon, thyme, garlic, cayenne pepper, salt, and black pepper together in a bowl until smooth and well-mixed.. Turn cheese mixture out onto a serving platter and form into a tapered oval shape to resemble a pine cone.. Starting at the tapered end, press almonds into the cheese cone so that the tip of the almond is facing out and down, and cheese cone is completely covered with almonds and resembles a pine cone. Place rosemary sprigs at the top to resemble pine needles.","calories: 176, fat: 16g, carbs: 3g, protein: 6g, servings: 16",https://cdn.jwplayer.com/v2/media/d6ki1rAP/poster.jpg?width=720
How to Make Cream Cheese,https://www.allrecipes.com/recipe/235277/how-to-make-cream-cheese/,"{'quantity': '1', 'unit': '', 'name': 'package of cheesecloth'}, {'quantity': '1', 'unit': '(32 ounce) container', 'name': ""plain yogurt (such as sheeps' milk yogurt)""}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}","Line a colander with 6 thin layers of cheesecloth set over a bowl, letting the edges of the cheesecloth hang over the sides. Pour in the yogurt and gather the cheesecloth at the top. Tie the bundle together at the top with kitchen twine and hang the yogurt partially inside a large bowl or large measuring cup set in the refrigerator to drain for 24 hours. Check liquid level in container and pour off if it gets too high.. Unwrap the cheesecloth and place cream cheese into a mixing bowl, sprinkle with salt, and mix until smooth and thoroughly combined.. Line a 4 1/2-ounce ramekin or a small bowl with 4 thin layers of clean cheesecloth. Spoon the salted cream cheese into the ramekin, avoiding creating air pockets. Smooth top of the cream cheese and place a small circle of plastic on top, cut out of a plastic bag. The plastic should just fit inside the ramekin. Fold the cheesecloth over the top and cut off excess cheesecloth. Place another piece of plastic wrap over the ramekin.. Cut out a small cardboard circle, just barely smaller than the inside of the ramekin, and place the cardboard circle on top of the plastic wrap. Place a small heavy object (such as a can of food) onto the cardboard. Refrigerate to press and age the cream cheese for 2 days.. Carefully unwrap all the layers of plastic and cheesecloth to reveal the pressed cheese. Transfer to a serving plate with the flat side down to show the cheesecloth marks. Refrigerate leftovers.","calories: 48, fat: 1g, carbs: 5g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/oH0rr04q/poster.jpg?width=720
Traditional Christmas Cheese Ball,https://www.allrecipes.com/recipe/155754/traditional-christmas-cheese-ball/,"{'quantity': '1 ½', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'small', 'name': 'Vidalia or other sweet onion, minced'}, {'quantity': '1', 'unit': '(2.5 ounce) package', 'name': 'thinly sliced smoked beef, chopped'}, {'quantity': '1', 'unit': '(2.25 ounce) can', 'name': 'pimento-stuffed green olives, chopped'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Combine cream cheese, onion, beef, olives, and Worcestershire sauce in a bowl until evenly blended. Form mixture into a semi-ball shape in the bowl. Cover bowl with plastic wrap; refrigerate until firm, at least 2 hours.. Place a large sheet of waxed paper on a flat surface; sprinkle with walnuts. Roll cheese ball in walnuts until completely covered; transfer to a serving plate or rewrap with waxed paper and refrigerate until ready to serve.","calories: 180, fat: 17g, carbs: 3g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/7J8ptj7-_TS5mRgFjIx9qCU0VBU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/751827-8d8c3ccd35224c8da632c832e118cdd6.jpg
Pear-Pecan Cheese Ball,https://www.allrecipes.com/recipe/269478/pear-pecan-cheese-ball/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'reduced-fat cream cheese, softened'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'shredded extra-sharp Cheddar cheese'}, {'quantity': '1', 'unit': 'medium', 'name': 'firm ripe pear, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'scallion, white and green separated, finely chopped'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground pepper'}, {'quantity': '', 'unit': '', 'name': 'Reynolds KITCHENS® Quick Cut™ Plastic Wrap'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'finely chopped toasted pecans'}","Stir cream cheese, Cheddar, pear, scallion white, salt, and pepper together in a medium bowl.. Coat a large piece of plastic wrap with cooking spray. Scoop the cheese mixture onto it. Using the plastic wrap to help you, form the cheese mixture into a ball, then completely wrap in plastic. Refrigerate for at least 1 hour and up to 2 days.. Just before serving, combine pecans and the reserved scallion greens in a shallow dish. Roll the cheese ball in the mixture, pressing to adhere.","calories: 69, fat: 6g, carbs: 2g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/X0x81P5t2vGXz4cq3Tlwspul-Qg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6110778-1da75095c5134483970f205919941308.jpg
4-Ingredient Bacon Ranch Cheese Ball,https://www.allrecipes.com/recipe/8499610/4-ingredient-bacon-ranch-cheese-ball/,"{'quantity': '4', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dry ranch dressing mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped pecans'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon strips to a lined baking sheet with a drip tray. Refrigerate bacon until crisp.. In a bowl spread out cream cheese and sprinkle ranch seasoning over the cheese. Blend together until well combined.. Chop bacon until it resembles fine crumbs. Reserve 2 tablespoons. Add remaining bacon to the cream cheese mixture. Using clean (gloved) hands roll cream cheese mixture into a ball. Refrigerate for 30 minutes. Combine chopped pecans and reserved bacon in a small bowl. Cover cream cheese ball with pecan bacon mixture. Refrigerate until ready to serve. Let come to room temperature about 30 minutes before serving.","calories: 103, fat: 10g, carbs: 1g, protein: 2g, servings: 15",https://www.allrecipes.com/thmb/kd8hLXHjJwaHDxyfSDAJUhb_vPQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Bacon-Ranch-Ball-e410c04df37e445a80f250055363bb98.jpg
Bacon-Ranch Cheese Ball,https://www.allrecipes.com/recipe/8499643/bacon-ranch-cheese-ball/,"{'quantity': '8', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded sharp Cheddar cheese'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry ranch dressing mix'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried minced onion'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'minced fresh chives'}, {'quantity': '', 'unit': '', 'name': 'crackers for serving'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and allow to cool. Crumble bacon slices when cool enough to handle.. Mix together cream cheese, Cheddar cheese, Ranch dressing mix, dried minced onion, garlic powder, and 1/2 of the crumbled bacon in a bowl until well combined. Place the other half of crumbled bacon in the refrigerator until ready to use.. Form cheese mixture into a round ball (it's helpful to use plastic wrap while shaping it). Wrap in plastic wrap and refrigerate for at least 2 hours.. Place remaining crumbled bacon on a plate and stir in minced chives. Remove plastic wrap from the cheese ball and roll it in the bacon and chive mixture, lightly pressing the topping to the cheese ball so it sticks.. Place the coated cheese ball on a serving dish and surround with crackers for dipping.","calories: 112, fat: 10g, carbs: 1g, protein: 4g, servings: 32",https://www.allrecipes.com/thmb/0UcZ0Gehz_iK0mi5YOY7R2dg44s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1666294928Bacon-Ranch20Cheese20Ball-3aae0d5f00b14ad984cce14a784b1c91.jpg
