name,link,ingredients,steps,nutrition,image_url
No recipe name found,https://www.allrecipes.com/recipes/14672/desserts/cakes/cheesecake/pumpkin-cheesecake/,,,,https://www.allrecipes.com/thmb/BOkLMEVXFipwuCcgXDCozvq5UVc=/1500x750/filters:no_upscale():max_bytes(150000):strip_icc()/78252-9c050b3e025047559bdb6787f0853121.jpg
New York-style Cheesecake Is (Sorry) NOT the Best Cheesecake,https://www.allrecipes.com/what-is-burnt-basque-cheesecake-7254393,,,,https://www.allrecipes.com/thmb/yEaBVXFQlI0_09Eb52IXQm_j4GY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/allrecipes-burnt-basque-cheesecake-Chef-John-4x3-e7136f3b3dd44104a30a15fb0b012a41.jpg
Cinnamon-Chocolate Chip Cheesecake,https://www.allrecipes.com/recipe/283308/cinnamon-chocolate-chip-cheesecake/,"{'quantity': '12', 'unit': '', 'name': 'cinnamon graham crackers'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, at room temperature'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'mascarpone cheese, at room temperature'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'sour cream, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'semisweet chocolate chips, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': '(8.8 ounce) package', 'name': 'speculoos cookies (such as Lotus Biscoff®)'}, {'quantity': '28', 'unit': '', 'name': ""milk chocolate candy kisses (such as Hershey's Kisses®), unwrapped""}","Preheat oven to 350 degrees F (175 degrees C). Line the bottom and sides of a 9-inch springform pan with 4 layers of aluminum foil.. Pulse graham crackers in a food processor until finely chopped. Add butter, 1/4 cup sugar, and 1/2 teaspoon salt; pulse until incorporated, about 5 times. Transfer crumb mixture to the prepared pan and press evenly over the bottom and halfway up the sides.. Bake in the preheated oven until fragrant and starting to turn crispy, 8 to 10 minutes. Remove and set aside to cool while you prepare the cheesecake filling. Lower the oven temperature to 325 degrees F (165 degrees C).. Combine cream cheese, mascarpone, and remaining 1 1/4 cups sugar in the bowl of an electric stand mixer fitted with the paddle attachment. Mix on medium-high speed until completely smooth and creamy, 1 to 2 minutes, scraping down sides as necessary. Add sour cream, vanilla, cinnamon and 1/2 teaspoon salt; mix until combined, about 30 seconds. Add eggs, one at a time, and mix on low until just incorporated. Fold in 1 cup chocolate chips.. Pour cheesecake mixture into prepared cookie crust. Top cheesecake with 1/4 cup of the remaining chocolate chips and place entire pan into a large roasting pan. Transfer to the center rack in oven and carefully pour boiling water into the roasting pan to come up 1 inch on the sides of the springform pan, being careful to not let water get into cheesecake.. Bake until filling is set but still slightly jiggly in the center, 60 to 65 minutes. Turn oven off and prop the door open. Let cheesecake cool in the oven for 1 hour. Remove from the oven and take cheesecake out of the roasting pan. Set aside to cool completely, about 30 minutes. Cover with plastic wrap and refrigerate until fully chilled, at least 4 hours or overnight.. Place remaining 1/2 cup chocolate chips in a medium bowl. Microwave heavy cream until hot but not boiling, about 1 minute. Pour over chocolate chips and let sit, undisturbed, for 5 minutes. Add remaining 1/4 teaspoon salt and stir until smooth and shiny. Set aside to cool for 15 minutes.. While ganache cools, run a sharp paring knife around edges of crust to loosen from pan. Remove sides of springform pan. Run knife around bottom of cheesecake to loosen. Gently shimmy, or use large spatulas, to transfer cheesecake onto a cake stand or serving plate.. Top cheesecake with chocolate ganache leaving 1-inch uncovered around the perimeter of the cheesecake. Crumble speculoos cookies; sprinkle over ganache. Place candy kisses on top of uncovered perimeter of cheesecake. Slice and serve cold or at room temperature.","calories: 882, fat: 60g, carbs: 84g, protein: 12g, servings: 10",https://www.allrecipes.com/thmb/z2Wgkz3P9WIetcMMasOg74_VnKk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9033590-b3c7c247e97d4df88c953b2eb09a7f7e.jpg
7 Common Cheesecake Mistakes and How to Avoid Them,https://www.allrecipes.com/article/common-cheesecake-mistakes-to-avoid/,,,,https://cdn.jwplayer.com/v2/media/wRZIf1R4/poster.jpg?width=720
Shavuot Cheesecake,https://www.allrecipes.com/recipe/230267/shavuot-cheesecake/,"{'quantity': '10', 'unit': '', 'name': 'graham crackers'}, {'quantity': '½', 'unit': 'cup', 'name': 'walnut pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '2', 'unit': 'pounds', 'name': 'cream cheese at room temperature'}, {'quantity': '4', 'unit': '', 'name': 'eggs at room temperature'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'quart', 'name': 'boiling water, or as needed'}","Preheat oven to 325 degrees F (165 degrees C). Place parchment paper over bottom of a 9-inch springform pan and seal pan around the base (the parchment paper should be sticking out the edges). Grease sides of pan, but not parchment paper.. Pulse graham crackers, confectioners' sugar, walnuts, cinnamon, nutmeg, and salt in a food processor until mixture is crumbly, about 30 seconds. Pour melted butter over the crumbs and continue to process for 10 seconds. Push crumbs down the sides of the processor with a spatula and continue processing for about 10 more seconds until crumbs are evenly darkened. Press mixture firmly in an even layer across bottom of pan.. Clean and dry food processor. Cut cream cheese into chunks and place in food processor. Add eggs, sugar, sour cream, half-and-half, sweetened condensed milk, flour, and vanilla extract. Using short 1-second pulses, blend until smooth. This should take about 15 seconds; scrape down the sides if necessary, but do not overmix.. Bring water to a boil. While water is heating, carefully pour cheesecake filling into prepared springform pan. Smooth surface with a spatula. Pop large bubbles with the tip of a paring knife.. Place a large roasting pan in bottom of oven; pour in boiling water. Set cheesecake on middle oven rack, above pan of water.. Bake in preheated oven for 1 hour. Remove roasting pan, close oven, turn off heat, and let cheesecake rest inside oven for 1 to 2 hours.. Remove cheesecake from oven; allow it to cool to room temperature. Store cheesecake in refrigerator and chill overnight before serving.","calories: 655, fat: 46g, carbs: 50g, protein: 13g, servings: 10",https://www.allrecipes.com/thmb/vOwiDvq0LQ2JEPfwRy2wR2kFH_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/230267shavuot-cheesecakeKim-7a041704987142e38776d0eab70dc510.jpg
No-Bake Nutter Butter Banana Pudding Cheesecake,https://www.allrecipes.com/no-bake-nutter-butter-banana-pudding-cheesecake-recipe-8733272,"{'quantity': '20', 'unit': None, 'name': 'Nutter Butter sandwich cookies'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': '(8-ounce packages)', 'name': 'cream cheese, softened'}, {'quantity': '1 (', 'unit': '8-ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream, divided'}, {'quantity': '1', 'unit': '3.4 ounce) package', 'name': 'vanilla instant pudding mix'}, {'quantity': '1/2 (', 'unit': '3.4 ounce) package', 'name': 'banana instant pudding mix'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': None, 'name': 'bananas, thinly sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut butter, plus more for topping'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'powdered sugar'}","Pulse cookies in a food processor until finely crushed. Add melted butter and pulse just until combined. Press mixture into the bottom of a 9 inch spring form pan. Freeze crust while filling is prepared.. In a stand mixer fitted with a paddle attachment, beat cream cheese until light and fluffy. Add in sweetened condensed milk and 1 1/2 cups cream and beat until smooth, scraping down the sides of the bowl as necessary. Add in pudding mixes, vanilla, and salt and blend until smooth and well combined. Mixture will be very thick.. Spread half of the pudding mixture into the pan over the crust. Add banana slices in an even layer over pudding mixture. Melt peanut butter for about 15 seconds in the microwave and drizzle evenly over the banana slices. Top with remaining pudding mixture and spread into an even layer. Refrigerate for 2 hours and up to overnight.. Whip remaining cream and powdered sugar together until soft peaks form. Serve cheesecake topped with  whipped cream. Top with half of a cookie and more melted peanut butter if desired.","calories: 1024, fat: 59g, carbs: 119g, protein: 10g, servings: 10",https://cdn.jwplayer.com/v2/media/Y7qHoLAB/thumbnails/EeMCBMeg.jpg
15 Cheesecake Recipes That Taste Like Summertime,https://www.allrecipes.com/summer-cheesecake-recipes-8681099,,,,https://www.allrecipes.com/thmb/tSX9VRi-aI7sTKTUEe1dvOG-_3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4x3-GOLDMAN_ALR0123_Faves_Cheesecake_6464-acae79e93189421bb7af6e5b26641407.jpg
Strawberry Oreo Cheesecake,https://www.allrecipes.com/strawberry-oreo-cheesecake-recipe-8659756,"{'quantity': '2', 'unit': 'cups', 'name': 'fresh strawberries'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cornstarch'}, {'quantity': '2 1/4', 'unit': 'cups', 'name': 'Oreo® cookies'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '16', 'unit': 'small', 'name': 'strawberries'}, {'quantity': '4', 'unit': None, 'name': 'Oreo® cookies'}, {'quantity': '3', 'unit': '(8 ounce) packages', 'name': 'cream cheese'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}","Strawberry sauce: Place strawberries, sugar, lemon juice, and salt in a small saucepan over medium-low heat. Cook, stirring often, until strawberries soften and release their juices, about 10 minutes. Use a potato masher to mash strawberries.. Stir water and cornstarch together in a small bowl. Add cornstarch mixture to strawberries, and cook, stirring constantly, until mixture begins to thicken, 1 to 2 minutes more. Remove from heat, and carefully pour mixture through a fine mesh sieve set over a bowl; use the back of a wooden spoon or spatula to press out as much juice as possible. Discard pulp. Place strawberry sauce, uncovered, into the refrigerator to cool.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease the bottom of a 9-inch springform pan.. Oreo crust: Combine cookie crumbs, brown sugar, and salt. Stir in melted butter until thoroughly combined. Press mixture evenly into the bottom and 1 inch up the sides of the prepared pan. Place pan on a rimmed baking sheet.. Bake crust in the preheated oven for 15 minutes. Remove from the oven, leaving oven on, and allow to cool for 10 minutes.. Cheesecake filling: Beat cream cheese and sugar until thoroughly smooth and combined. Add in heavy cream, lemon juice, vanilla extract, salt, almond extract, and nutmeg; beat on low speed until smooth. Add in eggs, and beat on low speed just until eggs are incorporated.. Pour half of filling into crust. Drizzle 6 tablespoons of cooled strawberry sauce over filling. Pour remaining filling into the pan, taking care to cover strawberry sauce. Reserve remaining strawberry sauce, covered, in the refrigerator until ready to serve the cheesecake.. Return cheesecake to the oven and bake until the top looks set, and edges are beginning to turn golden brown, 45 to 50 minutes. Turn oven off, prop the door slightly ajar, and leave cheesecake to cool in the oven for 1 hour.. Remove cheesecake to a wire rack. Run a knife around the top edge of cheesecake to loosen it slightly from the pan; allow to cool in the pan to room temperature. Cover and refrigerate for at least 8 hours.. When ready to serve, toss halved strawberries into reserved strawberry sauce until thoroughly coated. Remove cheesecake from springform pan; place on a serving platter. Pour strawberries and sauce on top of the cake, and turn all the berries cut-side-down. Garnish with halved Oreos, if desired. Keep extra cheesecake stored in the fridge.","calories: 524, fat: 35g, carbs: 49g, protein: 7g, servings: 16",https://www.allrecipes.com/thmb/3NFSaxrci29Z_k-CYsINDstMH2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8659756_Strawberry-Oreo-Cheesecake_Kim-Shupe_4x3-0b2e7c22d804426e87f1463e85d3a329.jpg
Churro Cheesecake Bars,https://www.allrecipes.com/churro-cheesecake-bars-recipe-7554374,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': '(7.5-ounce) packages', 'name': 'brown sugar and cinnamon spreadable cream cheese, softened'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest (optional)'}, {'quantity': '2', 'unit': '(8-ounce) packages', 'name': 'refrigerated crescent sheets (2 sheets)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'salted butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cajeta (Mexican caramel), warmed (Optional)'}",,"calories: 167, fat: 12g, carbs: 13g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/IIGPqAWntXKaLLyoLYAlBy9tm24=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7554374-churro-cheesecake-bars-mfs-3x4-1959-7315844f37c24488879440c9949d2eb1.jpg
Chantal's New York Cheesecake,https://www.allrecipes.com/recipe/8350/chantals-new-york-cheesecake/,"{'quantity': '15', 'unit': '', 'name': 'graham crackers, crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '4', 'unit': '(8 ounce) packages', 'name': 'cream cheese'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch springform pan.. Mix graham cracker crumbs and melted butter together in a medium bowl until well combined.. Press onto the bottom of the prepared pan to make a packed crust.. Mix cream cheese and sugar together in a large bowl until smooth. Blend in milk, then mix in eggs, one at a time, until just combined.. Add sour cream, flour, and vanilla; mix until smooth.. Pour filling onto prepared crust. Bake in the preheated oven for 1 hour.. Turn the oven off; let cheesecake cool in the oven with the door closed for 5 to 6 hours to prevent cracking. Chill in the refrigerator until serving.","calories: 533, fat: 36g, carbs: 44g, protein: 10g, servings: 12",https://cdn.jwplayer.com/v2/media/za0crvZH/poster.jpg?width=720
