name,link,ingredients,steps,nutrition,image_url
These Homemade Cherry Tarts Are Sure to Sweeten Your Day,https://www.allrecipes.com/cherry-tarts-recipe-7511030,"{'quantity': None, 'unit': None, 'name': '1 (14.1 ounce) package refrigerated pie crusts'}, {'quantity': '1', 'unit': 'pound', 'name': 'cherries, pitted'}, {'quantity': '2', 'unit': 'tablespoons minute', 'name': 'tapioca'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whipped cream, or as needed (optional)'}, {'quantity': None, 'unit': None, 'name': 'chocolate as needed for garnish (optional)'}","Place pie crusts on a lightly floured surface and roll out each crust with a rolling pin, so it is large enough to cut three 5 to 5-1/2-inch circles, for a total of 6 tart crusts.. Fit each dough circle into a 4-inch removable-bottom tart pan. Press the dough against the sides of the pans, and prick the bottom with a fork to prevent bubbling. Remove any excess dough by running the rolling pin across the top of each pan.. Refrigerate tart crusts until well chilled, about 45 minutes, keeping them refrigerated until ready to use.. Preheat the oven to 400 degrees F (200 degrees C).. In a large bowl, combine cherries, tapioca, sugar, almond extract, and salt. Remove the pans from the fridge and distribute cherry mixture evenly among the tart pans. Place the pans on a baking sheet.. Bake in the preheated oven until cherries are soft and crust is golden brown, 25 to 30 minutes.","calories: 476, fat: 17g, carbs: 79g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/f1RYop8eUMjhOk899AYkixCZsjA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7511030_Cherry-Tarts_lutzflcat_4x3-c2a38a81f7534f3892821e02f2bc7599.jpg
Old-Time Mincemeat Pie,https://www.allrecipes.com/recipe/22621/old-time-mincemeat-pie/,"{'quantity': '1 ¼', 'unit': 'pounds', 'name': 'round steak, cut into small pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'apple cider'}, {'quantity': '4', 'unit': '', 'name': 'Granny Smith apples - peeled, cored and finely diced'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'dried currants'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'sour cherry preserves'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'pound', 'name': 'chopped candied mixed fruit peel'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'pitted sour cherries, drained'}, {'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar, for sprinkling'}","Combine steak and cider in a Dutch oven. Bring to a boil, then reduce heat to a simmer. Cover and cook until steak is tender, about 20 minutes. Remove steak to a cutting board; coarsely chop, then return to the pot.. Stir in apples, currants, raisins, cherry preserves, 1 1/3 cups sugar, mixed fruit peel, and butter. Add ginger, cloves, nutmeg, cinnamon, and salt. Simmer, uncovered, over low heat until mixture is very thick, about 1 hour 30 minutes. Stir in cherries and remove from heat.. Transfer filling to a container and allow to cool at room temperature. Cover tightly and refrigerate for at least 1 week before using.. Preheat the oven to 350 degrees F (175 degrees C).. Line a 9-inch pie dish with 1 pastry crust. Spoon filling into crust and cover with second pastry crust. Crimp edges and cut several slits into top pastry. Brush with cream and sprinkle with 1 teaspoon sugar.. Bake in the preheated oven until golden brown, about 45 minutes.","calories: 1106, fat: 38g, carbs: 181g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/WC5I8urzl1AkqPsGenIe_unOSN8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7524631-44359c76070741c2acf6cb757ab6fd2f.jpg
Cherry Pie,https://www.allrecipes.com/recipe/12701/cherry-pie-iii/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening, chilled'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '2', 'unit': 'cups', 'name': 'pitted sour cherries'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '10', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}",,"calories: 506, fat: 28g, carbs: 63g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/5LO2DcTp/poster.jpg?width=720
The Best Cherry Pie,https://www.allrecipes.com/recipe/254501/the-best-cherry-pie/,"{'quantity': '1', 'unit': '(15 ounce) package', 'name': 'double crust ready-to-use pie crust'}, {'quantity': '3', 'unit': 'cups', 'name': 'cherries, pitted'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salted butter, cut into bits'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil.. Place bottom pie crust into a 9-inch pie pan; prick bottom with a fork.. Bake in the preheated oven until crust lightly browned, about 8 minutes. Let crust cool 5 minutes.. Combine cherries, sugar, cornstarch, and almond extract together in a bowl; pour into the par-baked crust and dot with butter. Cover with top crust, crimp edges to seal; cut vents into the top with a sharp knife. Place pie on the prepared baking sheet.. Bake in the preheated oven for 30 minutes. If pie browning too fast cover with an aluminum foil tent. Continue baking until crust is golden brown and filling bubbly, 10 to 20 minutes more. Let cool on a wire rack, about 15 minutes.","calories: 395, fat: 20g, carbs: 53g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/QGG2WFcHQjXATggLinaK3KBkVc0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3790961-4d940806f2d54964b96acac6722b7d51.jpg
Baked Fresh Cherry Pie,https://www.allrecipes.com/recipe/12245/baked-fresh-cherry-pie/,"{'quantity': '1', 'unit': 'recipe', 'name': 'pastry for a 9 inch double crust pie'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'quick-cooking tapioca'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'cups', 'name': 'pitted cherries'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter'}","Preheat oven to 400 degrees F (205 degrees C). Place bottom crust in pie pan. Set top crust aside, covered.. In a large mixing bowl combine tapioca, salt, sugar, cherries, and extracts. Let stand 15 minutes. Turn out into bottom crust and dot with butter. Cover with top crust, flute edges and cut vents in top. Place pie on a foil-lined cookie sheet--in case of drips!. Bake for 50 minutes in the preheated oven, until golden brown. Let cool for several hours before slicing.","calories: 410, fat: 18g, carbs: 61g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/MwnEyZuUJIw-ab3UqQjGB4pNsw4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4537555-3774cdb4ef8547d19f582d18668b7092.jpg
Ground Cherry Pie II,https://www.allrecipes.com/recipe/12671/ground-cherry-pie-ii/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'ground cherries'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'pie shell'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}","Preheat oven to 425 degrees F (220 degrees C).. Wash ground cherries and place in unbaked pie shell. Mix brown sugar and 1 tablespoon flour and sprinkle over cherries. Sprinkle water over top. Mix together 3 tablespoons flour and 3 tablespoons sugar. Cut butter in until crumbly. Top cherry mixture with crumbs.. Bake in the preheated oven for 15 minutes, reduce temperature to 375 degrees F (190 degrees C) and continue to bake for 25 minutes.","calories: 214, fat: 8g, carbs: 34g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/e5vwCeINEEJLxQ53-BmfbJ7Misg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2539531-92a0f1721c824cacb0cfb114bc47096a.jpg
No-Bake Cherry Cheese Pie,https://www.allrecipes.com/recipe/17584/cherry-cheese-pie-i/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen whipped topping, thawed'}, {'quantity': '1', 'unit': '(21 ounce) can', 'name': 'cherry pie filling'}","In a medium mixing bowl, beat together softened cream cheese and sugar until light and fluffy. Fold in whipped topping and blend until mixture is smooth. Spread into graham cracker crust and spoon pie filling over top. Cover with plastic wrap and chill 2 hours before serving.","calories: 421, fat: 21g, carbs: 56g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/36p92zwo7wGNDSonJpdp3CLhnsM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17584cherry-cheese-pie-ifabeveryday4x3-791a1938629e4609baef1dcff5c102a2.jpg
Cajun Sweet Dough,https://www.allrecipes.com/recipe/12480/cajun-sweet-dough/,"{'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '(12.5 ounce) can', 'name': 'cherry pie filling'}, {'quantity': '1', 'unit': '', 'name': 'egg white (for egg wash)'}","Sift together flour, baking powder, and salt. Set aside.. Beat butter in a separate bowl, then add sugar a little at a time. Add vanilla and beat mixture until it is nice and fluffy. Beat in egg. Stir in flour mixture alternately with milk.. Chill dough in the refrigerator for at least 2 hours, or overnight.. To make turnovers: Preheat the oven to 350 degrees F (175 degrees C).. Roll dough out to 1/4 inch thickness on a lightly floured surface. Cut into 3-inch squares. Spoon about 2 teaspoons of pie filling into the center of each square and fold over to form a triangle. Pinch seams to seal or press with the tines of a fork. Place at least 2 inches apart on a greased baking sheet. Brush with egg white.. Bake for 12 to 15 minutes in the preheated oven, or until golden brown on the top and bottom.","calories: 163, fat: 5g, carbs: 27g, protein: 3g, servings: 30",https://www.allrecipes.com/thmb/BtQyRF0jRrBlsmm1UjRBuKylYnU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3189140-cajun-sweet-dough-footballgrl16-4x3-1-a89200645b254122832fa9e6cf39d90c.jpg
Cherry Pie with Almond Crumb Topping,https://www.allrecipes.com/recipe/228047/cherry-pie-with-almond-crumb-topping/,"{'quantity': '1', 'unit': '', 'name': '1 (9 inch) unbaked pie crust (see footnote for recipe link)'}, {'quantity': '½', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '½', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cold, unsalted butter, cut into pieces'}, {'quantity': '2', 'unit': 'pounds', 'name': 'cherries, pitted'}, {'quantity': '½', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar, or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cornstarch'}","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil.. Roll out pie crust and lay into a 9-inch pie pan.. Combine almonds, brown sugar, oats, flour, and salt in a large bowl. Work butter into the almond mixture with your fingers, breaking up any large pieces, until incorporated completely. Cover and chill for 15 minutes.. Combine cherries, lemon juice, white sugar, and cornstarch. Stir until well coated and no dry lumps remain, 3 to 4 minutes.. Pour cherries and any accumulated juices into the prepared pie pan. Press down into the pan. Crumble oat mixture over the top. Place the pan on the prepared baking sheet.. Bake in the preheated oven until cherries are bubbling and the crust and crumble topping are browned, about 1 hour 15 minutes. Let cool completely.","calories: 3565, fat: 167g, carbs: 503g, protein: 43g, servings: 8",https://cdn.jwplayer.com/v2/media/zG3qSgGs/poster.jpg?width=720
Hawaiian Millionaire Pie,https://www.allrecipes.com/recipe/15568/hawaiian-millionaire-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'pie crust, baked'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '½', 'unit': 'cup', 'name': 'maraschino cherries, chopped'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","In a large mixing bowl, fold pineapple, lemon juice, whipped topping, cherries, condensed milk, and walnuts together. Pour into pie shell and chill for at least one hour before serving.","calories: 519, fat: 30g, carbs: 60g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/l94F7lpuM07BDkq-1f_ZHKc5eeM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/902086-hawaiian-millionaire-pie-MrsFisher0729-4x3-1-96cb1555be3942df9229d12daa357c2b.jpg
