name,link,ingredients,steps,nutrition,image_url
Chess Pie,https://www.allrecipes.com/recipe/9090/chess-pie/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': '(9-inch)', 'name': 'unbaked pie shell'}","Gather the ingredients. Preheat the oven to 425 degrees F (220 degrees C).. Mix butter, sugar, and vanilla together in a large bowl. Mix in eggs, then stir in evaporated milk, cornmeal, and vinegar until smooth.. Pour into pie shell.. Bake in the preheated oven for 10 minutes, then reduce heat to 300 degrees F (150 degrees C) and continue to bake for 40 minutes. Let pie cool before cutting.","calories: 460, fat: 22g, carbs: 62g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/8FfRhtLn/thumbnails/MkTvr9MG.jpg
Chocolate Chess Pie,https://www.allrecipes.com/recipe/12581/chocolate-chess-pie-ii/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(5 ounce) can', 'name': 'evaporated milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(9-inch)', 'name': 'unbaked pie crust'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix sugar and cocoa together in a large bowl. Beat eggs in a medium bowl with an electric mixer until light and fluffy; stir into cocoa mixture. Beat in evaporated milk, butter, and vanilla. Pour mixture into unbaked pie crust.. Bake in the preheated oven until set, about 45 minutes. Let cool before slicing.","calories: 475, fat: 21g, carbs: 66g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/b-9n0CaNt9I9yc2WTmJJRD29yAs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12581_Chocolate-Chess-Pie-II_C.P._4562233_original-4x3-1-e156c820c89742a6a80cc490b8d8f6a6.jpg
Buttermilk Chess Pie,https://www.allrecipes.com/recipe/23768/buttermilk-chess-pie/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '5', 'unit': '', 'name': 'eggs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}","Preheat oven to 350 degrees F (175 degrees C.). In a large bowl, combine sugar and flour. Beat in the eggs and buttermilk until blended. Stir in the melted butter and vanilla. Pour filling into the pie crust.. Bake in the preheated oven until filling is set, about 45 minutes.","calories: 471, fat: 22g, carbs: 63g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/ydv3GzLmaDD_XDrnIK-gRQr_c4I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4348220-6a5b02ae865d4cec8512e3ff2299179c.jpg
Brown Sugar Pie I,https://www.allrecipes.com/recipe/12649/brown-sugar-pie-i/,"{'quantity': '6', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'evaporated milk'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat oven to 400 degrees F (200 degrees C).. In a saucepan, combine flour and sugar. Stir in milk, butter, salt and vanilla. Cook, stirring constantly, until mixture comes to a boil. Pour into an unbaked pie shell.. Bake at 400 degrees F (200 degrees C) for 5 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue baking for 25 minutes.","calories: 346, fat: 9g, carbs: 63g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/gc44VafhRToMxoIMcZSjJi9VAJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4571409-a8704fed018848699efc43898d0877b3.jpg
Bill Clinton's Lemon Chess Pie,https://www.allrecipes.com/recipe/15954/bill-clintons-lemon-chess-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'pie shell'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '5', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornmeal'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon zest'}","Preheat oven to 350 degrees F (175 degrees C).. In a large mixing bowl, cream together sugar and butter or margarine until light and fluffy. Beat in eggs and milk. Add flour, cornmeal, lemon juice, and lemon rind. Mix until smooth. Pour mixture into pastry shell.. Bake in preheated oven for 35 to 40 minutes, until set in center.","calories: 446, fat: 20g, carbs: 62g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/iWaWSR1gz5AUJgshn97IXkl_geE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/286215-cd7564726c3949ecbd17d63337da8cce.jpg
Simple Canadian Butter Tarts,https://www.allrecipes.com/recipe/23770/butter-tarts-ii/,"{'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'lemon extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'melted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '8', 'unit': '(3 inch)', 'name': 'unbaked tart shells'}","Preheat the oven to 400 degrees F (200 degrees C.). Beat egg in a large bowl. Mix in brown sugar and salt. Stir in vanilla and lemon extract. Beat until light and bubbly, then stir in melted butter. Fold in raisins. Drop filling by spoonfuls into tart shells.. Bake in the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C); bake until filling is set and pastry is golden brown, 20 to 25 minutes.","calories: 243, fat: 9g, carbs: 41g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/L2Kk5QH6R7-Jj-I3WJCnuGxsv74=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/52363-1d75d49c74314931a3d65df92978b0c5.jpg
Pineapple Coconut Chess Pie,https://www.allrecipes.com/recipe/20364/pineapple-coconut-chess-pie/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornmeal'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': '', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': '(3.5 ounce) package', 'name': 'flaked coconut'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'crushed pineapple, drained'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}","Preheat oven to 350 degrees F (175 degrees C.). In a large bowl, combine sugar, cornmeal, flour and salt. Blend in eggs and vanilla. Stir in butter, coconut and pineapple. Pour filling into pie shell.. Bake in the preheated oven for 60 minutes, or until filling is set. Cover with aluminum foil after 40 minutes. Cool on a wire rack.","calories: 472, fat: 20g, carbs: 69g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/1dshxFPyX8vztIyaD3jzuzDbn4s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3420171-28120335d18c47abbaa3101dcc166c74.jpg
Tar Heel Pie,https://www.allrecipes.com/recipe/44904/tar-heel-pie/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'flaked coconut'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'deep dish pie crust'}","Preheat oven to 350 degrees F (175 degrees C.). In a large bowl, pour warm melted butter over 3/4 cup chocolate chips. Stir until smooth. Mix together flour, brown sugar, and white sugar, then stir into chocolate mixture. Stir in eggs and vanilla. Fold in pecans, coconut, and 1/4 cup chocolate chips. Pour into pie crust.. Bake in preheated oven for 35 to 40 minutes. Top should be set, and may crack slightly, but the pie is best if under-baked.","calories: 394, fat: 26g, carbs: 41g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/o34gmOzEIGRdL7rk2zQqnFD6O-s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6048080-113e97fde16446f5a38d570cbbbd8dd7.jpg
Custard Pecan Pie,https://www.allrecipes.com/recipe/24105/pecan-pie-vii/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'deep dish pie crust'}, {'quantity': '2', 'unit': 'cups', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted margarine'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'pecan halves'}","Preheat the oven to 350 degrees F (175 degrees C.). In a large bowl, combine brown sugar, flour, margarine, milk, vanilla and eggs. Blend until smooth. Stir in chopped pecans. Pour into pie crust. Place whole pecan meats gently on top in decorative manner.. Bake in the preheated oven for 35 to 40 minutes, or until golden brown and filling is set.","calories: 688, fat: 43g, carbs: 73g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/8q_2XliLqg2rAayM02gikEJHdSg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4586526-5f8e541171ce498a9fe8539e840fd2ae.jpg
Brown Sugar Pie II,https://www.allrecipes.com/recipe/23654/brown-sugar-pie-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'melted butter'}","Preheat oven to 325 degrees F (165 degrees C.). In a large bowl, combine brown sugar, white sugar, flour, eggs, milk and vanilla. Beat until smooth. Mix in the melted butter. Pour filling into pie crust.. Bake in the preheated oven for 35 to 40 minutes, or until filling is set.","calories: 277, fat: 13g, carbs: 40g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/Mjoj6hUimH63bgu6tuy0s5HcY3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3992825-3ec8d08f9fba4d08962453dfe8fcaa37.jpg
Southern Pecan Pie II,https://www.allrecipes.com/recipe/24201/southern-pecan-pie-ii/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, chilled and diced'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ice water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'pecan halves'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","In a large bowl, combine 1 1/2 cups flour, 3 tablespoons sugar and salt. Cut in butter until mixture resembles coarse crumbs. Mix yolk with water and stir in until mixture forms a ball. Wrap in plastic and refrigerate for 1 hour or overnight. Roll out and place in a 9 inch pie plate.. Preheat oven to 450 degrees F (230 degrees C.). Place pecans in the bottom of pie crust. In a large bowl, Stir together 3/4 cup of sugar and flour. Mix in the eggs, corn syrup, milk, melted butter and vanilla. Blend well and pour over pecans in crust.. Bake in the preheated oven for 10 minutes. Reduce temperature to 350 degrees F (175 degrees C) and bake for 40 to 50 minutes, or until golden brown and filling is set.","calories: 617, fat: 33g, carbs: 78g, protein: 8g, servings: 8",https://www.allrecipes.com/thmb/Me6uk3ElrWnsZ3gUlyb2WBd7bTg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2863479-6ad0e157c67a4194a332a21467ef782b.jpg
Maple Walnut Pie,https://www.allrecipes.com/recipe/26333/maple-walnut-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'maple syrup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'maple flavored extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'walnut halves'}","Preheat oven to 375 degrees F (190 degrees C.). In a saucepan, Mix brown sugar and flour. Add maple syrup, butter and salt. Heat until butter melts, stirring constantly.. In a medium bowl, beat eggs with maple flavoring. Stir in sugar mixture. Pour into unbaked pie shell and sprinkle with walnuts.. Bake in the preheated oven for 40 to 45 minutes, or until filling is set.","calories: 451, fat: 22g, carbs: 60g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/OfVC4vKvfIS-XKz4tJsqz3KcrQk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/43035-d7287da5a697453483b1fe6c12441a72.jpg
