name,link,ingredients,steps,nutrition
Rustic Chicken and Dumplin's,https://www.allrecipes.com/rustic-chicken-and-dumplins-recipe-8707675,"{'quantity': '1', 'unit': None, 'name': 'whole chicken'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Morton Nature’s Seasons seasoning blend'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '(32 ounce) carton', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1/2', 'unit': None, 'name': 'onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'poultry seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '3', 'unit': 'medium', 'name': 'carrots'}, {'quantity': '3', 'unit': 'medium', 'name': 'celery'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': None, 'name': 'egg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley'}",,"calories: 465, fat: 29g, carbs: 21g, protein: 29g, servings: 8"
Classic Chicken and Dumplings,https://www.allrecipes.com/recipe/8807/chicken-and-dumplings-i/,"{'quantity': '1', 'unit': '(2 to 3 pound)', 'name': 'whole chicken'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'hot chicken broth'}, {'quantity': '1', 'unit': '', 'name': 'egg'}","Cover chicken with salted water in a large stockpot or Dutch oven; simmer until cooked through and tender, remove chicken from pot and remove meat from bones. Keep chicken warm while making the dumplings.. To make the dumplings: Sift about 2 cups of flour and 1 teaspoon baking powder into a large mixing bowl. Make a well in the flour mixture; pour in 1 cup of hot chicken broth, mixing first with a fork, then with your fingers. Add the egg and mix well again.. Knead the dough for a few seconds on a floured board. Separate the dough into 4 or 5 parts and roll as thin as possible. Cut into 1 1/2 or 2 inch wide pieces. Break these into 2 inch long strips. Drop into boiling chicken broth and simmer for 10 to 15 minutes. Serve with previously prepared chicken.","calories: 349, fat: 14g, carbs: 32g, protein: 23g, servings: 6"
Homemade Dumplings,https://www.allrecipes.com/recipe/6900/dumplings/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter or margarine'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}",,"calories: 105, fat: 2g, carbs: 18g, protein: 3g, servings: 6"
Slow Cooker Chicken and Dumplings,https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/,"{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, finely diced'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'refrigerated biscuit dough'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, or as needed to cover'}",,"calories: 385, fat: 18g, carbs: 37g, protein: 18g, servings: 8"
Super Easy Chicken and Dumplings,https://www.allrecipes.com/recipe/218562/super-easy-chicken-and-dumplings/,"{'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of chicken soup'}, {'quantity': '3', 'unit': '(14 ounce) cans', 'name': 'chicken broth'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded cooked chicken meat'}, {'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'refrigerated biscuit dough'}","Gather all ingredients.. Stir condensed soup, chicken broth, and shredded chicken together in a large saucepan over medium-high heat until it begins to simmer.. Cut each biscuit into quarters, and gently stir into the simmering soup.. Reduce heat to medium-low, cover, and simmer until biscuits are no longer doughy in the center, 10 to 15 minutes.. Serve and enjoy!","calories: 400, fat: 18g, carbs: 36g, protein: 22g, servings: 8"
Farmer Cheese Dumplings,https://www.allrecipes.com/recipe/8486212/farmer-cheese-dumplings/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'pound', 'name': 'skinless, boneless chicken thighs, cubed'}, {'quantity': '1', 'unit': '', 'name': 'yellow onion, diced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'flour'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '6', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': '', 'name': 'celery, diced'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, diced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'fresh thyme leaves (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sliced green onions'}, {'quantity': '½', 'unit': 'cup', 'name': ""farmer's cheese""}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'minced fresh rosemary'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'self-rising flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}",,"calories: 325, fat: 20g, carbs: 16g, protein: 20g, servings: 6"
Chicken Stew with Dumplings,https://www.allrecipes.com/recipe/228224/chicken-stew-with-dumplings/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'rotisserie chicken'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery, sliced thin'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}, {'quantity': '¾', 'unit': 'pound', 'name': 'new potatoes, cut into 1/2-inch dice'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen mixed vegetables'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold butter, cubed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried dill'}","To prepare the stew: Debone rotisserie chicken; cut meat into chunks or shred. Set aside.. Melt butter in a large Dutch oven over medium heat; cook and stir onion and celery in hot butter until soft, about 10 minutes. Sprinkle in flour and whisk continuously to make a thick roux, about 2 minutes. Slowly pour in broth, whisking to remove any lumps. Add potatoes, frozen vegetables, salt, black pepper, basil, and thyme. Cover and cook over medium heat until vegetables are tender, 15 to 20 minutes. Stir in chicken meat and continue to simmer.. Meanwhile, make the dumplings: Combine flour, baking powder, and salt in a large bowl; cut in butter with 2 knives or a pastry blender until mixture resembles coarse crumbs. Stir in milk and dill until dough comes together.. Drop rounded tablespoonfuls of dough into simmering stew. Cook, uncovered, for 10 minutes. Cover and cook until dumplings are tender, 8 to 10 minutes more.","calories: 464, fat: 21g, carbs: 38g, protein: 30g, servings: 8"
Old-Fashioned Chicken and Dumplings,https://www.allrecipes.com/recipe/15338/old-fashioned-chicken-and-dumplings/,"{'quantity': '7', 'unit': 'pounds', 'name': 'cut up chicken pieces'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}",,"calories: 400, fat: 26g, carbs: 9g, protein: 31g, servings: 20"
Rolled Dumplings,https://www.allrecipes.com/recipe/13239/rolled-dumplings/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}","Whisk flour, baking powder, and salt together in a bowl. Cut in shortening with a pastry blender until mixture resembles coarse crumbs. Stir in milk until a stiff dough forms.. Roll dough on a lightly floured surface to a thickness of about 1/8 inch. Cut into 1-inch squares, diamonds, or strips.. Bring chicken broth to a boil in a saucepan. Carefully add dumplings and reduce the heat to a simmer. Cover tightly and cook until tender, 8 to 10 minutes.","calories: 204, fat: 9g, carbs: 25g, protein: 4g, servings: 8"
Instant Pot Chicken and Dumplings,https://www.allrecipes.com/recipe/276647/instant-pot-chicken-and-dumplings/,"{'quantity': '½', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '4', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless, skinless chicken thighs'}, {'quantity': '1', 'unit': 'pound', 'name': 'bone-in chicken breasts, skin removed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'thyme (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen petite peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen cut green beans'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh flat-leaf parsley'}, {'quantity': '½', 'unit': 'cup', 'name': 'buttermilk'}","Pour olive oil into a multi-functional pressure cooker (such as an Instant Pot) and select the Sauté function. Cook and stir onion, carrot, celery, and bay leaf until vegetables are soft and onion has turned translucent, about 5 minutes.. Add chicken broth, thighs, breasts, salt, thyme, marjoram, and black pepper. Close and lock the lid. Select high pressure according to manufacturer's instructions; set the timer for 9 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Carefully use tongs to remove chicken pieces to a large bowl to cool slightly; discard bay leaf.. While chicken is cooling, mash butter with flour in a small bowl to make a smooth paste; set aside.. Make dumplings: Combine flour, baking powder, and salt in a medium bowl. Cut in cold butter with 2 knives or a pastry blender until mixture resembles the texture of cornmeal. Stir in parsley and set aside.. Shred cooled chicken and return to the pot. Taste broth and season with salt and pepper if needed. Add peas and green beans. Stir in flour-butter paste until incorporated. Select Sauté function and bring broth to a boil.. Pour buttermilk into dumpling mixture and stir until combined. Drop dough by heaping spoonfuls over the top of stew.. Close the lid, leaving the steam vent open. Select Slow Cooker function and simmer on Low, covered, until a skewer inserted into the center of a dumpling comes out clean, 10 to 12 minutes.","calories: 467, fat: 20g, carbs: 29g, protein: 41g, servings: 5"
