name,link,ingredients,steps,nutrition,image_url
Instant Pot Chicken Cacciatore,https://www.allrecipes.com/recipe/260109/instant-pot-chicken-cacciatore/,"{'quantity': '4', 'unit': '(6 ounce)', 'name': 'bone-in chicken thighs, with skin'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(4 ounce) package', 'name': 'sliced fresh mushrooms'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'stewed tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'herbes de Provence'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'cubes', 'name': 'chicken bouillon, crumbled'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper to taste (Optional)'}","Gather the ingredients.. Rinse chicken thighs and pat dry with paper towels. Heat oil in the pot of an electric pressure cooker (such as Instant Pot) on Sauté mode; add chicken. Cook until browned, about 6 minutes per side. Transfer chicken to a plate, reserving drippings in the pot.. Place mushrooms, celery, and onion in the pot; cook and stir until soft, about 5 minutes. Add garlic; cook until fragrant, about 2 minutes. Place chicken back in the pot; add tomatoes and tomato paste. Sprinkle with herbes de Provence. Top with water and bouillon.. Close and lock the lid. Select high pressure according to manufacturer's instructions. Allow 10 to 15 minutes for pressure to build. Cook for 11 minutes.. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid carefully, turning it away from you. Test chicken for doneness; an instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Season to taste with red pepper flakes and black pepper.","calories: 392, fat: 25g, carbs: 14g, protein: 30g, servings: 4",https://cdn.jwplayer.com/v2/media/ph1h3Ybk/poster.jpg?width=720
Chicken Cacciatore in a Slow Cooker,https://www.allrecipes.com/recipe/246305/chicken-cacciatore-in-a-slow-cooker/,"{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': '(28 ounce) jar', 'name': 'spaghetti sauce (such as Classico® Cabernet Marinara with Herbs)'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '4', 'unit': 'ounces', 'name': 'sliced fresh mushrooms'}, {'quantity': '½', 'unit': '', 'name': 'yellow onion, minced'}, {'quantity': '½', 'unit': '', 'name': 'green bell pepper, seeded and diced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'red pepper flakes (Optional)'}","Gather all ingredients.. Place chicken in a slow cooker.. Stir in spaghetti sauce, tomato paste, mushrooms, onion, bell pepper, garlic, oregano, basil, black pepper, and red pepper flakes.. Cover and cook on Low until chicken is tender, 6 to 8 hours.","calories: 364, fat: 9g, carbs: 42g, protein: 31g, servings: 4",https://www.allrecipes.com/thmb/QI1OlsOnzN9lELhhUhuhdm5yZNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/246305-chicken-cacciatore-in-a-slow-cooker-DDMFS-beauty-4x3-BG-2672-f140049b5fb8429985deba82e49e422c.jpg
Mom's Chicken Cacciatore,https://www.allrecipes.com/recipe/8796/moms-chicken-cacciatore/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour for coating'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(4 pound)', 'name': 'chicken, cut into pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh mushrooms, quartered'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Combine the flour, salt and pepper in a plastic bag. Shake the chicken pieces in flour until coated. Heat the oil in a large skillet (one that has a cover/lid). Fry the chicken pieces until they are browned on both sides. Remove from skillet.. Add the onion, garlic and bell pepper to the skillet and saute until the onion is slightly browned. Return the chicken to the skillet and add the tomatoes, oregano and wine. Cover and simmer for 30 minutes over medium low heat.. Add the mushrooms and salt and pepper to taste. Simmer for 10 more minutes.","calories: 670, fat: 38g, carbs: 29g, protein: 47g, servings: 8",https://cdn.jwplayer.com/v2/media/ESF4ofFj/poster.jpg?width=720
Chicken Cacciatore Pasta,https://www.allrecipes.com/recipe/254685/chicken-cacciatore-pasta/,"{'quantity': '4', 'unit': '(11 ounce)', 'name': 'chicken leg quarters'}, {'quantity': '1 ¾', 'unit': 'teaspoons', 'name': 'salt, or more to taste, divided'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, cut into strips'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced onion'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh oregano'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'tomato puree'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(15.5 ounce) can', 'name': 'cannellini beans, drained and rinsed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '8', 'unit': 'ounces', 'name': 'dried fusilli or penne pasta'}","Preheat oven to 325 degrees F (165 degrees C).. Sprinkle chicken with 1 teaspoon salt. Heat oil in a wide, heavy, oven-safe pot over medium-high heat until hot but not smoking, about 1 minute. Add chicken, skin sides down, and cook, turning once, until browned, about 10 minutes. Transfer to a plate.. Pour off all but 2 tablespoons fat. Reduce heat to medium and cook pepper, onion, and garlic, stirring, until softened, about 5 minutes. Stir in oregano, thyme, tomato puree, water, and remaining 3/4 teaspoon salt; bring to a simmer. Return chicken to pot, return to a simmer, cover, and transfer to oven. Bake until chicken is tender, 45 to 50 minutes.. Transfer chicken to a bowl and chill, uncovered, until cool enough to handle (20 minutes). Discard skin and bones. Pull meat into coarse shreds.. Add chicken, beans, and vinegar to tomato mixture in pot and simmer until heated through, about 5 minutes.. Meanwhile, cook pasta in salted water according to package directions. Drain, reserving 1 cup pasta water. Stir pasta into chicken mixture, thinning with pasta water as needed. Season with additional salt, if desired.","calories: 631, fat: 26g, carbs: 55g, protein: 44g, servings: 6",https://www.allrecipes.com/thmb/xNV4Z0b4Rd5ubP314bbuaQZAapg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4170405-chicken-cacciatore-pasta-Allrecipes-Magazine-4x3-1-d8b2924891934529b13e03837f26adb5.jpg
Italian Chicken Cacciatore,https://www.allrecipes.com/recipe/260463/italian-chicken-cacciatore/,"{'quantity': '¼', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '8', 'unit': '', 'name': 'chicken thighs'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'diced tomatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'tomato paste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'white sugar, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth, or more as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'black olives, pitted'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'torn basil leaves'}","Heat 2 tablespoons olive oil in a skillet over medium heat and cook onion, stirring often, until soft and translucent, about 5 minutes. Transfer to a pot.. Combine flour, 1/2 teaspoon salt, and 1/4 teaspoon pepper in a large bowl. Toss chicken thighs in the flour mixture until evenly coated.. Heat remaining 2 tablespoons olive oil in the skillet over medium heat, add chicken thighs, and brown on one side, without turning, for 5 minutes. Turn and cook until browned on the other side, about 5 minutes more. Transfer browned chicken thighs to the pot.. Pour white wine into the skillet; bring to a boil. Stir to loosen all the browned bits of chicken and flavors in the skillet pour into the pot. Add diced tomatoes, tomato paste, and sugar; season with salt and pepper. Add as much chicken stock as needed to cover the chicken. Cover pot and simmer over medium heat, stirring occasionally, until chicken is no longer pink in the center, about 45 minutes.. Stir in olives, parsley, and basil. Stir to heat through.","calories: 520, fat: 29g, carbs: 21g, protein: 35g, servings: 4",https://www.allrecipes.com/thmb/fcnpf0mvDoFa3mSdhTUaoYst7Ng=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4561718-italian-chicken-cacciatore-Magda-4x3-1-fd38d9870e834444b6bfc6e103b19d00.jpg
Chef John's Chicken Cacciatore,https://www.allrecipes.com/recipe/220130/chef-johns-chicken-cacciatore/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'whole', 'name': 'roasting chicken, cut in quarters'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, sliced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'fresh mushrooms, quartered'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '3', 'unit': 'sprigs', 'name': 'rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': '', 'name': 'red bell peppers, sliced'}, {'quantity': '2', 'unit': '', 'name': 'green bell peppers, sliced'}","Preheat the oven to 350 degrees F (175 degrees C).. Heat olive oil in a large Dutch oven over medium-high heat; add chicken and cook until browned on the outside. Remove to a bowl to capture the juices.. Stir in onions and mushrooms; cook for 5-6 minutes until soft. Add a big pinch of salt and pepper. Stir in garlic, rosemary, red pepper flakes, oregano, tomato sauce, and water.. Place chicken pieces and any juices that have accumulated in the bowl on top of the cooked vegetables. Add more salt and pepper. Place pepper slices on top of the chicken.. Cover and cook in the preheated oven for 1 hour 15 minutes.","calories: 513, fat: 29g, carbs: 11g, protein: 50g, servings: 6",https://cdn.jwplayer.com/v2/media/i6S3gt4y/poster.jpg?width=720
Slow Cooker Chicken Cacciatore,https://www.allrecipes.com/recipe/8817/slow-cooker-chicken-cacciatore/,"{'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': '(28 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '2', 'unit': '', 'name': 'green bell pepper, seeded and cubed'}, {'quantity': '8', 'unit': 'ounces', 'name': 'fresh mushrooms, sliced'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}","Put the chicken in the slow cooker. Top with the spaghetti sauce, green bell peppers, mushrooms, onion, and garlic.. Cover, and cook on Low for 7 to 9 hours.","calories: 261, fat: 6g, carbs: 24g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/OIHVrZcM/poster.jpg?width=720
Boneless Chicken Cacciatore,https://www.allrecipes.com/recipe/276871/boneless-chicken-cacciatore/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breasts, cubed'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '½', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato juice'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried parsley'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Heat oil in a large skillet over medium-high heat. Add chicken and cook until no longer pink in the middle, 5 to 7 minutes. Stir in celery, onion, bell peppers, garlic, tomatoes, tomato juice, tomato paste, parsley, salt, basil, oregano, marjoram, and black pepper. Cover and let simmer until vegetables are no longer crispy, about 10 minutes.","calories: 172, fat: 4g, carbs: 15g, protein: 19g, servings: 6",https://www.allrecipes.com/thmb/52uY56BCduQkbMu9G-dULh-08Oo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8922438-f8fdf7ee0d0c408c87871b3ca8c9ff1a.jpg
Chicken Cacciatore with Rice,https://www.allrecipes.com/recipe/277014/chicken-cacciatore-with-rice/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken breasts, cut into strips'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'whole peeled tomatoes'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'green bell pepper strips'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked instant rice'}","Heat oil in a pot over medium heat. Add chicken, onion, and garlic; cook until chicken is browned and onion and garlic are softened, 8 to 10 minutes.. Stir in tomatoes, tomato sauce, bell pepper, salt, basil, and cayenne pepper; bring to boil. Cook for 5 minutes.. Stir in rice, cover, and remove from the heat. Let stand until rice is tender, about 5 minutes. Stir before serving.","calories: 320, fat: 10g, carbs: 30g, protein: 27g, servings: 6",https://www.allrecipes.com/thmb/jYBjw8iXuGwI4ymO6MUGxL9IBNQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7455959-07504ed8369644dba42c4817178981d0.jpg
Scarlett's Chicken Cacciatore,https://www.allrecipes.com/recipe/214648/scarletts-chicken-cacciatore/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves, cubed'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '½', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'Italian-style crushed tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'egg noodles'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Heat the oil in a large skillet over medium heat, and cook and stir the chicken, onion, green pepper, mushrooms, and garlic until the chicken is no longer pink inside, 10 to 15 minutes. Stir in the crushed tomatoes, parsley, salt, pepper, Italian seasoning, and basil, bring the mixture to a boil, and reduce heat. Cover the skillet and simmer for 30 minutes.. While the chicken mixture is simmering, fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once the water is boiling, stir in the egg noodles, and return to a boil. Cook the noodles uncovered, stirring occasionally, until cooked through but still firm to the bite, about 5 minutes. Drain well in a colander set in the sink.. Serve the chicken cacciatore over the hot cooked noodles. Sprinkle with Parmesan cheese before serving.","calories: 329, fat: 8g, carbs: 38g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/qHpVceqkqsSOcJaMonL4Q75vUtY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/421803-scarletts-chicken-cacciatore-FitHealthy-Mom-4x3-1-353d4680547e444da8f7e3ffdf0c2ea7.jpg
