name,link,ingredients,steps,nutrition,image_url
Easier Chicken Marsala,https://www.allrecipes.com/recipe/8974/easier-chicken-marsala/,"{'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '4', 'unit': '', 'name': 'boneless, skinless chicken breast halves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced fresh mushrooms'}, {'quantity': '½', 'unit': 'cup', 'name': 'Marsala wine'}","Whisk flour, garlic salt, pepper, and oregano together in a bowl. Dredge chicken in flour mixture until lightly coated.. Heat oil and butter in a large skillet over medium heat. Add chicken and cook until lightly browned, about 2 minutes. Flip chicken and add mushrooms. Cook, stirring mushrooms occasionally, until chicken is browned on the other side, about 2 more minutes.. Pour Marsala wine over chicken. Reduce the heat to low, cover, and simmer until chicken is no longer pink in the center and the juices run clear, about 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 286, fat: 10g, carbs: 11g, protein: 28g, servings: 4",https://www.allrecipes.com/thmb/ENQx9VckaQKJeoC8Kq-HTi4THFQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5694215-easier-chicken-marsala-Allison-Volosin-4x3-1-bbd980b9d0a843ba9248613448c9d62f.jpg
Chef John's Chicken Marsala,https://www.allrecipes.com/recipe/237928/chef-johns-chicken-marsala/,"{'quantity': '2', 'unit': '', 'name': 'skin-on, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '5', 'unit': '', 'name': 'white mushrooms, sliced'}, {'quantity': '1', 'unit': '', 'name': 'shallot, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'Marsala wine'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cold butter'}","Season chicken breasts all over with salt and pepper.. Melt 1 1/2 tablespoons butter and olive oil in a skillet over medium heat. Cook chicken breasts, skin-side down, in hot butter and oil until browned, about 5 minutes. Flip and cook until breasts are almost cooked through, about 5 minutes more. Transfer chicken breasts to a plate.. Melt 1 1/2 tablespoons butter in the same skillet over medium-high heat. Saute mushrooms with a pinch of salt and a pinch of pepper in hot butter until mushrooms are golden, 5 to 7 minutes. Add minced shallot; cook and stir until softened, 2 to 3 minutes. Sprinkle flour over the top and cook and stir until the bitterness of the flour cooks off, 3 to 4 minutes.. Pour wine into skillet and bring to a boil; cook and stir until wine reduces and sauce thickens, 3 to 4 minutes. Add chicken stock; bring to a simmer and cook until slightly reduced, 3 to 5 minutes more.. Return chicken breasts to the skillet, reduce heat to low, and cook chicken, turning once, until no longer pink in the center and the juices run clear, about 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from heat.. Move chicken to one side of the skillet and tilt the skillet so that the sauce pools at the bottom. Stir parsley and 1 teaspoon cold butter into the sauce, stirring constantly, until sauce is shiny and butter is completely melted. Transfer chicken breasts to plates and spoon mushrooms and sauce over the top.","calories: 799, fat: 39g, carbs: 27g, protein: 51g, servings: 2",https://cdn.jwplayer.com/v2/media/UJgf09RA/poster.jpg?width=720
Chicken Marsala with Portobello Mushrooms,https://www.allrecipes.com/recipe/72405/chicken-marsala-with-portobello-mushrooms/,"{'quantity': '8', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '4', 'unit': '', 'name': 'portobello mushroom caps, sliced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'beef broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry Marsala wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'browning sauce'}, {'quantity': '', 'unit': '', 'name': 'kosher salt, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves - pounded to 1/2 inch thickness'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt and pepper to taste'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour, or as needed'}","Preheat oven to 350 degrees F (175 degrees C).. Melt 4 tablespoons butter and heat 1 tablespoon olive oil in a skillet over medium heat. Cook and stir the mushroom slices in the skillet until tender. Remove pan from heat and set aside.. Melt 1 tablespoon butter and heat 1 tablespoon olive oil in a saucepan over medium-high heat. Stir in the garlic and cook until tender, then gradually whisk in 1 tablespoon flour. Cook, stirring constantly, for 1 minute.. Increase heat to high, and whisk in the beef broth, Marsala, and browning sauce. Season sauce with 1/2 teaspoon salt and 1/4 teaspoon pepper. Bring sauce to a boil, and reduce heat to low. Mix in the cooked mushrooms; you'll use the skillet to cook the chicken. Cover saucepan and remove from heat.. Season chicken with salt and pepper, and dredge chicken breasts in the flour. Over medium heat, melt remaining 3 tablespoons butter in the skillet used to cook the mushrooms. Cook the chicken 2 minutes per side, until browned. Arrange the chicken in the bottom of a 9x13 inch baking dish, and cover with the sauce and mushroom mixture.. Cover baking dish, and bake 25 minutes in the preheated oven, or until chicken juices run clear.","calories: 426, fat: 23g, carbs: 20g, protein: 29g, servings: 6",https://www.allrecipes.com/thmb/4dR3j6Z-kmKabKMjDQn5f1QrC9E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/72405-Chicken-Marsala-with-Portobello-Mushrooms-naples34102_5546567_original-4x3-1-36575252fa884896be93c42f84015954.jpg
Chicken Marsala Over White Rice,https://www.allrecipes.com/recipe/219763/chicken-marsala-over-white-rice/,"{'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried oregano to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken cutlets, pounded to 1/4-inch thickness'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced fresh mushrooms'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'Marsala wine'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken stock'}","Bring the rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Set rice aside.. In a large bowl, whisk the flour with salt, black pepper, and oregano. Gently press the chicken breasts into the flour mixture to coat, and shake off the excess flour.. Heat the olive oil and 1 tablespoon butter in a large skillet over medium-high heat. Arrange the chicken in the skillet and cook until the chicken is no longer pink inside and golden brown outside, 5 to 8 minutes per side. Drain the cooked chicken on a paper towel-lined plate.. Melt the remaining 1 tablespoon butter in the same skillet over medium heat while scraping up any brown bits with a spoon. Stir in the garlic; cook and stir until fragrant. Add the mushrooms, and cook and stir until they are tender and have released their liquid, about 10 minutes. Season with salt and black pepper, then stir in the Marsala wine and chicken stock.. Transfer the chicken back to the skillet, and spoon sauce over chicken pieces. Increase heat to medium-high, and bring to a boil. Cover, reduce heat to medium-low, and simmer until the the sauce is thickened, about 5 minutes more. Serve the chicken and sauce over the cooked rice.","calories: 562, fat: 14g, carbs: 67g, protein: 33g, servings: 4",https://www.allrecipes.com/thmb/pvFWjbr01fK8YRjaha74djFs6QQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5406361-chicken-marsala-over-white-rice-Philip-Ermish-4x3-1-de0432fee9df4d6f8a2ecc0c3815158d.jpg
Chicken Marsala Milanese,https://www.allrecipes.com/recipe/285679/chicken-marsala-milanese/,"{'quantity': '2', 'unit': '(6 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'kosher salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour, or as needed'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'panko bread crumbs, divided, or more as needed'}, {'quantity': '1', 'unit': 'ounce', 'name': 'Parmigiano-Reggiano cheese, freshly grated (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil for frying'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'brown mushrooms, sliced'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry Marsala wine'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped flat-leaf (Italian) parsley'}",,"calories: 953, fat: 34g, carbs: 101g, protein: 62g, servings: 2",https://cdn.jwplayer.com/v2/media/FkW2ghm6/poster.jpg?width=720
Easy Chicken Marsala,https://www.allrecipes.com/recipe/24010/easy-chicken-marsala/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': '(6 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced fresh mushrooms'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'Marsala wine'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'milk'}","Heat olive oil in a large skillet over medium heat. Saute chicken in hot oil until cooked through and juices run clear, 15 to 20 minutes.. Add mushrooms and green onions to the pan and saute until soft, then add Marsala wine and bring to a boil.. Continue to boil for 2 to 4 minutes, seasoning with salt and pepper to taste. Stir in cream and milk and simmer until heated through, about 5 minutes.","calories: 388, fat: 20g, carbs: 5g, protein: 41g, servings: 4",https://cdn.jwplayer.com/v2/media/oWOPi5RQ/poster.jpg?width=720
Chicken Marsala Florentine,https://www.allrecipes.com/recipe/47688/chicken-marsala-florentine/,"{'quantity': '4', 'unit': '', 'name': 'boneless, skinless chicken breast halves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'sliced portobello mushrooms'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sun-dried tomatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed fresh spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'Marsala wine'}","Place chicken breasts between two pieces of wax paper, and pound to 1/4 inch thick with a meat mallet. Dust chicken with flour, salt , pepper and oregano.. In a skillet, fry chicken in olive oil over medium heat. Cook until done, turning to cook evenly. Set aside, and keep warm.. In the same pan, melt the butter over medium heat; add mushrooms, sun-dried tomatoes, and Marsala wine. Cook for approximately 10 minutes, stirring occasionally. Mix in spinach, and cook for about 2 minutes. Serve over chicken.","calories: 671, fat: 43g, carbs: 25g, protein: 32g, servings: 4",https://www.allrecipes.com/thmb/POWg-4x8_6VvXJRyM94mvlzI7Uo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1319949-f3eef618aa2e4bf793f5f0d351d8fcb3.jpg
Creamy Chicken Marsala,https://www.allrecipes.com/recipe/221512/creamy-chicken-marsala/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breasts, cut into cubes'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced cremini mushrooms'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'Marsala wine'}","Heat oil in a skillet over medium-high heat. Season chicken with salt and pepper, then add to hot oil and cook until browned, 3 to 5 minutes. Stir in onion and mushrooms; continue cooking until onion is translucent, 5 to 7 minutes.. Pour condensed soup and Marsala wine over chicken mixture; cook until hot and chicken is no longer pink in the middle, 3 to 5 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 355, fat: 17g, carbs: 20g, protein: 16g, servings: 4",https://www.allrecipes.com/thmb/41vhWnZCFddrKHhNWDdD0x77YII=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7695725-60c3096edce24004a718630717662b7f.jpg
Chicken with Chanterelle Mushrooms and Marsala Wine,https://www.allrecipes.com/recipe/221551/chicken-with-chanterelle-mushrooms-and-marsala-wine/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '½', 'unit': 'pound', 'name': 'sliced chanterelle mushrooms'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry Marsala wine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried tarragon, crushed'}","Stir flour and paprika together into a shallow dish. Remove and set aside 1 tablespoon of flour mixture for later use. Dredge chicken in remaining flour mixture to coat evenly.. Melt 2 tablespoons butter in a skillet over medium heat; cook and stir chanterelle mushrooms in melted butter until they release their liquid and begin to brown, about 5 minutes. Transfer to a bowl and set aside.. Melt remaining 4 tablespoons butter in the skillet. Cook chicken breasts in the melted butter until browned, about 3 minutes per side. Season with salt and pepper.. Return cooked mushrooms to the skillet and stir in chicken broth, reserved 1 tablespoon of flour mixture, Marsala wine, and dried tarragon. Cover the skillet, reduce the heat to low, and cook until sauce is thick, about 20 minutes. The chicken should no longer be pink in the center and the juices should run clear. An instant-read thermometer inserted into the center of a chicken breast should read at least 165 degrees F (74 degrees C).","calories: 637, fat: 38g, carbs: 25g, protein: 30g, servings: 2",https://www.allrecipes.com/thmb/-bJZ4PoXbWbHGEJzgrjmWaESxwM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5916895-4b21282107984127bc19510b8a7aae9e.jpg
Slow Cooker Chicken Marsala,https://www.allrecipes.com/recipe/233906/slow-cooker-chicken-marsala/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic cloves, minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast, cut into 2-inch cubes'}, {'quantity': '12', 'unit': 'ounces', 'name': 'sliced white mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'Marsala wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley for garnish'}","Stir oil and garlic together in the bowl of a slow cooker.. Mix flour, salt, and pepper together in a large resealable plastic bag. Add chicken to the bag, seal, and shake to coat chicken with flour mixture. Pour coated chicken into the slow cooker, then add mushrooms.. Heat Marsala wine in a small frying pan over medium-high heat until reduced, 2 to 3 minutes; pour into the slow cooker over chicken and mushrooms.. Cover and cook on Low until sauce thickens and chicken is no longer pink in the center and the juices run clear, 4 to 5 hours. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. If the sauce is too thin, mix water and cornstarch together in a small bowl and pour slowly into the slow cooker. Cover and cook on High until thickened, about 15 minutes. Adjust seasonings to taste, garnish with parsley, and serve.","calories: 225, fat: 5g, carbs: 5g, protein: 36g, servings: 12",https://www.allrecipes.com/thmb/18kXtV3-WiE49XLxjPs59db-TNw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4423579-212ee3996a5e443ba0e33847b63bea54.jpg
