name,link,ingredients,steps,nutrition,image_url
Miso Chicken Noodle Soup,https://www.allrecipes.com/miso-chicken-noodle-soup-recipe-8748347,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '8.5', 'unit': 'ounces', 'name': 'frozen udon noodles'}, {'quantity': '4', 'unit': 'ounces', 'name': 'rotisserie chicken'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'miso paste'}, {'quantity': None, 'unit': None, 'name': 'everything bagel seasoning,'}","In a saucepan over medium high heat, heat water to boiling. Add udon noodles. Cook until noodles are softened, 4 to 5 minutes.. Add rotisserie chicken. Turn heat to low. Remove 2 to 3 tablespoons water, and stir miso paste into water until smooth. Mix diluted miso paste back into noodles. Cook for 2 to 3 minutes.. Ladle soup into bowls and garnish with everything bagel seasoning.","calories: 223, fat: 8g, carbs: 19g, protein: 19g, servings: 2",https://www.allrecipes.com/thmb/ZzxdIrDHx6wJBGulcKfS0gLIhcY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8748347_Miso-Chicken-Noodle-Soup_TheDailyGourmet_4x3-9f1129c8a23d45d89210fe6def9fc220.jpg
Chicken Zoodle Soup in a Jar,https://www.allrecipes.com/chicken-zoodle-soup-in-a-jar-recipe-8364198,"{'quantity': '4', 'unit': 'teaspoons', 'name': 'chicken stock base'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sage'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 2/3', 'unit': 'cups', 'name': 'cooked chicken'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'zucchini'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded carrot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'celery'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped sweet onion'}","Stir together chicken stock base,  garlic, dried rosemary, ground sage, and black pepper in a small bowl. Divide mixture evenly among 3 microwave-safe pint-size canning jars with lids.. Layer evenly with chicken, spiralized zucchini, carrot, celery, and sweet onion. Chill, covered, up to 5 days. To serve, see “Heat and Eat”, below. Season with pepper.","calories: 219, fat: 11g, carbs: 9g, protein: 21g, servings: 3",https://www.allrecipes.com/thmb/ma1EgoOoqxlTDL75t54GpUKKVVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/236979-chicken-zoodle-soup_R314555_3x4-18109eea1d57445f82c6b1ad33e8a90d.jpg
Classic Italian Pastina Soup,https://www.allrecipes.com/classic-italian-pastina-soup-recipe-7971739,"{'quantity': '1 (3 to 4 lb)', 'unit': None, 'name': 'whole chicken, neck and insides removed'}, {'quantity': '10 to 12', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, divided'}, {'quantity': '2', 'unit': None, 'name': 'yellow onions, peeled, divided'}, {'quantity': '3', 'unit': None, 'name': 'carrots, peeled, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt, plus more to taste, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'pepper, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'reduced sodium chicken base ('}, {'quantity': '1', 'unit': 'cup', 'name': 'pastina or other tiny pasta, such as stars'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley, or to taste (optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese, or to taste (optional)'}","Place chicken in a large pot and pour water over to cover.. Roughly chop 2 stalks of celery, 1 1/2 onions, and 2 carrots and add to pot with chicken. Season with 2 teaspoon salt and 1 teaspoon pepper and bring pot to a boil over high heat. Reduce the heat to medium-low and allow the chicken to simmer 1 hour, covered.. Remove chicken from the pot and allow to cool before removing and shredding the meat. Strain the stock and discard the solids. Reserve liquid and add water if necessary to measure 12 cups of liquid.  Wipe pot clean.. Finely chop remaining celery, onion and carrot. Place pot over medium-high heat and add oil. Add chopped vegetables, remaining salt, pepper and garlic and cook frequently until vegetables are tender and onion is translucent (the veggies should not be browned). Add reserved stock and  chicken base and stir to combine. Bring mixture to a boil andreduce it to simmer.  Allow soup to simmer 10 minutes.. Increase heat to high and bring to a boil. Add pasta and cook, stirring occasionally 15 minutes or until pasta is tender. Reduce heat to low and add chicken and season if desired. Cook 5 additional minutes.  Stir in chopped parsley and serve with grated Parmesan cheese.","calories: 486, fat: 27g, carbs: 10g, protein: 48g, servings: 8",https://cdn.jwplayer.com/v2/media/8IOoVflp/thumbnails/52HMmZMw.jpg
Mason Jar Instant Noodles,https://www.allrecipes.com/mason-jar-instant-noodles-recipe-7975114,"{'quantity': None, 'unit': None, 'name': 'large mouth mason jar with lid'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cooked chicken'}, {'quantity': '2', 'unit': None, 'name': 'baby carrots, shredded'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cabbage'}, {'quantity': '2', 'unit': None, 'name': 'dried shiitake mushrooms, chopped'}, {'quantity': '1', 'unit': None, 'name': 'green onion, chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'riracha sauce'}, {'quantity': '2', 'unit': 'ounces', 'name': 'rice noodles, broken up'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chicken bouillon cube'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'water'}","Place chopped chicken in the bottom of the mason jar. Add carrots, cabbage, mushrooms, and green onion.. Top with sesame oil, soy sauce, and Sriracha sauce. Add noodles. Crumble bouillon cube over the top. Refrigerate until ready to use.. When ready to serve, pour boiling water into the jar. Screw the lid on and let sit 5 minutes. Stir well and eat.","calories: 334, fat: 14g, carbs: 32g, protein: 20g, servings: 1",https://www.allrecipes.com/thmb/CBqrws61muT42cz3rBWTYSpHt_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7975114_Mason-Jar-Asian-Chicken-Noodle-Soup_Soup-Loving-Nicole_4x3-d5b6c4d7fd3347bea8b0813270f223ef.jpg
Creamy Chicken Instant Ramen,https://www.allrecipes.com/recipe/8496234/creamy-chicken-instant-ramen/,"{'quantity': '1', 'unit': '(3 ounce) package', 'name': 'chicken flavored ramen noodles'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen peas and carrots'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mayonnaise'}","Break up noodles and place in a microwave safe bowl. Add water and frozen veggie mix. Microwave on high 7 minutes.. Meanwhile whisk egg, mayonnaise, and season packet from the instant ramen together in a large bowl.. Temper egg mixture by ladling 1/4 cup of the boiling water from the noodles, whisking until combined. Ladle another 1/4 cup of the boiling water whisking until egg is ""cooked"" and completely incorporated.. Add remaining liquid and the noodles. Let sit until the noodles have absorbed the majority of the liquid, about 3 minutes.. Ladle into 2 serving bowls and serve immediately.","calories: 305, fat: 14g, carbs: 34g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/7kBNjssOiBDhqbVk0wHsA-n7nLY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Creamy-Chicken-Ramen-1-2000-08b7015031614d758ae641a5dc0eeb72.jpg
Creamy Chicken Ramen Soup with Dill,https://www.allrecipes.com/recipe/8495600/creamy-chicken-ramen-soup-with-dill/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'chicken flavored ramen noodles'}, {'quantity': '1', 'unit': '(5 ounce) can', 'name': 'canned chicken, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '', 'unit': '', 'name': 'green onions for garnish (optional)'}","Bring water to a boil in a saucepan. Break up noodles and toss into boiling water. Cook until tender, about 3 minutes. Stir in chicken, sour cream, seasoning packet, and dill. Simmer until heated through. Serve garnished with green onions.","calories: 589, fat: 18g, carbs: 58g, protein: 45g, servings: 1",https://www.allrecipes.com/thmb/FzHj_hcYXy_V61woWRAFRWnf9No=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Creamy-Dill-Chicken-Ramen-Soup-77430740658947f6b29255f9f3e6ecf9.jpg
Quick and Easy Chicken Noodle Soup,https://www.allrecipes.com/recipe/26460/quick-and-easy-chicken-noodle-soup/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '4', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'vegetable broth'}, {'quantity': '½', 'unit': 'pound', 'name': 'chopped cooked chicken breast'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'egg noodles'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced carrots'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 162, fat: 6g, carbs: 12g, protein: 13g, servings: 6",https://cdn.jwplayer.com/v2/media/wc1wUxfr/thumbnails/RTu12l0O.jpg
Lemon Chicken Orzo Soup,https://www.allrecipes.com/recipe/233968/lemon-chicken-orzo-soup/,"{'quantity': '8', 'unit': 'ounces', 'name': 'orzo pasta'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'medium', 'name': 'carrots, chopped, or more to taste'}, {'quantity': '3', 'unit': 'ribs', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '3', 'unit': '(32 ounce) cartons', 'name': 'fat-free, low-sodium chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '1', 'unit': '', 'name': 'lemon, zested'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cooked chicken breast, chopped'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'baby spinach leaves'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced for garnish (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese (Optional)'}",,"calories: 167, fat: 4g, carbs: 22g, protein: 12g, servings: 12",https://cdn.jwplayer.com/v2/media/WYlh2XHC/thumbnails/Jn3jr4Fj.jpg
Incredibly Easy Chicken and Noodles,https://www.allrecipes.com/recipe/17846/incredibly-easy-chicken-and-noodles/,"{'quantity': '3', 'unit': '(14.5 ounce) cans', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(26 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '2', 'unit': 'cups', 'name': 'diced, cooked chicken breast meat'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoning salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': '(9 ounce) packages', 'name': 'frozen egg noodles'}","Gather the ingredients.. Combine chicken broth, both condensed soups, and diced chicken in a large pot. Season with onion powder, seasoning salt, and garlic powder.. Bring to a boil over high heat and stir in noodles.. Reduce heat to low and simmer until desired consistency is reached, 20 to 30 minutes.. Serve hot and enjoy!","calories: 504, fat: 20g, carbs: 55g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/YvaaQm66/thumbnails/7CNiJcJ5.jpg
Creamy Green Curry Chicken Ramen,https://www.allrecipes.com/recipe/8536550/creamy-green-curry-chicken-ramen/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, seeded and minced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated fresh ginger'}, {'quantity': '1', 'unit': '', 'name': 'lime, zested'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded deli rotisserie chicken'}, {'quantity': '2', 'unit': '(13.5 ounce) cans', 'name': 'coconut milk'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '¼', 'unit': 'cup', 'name': 'green curry paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fish sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'ramen noodles (without flavor packet)'}, {'quantity': '8', 'unit': '(6 ounce) packages', 'name': 'snow peas'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Heat oil in a large pot over medium heat. Add jalapeno, garlic, ginger, and lime zest to the pot and cook, stirring, for 1 minute. Add shredded chicken to the pot and stir into the jalapeno mixture, sauteing and stirring until well blended, about 30 more seconds.. Add coconut milk, chicken stock, curry paste, soy sauce, fish sauce, brown sugar, and basil to the pot and stir well. Bring to a simmer, stirring occasionally.. Add ramen noodles, snow peas, and bell peppers and cook until the noodles are al dente and the vegetables are crisp-tender, 3 to 5 minutes.. Serve garnished with cilantro.","calories: 916, fat: 66g, carbs: 68g, protein: 44g, servings: 4",https://www.allrecipes.com/thmb/4-SqgmSRSUrWAXG0_Js120BIal4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1667344687Creamy20Green20Curry20Chicken20Ramen-f96c918c516741a488bea133d650c67b.jpg
