name,link,ingredients,steps,nutrition
Air Fryer Chicken Parmesan,https://www.allrecipes.com/air-fryer-chicken-parmesan-recipe-8698442,"{'quantity': '2', 'unit': '2 (8-ounce)', 'name': 'boneless skinless chicken breasts, patted dry'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper, divided'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'seasoned panko (Japanese-style breadcrumbs)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'armesan cheese, plus more for garnish'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'marinara sauce, plus more for serving'}, {'quantity': '1', 'unit': 'cup', 'name': 'mozzarella cheese'}","Gather all ingredients.. On a cutting board, butterfly chicken by cutting each breast in half widthwise to create 4 thin pieces of chicken; season both sides with 1/2teaspoon of the salt and 1/4 teaspoon of the black pepper.. Place flour, egg, and panko in 3 separate shallow dishes. Add Parmesan, oil, crushed red pepper, and garlic powder to panko; stir to coat. Add remaining 1/4 teaspoon salt and remaining 1/4 teaspoon black pepper to flour; stir to combine. Working with 1 chicken piece at a time, dredge chicken in flour; shake off excess. Dip in egg; let excess drip off. Dredge in panko mixture to coat; place on a plate.. Preheat a 6-quart air fryer to 400 degrees F (200 degrees C) for 2 minutes. Working in two batches, add 2 chicken cutlets to the air fryer basket in a single layer. Cook until chicken is golden brown on both sides, about 5 minutes per side.. Top each chicken piece with 1/4 cup marinara and 1/4 cup mozzarella cheese.. Snugly fit all 4 breasts in a single layer in air fryer basket; cook at 400 degrees F (200 degrees C) until cheese is melted and browned and a thermometer inserted into the thickest portion of chicken registers 165 degrees F (73 degrees C), 2 to 3 minutes.","calories: 582, fat: 18g, carbs: 45g, protein: 57g, servings: 4"
Creamy Garlic Parmesan Chicken,https://www.allrecipes.com/creamy-garlic-parmesan-chicken-recipe-8645638,"{'quantity': '2', 'unit': 'pounds', 'name': 'chicken breast tenders'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'Italian-seasoned panko bread crumbs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': None, 'unit': None, 'name': 'parchment paper'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter, divided, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or more as needed'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Italian seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': None, 'unit': None, 'name': 'chopped fresh parsley for garnish (Optional)'}",,"calories: 1092, fat: 76g, carbs: 57g, protein: 44g, servings: 6"
Chicken Parm Burgers,https://www.allrecipes.com/chicken-parm-burgers-recipe-8425291,"{'quantity': '12', 'unit': 'ounces', 'name': 'boneless skinless chicken thighs or breasts, cut into 1-inch pieces'}, {'quantity': '4', 'unit': 'ounces', 'name': 'mozzarella cheese, shredded'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'panko breadcrumbs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'marinara or other prepared tomato sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'parsley'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt'}, {'quantity': '4', 'unit': None, 'name': 'burger buns'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'armigiano-Reggiano, or more to taste'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'panko breadcrumbs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'marinara sauce, divided'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'talian parsley, or as needed'}",,"calories: 737, fat: 45g, carbs: 45g, protein: 38g, servings: 4"
Creamy Lemon Parmesan Chicken,https://www.allrecipes.com/creamy-lemon-parmesan-chicken-recipe-7555287,"{'quantity': '3/4', 'unit': 'cup', 'name': 'grated parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'flour'}, {'quantity': '8', 'unit': None, 'name': 'skinless boneless chicken thighs'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'low sodium chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mascarpone'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': None, 'unit': None, 'name': 'chopped fresh oregano to taste'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges for serving'}",,"calories: 874, fat: 57g, carbs: 34g, protein: 68g, servings: 4"
One-Pan Creamy Parmesan Chicken and Vegetables,https://www.allrecipes.com/one-pan-creamy-parmesan-chicken-and-vegetables-recipe-7376035,"{'quantity': '2', 'unit': 'pounds', 'name': 'boneless skinless chicken thighs'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'talian herb seasoning'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'mushrooms'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, sliced lengthwise'}, {'quantity': '1', 'unit': 'cup', 'name': 'broccoli florets'}, {'quantity': '1', 'unit': 'small', 'name': 'zucchini, sliced in half vertically, then sliced crosswise'}, {'quantity': '1', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '8', 'unit': 'spears', 'name': 'asparagus, cut into 1-inch pieces'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cherry tomatoes, halved'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas, thawed'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '3', 'unit': 'ounces', 'name': 'grated Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'fresh flat-leaf parsley sprigs for garnish (optional)'}","Pat chicken thighs dry with paper towels and season with Italian seasoning. Season with salt and pepper.. Combine 1 tablespoon olive oil and 1 tablespoon unsalted butter in a large, non-stick skillet or wok over medium-high heat.. When oil is hot and butter is bubbling, add chicken thighs and cook until browned, 5 to 7 minutes. Turn chicken, reduce heat to medium-low, cover, and cook until juices no longer run pink, about 5 minutes more.  An instant-read thermometer inserted near the center should read at least 165 degrees F (74 degrees C).. Remove chicken from the skillet, place on a serving platter, and keep warm.. To the same pan, over medium high heat, add remaining olive oil and butter, and allow butter to melt. Stir in onions and red pepper flakes and cook 1 to 2 minutes, then add mushrooms and bell peppers. Cook an additional 2 minutes, stirring frequently.. Add broccoli florets, zucchini, and carrots. Cook, stirring, 1 to 2 minutes.. Add asparagus, tomatoes, and garlic; cook until garlic is fragrant, about a minute.. Pour in chicken broth and allow to come to a boil. Reduce heat to a simmer and stir in peas. When broth is lightly bubbling, add cream slowly, stirring, and stir in Parmesan cheese.. To serve place 2 chicken thighs on each plate and top with vegetables and Parmesan cream. Garnish with fresh flat-leaf parsley. Serve warm.","calories: 850, fat: 53g, carbs: 30g, protein: 69g, servings: 4"
Chicken Parmesan,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,"{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'panko bread crumbs, or more as needed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour, or more if needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil for frying, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'prepared tomato sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh mozzarella, cut into small cubes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh basil'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated provolone cheese'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}",,"calories: 471, fat: 25g, carbs: 25g, protein: 42g, servings: 4"
One Pan Lemon Garlic Parmesan Chicken,https://www.allrecipes.com/one-pan-lemon-garlic-parmesan-chicken-recipe-8693366,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'freshly squeezed lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'extra virgin olive oil'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2 1/2', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper, divided'}, {'quantity': '2', 'unit': 'pounds', 'name': 'Yukon gold or red potatoes, cut into 1-inch cubes'}, {'quantity': '3', 'unit': None, 'name': 'boneless skinless chicken breasts'}, {'quantity': '1', 'unit': None, 'name': 'green beans'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'parsley for garnish (optional'}","Preheat the oven to 425 degrees F (220 degrees C).. Whisk together lemon juice, lemon zest, olive oil, oregano, garlic powder, 2 teaspoon salt, and 1/2 teaspoon pepper in a bowl until well combined.. Slice chicken in half lengthwise and pound slightly to a uniform thickness  (Alternatively, you can use 6 chicken cutlets), and place chicken in a shallow dish or large resealable bag. Pour half of the olive oil mixture over chicken and toss well to coat. Let chicken marinate 30 minutes while potatoes are prepared.. Add potatoes to remaining marinade and toss well. Transfer potatoes to a lightly greased 9x13 baking dish and season with remaining salt and pepper.. Bake in the preheated oven until potatoes are just tender, tossing halfway through, 25 to 30 minutes.. Meanwhile, prepare green beans according to microwave package directions.. Remove potatoes from the oven and toss green beans with potatoes. Top with dollops of half of the softened butter. Remove chicken from marinade and place on top of potatoes and green beans. Reserve any remaining marinade in the bowl.. Add remaining butter, mayonnaise, and Parmesan cheese to the bowl with any remaining marinade and mix well. Spread butter mixture over evenly over chicken and return pan to oven.. Bake in the preheated oven until chicken is cooked through, 20 to 25 minutes. If you like your chicken browned, broil on high the last 2 minutes to brown the tops of the chicken. Sprinkle with parsley if desired.","calories: 436, fat: 22g, carbs: 36g, protein: 25g, servings: 4 to 6"
Baked Garlic Parmesan Chicken,https://www.allrecipes.com/recipe/55860/baked-garlic-parmesan-chicken/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil leaves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}",,"calories: 281, fat: 11g, carbs: 14g, protein: 30g, servings: 6"
Parmesan Crusted Chicken,https://www.allrecipes.com/recipe/219431/parmesan-crusted-chicken/,"{'quantity': '½', 'unit': 'cup', 'name': ""Hellmann's® or Best Foods® Real Mayonnaise""}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '4', 'unit': '(5 ounce)', 'name': 'boneless, skinless chicken breast halves'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'Italian seasoned dry bread crumbs'}","Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C).. Mix mayonnaise and Parmesan cheese together in a medium bowl until well combined.. Arrange chicken breasts on a baking sheet. Evenly top with mayonnaise mixture, then sprinkle with bread crumbs to coat.. Bake in the preheated oven until golden on top and chicken is cooked through, about 20 minutes.","calories: 400, fat: 28g, carbs: 2g, protein: 32g, servings: 4"
Chicken Parmigiana,https://www.allrecipes.com/recipe/8975/chicken-parmigiana/,"{'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'ounces', 'name': 'dry bread crumbs'}, {'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '¾', 'unit': '(16 ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '2', 'unit': 'ounces', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a medium baking sheet.. Pour egg into a small shallow bowl. Place bread crumbs in a separate shallow bowl. Dip chicken into egg, then into bread crumbs. Place coated chicken on the prepared baking sheet.. Bake in the preheated oven until no longer pink and juices run clear, about 40 minutes. Remove from the oven.. Pour 1/2 of the spaghetti sauce into a 7x11-inch baking dish. Place chicken breasts over the sauce, then cover with remaining sauce. Sprinkle mozzarella and Parmesan cheeses on top.. Continue baking until heated through and cheeses have melted, about 20 more minutes.","calories: 528, fat: 18g, carbs: 45g, protein: 44g, servings: 2"
