name,link,ingredients,steps,nutrition
Lemon Chicken Piccata,https://www.allrecipes.com/recipe/214488/lemon-chicken-piccata/,"{'quantity': '3', 'unit': 'large', 'name': 'skinless, boneless chicken breast halves - cut into ½-inch medallions'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, or as needed'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'low sodium chicken broth'}, {'quantity': '½', 'unit': '', 'name': 'lemon, thinly sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers, drained and rinsed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced Italian (flat-leaf) parsley'}","Preheat the oven to 200 degrees F (95 degrees C). Place a serving platter into the oven to warm.. Season chicken breast pieces with salt and pepper and dredge them in flour. Shake off excess flour. Heat vegetable oil in a skillet; pan-fry the chicken pieces until golden brown on both sides, about 3 minutes per side. Work in batches and do not crowd skillet, adding oil as needed. Place chicken pieces onto the warmed platter in the oven. When finished with all of the chicken, drain most of the oil from the skillet, leaving a thin coating on the surface of the pan.. Cook and stir minced garlic in the skillet until fragrant, about 20 seconds. Pour in chicken broth; scrape and stir any brown bits from the bottom of the skillet. Stir in lemon slices and bring the mixture to a boil. Let cook, stirring occasionally, until the sauce reduces to about 2/3 cup, 5 to 8 minutes. Add lemon juice and capers; simmer until sauce is reduced and slightly thickened, about 5 minutes more. Drop butter into the skillet and swirl it into sauce by tilting the skillet until butter is melted and incorporated. Add parsley; remove from heat and set aside.. Arrange chicken medallions on serving plates and spoon sauce over each portion to serve.","calories: 421, fat: 21g, carbs: 16g, protein: 41g, servings: 4"
Quick Chicken Piccata,https://www.allrecipes.com/recipe/220751/quick-chicken-piccata/,"{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'cayenne pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'all-purpose flour for dredging'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'capers, drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold unsalted butter, cut in 1/4-inch slices'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh Italian parsley'}","Place chicken breasts between 2 sheets of heavy plastic on a solid, level surface. Firmly pound chicken breasts with the smooth side of a meat mallet to a 1/2-inch thickness.. Season both sides of chicken breasts with cayenne, salt, and black pepper; dredge lightly in flour and shake off any excess.. Heat olive oil in a skillet over medium-high heat. Place chicken in the pan, reduce heat to medium, and cook until browned and cooked through, about 5 minutes per side; transfer to a plate.. Cook capers in reserved oil, smashing them lightly to release brine, until warmed through, about 30 seconds. Pour white wine into the skillet and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon. Cook until reduced by half, about 2 minutes.. Stir lemon juice, water, and butter into the reduced wine mixture; cook and stir continuously to form a thick sauce, about 2 minutes. Reduce heat to low and stir parsley through the sauce.. Return chicken breasts to the pan and cook until heated through, 1 to 2 minutes. Serve with sauce spooned over the top.","calories: 321, fat: 18g, carbs: 8g, protein: 25g, servings: 4"
Chicken Piccata with Angel Hair Pasta,https://www.allrecipes.com/recipe/100690/chicken-piccata-with-angel-hair-pasta/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fresh ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves, pounded thin and cut into 2-inch pieces'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'angel hair pasta, cooked and drained'}","Gather all ingredients.. Whisk flour, pepper, and paprika together in a shallow dish. Dredge chicken in flour mixture until evenly coated.. Heat oil in a large skillet over medium-high heat. Add garlic; cook and stir until golden and fragrant, about 1 minute; transfer to a plate.. Melt 2 tablespoons butter in the same skillet. Add chicken and cook until browned, about 5 minutes per side; transfer to a plate.. Pour wine into the hot skillet and bring to a boil over high heat, scraping the browned bits from the bottom and sides of the pan with a wooden spoon. Boil until wine is reduced by half, about 5 minutes.. Whisk in chicken broth, reserved garlic, lemon juice, and capers; cook for 5 minutes.. Stir in parsley and remaining 2 tablespoons butter.. Reduce the heat to medium, return chicken to the skillet, and continue cooking until sauce thickens, about 15 minutes.. Bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain well.. Transfer chicken pieces to a serving dish and drizzle with a few tablespoons sauce. Add cooked pasta to the skillet and toss to coat with remaining sauce. Portion noodles onto serving plates and top with chicken.","calories: 543, fat: 23g, carbs: 43g, protein: 31g, servings: 4"
Chicken Piccata with Capers,https://www.allrecipes.com/recipe/240287/chicken-piccata-with-capers/,"{'quantity': '4', 'unit': '(6 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh flat-leaf parsley'}","Place each chicken breast between 2 sheets of heavy-duty plastic wrap. Pound breasts to 1/2-inch thickness using a meat mallet or small heavy skillet.. Spread flour into a wide, shallow dish. Press chicken into flour to coat completely.. Melt butter with olive oil in a large skillet over medium-high heat; cook chicken in hot butter mixture until no longer pink in the center and the juices run clear, 3 to 5 minutes per side. Remove chicken to a serving platter and cover with a lid to keep warm.. Pour white wine, lemon juice, capers, and garlic into the skillet. Bring to a boil while scraping the browned bits of food from the bottom of the skillet with a wooden spoon; cook at a boil until slightly thickened, about 2 minutes. Season with salt and pepper.. Drizzle sauce over and around chicken; garnish with parsley.","calories: 330, fat: 12g, carbs: 10g, protein: 39g, servings: 4"
Mushroom Chicken Piccata,https://www.allrecipes.com/recipe/15134/mushroom-chicken-piccata/,"{'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'pound', 'name': 'sliced fresh mushrooms'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley, for garnish'}","Mix egg and milk together in a shallow bowl. Mix flour, salt, and paprika together in a second shallow bowl. Dip chicken into egg mixture, then lift up so excess egg drips back into the bowl. Press into flour mixture to coat both sides.. Melt butter in a large skillet over medium-high heat. Add chicken and sauté until golden brown, 2 to 3 minutes per side. Add mushrooms and onion; sauté for 3 to 5 minutes.. Mix broth, wine, lemon juice, and cornstarch together in a medium bowl; pour over chicken and mushrooms. Reduce the heat to medium-low and simmer until chicken is cooked through and the juices run clear, about 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Sprinkle with parsley and serve.","calories: 288, fat: 10g, carbs: 13g, protein: 31g, servings: 6"
Chicken Piccata with Artichoke Hearts,https://www.allrecipes.com/recipe/57428/chicken-piccata-with-artichoke-hearts/,"{'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves, pounded 1/2 inch thick and cut into thirds'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'onion, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '(13.75 ounce) can', 'name': 'artichoke hearts, drained and chopped, liquid reserved'}, {'quantity': '¼', 'unit': 'cup', 'name': 'capers, with liquid'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}","Mix together the flour, garlic powder, salt, pepper, and Italian seasoning on a plate. One by one, dredge the chicken pieces lightly in the prepared flour mixture.. Heat the olive oil in a large skillet over medium-high heat. Cook the chicken pieces for 2 minutes per side, or until nicely browned. Remove from the skillet and set aside.. Using the same skillet, cook and stir the garlic and onion until translucent, about 5 minutes. Pour the white wine into the skillet, turn the heat to high, and cook until the wine reduces by half, 4 to 5 minutes. Add the chicken broth, lemon juice, artichoke hearts, reserved artichoke liquid, and browned chicken to the skillet. Reduce the heat to medium and cook until the sauce thickens, about 20 minutes. Stir in the capers and butter.","calories: 424, fat: 16g, carbs: 34g, protein: 31g, servings: 4"
Chicken Piccata II,https://www.allrecipes.com/recipe/8853/chicken-piccata-ii/,"{'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breasts'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chicken bouillon powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'boiling water'}","In a small bowl, beat the egg together with 1 tablespoon of the lemon juice. Set aside.. In a shallow bowl or dish mix together the flour, garlic powder and paprika. Dip the chicken in the egg/lemon mixture, then in the seasoned flour.. In a large skillet, melt butter/margarine and brown the coated chicken pieces.. Dissolve the bouillon in the boiling water, then add the remaining 2 tablespoons of lemon juice. Pour liquid into skillet. Cover and let simmer for 20 minutes, turning chicken pieces after 10 minutes, until chicken is tender. Garnish as desired and serve.","calories: 276, fat: 15g, carbs: 8g, protein: 26g, servings: 4"
My Best Chicken Piccata,https://www.allrecipes.com/recipe/228546/my-best-chicken-piccata/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves - trimmed and cut in half crosswise'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'capers'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh parsley'}","Mix flour, salt, and black pepper in a bowl. Dredge the chicken breast pieces in the seasoned flour to coat; tap off excess flour.. Melt butter in a skillet over medium heat until hot but not starting to brown. Pan-fry coated chicken breast pieces in the hot butter until golden brown, the juices run clear, and the chicken is no longer pink inside, about 10 minutes. Turn the chicken pieces often. Remove chicken from skillet and keep warm.. Pour white wine into the skillet and scrape pan to dissolve any browned bits of food on the bottom. Mix in lemon juice, reduce heat to low, and simmer until sauce is slightly thickened, about 10 minutes. Stir often. Stir capers into sauce and place chicken back into skillet, turning to coat with sauce.. To serve, transfer chicken to a serving platter, top with sauce, and garnish with lemon slices and fresh parsley.","calories: 484, fat: 26g, carbs: 29g, protein: 27g, servings: 4"
Oven-Baked Chicken Piccata,https://www.allrecipes.com/recipe/273669/oven-baked-chicken-piccata/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Cantanzaro herbs or Italian seasoning'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic salt, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless, skinless chicken breasts, sliced horizontally'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken bone broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry white wine, such as Pinot Grigio'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced (Optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Add butter to a large cast iron skillet and place into the oven to allow butter to melt — careful not to burn the butter.. Combine flour, Parmesan cheese, herbs, and 1/2 teaspoon garlic salt in a shallow dish; mix to combine.. Season chicken with remaining 1/2 teaspoon garlic salt and black pepper. Dredge in the flour mixture to coat evenly.. Carefully remove the skillet from the oven using oven mitts and mix bone broth and lemon juice into the melted butter. Place the flour-seasoned chicken breasts in the skillet and sprinkle with capers. Spoon some of the melted butter mixture over the chicken.. Return skillet to the oven and bake until chicken is no longer pink in the center and the juices run clear, 25 to 30 minutes. If the skillet liquid evaporates too quickly, add additional bone broth and lemon juice.. Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Carefully pour wine into the bottom of the skillet. Broil chicken until lightly browned on top. Spoon the sauce over the chicken. Garnish with lemon slices.","calories: 334, fat: 16g, carbs: 18g, protein: 28g, servings: 4"
Easy Chicken Piccata,https://www.allrecipes.com/recipe/270046/easy-chicken-piccata/,"{'quantity': '2', 'unit': 'large', 'name': 'skinless, boneless chicken breasts'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'stick', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '3', 'unit': 'medium', 'name': 'lemons, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'drained capers'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}","Slice chicken breasts horizontally to yield 4 pieces. Place breasts between 2 sheets of plastic wrap and pound to 1/4-inch thin. Place flour on a plate and dredge each breast on both sides in flour.. Melt butter in a large skillet over medium heat. Put chicken into the skillet and season tops with salt and pepper. Turn when nicely browned, about 4 minutes, and season again. Cook second side until browned, about 4 minutes. Transfer breasts to a plate, reserving skillet drippings.. Add wine and lemon juice to the skillet, stirring to scrape up any browned bits. Simmer to reduce and thicken sauce, about 5 minutes more. Add capers and pour sauce over chicken breasts on the plate. Sprinkle with parsley.","calories: 384, fat: 14g, carbs: 34g, protein: 31g, servings: 4"
