name,link,ingredients,steps,nutrition
Sticky Fingers Salad,https://www.allrecipes.com/sticky-fingers-salad-recipe-8696356,"{'quantity': '12', 'unit': None, 'name': 'breaded chicken strips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': ""Frank's RedHot® Sauce)""}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '8', 'unit': 'cups', 'name': 'Romaine lettuce'}, {'quantity': '1', 'unit': 'cup', 'name': 'grape tomatoes'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'croutons'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cranberries'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ranch dressing, or as needed'}","Preheat the oven to 400 degrees F (200 degrees C). Place chicken strips on a baking sheet.. Bake chicken in the preheated oven until crispy, about 20 minutes. Alternatively, cook chicken strips according to package directions.. Prepare chicken strips according to package directions, cooking until crispy. Cut chicken into bite-sized pieces.. Meanwhile, prepare sauce. Combine butter, hot sauce, brown sugar and water in a medium saucepan. Bring mixture to a boil over medium-high heat, stirring occasionally. Reduce to a simmer and cook, stirring occasionally, until slightly thickened, about 5 minutes.. Divide lettuce, tomatoes, cheese, croutons and cranberries evenly among 4 dinner plates. Toss chicken with sauce and divide chicken among the four salads. Drizzle with ranch dressing and serve immediately.","calories: 840, fat: 39g, carbs: 95g, protein: 30g, servings: 4"
Easy Buffalo Chicken Salad,https://www.allrecipes.com/easy-buffalo-chicken-salad-recipe-8665710,"{'quantity': '2', 'unit': None, 'name': 'boneless chicken breasts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Cajun seasoning'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grapeseed oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'hot sauce'}, {'quantity': '8', 'unit': 'cups', 'name': 'lettuce'}, {'quantity': '1', 'unit': 'cup', 'name': 'cherry tomatoes, halved'}, {'quantity': '1/2', 'unit': None, 'name': 'cucumber, sliced'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded carrots'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'blue cheese'}, {'quantity': None, 'unit': None, 'name': 'salad dressing'}","Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet.. Season chicken with 1 tablespoon Cajun seasoning. Heat oil in a cast iron skillet over medium-high heat. Add chicken to the hot oil, without crowding, and cook, turning once, until no longer pink at the center and juices run clear, about 6 minutes per side. An instant-read thermometer inserted near the center will read 165 degrees F (74 degrees C). Remove chicken from pan to a plate to cool, about 10 minutes.. Stir ranch dressing, hot sauce, and remaining 1 tablespoon Cajun seasoning together in a large bowl.. Cut chicken into bite-sized pieces; add to bowl with sauce mixture and toss well. Place chicken on the prepared baking sheet.. Bake in the preheated oven until just beginning to get crisp, 5 to 10 minutes; remove to cool, about 10 minutes.. Combine green leafy lettuce, tomatoes, cucumbers, and carrots in a salad bowl. Add Buffalo chicken and blue cheese crumbles. Serve with your favorite dressing.","calories: 438, fat: 33g, carbs: 11g, protein: 25g, servings: 4"
"Chicken, Avocado and Mango Salad",https://www.allrecipes.com/recipe/75019/chicken-avocado-and-mango-salad/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'chili garlic sauce'}, {'quantity': '4', 'unit': 'cups', 'name': 'shredded, cooked chicken'}, {'quantity': '2', 'unit': 'medium', 'name': 'mangos - peeled, seeded and diced'}, {'quantity': '2', 'unit': '', 'name': 'avocados - peeled, pitted and diced'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'spring lettuce mix'}","In a saucepan over medium-high heat, stir together the brown sugar and water. Bring to a boil, then pour into a medium bowl. Stir in the garlic chili sauce and lime juice. Set the dressing aside.. In a large bowl, toss together the chicken, mangos and avocados. Arrange the spring salad mix on serving plates, then top with a few spoonfuls of the chicken mixture. Pour dressing over the top.","calories: 296, fat: 16g, carbs: 20g, protein: 19g, servings: 8"
Rotisserie Chicken Salad,https://www.allrecipes.com/recipe/257693/rotisserie-chicken-salad/,"{'quantity': '1', 'unit': None, 'name': 'deli rotisserie chicken, meat removed and shredded'}, {'quantity': '1', 'unit': '', 'name': 'white onion, chopped'}, {'quantity': '4', 'unit': '', 'name': 'hard-boiled eggs, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'sweet-hot pickle relish'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Combine chicken, onion, eggs, pickle relish, mustard, paprika, and red pepper flakes in a bowl; stir in mayonnaise by spoonfuls until mixture holds together but isn't too moist. Season with salt and pepper.","calories: 595, fat: 25g, carbs: 7g, protein: 80g, servings: 8"
Our 10 Best Chicken Salad Recipes of All Time,https://www.allrecipes.com/best-chicken-salad-recipes-8621300,,,
Fruity Chicken Salad with Tarragon,https://www.allrecipes.com/recipe/275571/fruity-chicken-salad-with-tarragon/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'grilled skinless, boneless chicken thighs, chopped'}, {'quantity': '½', 'unit': '', 'name': 'red apple - peeled, cored, and diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'halved green grapes'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'toasted chopped pecans'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced red onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'low-fat plain Greek yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh tarragon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': '', 'name': 'lime, zested and juiced'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Combine chicken, apple, grapes, pecans, red onion, and celery in a medium bowl.. Whisk mayonnaise, yogurt, tarragon, Dijon mustard, and lime zest and juice together in a small bowl. Stir dressing into the chicken mixture. Season with salt and pepper.","calories: 323, fat: 24g, carbs: 12g, protein: 16g, servings: 4"
Dijon Chicken Salad,https://www.allrecipes.com/recipe/152209/dijon-chicken-salad/,"{'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'chunk chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'halved seedless green grapes'}, {'quantity': '1', 'unit': 'cup', 'name': 'halved seedless red grapes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried chives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Dijon mustard'}, {'quantity': '¾', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Mix together chicken, celery, green grapes, red grapes, cranberries, and chives in a large bowl.. Whisk together honey, mustard, mayonnaise, salt, and pepper in a medium bowl. Pour over chicken mixture and stir to coat.","calories: 432, fat: 30g, carbs: 21g, protein: 21g, servings: 6"
Greek-Style Chicken Salad,https://www.allrecipes.com/recipe/260452/greek-inspired-chicken-salad/,"{'quantity': '1', 'unit': 'cup', 'name': 'diced English cucumbers'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'diced red onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'Greek yogurt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped Kalamata olives'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chopped fresh dill'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'diced cooked chicken'}, {'quantity': '¾', 'unit': 'cup', 'name': 'crumbled feta cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced seeded plum tomatoes'}, {'quantity': '1', 'unit': 'head', 'name': 'Bibb lettuce, or more as needed'}","Place cucumbers in a colander; set onto a plate. Toss cucumbers with 1 teaspoon salt. Let rest to draw about liquid, about 30 minutes. Pat dry with paper towels.. Place red onion and 1 cup cold water in a bowl. Let soak until the strong onion flavor is weakened, 5 to 10 minutes. Drain and rinse.. Combine cucumbers, red onions, Greek yogurt, Kalamata olives, dill, vinegar, lemon juice, garlic, lemon zest, oregano, and black pepper in a bowl. Fold in chicken, feta cheese, and tomatoes. Cover with plastic wrap; refrigerate salad for at least 1 hour.. Stir salad and serve on lettuce leaves.","calories: 385, fat: 22g, carbs: 9g, protein: 37g, servings: 4"
Creamy Avocado Chicken Salad,https://www.allrecipes.com/recipe/237284/creamy-avocado-chicken-salad/,"{'quantity': '2', 'unit': '', 'name': 'cooked chicken breast halves, diced'}, {'quantity': '1', 'unit': '', 'name': 'ripe avocado, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Place chicken in a food processor; process until finely chopped. Add avocado, sour cream, black pepper, lime juice, garlic powder, onion powder, and salt; blend until smooth (or the consistency you desire).","calories: 217, fat: 15g, carbs: 7g, protein: 15g, servings: 4"
Dill Chicken Salad,https://www.allrecipes.com/dill-chicken-salad-recipe-7487086,"{'quantity': '1/4', 'unit': 'cup', 'name': 'pecans'}, {'quantity': '1', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh dill'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, minced'}, {'quantity': '2', 'unit': 'pounds', 'name': 'cooked chicken breasts, shredded'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Preheat the oven to 350 degrees F (175 degrees C). Spread pecans onto a baking sheet.. Toast in the preheated oven until nuts start to turn golden brown and become fragrant, about 10 minutes. Remove from oven to cool to room temperature, about 10 minutes; chop.. Whisk lemon juice, dill, sugar, mayonnaise and Greek yogurt together In a large bowl until smooth. Stir in celery, pecans, and shredded chicken.. Stir in chicken broth as needed, 1 tablespoon at a time, until salad is your preferred texture. Season to taste with salt and black pepper.","calories: 319, fat: 17g, carbs: 3g, protein: 37g, servings: 8"
