name,link,ingredients,steps,nutrition,image_url
Chicken Teriyaki,https://www.allrecipes.com/chicken-teriyaki-recipe-8641256,"{'quantity': '1', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sake'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'brown sugar, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sesame seeds'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'canola or peanut oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'pounds', 'name': 'boneless skinless chicken thighs, cut into 1 ½ inch pieces'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grated fresh ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely minced garlic'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, thinly sliced, divided'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked rice'}","Combine soy sauce, sake, rice vinegar, and brown sugar in a bowl and whisk well until sugar is dissolved.  Stir in sesame seeds and crushed red pepper and set aside.. Heat oils in a large skillet over high heat. Sprinkle salt and pepper evenly over chicken. Add chicken in a single layer to the skillet and cook, undisturbed until chicken is browned and releases easily from the pan, 4 to 6 minutes. Flip chicken pieces, cook 1 more minute and remove from pan; set aside.. Reduce heat to medium and add ginger and garlic. Cook, stirring constantly, until fragrant, about 1 minute. Reserve 2 tablespoon of the green onions for garnish and add remaining green onions to the skillet. Cook for 1 minute. Add 1 cup reserved soy sauce mixture to the skillet and stir with a wooden spoon, scraping up any browned bits from the bottom of the skillet.  Bring mixture to a boil and cook until sauce has reduced by about a third or until slightly thickened and glossy.. Return chicken to the skillet and cook, stirring occasionally, until sauce is thickened slightly and chicken is coated in the sauce and cooked through.  Serve over rice and sprinkled with reserved green onions.","calories: 819, fat: 30g, carbs: 51g, protein: 84g, servings: 3",https://cdn.jwplayer.com/v2/media/fptm5r94/thumbnails/0uBHRaVD.jpg
Baked Teriyaki Chicken,https://www.allrecipes.com/recipe/9023/baked-teriyaki-chicken/,"{'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cold water'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '12', 'unit': '', 'name': 'boneless, skinless chicken thighs'}",,"calories: 272, fat: 10g, carbs: 20g, protein: 25g, servings: 6",https://cdn.jwplayer.com/v2/media/tljOmXNP/poster.jpg?width=720
Chicken Teriyaki Rice Bowls,https://www.allrecipes.com/chicken-teriyaki-rice-bowls-recipe-7372857,"{'quantity': '1/2', 'unit': 'cup', 'name': 'teriyaki marinade (such as Kikkoman'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'prepared horseradish'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'boneless skinless chicken breast halves'}, {'quantity': '1', 'unit': 'bunch', 'name': 'broccoli, cut into florets'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, cut into strips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': None, 'name': 'pineapple - peeled, cored, and cut into 6 wedges'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame seeds (optional)'}, {'quantity': '1', 'unit': None, 'name': 'green onion, thinly sliced (optional)'}","Pour teriyaki marinade, horseradish, and chili oil into a resealable plastic bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, at least 4 hours.. Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Coat chicken in teriyaki marinade and cook on the prepared grill until no longer pink and juices run clear, 10 to 15 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. Meanwhile place broccoli florets and red pepper strips in a large bowl. Drizzle with sesame oil and toss to coat. Add garlic powder, black pepper, salt, and crushed red pepper and toss to coat again.. Place broccoli and red pepper strips in a grill basket and grill, turning occasionally, until tender-crisp, about 10 minutes.. Grill pineapple until soft and heated through, 2 to 3 minutes per side.. Slice pineapple and chicken into 1-inch cubes. In 4 separate bowls layer rice, chicken, pineapple, broccoli, and red peppers. Garnish each bowl with sliced green onions and sesame seeds. Drizzle extra teriyaki sauce over each bowl if desired.","calories: 498, fat: 15g, carbs: 48g, protein: 43g, servings: 4",https://www.allrecipes.com/thmb/PumxD7asAKKX7m1fjDK2o5HMdBY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7372857_ChickenTeriyakiRiceBowls_Chef-Mo_4x3-3c37e4157f664ecabcca8fbcba2de637.jpg
Teriyaki Chicken Wings,https://www.allrecipes.com/recipe/88438/teriyaki-chicken-wings/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'pineapple juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh ginger'}, {'quantity': '3', 'unit': 'pounds', 'name': 'chicken wings or drumettes'}","Whisk water, soy sauce, sugar, pineapple juice, vegetable oil, garlic, and ginger together in a large glass or ceramic bowl until sugar has dissolved. Add chicken wings and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator for at least 1 hour.. Preheat the oven to 350 degrees F (175 degrees C). Grease baking dishes and set them aside.. Remove chicken wings from marinade; shake off excess and place the chicken wings into the prepared baking dishes. Discard the remaining marinade.. Bake chicken wings in the preheated oven until chicken is cooked through and glaze is evenly browned, about 1 hour. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 492, fat: 32g, carbs: 30g, protein: 21g, servings: 12",https://www.allrecipes.com/thmb/XhyzIX9gH5RcXULKVsJI2e0Q7EY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/88438RamonaCruz-Peters_TeriyakiChickenWings_4x3-88b0e560a1e34379a352bc885493b688.jpg
Slow Cooker Teriyaki Chicken,https://www.allrecipes.com/recipe/274429/slow-cooker-teriyaki-chicken/,"{'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'teriyaki sauce'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'chicken, diced'}","Whisk chicken broth, teriyaki sauce, brown sugar, and garlic together in a large bowl. Add chicken and toss until well coated. Transfer mixture to a slow cooker.. Cover and cook on Low until chicken is no longer pink in the center and the juices run clear, 4 to 6 hours. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 444, fat: 20g, carbs: 24g, protein: 40g, servings: 3",https://www.allrecipes.com/thmb/TB7Tf54Ep4AGdCNldcYA-VSGtco=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6858395-slow-cooker-teriyaki-chicken-Yoly-4x3-1-c615fcce5d3943269219ed0472fa8c9d.jpg
Easy Grilled Teriyaki Chicken,https://www.allrecipes.com/recipe/17784/easy-grilled-chicken-teriyaki/,"{'quantity': '1', 'unit': 'cup', 'name': 'teriyaki sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced fresh garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}","Whisk teriyaki sauce, lemon juice, garlic, and sesame oil together in a bowl and pour into a resealable plastic bag. Add chicken, coat with marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for at least 1 hour to overnight, turning every so often.. When ready to cook, preheat an outdoor grill for high heat and lightly oil the grate.. Remove chicken from marinade and shake off excess. Discard remaining marinade.. Cook chicken on the preheated grill until no longer pink in the center and the juices run clear, 6 to 8 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).","calories: 240, fat: 8g, carbs: 17g, protein: 25g, servings: 4",https://cdn.jwplayer.com/v2/media/3oD5sYEu/poster.jpg?width=720
Chicken Teriyaki and Noodles,https://www.allrecipes.com/recipe/8529770/chicken-teriyaki-and-noodles/,"{'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken thighs, cut into bite-sized pieces'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '15', 'unit': 'ounces', 'name': 'wonton mein noodles (Canadian-style)'}, {'quantity': '4', 'unit': 'cups', 'name': 'frozen stir-fry vegetables, thawed'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mirin (Japanese sweet wine)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sake (Japanese rice wine)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '5', 'unit': 'cloves', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh ginger root'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes (Optional)'}","Season chicken pieces with salt and pepper.. Heat sesame oil in a large skillet over medium-high heat. Add chicken pieces and cook, stirring, until chicken is browned, 3 to 5 minutes. Remove chicken to a plate and keep warm.. Meanwhile, bring a pot of water to a boil over high heat. Add noodles and vegetables and cook until noodles are softened, about 3 minutes.. Combine soy sauce, mirin, sake, brown sugar, garlic, ginger, and red pepper flakes in a bowl. Stir to combine and pour sauce into the skillet. Cook stirring frequently until sauce is thickened, about 3 minutes. Add chicken back into skillet with sauce.. Drain noodles and vegetables and add to skillet. Stir to combine and serve","calories: 596, fat: 27g, carbs: 63g, protein: 26g, servings: 6",https://www.allrecipes.com/thmb/FsX8gF4XHbX_uLThh7tq5rH8bts=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/167391304745E7984B-2F85-4649-8B14-4A5844410E04-2000-939c43fffcd748b5ba9628095d050295.jpeg
Instant Pot® Teriyaki Chicken Thighs,https://www.allrecipes.com/recipe/272438/instant-pot-teriyaki-chicken-thighs/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken thighs'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': '(1/2 inch) piece', 'name': 'fresh ginger, grated'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}","Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Pour in olive oil and warm until hot. Add chicken thighs and brown on both sides, 3 to 5 minutes per side.. Meanwhile, combine brown sugar, soy sauce, honey, apple cider vinegar, ginger, and garlic in a bowl for the marinade. Pour marinade over chicken thighs in the pot and bring to a simmer; cook for 2 minutes and scrape browned bits off bottom of pot. Turn off Saute mode. Close and lock the lid.. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid.. Stir cold water and cornstarch together in a small bowl. Remove chicken thighs from Instant Pot® and transfer to a plate.. Select Saute function. Pour cornstarch mixture into the remaining sauce in the pot. Cook until sauce has thickened, 2 to 3 minutes. Turn off Saute mode. Pour some of the sauce over teriyaki thighs and serve.","calories: 384, fat: 15g, carbs: 40g, protein: 22g, servings: 4",https://www.allrecipes.com/thmb/RK5cWS09fjeZSQXRDB0vzsCTkeI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6482479-instant-pot-teriyaki-chicken-thighs-Diana71-4x3-1-82d96f9b9b47490b9469fcc828b9979c.jpg
Teriyaki Roasted Chicken,https://www.allrecipes.com/recipe/8819/teriyaki-chicken/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'whole chicken, cut in half'}, {'quantity': '¾', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated fresh ginger'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}","Pat chicken halves dry with paper towels. Place chicken cut-side down in a 9x13-inch baking dish.. Combine sugar, soy sauce, grated ginger, and garlic in a medium mixing bowl; mix well and pour mixture over chicken. Cover and refrigerate for at least 3 hours.. Preheat the oven to 350 degrees F (175 degrees C).. Roast chicken in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C). Let cool slightly, then cut into smaller pieces to serve.","calories: 604, fat: 34g, carbs: 28g, protein: 44g, servings: 6",https://www.allrecipes.com/thmb/cKOxTfXay86e0Une3TDtKRqrw1E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1081203-172afbd9165847ab9de92d3743b4d557.jpg
Oven Baked Chicken Teriyaki,https://www.allrecipes.com/recipe/228872/oven-baked-chicken-teriyaki/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mirin (Japanese sweet wine)'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'grated fresh ginger'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}","Preheat oven to 400 degrees F (200 degrees C).. Whisk cornstarch and water together in a small bowl until dissolved; set aside. Combine soy sauce, sugar, mirin, ginger, garlic, and red pepper flakes together in a saucepan over medium heat until the mixture starts to simmer. Slowly whisk in cornstarch mixture. Bring to a boil; reduce heat to medium-low, and simmer until thickened, stirring often, about 10 minutes.. Pat chicken dry with paper towels; arrange in a baking dish. Pour sauce over chicken breasts, coating all sides.. Bake chicken breasts in the preheated oven until no longer pink in the center and the juices run clear, 25 to 30 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (75 degrees C).","calories: 315, fat: 3g, carbs: 40g, protein: 28g, servings: 4",https://cdn.jwplayer.com/v2/media/MisDxEvi/poster.jpg?width=720
