name,link,ingredients,steps,nutrition,image_url
Chilaquiles with Homemade Tomato Sauce,https://www.allrecipes.com/chilaquiles-with-homemade-tomato-sauce-recipe-8403873,"{'quantity': '16', 'unit': None, 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'oil, or as needed for frying'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, plus more to taste'}, {'quantity': None, 'unit': '2 cups', 'name': 'water'}, {'quantity': '2', 'unit': None, 'name': 'chiles, stems and seeds removed'}, {'quantity': '1', 'unit': None, 'name': 'white onion, quartered'}, {'quantity': '3', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '4', 'unit': None, 'name': 'tomatoes, quartered'}, {'quantity': '2', 'unit': None, 'name': 'jalapenos, halved'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1 (14.5', 'unit': 'ounce)', 'name': 'fire-roasted diced tomatoes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'queso fresco'}, {'quantity': '1', 'unit': None, 'name': 'avocado, sliced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'crema'}, {'quantity': None, 'unit': None, 'name': 'sliced radish, hot sauce, chopped cilantro'}",,"calories: 816, fat: 55g, carbs: 68g, protein: 20g, servings: 4",https://cdn.jwplayer.com/v2/media/3XPt3YRq/thumbnails/PtMNLcW1.jpg
Chilaquiles with Spicy Salsa,https://www.allrecipes.com/recipe/257968/chilaquiles/,"{'quantity': '2', 'unit': '', 'name': 'tomatoes, chopped'}, {'quantity': '6', 'unit': '', 'name': 'dried chile de arbol peppers'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chicken bouillon granules'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, or to taste'}, {'quantity': '2', 'unit': '(6-inch)', 'name': 'corn tortillas, cut into strips'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}","Combine tomatoes, chile de arbol peppers, onion, garlic, chicken bouillon, and salt in a saucepan; add enough water to cover. Bring to a boil; reduce heat and cook, stirring occasionally, until tomatoes and peppers soften, 5 to 10 minutes.. Transfer chile peppers to a blender using a slotted spoon; blend until smooth. Pour in tomato mixture; blend until smooth.. Heat oil in a large skillet over medium heat. Cook and stir tortilla strips in the hot oil until crispy, 3 to 5 minutes. Crack in eggs; stir until scrambled and set, about 5 minutes. Strain blended sauce over tortillas and eggs; mix well.","calories: 329, fat: 12g, carbs: 36g, protein: 13g, servings: 4",https://www.allrecipes.com/thmb/nUvm3U78ecrg4SsQ8UQL3cu2HVc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4571726-4079ae95deb742b7a36f8854b91e41ba.jpg
Chilaquiles Rojos,https://www.allrecipes.com/recipe/279677/annes-chicken-chilaquiles-rojas/,"{'quantity': '1', 'unit': '(28 ounce) can', 'name': 'whole peeled tomatoes, drained'}, {'quantity': '2', 'unit': '', 'name': 'chipotle chiles in adobo sauce, or more to taste'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'white onion, thinly sliced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'dash', 'name': 'roasted ground cumin'}, {'quantity': '1', 'unit': 'dash', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'tortilla chips'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Mexican cheese blend'}, {'quantity': '5', 'unit': 'ounces', 'name': 'crumbled cotija cheese'}, {'quantity': '1', 'unit': '', 'name': 'whole cooked chicken, deboned and shredded'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'chopped green onions, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped cilantro, divided'}, {'quantity': '1', 'unit': '(8 ounce) carton', 'name': 'sour cream, divided'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 10x15-inch casserole dish.. Combine drained tomatoes and chipotle chiles in adobo in a blender; puree until smooth.. Heat oil in a large skillet over medium heat. Add onion; cook and stir until onion has softened, about 5 to 7 minutes. Stir in garlic until fragrant; add pureed tomato-chile sauce and simmer until mixture starts to thicken. Pour in chicken broth and stir in cumin, oregano, and salt; let simmer until mixture thickens. Remove from heat.. Mix tortilla chips and tomato-chile sauce, folding carefully to cover chips completely. You may have to do this in 2 batches.. Cover the bottom of the casserole dish with half of the tortilla chip mixture. Sprinkle a layer of Mexican cheese and cotija cheese on top. Add shredded chicken to cover all of the cheese. Season chicken with salt and pepper, then sprinkle with 1/2 of the green onions and 1/2 of the cilantro. Spoon 3/4 of the sour cream evenly over top. Spread with the remaining tortilla mixture then top with remaining Mexican and cotija cheeses. Cover with aluminum foil.. Bake in the preheated oven until mixture is bubbly and cheese is melted, 35 to 45 minutes. Remove from the oven and let sit for 5 minutes. Serve with sour cream, green onions, and cilantro.","calories: 601, fat: 38g, carbs: 38g, protein: 30g, servings: 10",https://www.allrecipes.com/thmb/GenhnxW7T5u7YmT9jJqJKqDn1gI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1098038-546ea7c963004bbaa31209e5fe4d0d09.jpg
Chicken Chilaquiles Verdes,https://www.allrecipes.com/recipe/8376893/chicken-chilaquiles-verdes/,"{'quantity': '1', 'unit': 'large', 'name': 'skinless, boneless chicken breast'}, {'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'salsa verde, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow onion, chopped'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '8', 'unit': '(6-inch)', 'name': 'soft corn tortillas, cut into triangles'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled cotija cheese, or to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Combine chicken breast, 1/2 of the salsa verde, chicken broth, onion, chili powder, cumin, cayenne, salt, and pepper in a slow cooker. Cook until chicken is cooked through on Low for 6 hours or High for 3 hours.. Remove chicken from sauce and shred in a bowl with 2 forks. Return to the slow cooker and mix to combine with sauce.. Place a large skillet over medium heat; add olive oil and heat until it starts to shimmer. Add tortilla triangles to the hot oil and cook, flipping every minute, until golden, about 8 to 10 minutes.. Add shredded chicken, slow cooker sauce, and remaining salsa verde to tortillas. Mix and heat until everything is warmed through.. Meanwhile, stir sour cream and enough milk together so it can be drizzled.. Remove tortilla mixture from the heat. Sprinkle cotija cheese on top and garnish with cilantro; drizzle with thinned sour cream mixture.","calories: 374, fat: 17g, carbs: 36g, protein: 19g, servings: 4",https://www.allrecipes.com/thmb/A-j4e-HATBPWVMiIGMJ_VaMhh3c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/164816831724-03-2022-17-58-05-2000-ff9854743cc841aaa58c0d51b0ea5019.jpg
Chilaquiles,https://www.allrecipes.com/recipe/45729/chilaquiles-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'oil for frying'}, {'quantity': '30', 'unit': '(6 inch)', 'name': 'corn tortillas, torn into strips'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': '(7.75 ounce) can', 'name': 'Mexican-style hot tomato sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}","Heat oil in a large, heavy skillet to 350 degrees F (175 degrees C). Fry tortillas and onion in hot oil until crisp and golden brown, stirring frequently. Remove to a paper towel-lined plate to drain. Drain the skillet, leaving only a thin residue of oil.. Place the skillet over medium heat. Return fried tortillas and onion to the skillet and stir in beaten eggs; season with salt. Cook and stir until eggs are firm.. Stir in tomato sauce and water. Reduce heat and simmer until thickened, about 10 minutes. Sprinkle with cheese and continue cooking until cheese is melted.","calories: 279, fat: 11g, carbs: 36g, protein: 10g, servings: 10",https://www.allrecipes.com/thmb/-EtcMOu7ZOa_AhpbKmzu3JaqPoY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4530762-de6b63b9ae994b88a1fffb43ef1ef400.jpg
Chilaquiles Scramble,https://www.allrecipes.com/recipe/264503/chilaquiles-scramble/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, divided, or to taste'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, finely chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'tomato, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'salsa verde (green salsa)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'cups', 'name': 'tortilla chips'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'crumbled Cotija cheese'}, {'quantity': '1', 'unit': 'medium', 'name': 'avocado, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream, or to taste'}","Heat 1 tablespoon olive oil in a skillet over medium-high heat. Add onion and jalapeño; cook and stir until onion is translucent, about 5 minutes. Add tomato and garlic; cook and stir for 1 minute. Add salsa and scrape any browned bits off the bottom of the pan. Season with cumin, salt, and pepper. Reduce the heat and simmer for 2 minutes. Add tortilla chips to the pan and stir until coated with sauce.. Heat remaining 1 tablespoon oil in a separate skillet over medium-high heat. Whisk eggs together in a bowl, then pour into the hot pan and cook until starting to set, about 2 minutes. Scrape cooked egg from the edges and fold into the center. Cook until eggs are halfway cooked but still runny, 2 to 3 minutes more.. Fold eggs into tortilla chip mixture. Keep stirring to finish scrambling the eggs, about 2 minutes. Add Cotija cheese and turn off the heat.. Divide egg mixture among four plates. Garnish with avocado, cilantro, and sour cream.","calories: 428, fat: 32g, carbs: 24g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/lLG-vGuAecmWK-YEEg0614z1Adc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5438840-6beefe3f3af04580b94d6dbb9291a4a4.jpg
Quick Black Bean Chilaquiles,https://www.allrecipes.com/recipe/279777/quick-black-bean-chilaquiles/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '4', 'unit': 'cups', 'name': 'tortilla chips'}, {'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'chipotle salsa'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': '', 'name': 'avocado, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'crumbled queso fresco'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced red onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}","Heat oil in a large skillet over medium-high heat until it shimmers. Add onion; cook until slightly softens, about 5 minutes. Add tortilla chips, then add eggs; stir until almost set, 3 to 4 minutes. Add salsa and black beans; stir to combine and heat through, about 5 minutes.. Top chilaquiles with avocado, queso fresco, red onion, and cilantro; serve immediately.","calories: 358, fat: 18g, carbs: 35g, protein: 17g, servings: 6",https://www.allrecipes.com/thmb/qO6bOMECEdpP90wczlWVh14Mf7A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7978520-468891b385ca485fadb8f269ca8c03ee.jpg
Super Easy Chilaquiles,https://www.allrecipes.com/recipe/271115/super-easy-chilaquiles/,"{'quantity': '5', 'unit': 'tablespoons', 'name': 'corn oil'}, {'quantity': '8', 'unit': '(8 inch)', 'name': 'corn tortillas, cut into triangles'}, {'quantity': '1', 'unit': 'cup', 'name': 'chipotle salsa'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded pepper Jack cheese'}","Heat oil in a large skillet over medium-high heat; fry tortilla triangles until just starting to turn golden brown and crisp, 3 to 5 minutes. Add salsa; reduce heat to medium-low. Carefully mix tortillas and salsa with a spatula; cook 5 minutes.. Beat eggs, salt, and black pepper together in a small bowl; add to tortilla mixture. Increase heat to medium-high; gently scramble eggs until just set. Top with pepper Jack cheese, cover skillet, and turn off heat. Let sit for 3 minutes until cheese is melted.","calories: 1074, fat: 74g, carbs: 65g, protein: 42g, servings: 2",https://www.allrecipes.com/thmb/fAP2QoB0CKfcxmTYfuI5BxWXIwo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1018304-f3e38e59c27e4ae89ca22daff456b574.jpg
Easy Chilaquiles,https://www.allrecipes.com/recipe/257967/easy-chilaquiles/,"{'quantity': '8', 'unit': '(6 inch)', 'name': 'corn tortillas, cut into 2-inch pieces'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '8', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'green taco sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}","Heat oil in a skillet over medium-high heat. Add tortilla pieces to oil and fry until crisp, about 5 minutes.. Pour beaten eggs over the tortilla pieces in the skillet. Season with salt and pepper. Cook, stirring occasionally, until eggs have set, about 4 minutes. Remove from heat. Top with taco sauce and Monterey Jack cheese.","calories: 505, fat: 36g, carbs: 26g, protein: 21g, servings: 4",https://www.allrecipes.com/thmb/lwlU4xicADWr6O_k1LXdBbjlTuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7683722-56e1241ce3ef480b83a77caab136382a.jpg
Chicken Chilaquiles Casserole,https://www.allrecipes.com/recipe/219865/chicken-chilaquiles-casserole/,"{'quantity': '10', 'unit': '(6 inch)', 'name': 'corn tortillas, each cut into 8 wedges'}, {'quantity': '', 'unit': '', 'name': 'Vegetable oil spray'}, {'quantity': '2', 'unit': '', 'name': 'poblano chiles, steamed, seeded, and chopped coarse'}, {'quantity': '2', 'unit': '', 'name': 'onions, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Melt® Organic Buttery Spread'}, {'quantity': '', 'unit': '', 'name': 'Salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced fresh cilantro'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced canned chipotle peppers in adobo sauce'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'whole peeled tomatoes'}, {'quantity': '¾', 'unit': 'cup', 'name': 'low-sodium chicken broth'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'boneless chicken breasts, trimmed'}, {'quantity': '', 'unit': '', 'name': 'Pepper'}, {'quantity': '3', 'unit': 'ounces', 'name': 'crumbled queso fresco or feta cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'low-fat sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lime juice'}, {'quantity': '1', 'unit': '', 'name': 'tomato, cored, seeded and chopped medium'}","Adjust the oven racks to the upper-middle and lower-middle positions and heat the oven to 350 degrees. Spread the tortilla wedges on 2 rimmed baking sheets. Lightly coat both sides of the tortilla with vegetable oil spray.. Bake the tortilla wedges until they are lightly browned and begin to crisp, 8 to 12 minutes. Flip the tortilla wedges and continue to bake until the chips are fully toasted, 8 to 12 minutes longer. Set the tortilla wedges aside and turn the oven to 500 degrees.. Combine the poblano chiles, 1 cup of the onions, Melt®, and 1/8 teaspoon salt in a 12-inch skillet. Cover and cook over medium-low heat until the vegetables are softened, 8 to 10 minutes. Uncover, increase the heat to medium-high, and continue to cook, stirring occasionally, until the vegetables are lightly browned, 4 to 6 minutes longer.. Stir in 2 tablespoons of the cilantro, garlic, and chipotles and cook until fragrant, about 30 seconds. Stir in the tomatoes with their juice and the broth. Pat the chicken breasts dry with paper towels and season with 1/8 teaspoon pepper. Nestle the chicken breasts into the sauce and bring to a simmer over medium-low heat, about 5 minutes. When the sauce simmers, flip the chicken, cover, and continue to cook until the chicken registers 160 to 165 degrees on an instant-read thermometer, 10 to 12 minutes longer.. Transfer the chicken to a plate. When cool enough to handle, shred the meat into bite-sized pieces. Process the sauce in a blender until completely smooth, about 1 minute. Return the sauce to the skillet, season with salt and pepper to taste, bring to a simmer over medium heat.. Stir in the tortillas and cook until they begin to soften, about 2 minutes. Stir in the shredded chicken, then transfer the mixture to an 8-inch square baking dish. Sprinkle with the cheese and bake on the lower-middle rack until hot throughout, 5 to 10 minutes.","calories: 474, fat: 11g, carbs: 52g, protein: 44g, servings: 4",https://www.allrecipes.com/thmb/ialLuypGjCzBPAPGzBGF0rfNwCY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/992077-8c580a19358b46c6833342756f66a42b.jpg
