name,link,ingredients,steps,nutrition,image_url
Authentic Mexican Chile Rellenos,https://www.allrecipes.com/recipe/219646/authentic-mexican-chili-rellenos/,"{'quantity': '6', 'unit': '', 'name': 'fresh Anaheim chile peppers'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'queso asadero (white Mexican cheese), cut into 3/4-inch thick strips'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, separated'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable shortening for frying'}","Gather all ingredients.. Preheat the oven broiler; set the oven rack about 6 inches below the heat source. Line a baking sheet with aluminum foil.. Place peppers onto the prepared baking sheet and broil until skins are blackened and blistered, about 10 minutes. Use tongs to rotate peppers often to char all sides. Place blackened peppers into a bowl and tightly seal with plastic wrap. Allow peppers to steam as they cool, about 15 minutes.. Remove skin from peppers, then cut a slit down the long side of each one to remove seeds and core.. Rinse peppers inside and our and pat dry with paper towels. Stuff peppers with strips of cheese.. Whisk egg yolks and baking powder in a bowl until combined.. Beat egg whites with an electric mixer in a separate bowl until stiff peaks form.. Gently fold beaten whites into the yolk mixture. Place flour into a separate shallow bowl.. Melt vegetable shortening in a skillet over medium heat. Roll each stuffed pepper in flour, tap off excess flour, and dip into the egg mixture to coat both sides. Gently lay coated peppers into the hot shortening. Fry peppers until lightly golden brown and cheese has melted, about 5 minutes per side.. Serve and enjoy!","calories: 263, fat: 16g, carbs: 17g, protein: 13g, servings: 6",https://cdn.jwplayer.com/v2/media/pEULtHHx/poster.jpg?width=720
Chili Relleno Casserole,https://www.allrecipes.com/recipe/47247/chili-rellenos-casserole/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': '(7 ounce) cans', 'name': 'whole green chile peppers, drained'}, {'quantity': '8', 'unit': 'ounces', 'name': 'Monterey Jack cheese, shredded'}, {'quantity': '8', 'unit': 'ounces', 'name': 'Cheddar cheese, shredded'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': '(5 ounce) can', 'name': 'evaporated milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk (Optional)'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce or enchilada sauce'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with cooking spray.. Evenly layer 1 can chile peppers in the bottom of the prepared baking dish.. Sprinkle with 1/2 of the Jack and Cheddar cheeses, then cover with remaining chile peppers.. Mix eggs, evaporated milk, and flour together in a bowl; add 1/2 cup milk to thin to desired consistency. Pour over chiles.. Bake in the preheated oven for 25 minutes. Pour tomato sauce evenly over the top; continue baking for 15 more minutes.. Turn broiler on. Sprinkle top with remaining Jack and Cheddar cheeses. Place under the broiler until cheese is melted, 2 to 3 minutes.. Serve and enjoy!","calories: 387, fat: 28g, carbs: 12g, protein: 24g, servings: 6",https://cdn.jwplayer.com/v2/media/XFfRpME9/thumbnails/gChQ5NkD.jpg
Chiles Rellenos,https://www.allrecipes.com/recipe/21148/chile-rellenos/,"{'quantity': '12', 'unit': '', 'name': 'Anaheim chile peppers, charred and peeled'}, {'quantity': '1', 'unit': 'pound', 'name': 'Cheddar cheese, cut into 12 strips'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'canola oil'}, {'quantity': None, 'unit': None, 'name': 'oil for frying'}","Remove seeds and membranes from chile peppers. Stuff each pepper with a strip of Cheddar.. Mix milk, 1 cup flour, egg, baking powder, baking soda, salt, and 1 teaspoon canola oil together in a small bowl until well combined. Place remaining 1/2 cup flour on a shallow plate.. Pour 1 inch oil into a heavy frying pan. Heat over medium-high heat.. Roll each pepper in flour, then dip in batter. Fry in batches until lightly browned on both sides.","calories: 741, fat: 42g, carbs: 52g, protein: 39g, servings: 4",https://cdn.jwplayer.com/v2/media/l03zrXj7/poster.jpg?width=720
Chiles Rellenos (Stuffed Peppers),https://www.allrecipes.com/recipe/31045/chiles-rellenos-stuffed-peppers/,"{'quantity': '4', 'unit': '', 'name': 'fresh poblano chile peppers'}, {'quantity': '½', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '2', 'unit': None, 'name': 'Roma (plum) tomatoes, chopped'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '3', 'unit': '', 'name': 'eggs, separated'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'corn oil'}","Gather all ingredients.. Roast whole peppers over an open flame on a gas stovetop burner, turning frequently, until skins are evenly black and blistered. Transfer peppers to a resealable plastic bag. Seal the bag and let peppers sweat for a while; this will allow the skins to peel off easily.. While the peppers are sweating, cook ground beef in a skillet over medium-high heat evenly browned and crumbly, 5 to 7 minutes. Add tomatoes, onion, and garlic; cook for a few more minutes. Season with salt and pepper.. Wear food-safe gloves if desired and remove peppers from the bag. Peel off and discard burnt skins. Run peppers under cool running water to rinse away any burnt pieces, then blot dry with a paper towel. Make a small vertical slit in the side of each pepper. Remove the seeds and veins through the slits.. Stuff each pepper halfway with beef mixture, then fill the rest of the way with shredded mozzarella. Close the slits and secure with toothpicks.. Beat egg whites in a large glass or metal bowl until thick and fluffy. Beat in egg yolks until blended in, about 1 minute. Place flour in a shallow bowl.. Heat 1/4 inch of oil in a large, heavy skillet over medium-high heat. Coat stuffed peppers with a light dusting of flour, then dip into eggs until fully covered. Carefully place peppers into hot oil and fry on both sides until golden. Drain on paper towels, then serve on a large platter.","calories: 808, fat: 71g, carbs: 20g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/Cn8_ARYqcyVF_IDwe3heKTWhp-4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/31045-chiles-rellenos-DDMFS-4x3-375-8aabefc7d47c4f05b0bbe66790f6ac21.jpg
Real Chiles Rellenos,https://www.allrecipes.com/recipe/214088/real-chiles-rellenos/,"{'quantity': '4', 'unit': 'large', 'name': 'poblano peppers'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour for dredging'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'Mexican-style stewed tomatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Mexican oregano, crushed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce (such as Cholula)'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '5', 'unit': None, 'name': 'egg whites, at room temperature'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'oil for frying, or as needed'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'sour cream for garnish'}","Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking sheet with aluminum foil and place poblano peppers on the foil.. Broil in the preheated oven until the skins are blackened and blistered over 80% of the surface, 8 to 10 minutes per side. Remove from the oven and turn the broiler off. Transfer peppers to a resealable plastic bag. Seal the bag and let peppers steam and cool for about 20 minutes. Remove cooled peppers from the bag; scrape off and discard blackened skin.. Cut a slit lengthwise into the side of each pepper, then remove the seeds and veins. To reduce spiciness, rinse out any remaining seeds with water, then pat dry with paper towels.. Line a baking sheet with parchment or waxed paper. Place 1/2 cup flour into a shallow bowl for dredging.. Mix mozzarella, Monterey Jack, and Cheddar together in a bowl until thoroughly blended. Divide into four equal portions, then lightly squeeze each portion in your hands to make a cone shape. Insert each cone through the slit into a pepper, then pin the openings closed with toothpicks.. Dredge stuffed peppers in flour, then dust off any excess. Place onto the prepared baking sheet and into the freezer for at least 30 minutes while you make the sauce. Keep remaining dredging flour available for Step 10.. To make the sauce, purée stewed tomatoes in a blender and set aside. Heat 1 tablespoon of vegetable oil in a saucepan over medium heat. Add onion and sauté until translucent, about 5 minutes. Add garlic and sauté for about 30 seconds. Pour in puréed tomatoes, chicken broth, vinegar, oregano, cumin, black pepper, hot pepper sauce, and cinnamon. Reduce the heat to medium-low and simmer, stirring often, until sauce is reduced by half and thickened, about 20 minutes.. While the sauce is simmering, preheat the oven to 200 degrees F (95 degrees C) and warm a platter in the oven.. To make the batter and finish the chiles rellenos, mix 1/3 cup flour with salt in a bowl. Beat egg whites in a separate bowl with an electric mixer until stiff peaks form. Lightly mix in egg yolk and flour mixture until a fluffy batter forms.. Remove peppers from the freezer and dredge in flour again. Shake off excess flour, then use a spoon to gently dip each pepper into egg batter until completely coated.. Heat frying oil in a heavy cast iron skillet over medium-high heat until shimmering. Working in batches, gently place coated peppers into hot oil and fry until batter is golden brown and cheese filling is hot, about 5 minutes per side. Transfer fried peppers to the warmed platter while you finish frying.. To serve, ladle a generous spoonful of sauce onto each plate, then place a pepper in the center with a dollop of sour cream over top. Serve hot.","calories: 424, fat: 23g, carbs: 34g, protein: 21g, servings: 4",https://cdn.jwplayer.com/v2/media/JMvN44Gf/poster.jpg?width=720
Easy Chili Relleno Casserole,https://www.allrecipes.com/recipe/217018/chili-relleno-casserole/,"{'quantity': '2', 'unit': '(7 ounce) cans', 'name': 'whole green chiles, drained'}, {'quantity': '1', 'unit': 'pound', 'name': 'shredded Cheddar cheese'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': '(5 ounce) cans', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'pound', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'green enchilada sauce'}","Preheat the oven to 400 degrees F (200 degrees C). Grease a 9x13-inch baking dish.. Split chiles open and spread half of the chiles into the bottom of the prepared baking dish. Layer with Cheddar cheese and top with remaining canned chiles. Whisk eggs, flour, and evaporated milk together in a bowl; pour mixture over chiles and cheese.. Bake in the preheated oven until set, about 30 minutes; remove casserole, and top with Monterey Jack cheese. Pour green enchilada sauce over the top; return to the oven and bake until cheese is melted, about 15 more minutes.","calories: 564, fat: 42g, carbs: 13g, protein: 35g, servings: 8",https://www.allrecipes.com/thmb/hAqBYCYHn8Fs7SQlrQV7Ld5yTeI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1521309-chili-relleno-casserole-ishtar2000-4x3-1-3d573d2794d640718c98d2336cc91bbc.jpg
Baked Beef Chiles Rellenos Casserole,https://www.allrecipes.com/recipe/260703/baked-beef-chiles-rellenos-casserole/,"{'quantity': '6', 'unit': 'large', 'name': 'poblano peppers, halved and seeded'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground dried chipotle pepper'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'diced tomatoes with green chile peppers'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded Mexican cheese blend, or to taste'}","Set the oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking sheet with aluminum foil. Place poblano peppers cut-side down onto the prepared baking sheet.. Cook under the preheated broiler until poblano pepper skins have blackened and blistered, 5 to 8 minutes. Place blackened peppers into a bowl and cover tightly with plastic wrap. Allow peppers to steam as they cool, about 10 minutes.. Heat a large skillet over medium-high heat. Add beef, chili powder, garlic, cumin, oregano, cayenne pepper, paprika, chipotle pepper, salt, and black pepper. Cook and stir until beef is no longer pink, about 4 minutes. Add onion; cook until slightly softened, about 2 minutes. Add tomatoes with green chiles; cook until onions are translucent, about 5 minutes more. Let beef mixture cool.. Preheat the oven to 350 degrees F (175 degrees C). Spray a casserole dish with cooking spray.. Run water over the poblano peppers to remove skins and discard them; drain peppers on paper towels. Place a layer of peppers on the bottom of the prepared dish; place 1/3 of the beef mixture on top. Cover with 1 cup shredded Mexican cheese blend. Repeat layers twice more in the same order.. Bake, uncovered, in the preheated oven until golden brown on top, about 35 minutes.","calories: 325, fat: 23g, carbs: 9g, protein: 22g, servings: 10",https://www.allrecipes.com/thmb/CrlL8oIYn8K9nB9Dz_u-8gmk66E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Baked-Beef-Chiles-Rellenos-Casserole-fec2362f9d9e423e9e7aac9ba9d4aa6a.jpg
Chile Relleno Casserole,https://www.allrecipes.com/recipe/18795/chile-relleno-casserole/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '(4 ounce) cans', 'name': 'whole green chile peppers, drained'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine ground beef and onions in a large skillet over medium-high heat; cook and stir until browned, about 5 to 7 minutes; drain excess fat.. Arrange 1 can of chile peppers on the bottom of a 7x11-inch baking dish. Sprinkle with half of the cheese and top with meat mixture. Sprinkle meat mixture with remaining cheese, followed by next can of chile peppers.. Combine eggs, flour, and milk in a medium bowl, whisking until smooth; pour into baking dish over chile peppers. Season with salt and pepper to taste.. Bake in the preheated oven for 45 to 50 minutes. Let cool briefly before serving.","calories: 511, fat: 36g, carbs: 13g, protein: 33g, servings: 5",https://www.allrecipes.com/thmb/F-vxYMLVgj09wEsc0LVKUZ1l8PA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1724515723786IMG_8332_Chile-Relleno-Casserole-4x3-bb4e1e5ebcfe43b1be6fb0b9b6c6668e.jpg
Tostones Rellenos (Stuffed Plantain Cups),https://www.allrecipes.com/recipe/217982/tostones-rellenos-stuffed-plantain-cups/,"{'quantity': '3', 'unit': 'cups', 'name': 'canola oil for frying'}, {'quantity': '2', 'unit': '', 'name': 'green plantains, peeled and sliced crosswise into fourths'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'sofrito'}, {'quantity': '½', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(1.41 ounce) package', 'name': 'sazon seasoning'}, {'quantity': '5', 'unit': '', 'name': 'pitted green olives, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C).. Fry plantains in hot oil until golden but not brown, 5 to 7 minutes. Smash each piece of plantain in a tostonera or with the bottom of a small dish to make a small disk, then shape each disk into a small cup. Fry cups in hot oil until golden and crisp, 5 to 7 minutes more. Drain on a paper towel-lined plate, season with garlic salt, and set aside.. Preheat the oven to 350 degrees F (175 degrees C).. Make filling: Heat a large skillet over medium-high heat. Add ground beef to the skillet; season with salt. Cook and stir until beef is crumbly and browned, about 10 minutes. Drain and discard any excess grease. Stir sofrito, tomato sauce, water, sazón seasoning, and olives into beef. Reduce heat to medium-low and simmer until liquid is reduced, about 15 minutes.. Fill plantain cups with beef mixture, top with Cheddar cheese, and arrange on a baking sheet.. Bake in the preheated oven until cheese is melted, 5 to 8 minutes.","calories: 318, fat: 22g, carbs: 16g, protein: 16g, servings: 8",https://cdn.jwplayer.com/v2/media/VidcXdA2/poster.jpg?width=720
Chile Relleno Pancakes,https://www.allrecipes.com/recipe/283345/chile-relleno-pancakes/,"{'quantity': '4', 'unit': 'medium', 'name': 'poblano chile peppers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onions'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'marinara sauce'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'chicken broth, or more as needed'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'chili powder, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '6', 'unit': 'ounces', 'name': 'Monterey Jack cheese, cubed'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}",,"calories: 466, fat: 28g, carbs: 31g, protein: 23g, servings: 4",https://cdn.jwplayer.com/v2/media/6DGzsy8U/poster.jpg?width=720
