name,link,ingredients,steps,nutrition,image_url
15 Top-Rated Chili Recipes That Are Anything But Basic,https://www.allrecipes.com/gallery/top-rated-chili-recipes/,,,,https://www.allrecipes.com/thmb/G0rXksBIYUtROJYlV1lG8MxwTYs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/instant-pot-yardbird-chili-with-white-beans-2000-e8bf959f2a2749398687d4037324d906.jpg
9 Crazy-Good Chilis You've Never Heard Of,https://www.allrecipes.com/gallery/unique-chili-recipes/,,,,https://www.allrecipes.com/thmb/rObgSW8grT2O1VsD6iSG8JP3S_c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/habanero-hellfire-chili-28e8a45172d840a4afc4166ca73b768f.jpeg
6 Secret Ingredients to Help You Make the Best Chili,https://www.allrecipes.com/article/6-secret-ingredients-for-the-best-chili/,,,,https://www.allrecipes.com/thmb/roTVM-u1xzanywtlNttE4H9i5r8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Secret-Ingredients-for-the-Best-Chili_3x2-bd55d8cf704e4c9389a3bc1f74f00efd.jpg
"I've Made This Chili Recipe for a Decade, and Here's Why I Recommend It to Everyone",https://www.allrecipes.com/article/chili-you-will-eat-all-fall/,,,,https://cdn.jwplayer.com/v2/media/6LMEFI9M/poster.jpg?width=720
Crockpot Buffalo Chicken Chili,https://www.allrecipes.com/crockpot-buffalo-chicken-chili-recipe-8710670,"{'quantity': '2', 'unit': '(15-ounce) cans', 'name': 'cans'}, {'quantity': '2', 'unit': '(14.5-ounce)', 'name': 'fire-roasted diced tomatoes with garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, chopped'}, {'quantity': '1/4', 'unit': 'cup B', 'name': 'B'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'boneless, skinless chicken thighs'}, {'quantity': '1', 'unit': 'cup', 'name': 'plain whole-milk strained (Greek-style) yogurt'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'ranch dressing mix'}, {'quantity': '6', 'unit': 'ounces', 'name': 'cream cheese, cubed and softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'scallions'}, {'quantity': None, 'unit': None, 'name': 'tortilla chips for serving (optional)'}","Gather all ingredients.. In a 6-quart slow cooker, stir together beans, diced tomatoes with garlic, onion, bell pepper, hot sauce, chili powder, and garlic powder; nestle chicken in bean mixture.. Cover and cook until chicken is tender, about 3 hours on HIGH and 5 hours on LOW.. Meanwhile, stir together yogurt and ranch dressing mix in a small bowl until smooth. Cover and refrigerate until ready to serve.. Remove chicken from slow cooker and shred it using two forks.. Return shredded chicken to slow cooker. Stir in cream cheese until smooth and well combined. Cover and cook on HIGH until warmed through, about 30 minutes.. Serve with a dollop of yogurt mixture. Garnish with scallions and serve with tortilla chips, if desired.","calories: 427, fat: 15g, carbs: 39g, protein: 37g, servings: 8",https://www.allrecipes.com/thmb/ZP8FJQYfTJU66FT5ktJuiUPGpWc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8710670-Crockpot-Buffalo-Chicken-Chili-ddmfs-0225-4x3-beauty-eb83e391924b476ba46c4b8df5b59749.jpg
Red Lentil Chili,https://www.allrecipes.com/red-lentil-chili-recipe-8647042,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'grapeseed oil'}, {'quantity': '2', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '1', 'unit': None, 'name': 'zucchini, cut into bite-sized pieces'}, {'quantity': '1', 'unit': None, 'name': 'onion, chopped'}, {'quantity': '1', 'unit': None, 'name': 'poblano pepper, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chili powder, divided'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cumin, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smoked paprika'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': None, 'name': 'fresh jalapeño pepper, seeded and diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'diced tomatoes with juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, rinsed and drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'red lentils, rinsed and drained'}","Heat oil over medium heat in a Dutch oven. Add carrots, zucchini, onion, poblano pepper, 1 tablespoon chili powder, 1 tablespoon cumin, and smoked paprika. Cook until onion is soft and translucent, 3 to 4 minutes.. Remove zucchini from Dutch oven and set aside. Add garlic and jalapeño pepper to the vegetable mixture and stir to combine. Add tomato paste, 1 tablespoon chili powder, and 1 tablespoon cumin; stir for 2 to 3 minutes. Add diced tomatoes and vegetable broth, and bring to a boil. Once liquid boils, stir in kidney beans, black beans, and red lentils.. Reduce heat to medium-low, cover, leaving lid ajar, and simmer for 15 minutes. Season with remaining chili powder and cumin to taste.. Return zucchini to the pot and reduce heat to low. Cover and allow flavors to blend for about 20 minutes. Taste and adjust seasoning if needed.","calories: 298, fat: 7g, carbs: 47g, protein: 16g, servings: 6",https://www.allrecipes.com/thmb/SCFz5vP1xggRvIPdgFtliTKOJes=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8647042RedlentilchiliSheliaJohnson4x3-bc4917acfd994ca7b593856da10ecefb.jpg
Frito Pie,https://www.allrecipes.com/frito-pie-recipe-7642500,"{'quantity': '1/2', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chili beans'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion, or as needed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'jalapeno, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'sharp Cheddar cheese, or as needed'}, {'quantity': '1', 'unit': '(9.25', 'name': 'corn chips,'}","Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease. Stir in water, tomato paste, chili powder, cumin, onion powder, and garlic powder. Stir in beans; cook until heated through, about 3 minutes.. Divide corn chips into 4 bowls, top with the chili mix, then sprinkle with diced onions, jalapeño slices, and Cheddar cheese. Serve immediately.","calories: 762, fat: 51g, carbs: 44g, protein: 35g, servings: 4",https://www.allrecipes.com/thmb/eSCJFlg5GeJVn7OKbToKzXswgrg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7642500_Frito-Pie_Chef-Mo_4x3-b11dec2c45714889bab12ebf38dcb127.jpg
Lazy Hazy Beef Chili,https://www.allrecipes.com/lazy-hazy-beef-chili-recipe-7562950,"{'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder, or to taste'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'chipotle'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, plus more to taste'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '12', 'unit': 'ounces', 'name': 'beer'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': '(14.5 ounce)', 'name': 'tomatoes with green chilies'}, {'quantity': '2 (16 ounce jars) extra chunky', 'unit': None, 'name': 'salsa'}, {'quantity': '2', 'unit': '15 ounce) cans', 'name': 'pinto beans, drained'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped cilantro'}",,"calories: 622, fat: 33g, carbs: 31g, protein: 46g, servings: 8",https://cdn.jwplayer.com/v2/media/XjsMzwlP/poster.jpg?width=720
Easy 5-Ingredient Chili,https://www.allrecipes.com/easy-5-ingredient-chili-recipe-7508143,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '15', 'unit': 'ounces', 'name': 'tomato sauce'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'chili beans, not drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder, or to taste'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Heat a large skillet over medium-high heat. Cook and stir ground beef  in the hot skillet until browned and crumbly, 5 to 7 minutes.. Stir in kidney beans, chili beans, and tomato sauce. Bring to a boil and stir in chili powder. Reduce heat to a simmer, and cook, stirring occasionally, until thickened, about 15 minutes. Season to taste with salt and pepper.","calories: 368, fat: 12g, carbs: 35g, protein: 33g, servings: 6",https://www.allrecipes.com/thmb/flamsLLkyG4SFPLLpAS0XKj2I3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/easy-5-ingredient-chili-recipe-7508143Paula4x3-a36649ee9ec04d44a2591d1467d77e50.jpg
Texas Chili,https://www.allrecipes.com/texas-chili-recipe-7482913,"{'quantity': '2', 'unit': 'ounces', 'name': 'dried chile peppers'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon finely chopped', 'name': 'chipotle pepper in adobo sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'canola oil'}, {'quantity': '4', 'unit': 'lbs', 'name': 'beef chuck roast, trimmed of excess fat, cut into 3/4-inch cubes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/8', 'unit': None, 'name': 'ground cinnamon'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'masa harina'}, {'quantity': '4', 'unit': 'cups', 'name': 'beef stock'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dark brown sugar'}, {'quantity': None, 'unit': None, 'name': 'sour cream for serving, to taste'}, {'quantity': '1', 'unit': None, 'name': 'lime, cut into wedges for serving'}","Gather all ingredients.. Place peppers in a large skillet and heat over medium-low heat; cook, turning once, until lightly toasted and fragrant, 2 to 3 minutes per side. Transfer chiles to a bowl and cover with hot water; let stand for 30 minutes.. Drain chiles, reserving about 1/2 cup of the soaking water. Use a paring knife to slice open each pepper, and remove and discard stems and seeds by running under a gentle stream of tap water.. Combine chiles, chipotle pepper, and reserved 1/2 cup water in a blender; blend until a smooth paste forms, 15 to 30 seconds. Set aside.. Heat oil in a Dutch oven over medium-high heat. Toss beef cubes in a large bowl with salt and pepper until evenly coated. Add half of the beef to the Dutch oven and cook, stirring occasionally to brown most sides, about 3 minutes per side. Transfer to a large plate. Repeat with remaining beef.. Add onions and garlic to drippings in Dutch oven and cook, stirring constantly, until soft and translucent, 3 to 4 minutes. Add cumin and cinnamon, and cook, stirring constantly, until darkened and fragrant, about 1 minute.. Add blended chili paste and cook, stirring constantly, for 1 minute.. Add 1/4 cup of the water and masa harina, whisking until incorporated to avoid lumps. Add stock and remaining 1 1/4 cups water and stir to combine.. Add bay leaves and reserved beef and bring to a simmer over medium-high. Reduce heat to maintain a very low simmer and cook, partially covered, stirring occasionally, until liquid is thickened, about 2 hours. Stir in brown sugar and vinegar.. Remove from heat and let stand for 20 minutes before serving warm with sour cream and lime wedges.","calories: 823, fat: 50g, carbs: 17g, protein: 79g, servings: 6",https://cdn.jwplayer.com/v2/media/8y32WbAO/thumbnails/88zJp7E2.jpg
