name,link,ingredients,steps,nutrition,image_url
Essential Pantry Ingredients in the Chinese Kitchen,https://www.allrecipes.com/article/essential-ingredients-in-the-chinese-pantry/,,,,https://cdn.jwplayer.com/v2/media/hDLUu0AJ/poster.jpg?width=720
14 Chinese Shrimp Recipes to Give Dinner Serious Wow Factor,https://www.allrecipes.com/gallery/chinese-shrimp-recipes/,,,,https://www.allrecipes.com/thmb/mZTv3Ol0412MaD7DNo3OKo3UpI4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Shrimp-Lo-Mein-with-Broccoli-2000-e81359f531874ee1a619cd14a6252930.jpg
Chef John's Chinese Scallion Pancakes,https://www.allrecipes.com/recipe/263821/chef-johns-chinese-scallion-pancakes/,"{'quantity': '2', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'very hot water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, mostly green parts, thinly sliced'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'vegetable oil, or as needed'}","Combine bread flour and salt in a large bowl. Make a well in the middle and pour in hot water. Mix together with a wooden spoon to form a shaggy dough.. Transfer dough onto a lightly floured work surface. Knead dough until sticky but relatively smooth and elastic, dusting with a minimal amount of flour if needed. Wrap in plastic wrap and let dough rest for 2 hours.. Mix vegetable oil, sesame oil, and flour together in a skillet over medium heat until starting to bubble, about 3 minutes. Cook for 1 minute more. Remove from heat and cool to room temperature.. Unwrap dough and cut in half. Roll out into a tube and press down with your fingers. Use a rolling pin to flatten dough into a rectangular shape about 1/8-inch thick, flipping over and dusting lightly with flour halfway through.. Paint surface of the dough with the oil mixture until just covered, leaving 1 inch of space on the edges. Sprinkle scallions on top. Roll dough up tightly to seal in the scallions, starting with the long side. Pull the opposite edge over the top once you have reached it.. Coil 1 end of the dough inward toward the middle; wrap the opposite end around the coil to finish, tucking the tip under the bottom. Dust the coil with flour and roll dough out into a pancake about 1/4-inch thick. Repeat with remaining dough, oil, and green onions to make the second pancake.. Heat vegetable oil in a cast iron skillet over high heat. Add 1 pancake; lower heat to medium. Cook until crispy and browned, about 4 minutes per side. Repeat with the other pancake. Cut into wedges.","calories: 200, fat: 9g, carbs: 25g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/iUlGcpoQ/poster.jpg?width=720
What Is Hoisin Sauce and How Do You Make It At Home?,https://www.allrecipes.com/article/what-is-hoisin-sauce/,,,,https://www.allrecipes.com/thmb/g4gV2MhNM4IOvl1VC4tmnd_9rxc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Screen-Shot-2021-09-20-at-1.13.32-PM-7747dfabc845473dab6d6ec1d44e6c14.png
Thanksgiving Turkey Congee,https://www.allrecipes.com/recipe/244323/thanksgiving-turkey-congee/,"{'quantity': '¼', 'unit': 'cup', 'name': 'dried scallops'}, {'quantity': '3', 'unit': '', 'name': 'dried black mushrooms'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked short-grain white rice'}, {'quantity': '½', 'unit': '', 'name': 'leftover turkey carcass, broken into pieces'}, {'quantity': '9', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced fresh ginger'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raw peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried red onion'}, {'quantity': '8', 'unit': 'dashes', 'name': 'sesame oil'}, {'quantity': '', 'unit': '', 'name': 'ground white pepper to taste'}","Place dried scallops and dried mushrooms in a bowl; pour in hot water to cover and let stand to rehydrate, about 10 minutes. Rinse and drain rice; set aside.. Separate any meat from bones of turkey carcass; set aside. Place bones and 9 cups hot water in a large stockpot and bring to a boil. Drain mushrooms and scallops; squeeze out any excess water. Break scallops into smaller pieces; slice mushrooms thinly.. Stir scallops, mushrooms, rice, and turkey meat into the stockpot; reduce heat to allow congee to simmer, partially covered, stirring occasionally for a smooth congee, until rice is tender and congee is thick, about 2 hours. If you like a thinner congee, stir in hot water a few tablespoons at a time.. Ladle congee into individual bowls; top each bowl with cilantro, green onions, ginger, peanuts, red onion, sesame oil, and white pepper as desired.","calories: 201, fat: 4g, carbs: 35g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/d3FzBX1O/poster.jpg?width=720
Chilled Lo Mein Noodles with Szechuan Peppercorns,https://www.allrecipes.com/chilled-lo-mein-noodles-with-szechuan-peppercorns-recipe-8741115,"{'quantity': '6', 'unit': 'ounces', 'name': 'lo mein noodles (such as Simply Asia)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'peanut oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Chinese black rice vinegar or rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sugar'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper, minced (seeded if desired)'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'peppercorns, crushed'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dry-roasted peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped green onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cilantro leaves'}","Prepare noodles according to package directions. Drain; rinse with cold water until cool. Drain well. Use kitchen shears to cut noodles into smaller pieces.. For vinaigrette, whisk together oil, vinegar, soy sauce, sugar, jalapeño, garlic, and peppercorns in a small bowl until sugar dissolves.. In a serving bowl, toss noodles with vinaigrette until well coated. Top with peanuts, green onions, and cilantro.","calories: 145, fat: 10g, carbs: 10g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/sO8Le-2R2v8M5kyFxDzub02kLNk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741115-Chilled-Lo-Mein-Noodles-with-Szechuan-Peppercorns-Allrecipes-Magazine-4x3-517796abfade48d3bfd956da4bbeb5f9.jpg
Sheet Pan General Tso's Chicken and Broccoli,https://www.allrecipes.com/sheet-pan-general-tso-s-chicken-and-broccoli-recipe-8715504,"{'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'sambal oelek'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hoisin sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'toasted sesame oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '4', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'frozen fully-cooked chicken nuggets'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked white rice, or as needed, for serving'}, {'quantity': None, 'unit': None, 'name': 'green onions (optional)'}, {'quantity': None, 'unit': None, 'name': 'sesame seeds (optional)'}","Preheat the oven to 425 degrees F (220 degrees C).. Whisk sambal oelek, rice vinegar, hoisin sauce, soy sauce, sesame oil, brown sugar, and garlic together in a small saucepan. Heat over low heat until warm, about 5 minutes; set aside.. Place broccoli florets in a microwave safe bowl. Microwave on High for 2 minutes. Add olive oil, salt, and pepper; toss to coat.. Place nuggets on one half of a large baking sheet. Spread broccoli on the other half of the baking sheet.. Bake in the preheated oven for 20 minutes.. Place nuggets in a large bowl. Drizzle sauce over the top, and toss until evenly coated. Serve chicken over rice with roasted broccoli. Garnish with green onions and sesame seeds.","calories: 553, fat: 27g, carbs: 54g, protein: 24g, servings: 4",https://www.allrecipes.com/thmb/4Auq-zF9xMvX8lrFYcJ8gglK_x0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8715504_Sheet-Pan-General-Tsos-Chicken-and-Broccoli_Nicole-Russell_4x3-e7136208213f4be2b59f3bb82797cf3e.jpg
4-Ingredient Orange Chicken,https://www.allrecipes.com/4-ingredient-orange-chicken-recipe-8713472,"{'quantity': '1', 'unit': 'cup', 'name': 'orange marmalade'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Kansas City-style BBQ sauce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'low sodium soy sauce'}, {'quantity': '1', 'unit': '(1 pound) bag', 'name': 'frozen fully cooked chicken nuggets'}, {'quantity': None, 'unit': None, 'name': 'green onions'}, {'quantity': None, 'unit': None, 'name': 'sesame seeds'}","Preheat the oven to 400 degrees F (200 degrees C). Place frozen nuggets in a single layer on a baking sheet.. Bake in the preheated oven until hot and crispy, 11 to 13 minutes, or according to package directions.. Meanwhile, whisk marmalade, BBQ sauce, and soy sauce together in a small saucepan and heat over low heat until hot, about 5 minutes.. Place nuggets in a large bowl. Drizzle sauce over the top. Toss to coat.","calories: 615, fat: 23g, carbs: 85g, protein: 20g, servings: 4",https://www.allrecipes.com/thmb/2y73acEbDVsBqkXo5t8xU7MQxu4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4-ingredient-orange-chicken-recipe-8713472Christina4x3-d428f35780464083bacc79e7a37eae28.jpg
Copycat Din Tai Fung Cucumber Salad,https://www.allrecipes.com/copycat-din-tai-fung-cucumber-salad-recipe-8705202,"{'quantity': '1', 'unit': '(1 1/4 pound)', 'name': 'English cucumber'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'toasted sesame oil'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'chili oil'}","Place cucumbers in a large bowl. Sprinkle with salt and let stand for 30 minutes.. Rinse cucumbers with water to remove salt, and pat dry with paper towels.. In a separate bowl whisk soy sauce, vinegar, garlic, sugar, sesame oil, and chili oil until smooth.. Add cucumber slices to the oil mixture; stir to combine. Let stand for 10 minutes. Serve immediately.","calories: 43, fat: 2g, carbs: 5g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/g86OzZfDqzLBjG_b4sQnP3IcJL0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8705202_Copycat-Din-Tai-Fung-Cucumber-Salad_Nicole-Russell_4x3-1b7a82a4d5364465a6f8251cfabf35da.jpg
Baked Sweet And Sour Chicken,https://www.allrecipes.com/baked-sweet-and-sour-chicken-recipe-8654805,"{'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil, divided'}, {'quantity': '4', 'unit': '4 (6-ounce)', 'name': 'boneless skinless chicken thighs, cut into 1 inch cubes'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1 3/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'large', 'name': 'multicolored bell peppers'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pineapple juice'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '3', 'unit': 'cups', 'name': 'cooked white rice'}","Gather all ingredients. Preheat oven to 475 degrees F (245 degrees C) with racks in upper and lower third positions. Grease each of 2 baking sheets with 1 tablespoon of the oil along 1 of the short sides; set aside.. Sprinkle chicken evenly with pepper and 1 1/2 teaspoons of the salt, and place in a bowl. Add eggs, and stir to coat. Place flour in a shallow bowl or baking dish. Working in batches, dredge chicken in flour, and shake off excess. Divide chicken between the prepared baking sheets, spreading in an even layer along short edges.. Divide bell peppers among baking sheets, spreading evenly along other short edges. Drizzle bell peppers evenly with remaining 2 tablespoons oil, and toss gently to coat.. Bake in the preheated oven, rotating baking sheets halfway through, until chicken is browned in spots, about 15 minutes. Remove chicken and bell peppers from the oven; use a spatula to carefully flip chicken only . Return to the oven, and continue baking at 475 degrees F (245 degrees C) until chicken is crispy and a thermometer inserted into thickest portion of chicken registers 165 degrees F (73 degrees C), about 5 minutes.. While chicken is baking, whisk together ketchup, pineapple juice, honey, soy sauce, rice vinegar, and remaining 1/4 teaspoon salt in a small saucepan. Bring to a boil over medium, whisking occasionally. Reduce to a simmer over medium-low, and cook, stirring often, until mixture is reduced to 3/4 cup and coats back of spoon, about 5 minutes. Remove from heat.. Pour 1/4 cup of the prepared sauce over chicken on the baking sheets; toss to coat evenly. Divide rice, chicken, and bell peppers evenly among bowls. Drizzle evenly with remaining 1/2 cup sauce. Serve immediately.","calories: 823, fat: 30g, carbs: 88g, protein: 53g, servings: 4",https://www.allrecipes.com/thmb/YiiA5Kx4SwMLxu-xdKRDuKKNEPU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8654805-baked-sweet-sour-chicken-ddmfs-4x3-a84d85597d344406b09cc6b562c6ec92.jpg
