name,link,ingredients,steps,nutrition,image_url
Chocolate Cherry Cheesecake,https://www.allrecipes.com/chocolate-cherry-cheesecake-recipe-8643513,"{'quantity': '24', 'unit': 'whole', 'name': 'chocolate sandwich cookies (such as OREO)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'pinches', 'name': 'salt'}, {'quantity': '4', 'unit': 'ounce) packages', 'name': 'cream cheese'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1 (', 'unit': '21 ounce', 'name': 'cherry pie filling'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}","Preheat the oven to 325 degrees F (165 degrees C).. Place whole sandwich cookies In a food processor or high speed blender; pulse several times, until crumbs are quite small.. Combine crumbs, melted butter, and 1 pinch salt. Stir until well blended, breaking up any missed large cookie pieces. Press crumb mixture on the bottom and about 1 inch up the sides of a 10-inch springform pan.. Beat cream cheese in a bowl with an electric mixer and beat on medium speed until smooth, 1 to 2 minutes. Beat in 1 egg at a time, making sure each egg is well incorporated before adding the next. Scrape down sides of the bowl as needed.. Add almond extract and sugar to cream cheese mixture; beat until smooth, about 1 minute. Add 1/2 cup heavy cream, blending well. Carefully pour about half the batter into the prepared pan.. Spoon 1 cup pie filling over the batter in the pan, distributing evenly. Spoon remaining batter in a smooth layer on top of pie filling. Place filled springform on a cookie sheet.. Bake in the center of the preheated oven until the center of the cheesecake is set, about 1 hour and 5 minutes. Cool in the pan on a wire rack, about 1 hour.. For glaze, heat remaining 1/2 cup heavy cream in a small saucepan over medium heat until it begins to steam. Remove from heat; add chocolate chips and pinch salt. Stir until chocolate is completely melted and smooth.. Line a cookie sheet with parchment paper. Place cheesecake on the lined cookie sheet and release the side of the springform pan. Pour chocolate glaze on top of the cooled cheesecake, allowing some of the glaze to drizzle down the side.. Refrigerate until completely chilled, at least 3 hours or overnight. To serve, slice into 16 slices. Top each slice with a bit of remaining pie filling.","calories: 420, fat: 33g, carbs: 29g, protein: 6g, servings: 16",https://www.allrecipes.com/thmb/jOWxyE683lFirxsHpg317Y_iyyI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8643513_Chocolate-Cherry-Cheesecake_Brenda-Venable_4x3-a3c22ad05c4240de87633c06303040dc.jpg
Chocolate Swiss Roll,https://www.allrecipes.com/recipe/278181/chocolate-swiss-roll/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cocoa powder, plus more for dusting'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'chocolate-hazelnut spread (such as Nutella)'}","Preheat the oven to 325 degrees F (165 degrees C). Spray a jelly roll or rimmed sheet pan with cooking spray and line with parchment paper.. Make cake: Sift flour, cocoa powder, salt, and baking soda together in a medium bowl.. Beat eggs and sugar in a large bowl with an electric mixer on high speed until tripled in volume, about 5 minutes. Mix in vanilla. Beat in flour mixture on low speed in thirds, alternating with melted butter, until just combined. Pour into the prepared pan (the thickness should be less than 1/4 inch).. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 8 to 9 minutes. Allow to cool completely.. Flip cake upside-down out of the pan onto a new sheet of parchment paper. Remove the used parchment paper gently from the top of cake. Roll cake, starting at one end of the paper, into a tube until it is completely rolled into the parchment. Refrigerate for 2 hours.. Make filling: Whip cream, powdered sugar, and vanilla together in a bowl with an electric mixer until medium peaks form. Mix in chocolate-hazelnut spread until well combined.. Unroll cake and spread evenly with filling. Roll up cake with filling, keeping in mind that cake might crack or tear easily. Dust with cocoa powder if you like.","calories: 270, fat: 20g, carbs: 19g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/eLtlFC5U1UbnIsLz0veCt05Xj-I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/101300_ChocolateSwissRoll4x3-02106642260d43ef89e9c5474619e0cc.jpg
This Simple Step Will Make Your Cocoa Powder Taste Surprisingly Richer,https://www.allrecipes.com/article/how-to-make-cocoa-powder-taste-richer/,,,,https://www.allrecipes.com/thmb/crxuatFcv1iiYN4VWDcZkT8KKgA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-how-to-make-cocoa-powder-taste-richer-c5b82686aaa24d7a835f9d0967a7fc2d.jpg
German Chocolate Cupcakes,https://www.allrecipes.com/recipe/8521810/german-chocolate-cupcakes/,"{'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'table salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sweetened shredded coconut'}, {'quantity': '¾', 'unit': 'cup', 'name': 'toasted chopped pecans or walnuts'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract (Optional)'}, {'quantity': '', 'unit': '', 'name': 'baking spray with flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'granulated sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsweetened cocoa (such as Hershey’s)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'instant espresso granules'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'table salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'canola oil or other neutral oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole buttermilk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '10', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa'}, {'quantity': '⅓', 'unit': 'cup', 'name': '60% cacao dark chocolate chips, melted, cooled slightly'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'heavy cream at room temperature'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 636, fat: 44g, carbs: 58g, protein: 9g, servings: 12",https://cdn.jwplayer.com/v2/media/yg60fSg4/thumbnails/2QzxWBEh.jpg
Black Forest Cake Icing,https://www.allrecipes.com/recipe/245750/black-forest-cake-icing/,"{'quantity': '3', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '4 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Beat together cream, sugar, and vanilla in a bowl with an electric mixer until stiff. Place in the refrigerator until set, about 15 minutes.","calories: 225, fat: 22g, carbs: 6g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/NI5VD-IBvhxzRieNzrTYChavm_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3291598-black-forest-cake-icing-thedailygourmet-4x3-1-84cf168984344d0b9b82e6d16fb7f882.jpg
Easy Microwave Chocolate Mug Cake,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,"{'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 603, fat: 30g, carbs: 82g, protein: 7g, servings: 1",https://cdn.jwplayer.com/v2/media/HqdKItD9/poster.jpg?width=720
Chocolate Cream Snack Cakes,https://www.allrecipes.com/chocolate-cream-snack-cakes-recipe-8691276,"{'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1 1/4 cup plus 2/3', 'unit': 'cup', 'name': 'sugar, divided'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'whipping cream'}, {'quantity': '1 1/3 cup plus 1 1/2', 'unit': 'teaspoons', 'name': 'light corn syrup, divided'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'bittersweet chocolate'}",,"calories: 501, fat: 20g, carbs: 79g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/RUMQwkauUCOWmsUchlOhT60-C5k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8691276-chocolate-cream-snack-cakes-4x3-3ae2c348ff204c109c4ec15c7fa0b7b0.jpg
Chocolate-Glazed Hazelnut Mousse Cake,https://www.allrecipes.com/recipe/134726/chocolate-glazed-hazelnut-mousse-cake/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'hazelnuts, toasted and skins rubbed off'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened Dutch-process cocoa powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'unflavored gelatin'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'chocolate hazelnut spread such as Nutella'}, {'quantity': '½', 'unit': 'cup', 'name': 'mascarpone'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chilled heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened Dutch-process cocoa powder'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '3 ½', 'unit': 'ounces', 'name': 'fine-quality bittersweet chocolate (not unsweetened), chopped'}","For shortbread base: Put oven rack in middle position and preheat oven to 350 degrees F. Invert bottom of springform pan (to make it easier to slide shortbread base off bottom), then lock on side of pan and line bottom with a round of parchment paper.. Pulse hazelnuts with sugar in a food processor until nuts are finely chopped. Add flour, butter, cocoa, and salt and pulse just until a dough forms.. Press dough evenly onto bottom of springform pan with your fingers. Prick all over with a fork, then bake until just dry to the touch, about 18 to 20 minutes. Transfer base in pan to a rack to cool completely, about 30 minutes. Remove side of pan and carefully slide out parchment from under shortbread, then reattach side of pan around shortbread base.. Make mousse while shortbread cools: Sprinkle gelatin over water in a 1- to 1 1/2-quart heavy saucepan and let stand until softened, about 5 minutes. Heat gelatin mixture over low heat, stirring, just until gelatin is melted, about 2 minutes. Whisk in chocolate hazelnut spread until combined and remove from heat.. Whisk together mascarpone and chocolate hazelnut mixture in a large bowl. Beat together cream, cocoa powder, and sugar in another large bowl with an electric mixer at low speed until just combined, then increase speed to high and beat until cream just holds soft peaks. Whisk one third of whipped cream into mascarpone mixture to lighten, then fold in remaining whipped cream until well combined. Spoon filling onto shortbread base in pan, gently smoothing top, then chill, covered, at least 3 hours.. Make ganache and glaze cake: Bring cream to a simmer in a small heavy saucepan and remove from heat. Add chocolate and let stand 1 minute, then gently whisk until completely melted and smooth. Transfer ganache to a small bowl and cool, stirring occasionally, until slightly thickened but still pourable, about 20 minutes.. Run a warm thin knife around inside of springform pan, then remove side. Slide cake off bottom of pan and transfer to a serving plate. Pour ganache onto top of cake and spread, allowing excess ganache to drip down sides.","calories: 705, fat: 57g, carbs: 47g, protein: 8g, servings: 6",https://www.allrecipes.com/thmb/6FGo1am5FRGUHIgzJCpmNasKX8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/134726chocolate-glazed-hazelnut-mousse-cakeKim-8e024e675e3743329a2ce2626bbf23eb.jpg
Chocolate Funfetti Cake,https://www.allrecipes.com/chocolate-funfetti-cake-recipe-8671609,"{'quantity': '2', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'espresso powder (optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '3/4', 'unit': 'cup', 'name': '2% milk'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sprinkles'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '12', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '4 1/2', 'unit': 'cups', 'name': ""confectioner's sugar""}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream, chilled'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'sprinkles'}","Preheat the oven to 350 degrees F (175 degrees C). Spray 3 8-inch round cake pans with a baking spray containing flour, and line the bottoms of the pans with parchment paper.. For cake, sift together flour, cocoa powder, espresso powder, baking soda, baking powder, and salt. Set aside.. In a large bowl, beat together butter, vegetable oil, and brown sugar on medium-high speed until light and fluffy, 3 to 4 minutes. Add in eggs 1 at a time; beating well after each addition. Mix in vanilla. Add in half of the dry ingredients and mix until just combined. Add in sour cream and milk, and mix until just combined. Add in remaining dry ingredients and mix until just combined. Fold in sprinkles.. Divide batter evenly between pans. Gently tap pans on the counter a few times to remove larger air bubbles.. Bake in the preheated oven until tops of the cakes spring back lightly when touched, 30 to 35 minutes. Err on the side of slightly underbaking rather than overbaking. Allow cakes to cool in pans for 30 minutes before removing to a wire rack to cool completely.. For frosting, beat butter in a large bowl until smooth. Add in cream cheese and beat until smooth. Add in 1 cup of powdered sugar, 1 1/2 teaspoons vanilla, 1/4 teaspoon salt, and almond extract and mix until smooth. Add in remaining powdered sugar 1 cup at a time, mixing well after each addition. Add in chilled heavy cream and beat until frosting is light and fluffy, about 3 minutes on medium-high speed. Fold in sprinkles.. To assemble cake, place one cooled cake layer onto a serving platter. Top with a thin layer of the frosting. Continue layering and frosting remaining cake layers. Use remaining frosting to frost the top and outside of cake. Place cake into the fridge to chill for 30 minutes before serving.","calories: 889, fat: 49g, carbs: 108g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/Ly6LAgI3WLf73bAGkG3U_dqvrlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8671609_Chocolate-Funfetti-Cake_Kim-Shupe_4x3-4cab4b537e5945d38b2d740cd00e3edf.jpg
Espresso Bundt Cake,https://www.allrecipes.com/espresso-bundt-cake-recipe-8643666,"{'quantity': '3/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'espresso powder'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'dark brown sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sour cream, at room temperature'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'espresso powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 10-cup Bundt pan.. In a heat-safe bowl or measuring cup, combine boiling water, cocoa powder, and espresso powder. Whisk until smooth and combined. Allow mixture to cool slightly while you prepare the rest of the cake.. Sift together cake flour, salt, baking soda, and baking powder.. Beat butter, oil, and brown sugar in a large bowl with an electric mixer until light and fluffy, about 3 minutes. Add in eggs 1 at a time, beating well after each addition. Beat mixture for about 3 minutes on medium-high speed after adding in last egg. Mix in 1 tablespoon vanilla.. Whisk cocoa powder-espresso mixture again to smooth it out, then add to butter-sugar mixture. Beat on low speed until thoroughly combined. Add in half the flour mixture and mix until just combined. Add in sour cream and mix until just combined. Add in remaining flour mixture and mix until just combined.. Pour batter evenly into the prepared pan. Tap pan sharply on the counter a few times to pop any larger air bubbles.. Bake in the preheated oven until top of the cake springs back lightly when touched, 45 to 50 minutes. Allow cake to cool in pan for 30 minutes before inverting onto a serving platter to cool completely.. For icing, whisk espresso powder and milk together in a small bowl until espresso powder is dissolved. Beat in cream cheese, powdered sugar, salt, and vanilla with an electric mixer on low speed to combine, then turn mixer speed up to high; continue to beat until mixture is smooth and no clumps of cream cheese remain. If mixture is too thick, add milk, a little at a time, until icing is the desired consistency. If mixture is too thin, add more powdered sugar as needed. Drizzle icing over cooled cake.","calories: 396, fat: 17g, carbs: 55g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/V_t6oeNV2wDDw1GmlP7JipMRUZQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8643666_Espresso-Bundt-Cake_Kim_4x3-df70dacb8295495486cd89b606fd5f5f.jpg
