name,link,ingredients,steps,nutrition,image_url
Our Top 22 Traditional Christmas Dishes,https://www.allrecipes.com/gallery/best-traditional-christmas-dishes/,,,,https://www.allrecipes.com/thmb/58bqyIB_T_QpKw7ESDrBfW3vRjQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JD_25851-4x3-1-c30b1b90a3db4ce98b8644d90977a419.jpg
No recipe name found,https://www.allrecipes.com/recipes/841/holidays-and-events/christmas/desserts/christmas-cookies/,,,,https://www.allrecipes.com/thmb/FhnI6xf0d4hZd7f5LXdH0M1-I1s=/1500x750/filters:no_upscale():max_bytes(150000):strip_icc()/542325_SoftChristmasCookies3x1bannerphotobynicolen-77e9276be9734bb3a32e91f1879a9669.jpg
How to Make the Best Prime Rib,https://www.allrecipes.com/article/how-to-make-prime-rib/,,,,https://www.allrecipes.com/thmb/kmtx954svkCVBEKhDOyzcER6gc4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7520305_Chef-Johns-Perfect-Prime-Rib-4x3-1-2000-d30c72906aee425d95167536be617b35.jpg
15 Christmas Desserts to Delight Your Holiday Crowd,https://www.allrecipes.com/gallery/delightful-christmas-desserts/,,,,https://www.allrecipes.com/thmb/yUIa1pAHvXZzlDDC9RzYl6Bxjcs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Bavarian-Torte-by-Kims-Cooking-Now-94c8f21cc28a48099df0b1f3168b7349.jpg
I Asked 5 Pro Bakers for Their Favorite Holiday Dessert—These Are The 9 They Swear By,https://www.allrecipes.com/best-holiday-dessert-recipes-according-to-professional-bakers-8748062,,,,https://www.allrecipes.com/thmb/sZTcsAVW157Eb04F-HIJbqimP8Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-11376-saltine-toffee-cookies-hero-02-VAT-4x3-916a7c0490734a19bb0313dc03719ab2.jpg
Cranberry Brie Pull Apart Bread,https://www.allrecipes.com/cranberry-brie-pull-apart-bread-recipe-8732507,"{'quantity': '1 (', 'unit': '1 1/2 to 1 3/4', 'name': 'sourdough loaf or crusty Italian bread, unsliced'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoons', 'name': 'fresh rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '8-ounce', 'name': 'rie cheese, cut lengthwise in 1-inch strips, then thinly sliced crosswise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried cranberries'}","Gather all ingredients.. Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with foil. Cut bread with a serrated knife from the top nearly to the bottom in diagonal 1-inch diamonds (do not cut through).. Combine melted butter, honey, rosemary, thyme, pepper, and salt in a small bowl.. Gently pull bread open at cuts and evenly drizzle with half of the butter mixture.. Stuff Brie and cranberries into the cuts as you go.. Place loaf on prepared baking sheet and drizzle with remaining butter mixture.. Bake until the Brie is melted and the bread is toasty, 20 to 25 minutes. Serve immediately.","calories: 355, fat: 17g, carbs: 41g, protein: 12g, servings: 8",https://www.allrecipes.com/thmb/fp7wFJ4-TOOjD6i0UhtfPGP1yIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732507-Cranberry-Brie-Pull-Apart-Bread-ddmfs-hero-4x3-17472-317e74eca1c747f4acc52c61f6a2f85e.jpg
"Pork Tenderloins with Cranberries, Walnuts, and Dried Fruit",https://www.allrecipes.com/pork-tenderloins-with-cranberries-walnuts-and-dried-fruit-recipe-8746835,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light brown sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'chipotle chili powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': '(1 1/2 pound)', 'name': 'pork tenderloins'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'cranberry sauce'}, {'quantity': '1', 'unit': None, 'name': 'orange, zested and juiced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried apricots'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried figs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh rosemary'}, {'quantity': None, 'unit': None, 'name': 'rosemary sprigs, for garnish (optional)'}","Preheat the oven to 425 degrees F (220 degrees C). Line a sheet pan with aluminum foil.. Combine ground ginger, light brown sugar, chipotle chili powder, salt, and black pepper in a small bowl; set aside.. Fold about 2 or 3 inches of the thin ends of the tenderloin under the roast and tie 2 times with kitchen string. Oil each tenderloin with 1 tablespoon olive oil. Sprinkle dry seasoning mix evenly on both tenderloins and lightly rub to distribute. Place seasoned tenderloins on the prepared pan.. Roast, uncovered, in the preheated oven until until an instant-read thermometer inserted in the center reaches 135 degrees F (57 degrees C),  20 to 25 minutes.. Remove tenderloins from the oven, tent with foil, and allow to rest about 10 minutes. Internal temperature should rise to a safe 145 degrees F (63 degrees C) during the rest.. Meanwhile, for sauce, melt cranberry sauce in a small saucepan over low heat, stirring occasionally. Stir in orange zest, orange juice, and lemon juice. Add apricots, figs, walnuts, and fresh minced rosemary; bring to a boil, then remove from heat, and allow to stand until the tenderloins finish.. To serve, slice tenderloins and place on a serving platter. Add cranberry mixture on top of tenderloin slices, and on the platter. Garnish with fresh rosemary sprigs.","calories: 579, fat: 18g, carbs: 42g, protein: 62g, servings: 6",https://www.allrecipes.com/thmb/B-dDgcSVrRF505eGzo8BRjBZ1GE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8746835_Pork-Tenderloins-with-Cranberries-Walnuts-and-Dried-Fruit_Brenda-Venable_4x3-2c6212637dcb46da8fdaa51e0315b7d6.jpg
Best Smoked Salmon Dip,https://www.allrecipes.com/best-smoked-salmon-dip-recipe-8741722,"{'quantity': '1', 'unit': 'pound', 'name': 'smoked salmon'}, {'quantity': '1', 'unit': '(8-ounce)', 'name': 'cream cheese, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1', 'unit': None, 'name': 'green onion, finely chopped, plus more for garnish'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers, drained'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh dill, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt-free Creole seasoning'}, {'quantity': None, 'unit': None, 'name': 'crackers and crostini, for serving'}","Flake smoked salmon with a fork.. Beat together cream cheese and mayonnaise in a large bowl with an electric mixer at medium speed until smooth. Add red onion, green onion, capers, lemon juice, dill, and Creole seasoning; mix well. Gently fold in smoked salmon.. Chill in an airtight container at least 2 hours (and up to 3 days). Garnish with additional dill and green onions. Serve with crackers and crostini.","calories: 75, fat: 6g, carbs: 2g, protein: 3g, servings: 32",https://www.allrecipes.com/thmb/o0m1ZlEJlLagznss8rxXsI7ZgUA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741722-Smoked-Salmon-Dip-Allrecipes-Magazine-4x3-263a31c0a0d14906b68a1c88beb05bc2.jpg
Beef Tenderloin with Dijon Cream Sauce,https://www.allrecipes.com/beef-tenderloin-with-dijon-cream-sauce-recipe-8741691,"{'quantity': '1', 'unit': '(2-pound)', 'name': 'beef tenderloin, trimmed, with silver skin removed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '3 1/2', 'unit': 'teaspoons', 'name': 'orcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'ijon mustard'}, {'quantity': '2', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley, for garnish'}","Preheat the oven to 500 degrees F (260 degrees C). Line a rimmed 10x15-inch baking sheet with foil.. Place beef tenderloin on the prepared baking sheet. Rub with butter, then drizzle with 1 1/2 teaspoons Worcestershire sauce and sprinkle with salt and pepper. Tuck tapered end of tenderloin underneath to ensure even cooking.. Roast tenderloin in the preheated oven until an instant-read thermometer inserted into thickest part registers 135 degrees F (57 degrees C) for medium-rare, 25 to 30 minutes.. Transfer tenderloin to a cutting board and tent loosely with foil; let rest for 10 minutes. (After resting, thermometer should register 145 degrees F (63 degrees C)). For sauce, stir together mayonnaise, mustard, hot sauce, and remaining 2 teaspoons Worcestershire in a small bowl. Slice tenderloin. Serve with sauce and garnish with parsley.","calories: 541, fat: 46g, carbs: 1g, protein: 28g, servings: 8",https://www.allrecipes.com/thmb/BFPTDtMXygVURwxA6cAzm7_gYZA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741691-Beef-Tenderloin-with-Dijon-Cream-Sauce-Allrecipes-Magazine-4x3-30212a2fc590498ebccde7e8b5c43633.jpg
Homemade Chipotle Oil,https://www.allrecipes.com/recipe/221955/homemade-chipotle-oil/,"{'quantity': '2', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground dried chipotle pepper'}","Heat oil over medium heat in a saucepan until it reaches 165 degrees F (74 degrees C).. Pour ground chipotle peppers into a heatproof bowl. Pour oil over chipotle; whisk until chipotle is dissolved. Cover bowl with aluminum foil and seal tightly. Leave for a week, stirring once per day.. Pour chipotle oil through a fine mesh strainer into a bottle or glass container.","calories: 120, fat: 14g, servings: 32",https://cdn.jwplayer.com/v2/media/ZQv3FPZ3/poster.jpg?width=720
