name,link,ingredients,steps,nutrition
How to Make Homemade Cinnamon Rolls From Scratch,https://www.allrecipes.com/article/forming-and-baking-cinnamon-rolls/,,,
10 Sticky Bun Recipes For Magical Mornings,https://www.allrecipes.com/gallery/sticky-bun-recipes/,,,
Eggnog Cinnamon Rolls,https://www.allrecipes.com/recipe/8486275/eggnog-cinnamon-rolls/,"{'quantity': '⅓', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': ""quick-rising yeast (such as Fleischmann's RapidRise®)""}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided, or more as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'eggnog'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'firmly packed light brown sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly grated nutmeg, or to taste'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, at room temperature'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'eggnog'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Combine sugar, yeast, salt, and 4 cups of the flour in the work bowl of a stand mixer fitted with the paddle attachment. Beat on low speed until just combined, about 15 seconds. With mixer running on low speed, add eggnog, sour cream, butter, and egg. Continue beating until dough forms, 1 to 2 minutes. Switch to a dough hook attachment. Beat on medium-low speed until dough is smooth and elastic, 6 to 9 minutes; gradually add remaining 1/2 cup flour, 1/2 to 1 teaspoon at a time, if necessary.. Place dough in a large bowl greased with cooking spray and turn to coat. Cover with a clean kitchen towel and let rise in a warm draft-free place until dough has doubled in size, 2 to 3 hours.. Spray a 13- x 9-inch pan with cooking spray. Lightly punch down dough. On a lightly floured surface, roll dough into an 18- x 10-inch rectangle.. For the filling spread 1/2 cup of butter over the dough. In a small bowl, stir together brown sugar, cinnamon, and nutmeg. Sprinkle evenly over butter.. Starting with one long side, roll dough into a log; pinch seam to seal.. Slice into 12 rolls.. Place rolls in the prepared pan. Cover, and let rise in a warm draft-free place until doubled in size, 1 hour to 1 hour and 15 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven, uncovered, until golden brown, 25 to 30 minutes. Let cool in pan on a wire rack 15 minutes.. Add cream cheese and 4 tablespoons butter to the bowl of a stand mixer fitted with the paddle attachment; beat on medium speed until smooth, 1 to 2 minutes. Add powdered sugar, eggnog, and vanilla. Beat on medium speed until smooth, about 1 minute.. Drizzle glaze over warm rolls. Serve with freshly grated nutmeg sprinkled on top and any extra glaze, if desired.","calories: 511, fat: 25g, carbs: 67g, protein: 7g, servings: 12"
Cranberry Orange Rolls,https://www.allrecipes.com/recipe/270200/cranberry-orange-rolls/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm milk (120 to 130 degrees F/49 to 54 degrees C)'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'rapid-rise yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs, room temperature'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsalted butter, melted and cooled'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'finely chopped cranberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'firmly packed brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated orange zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'heavy cream, or more as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine warm milk, yeast, and 1 teaspoon sugar in a small bowl until sugar dissolved; set aside until yeast begins to form a creamy foam.. Whisk eggs and cooled melted butter together in a bowl; set aside.. Whisk 2 cups all-purpose flour, whole wheat flour, 1/2 cup sugar, and 1 teaspoon salt together in a large bowl; add yeast mixture and stir gently to combine. Add egg mixture; stir until a sticky dough forms.. Turn dough out onto a lightly floured surface; knead in remaining 1/2 cup all-purpose flour, a little at a time, until no longer sticky. Continue kneading until smooth and elastic, 8 to 10 minutes, using additional flour if necessary. Place dough into a greased bowl and turn to coat. Cover bowl and let rise in a warm, draft-free place until doubled in volume, 1 to 2 hours.. Meanwhile, combine cranberries, brown sugar, orange juice, orange zest, cornstarch, 1 teaspoon vanilla extract, cinnamon, cloves, nutmeg, and 1/4 teaspoon salt in a saucepan. Cook over medium heat, stirring constantly, until mixture begins to bubble and thicken slightly, about 5 minutes. Remove from heat; cool filling to room temperature.. Line a 9x13-inch baking pan and a 6-inch cake pan with parchment paper. Lightly grease pans.. Turn dough out onto a lightly floured surface; roll into a rectangle approximately 21x14 inches. Place cranberry filling on dough leaving a 1/2-inch border on all sides. Roll dough up starting at a long side. Pinch ends to seal dough; lay seam-side down on a cutting board. Cut into 15 rolls, each about 1 1/4-inch thick, using a very sharp or serrated knife. Place rolls, cut-sides up, in the prepared pans, 12 in the baking pan and 3 in the cake pan.. Loosely cover pans and let rolls rise until doubled in volume, 30 to 45 minutes.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until rolls are golden brown on top, 22 to 27 minutes. Cool in the pans 3 to 5 minutes before transferring to a serving plate.. Whisk confectioners' sugar, heavy cream, 1 teaspoon vanilla extract, and 1 pinch salt together in a bowl until smooth. Add more cream to thin or more confectioners' sugar to thicken, as needed. Pour glaze over slightly warm rolls before serving.","calories: 298, fat: 7g, carbs: 55g, protein: 6g, servings: 15"
Orange Cinnamon Rolls,https://www.allrecipes.com/orange-cinnamon-rolls-recipe-8642451,"{'quantity': '¾', 'unit': 'cup', 'name': 'warm whole milk (110 degrees F (43 degrees C))'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, room temperature'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'freshly grated orange zest'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly squeezed orange juice'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour, divided, or more as needed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'freshly grated orange zest'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly grated orange zest'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly squeezed orange juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}","Pour warmed milk into the bowl of a stand mixer fitted with a paddle attachment for the dough. Sprinkle yeast evenly over the surface of the milk. Let stand until foamy, 5 to 10 minutes.. Add egg and egg yolk, butter, honey, orange zest, and orange juice to the yeast mixture. Beat on low until combined, about 45 seconds. Add 2 cups flour; beat on low until a wet dough forms, about 1 minute. Turn off mixer; switch to the dough hook attachment. Add 1 ½ cups flour and salt, beat on medium until dough is soft and elastic, 7 to 10 minutes. If necessary, add an additional ½ cup flour, tablespoon by tablespoon, using as little as possible to achieve a soft dough. The dough should be quite sticky.. Gather dough into a ball and transfer to a large greased bowl. Cover with plastic wrap and set aside to rise at room temperature until doubled in size, about 1 hour.. To make the filling: Combine butter, brown sugar, cinnamon, and orange zest in a bowl. Mix with a spatula until smooth and creamy, about 1 minute. Set aside.. Grease a 13x9-inch baking dish; set aside. Punch down the dough and transfer to a well-floured surface. Roll dough into a large 10x18-inch rectangle. Spread the filling over the surface of the dough, leaving a ½ inch border along the top long edge.. Roll the dough away from you to create a log, and pinch seam to seal.. Cut dough log into 12 equal rolls (about 1 ½ inches wide). Transfer rolls to prepared baking dish. Loosely cover with plastic wrap, and set aside to rise at room temperature until puffy and almost doubled in size, 30 to 45 minutes.. Preheat the oven to 375 degrees F (190 degrees C).. Bake rolls in the preheated oven until golden brown, 22 to 25 minutes.. While rolls are baking, prepare the frosting. Combine cream cheese, powdered sugar, orange zest, orange zest, and salt in the bowl of a stand mixer fitted with the paddle attachment. Beat at medium-high speed until very smooth and creamy, 2 to 3 minutes.. Remove rolls from oven and transfer to a wire rack. Let cool 2 minutes, then spread frosting evenly over the rolls. Serve warm.","calories: 409, fat: 21g, carbs: 50g, protein: 7g, servings: 12"
Chili-Bacon Cinnamon Rolls,https://www.allrecipes.com/chili-bacon-cinnamon-rolls-recipe-8605019,"{'quantity': '1', 'unit': '17.5-ounce) package', 'name': 'cinnamon rolls with icing'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '10', 'unit': 'slices', 'name': 'bacon'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch round cake pan.. Unroll cinnamon roll dough. Sprinkle evenly with chili powder, then separate along perforations into 5 portions.. Cook bacon in a very large skillet until just starting to crisp, about 7 minutes. While bacon is still warm, lay 2 slices on each dough portion; roll up. Arrange in the prepared pan.. Bake in the preheated oven until browned and tops appear dry, about 25 minutes. Frost with icing. Add desired toppers (if using). Serve warm.","calories: 460, fat: 20g, carbs: 57g, protein: 12g, servings: 5"
Air Fryer Cinnamon Roll Bites,https://www.allrecipes.com/air-fryer-cinnamon-roll-bites-recipe-8553617,"{'quantity': '1 (12.4', 'unit': 'ounce)', 'name': 'cinnamon rolls'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '3/4', 'unit': 'cup', 'name': ""confectioner's sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange peel'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'orange juice'}, {'quantity': None, 'unit': None, 'name': 'icing'}","Preheat an air fryer to 325 degrees F (165 degrees C) according to manufacturer’s instructions. Add sugar and cinnamon to a large resealable plastic bag, and shake to combine.. Remove the 8 cinnamon rolls from the can, and set icing aside. Cut each roll into 4 equal pieces for a total of 32 bites.. Line the fryer basket with parchment paper. Place the bites in a single layer in the bottom of the basket, cook for 3 minutes, turn over using tongs, and cook until golden brown, another 2 to 3 minutes. Depending on the brand and size of your air fryer, you may have to cook in batches, and your timing may vary, so watch closely.. Meanwhile, prepare the dip. Add cream cheese, confectioner’s sugar, orange zest, orange juice, and the packaged icing to a small bowl. Beat with an electric mixer on medium speed until you reach a dipping consistency, about 1 minute.. Drop the warm pieces into the sugar-cinnamon mixture, and shake. Transfer to a plate or basket, and serve with the dip.","calories: 281, fat: 11g, carbs: 45g, protein: 3g, servings: 8"
Homemade Mini Cinnamon Rolls,https://www.allrecipes.com/recipe/8508239/homemade-mini-cinnamon-rolls/,"{'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'cups', 'name': 'bread flour or all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '3', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'powdered sugar'}","Mix together milk and water in a glass measuring cup for the dough. Microwave mixture until it reaches 105 degrees F to 115 degrees F (40 degrees C to 46 degrees C), 30 to 60 seconds.. Whisk together flour, sugar, yeast, and salt in a large bowl. Add eggs, melted butter, and milk mixture. Beat with an electric mixer at medium speed until a soft dough forms and begins to pull away from sides of bowl, 3 to 5 minutes. (Dough will be sticky.) Lightly grease a bowl. Transfer dough to the bowl and turn to coat. Chill, covered, until dough is easy to handle, at least 2 hours or up to overnight.. Grease two 9-inch round cake pans or two 8x8-inch baking pans.. Stir together brown sugar and cinnamon in a small bowl. Punch down dough; divide in half. Roll out one portion of dough on a lightly floured surface into a 6x16-inch rectangle. (If dough springs back when rolling, let rest for 5 to 10 minutes.) Spread 2 tablespoons softened butter over the dough. Sprinkle half of the cinnamon-brown sugar mixture over butter; gently pat mixture so it adheres to the dough.. Starting on a long side, roll up dough and pinch along seam to seal. Slice dough log into 16 (1-inch-thick) pieces. Put rolls, cut sides down, in one of the prepared pans. Repeat with the remaining dough, cinnamon-sugar, and softened butter. Let rise, covered, in a warm place until rolls nearly double in size, about 30 minutes.. Preheat the oven to 375 degrees F (190 degrees C).. Bake until rolls until golden brown, 17 to 22 minutes. Cool in pan on a wire rack 10 minutes.. Meanwhile for the icing, beat cream cheese, softened butter, milk, and vanilla with an electric mixer at medium speed until creamy, 1 to 2 minutes. Gradually beat in powdered sugar until smooth. Drizzle rolls with icing and serve warm.","calories: 642, fat: 21g, carbs: 103g, protein: 11g, servings: 8"
Quick Cinnamon Rolls,https://www.allrecipes.com/recipe/241917/quick-cinnamon-rolls/,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, melted, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour, plus more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 234, fat: 9g, carbs: 36g, protein: 4g, servings: 9"
Clone of a Cinnabon,https://www.allrecipes.com/recipe/20156/clone-of-a-cinnabon/,"{'quantity': '1', 'unit': 'cup', 'name': 'warm milk (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': '', 'name': 'eggs, room temperature'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'margarine, melted'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'bread machine yeast'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar, packed'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'ground cinnamon'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1 ½', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Prepare dough: Place milk, eggs, margarine, flour, salt, white sugar, and yeast in the pan of a bread machine in the order recommended by the manufacturer. Select dough cycle; press Start.. When dough has doubled in size, turn it out onto a lightly floured surface. Cover it with a kitchen towel or plastic wrap and let it rest for 10 minutes.. Roll dough on a lightly floured surface to a 16x21-inch rectangle.. Prepare filling: Combine brown sugar and cinnamon in a small bowl. Spread softened butter over the dough, then sprinkle cinnamon-sugar mixture evenly over top.. Starting at the longer end, roll up the dough; cut into 12 rolls. Place rolls in a lightly greased 9x13-inch baking pan. Cover and let rise until nearly doubled, about 30 minutes.. Meanwhile, preheat the oven to 400 degrees F (200 degrees C).. Bake rolls in the preheated oven until golden brown, about 15 minutes.. While rolls are baking, prepare icing: Beat confectioners' sugar, butter, cream cheese, confectioners' sugar, vanilla, and salt until creamy.. Spread icing on warm rolls before serving.","calories: 502, fat: 19g, carbs: 77g, protein: 8g, servings: 12"
