name,link,ingredients,steps,nutrition
Nectarine Blueberry Cobbler,https://www.allrecipes.com/nectarine-blueberry-cobbler-recipe-8702250,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'nectarines ('}, {'quantity': '2', 'unit': 'cups', 'name': 'blueberries'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter,'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 375 degrees F (190 degrees C). Spray an 8x8-inch baking dish with nonstick cooking spray.. Toss sliced nectarines, blueberries, 1 cup sugar, and cornstarch together in a bowl; add fruit to the baking dish.. Stir flour, remaining 1/2 cup sugar, butter, egg, and vanilla together in a bowl to make a smooth batter. Drop batter by spoonfuls evenly over fruit.. Bake in the preheated oven until cobbler is golden, and fruit is bubbly, 28 to 35 minutes.. Optional: Heat an air fryer to 400 degrees F (200 degrees C). Place cobbler in the air fryer until topping is crunchy, about 5 minutes.","calories: 312, fat: 9g, carbs: 58g, protein: 3g, servings: 9"
4-Ingredient Slow Cooker Peach Cobbler,https://www.allrecipes.com/4-ingredient-slow-cooker-peach-cobbler-recipe-8645989,"{'quantity': '8', 'unit': 'cups', 'name': 'sliced fresh or frozen peaches, thawed'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'white cake mix'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, cut into 8 pieces'}",,"calories: 323, fat: 15g, carbs: 46g, protein: 4g, servings: 10"
One Bowl Blackberry Cobbler,https://www.allrecipes.com/one-bowl-blackberry-cobbler-recipe-8646365,"{'quantity': '4', 'unit': 'cups', 'name': 'blackberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 375 degrees F (190 degrees C). Spray an 8x8-inch baking dish with nonstick cooking spray. Evenly distribute blackberries in the dish; set aside.. Combine sugar, flour, egg, butter and vanilla in a bowl and stir until well combined. Drop by spoonfuls over fruit and spread with a spatula.. Bake in the preheated oven until fruit is bubbly, 38 to 43 minutes.. Optional: Heat an air fryer to 400 degrees F (200 degrees C). Place cobbler in the air fryer until topping is crunchy, about 5 minutes.","calories: 362, fat: 13g, carbs: 59g, protein: 5g, servings: 6"
Fresh Strawberry Cobbler,https://www.allrecipes.com/recipe/12379/strawberry-cobbler-i/,"{'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'water or 1/2 cup for a thicker filling'}, {'quantity': '3', 'unit': 'cups', 'name': 'strawberries, hulled'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}","Preheat the oven to 400 degrees F (205 degrees C). Grease a 2-quart baking dish.. Combine sugar, cornstarch, and water. Cook over medium heat, stirring constantly, until thick and hot. Stir in strawberries, and remove from heat. Pour mixture into the baking dish, and dot with 2 tablespoons butter.. Sift flour, sugar, baking powder, and salt together. Cut in butter with 2 knives or pastry blender until mixture resembles coarse crumbs; stir in cream. The mixture should be fairly soft. Spoon on top of berries.. Bake in the preheated oven until cobbler is golden brown and filling is bubbly, about 25 minutes.","calories: 249, fat: 13g, carbs: 32g, protein: 2g, servings: 8"
Blackberry Cobbler with Frozen Blackberries,https://www.allrecipes.com/recipe/8489232/blackberry-cobbler-with-frozen-blackberries/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen blackberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly squeezed lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '', 'unit': '', 'name': 'frozen whipped topping, thawed'}","Preheat the oven to 375 degrees F (190 degrees C). Spray an 8-inch or 9-inch square baking dish with nonstick cooking spray.. In a large bowl, gently stir the frozen blackberries together with 2 tablespoons sugar, lemon juice, and vanilla extract. Spread into the bottom of the prepared baking dish.. Combine flour, remaining 1 cup sugar, and egg together in a bowl until mixture resembles a coarse meal. Sprinkle mixture evenly over the blackberries. Drizzle melted butter evenly on top.. Bake in the preheated oven until lightly browned and bubbly, 35 to 40 minutes. Remove from the oven and let cool for 10 minutes. Serve warm topped with whipped topping.","calories: 367, fat: 11g, carbs: 65g, protein: 4g, servings: 6"
Instant Pot Peach Cobbler,https://www.allrecipes.com/recipe/283081/instant-pot-peach-cobbler/,"{'quantity': '3', 'unit': '(15 ounce) cans', 'name': 'peaches, drained'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white cake mix'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}","Drain peaches and pat dry with a paper towel. Sprinkle peaches with cinnamon sugar.. Mix dry cake mix with cinnamon. Cut in butter until mixture resembles coarse crumbs. Set 1/2 of the mixture aside.. Mix peaches with 1/2 of the cake mix mixture; place in a 6-inch round dish. Top peaches with remaining cake mix mixture. Cover dish with foil.. Pour water into a multi-functional pressure cooker (such as Instant Pot). Set trivet inside. Place round dish on top of the trivet. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 12 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, about 20 minutes. Unlock and remove the lid. Quick release remaining pressure using the quick-release method, about 5 minutes.. Set an oven rack about 6 inches from the heat source and preheat the oven's broiler.. Carefully remove dish from the pot and uncover. Broil until topping is set, about 2 minutes.","calories: 432, fat: 16g, carbs: 72g, protein: 4g, servings: 4"
Fresh Southern Peach Cobbler,https://www.allrecipes.com/recipe/51535/fresh-southern-peach-cobbler/,"{'quantity': '8', 'unit': None, 'name': 'fresh peaches - peeled, pitted and sliced into thin wedges'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, chilled and cut into small pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 562, fat: 18g, carbs: 99g, protein: 4g, servings: 4"
Quick and Easy Peach Cobbler,https://www.allrecipes.com/recipe/12386/quick-and-easy-peach-cobbler/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': 'cup', 'name': 'self-rising flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': '(16 ounce) cans', 'name': 'sliced peaches in heavy syrup'}",,"calories: 238, fat: 8g, carbs: 39g, protein: 2g, servings: 12"
Old Fashioned Peach Cobbler,https://www.allrecipes.com/recipe/19897/old-fashioned-peach-cobbler/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, melted'}, {'quantity': '3', 'unit': 'pounds', 'name': 'fresh peaches - peeled, pitted, and sliced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Gather the ingredients.. Make crust: Sift together flour, 3 tablespoons sugar, and salt in a medium bowl. Work in shortening with a pastry blender until mixture resembles coarse crumbs. Whisk together egg and cold water in a small bowl. Sprinkle over flour mixture; work with hands to form dough into a ball. Wrap with plastic wrap and chill in the refrigerator for 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Roll out 1/2 of the chilled dough to 1/8-inch thickness. Place in a 9x13-inch baking dish, covering the bottom and halfway up the sides. Bake in the preheated oven until golden brown, about 20 minutes.. Make filling: Mix peaches, orange juice, and lemon juice in a large saucepan. Add butter and cook over medium-low heat until butter is melted. Stir together sugar, cornstarch, cinnamon, and nutmeg in a bowl; mix into peach mixture until combined. Pour into baked crust.. Roll remaining dough to 1/4-inch thickness. Cut into 1/2-inch-wide strips. Weave strips into a lattice over peaches. Sprinkle with 1 tablespoon sugar, then drizzle with melted butter.. Bake in the preheated oven until top crust is golden brown, 35 to 40 minutes.","calories: 338, fat: 18g, carbs: 44g, protein: 2g, servings: 18"
Bisquick Peach Cobbler,https://www.allrecipes.com/recipe/234261/classic-bisquick-peach-cobbler/,"{'quantity': '1', 'unit': 'cup', 'name': 'Original Bisquick mix'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter or margarine, melted'}, {'quantity': '1', 'unit': '(29 ounce) can', 'name': 'sliced peaches, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).. Stir together Bisquick mix, milk, and nutmeg in an ungreased 8x8-inch baking dish until batter is smooth.. Stir in melted butter until blended.. Stir together peaches and sugar in a large bowl until combined; spoon over batter.. Bake in the preheated oven until golden, 50 to 60 minutes.","calories: 427, fat: 19g, carbs: 63g, protein: 4g, servings: 6"
