name,link,ingredients,steps,nutrition,image_url
Revolver Cocktails,https://www.allrecipes.com/revolver-cocktails-recipe-8741080,"{'quantity': None, 'unit': None, 'name': 'ice'}, {'quantity': '4', 'unit': 'ounces', 'name': 'bourbon'}, {'quantity': '1', 'unit': 'ounce', 'name': 'coffee liqueur (such as'}, {'quantity': '4', 'unit': 'dashes', 'name': 'orange bitters'}, {'quantity': '2', 'unit': None, 'name': 'orange twists'}","Fill a mixing glass or cocktail shaker half full with ice. Add bourbon, liqueur, and bitters. Stir or shake until very cold, about 30 seconds.. Strain into 2 glasses. Rub rim of each glass with an orange twist, then garnish each glass with a twist.","calories: 197, fat: 0g, carbs: 6g, protein: 0g, servings: 2",https://www.allrecipes.com/thmb/DNgRTl8WFJVb-H-iNMM-m6hdTVs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741080-Revolver-Cocktails-Allrecipes-Magazine-4x3-e7f186590fb94584a61036a5fa1c8ff9.jpg
Breakfast Margarita,https://www.allrecipes.com/breakfast-margarita-recipe-8742323,"{'quantity': '1 1/2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1/2', 'unit': 'fluid ounce', 'name': 'orange liqueur, such as Cointreau'}, {'quantity': '1', 'unit': None, 'name': 'orange, juiced'}, {'quantity': '1/2', 'unit': None, 'name': 'lime, juiced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'orange marmalade'}, {'quantity': None, 'unit': None, 'name': 'orange slice, for garnish'}","Fill a shaker halfway with ice; pour in tequila, orange liqueur, orange juice, and lime juice. Shake until the outside of the shaker is frosted, 15 to 30 seconds. Pour into a glass; garnish with an orange slice.","calories: 392, fat: 1g, carbs: 67g, protein: 4g, servings: 1",https://cdn.jwplayer.com/v2/media/iWvR9pzM/thumbnails/nHbVOqNN.jpg
Bunny Mary,https://www.allrecipes.com/bunny-mary-recipe-8739310,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'celery seed'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'carrot juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'prepared horseradish'}","Place celery seed on a plate. Moisten the rim of a glass with a lime wedge. Dip rim in celery seed until coated. Set aside.. Fill a shaker with ice. Add carrot juice, vodka, lime juice, Worcestershire sauce, Tabasco, and horseradish. Shake until well combined. Pour into the prepared glass.","calories: 202, fat: 0g, carbs: 19g, protein: 2g, servings: 1",https://www.allrecipes.com/thmb/n_dkRTeycX3OvuRHEIU_8Zl6j_E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8739310_Bunny-Mary_Yolanda-Gutierrez_4x3-7bb5a0833a4d48b1bb619befa677e139.jpg
Shelia's Chocolate Martini,https://www.allrecipes.com/shelia-s-chocolate-martini-recipe-8733019,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'chocolate syrup'}, {'quantity': '2', 'unit': 'ounces', 'name': 'vanilla vodka'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'RumChata'}, {'quantity': '1/2', 'unit': 'ounce', 'name': '2% milk'}","Pour chocolate syrup into 2 martini glass; swirl to line the glass, and pour the extra into a cocktail shaker. Place glasses in the freezer until frosted, 5 to 10 minutes.. Add vodka, RumChata, and milk, to the cocktail shaker. Add ice and shake until the outside of the shaker is frosted, 10 to 15 seconds. Strain into coated martini glasses and enjoy.","calories: 184, fat: 3g, carbs: 8g, protein: 1g, servings: 2",https://www.allrecipes.com/thmb/SZkT0EO-RclGPZyVaO_QGuByo7w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733019_Shelias-Chocolate-Martini_Shelia-Johnson_4x3-189212c957264a10a9c07f108db32b95.jpg
Citrus Adobo Margarita,https://www.allrecipes.com/citrus-adobo-margarita-recipe-8732996,"{'quantity': '2', 'unit': None, 'name': 'lime wedges'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili-lime seasoning (such as Tajin®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '1 1/2', 'unit': 'ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'ounce', 'name': 'orange liqueur'}, {'quantity': '1', 'unit': 'ounce', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'ounce', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'adobo sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'agave syrup'}","Sprinkle chili lime seasoning onto a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into the seasoning. Fill the glass with ice.. Fill a cocktail shaker with tequila, triple sec, lime juice, orange juice, adobo sauce, and agave syrup. Add 1 cup ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining lime wedge.","calories: 276, fat: 1g, carbs: 33g, protein: 2g, servings: 1",https://www.allrecipes.com/thmb/fPvqV2c5N21zVksai9qnwqBcAQ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732996_Citrus-Adobo-Margarita_France-Cevallos_4x3-6f6b8d43bfab47b882751747b11ad716.jpg
Bloody Maria,https://www.allrecipes.com/bloody-maria-recipe-8730420,"{'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Tajin®)'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'tomato juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'hot sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'prepared horseradish'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'celery seed'}","Place Tajin on a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into Tajin. Set aside.. Fill a cocktail shaker with ice. Add tomato juice, tequila, lime juice, Worcestershire sauce, Tabasco, horseradish, and celery seed. Shake until the outside of shaker is frosted; strain into the prepared glass.","calories: 158, fat: 1g, carbs: 6g, protein: 1g, servings: 1",https://www.allrecipes.com/thmb/5iD5ACBwHljKp-6pe3uU1dhySfs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8730420_Bloody-Maria_Yolanda-Gutierrez_4x3-540c99c732834c978b7818e2f2f3cce6.jpg
Bloody Caesar,https://www.allrecipes.com/bloody-caesar-recipe-8730391,"{'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'celery salt,'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '4', 'unit': 'dashes', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'dashes', 'name': 'Tabasco'}, {'quantity': '8', 'unit': 'fluid ounces', 'name': 'Clamato'}, {'quantity': '1', 'unit': None, 'name': 'celery stick, plus other garnishes'}","Sprinkle celery salt onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Add vodka, Worcestershire sauce, and Tabasco sauce, then fill with Clamato juice and gently stir. Sprinkle in a pinch of celery salt, then garnish with lime wedge, celery stick and other preferred garnishes.","calories: 286, fat: 1g, carbs: 37g, protein: 3g, servings: 1",https://www.allrecipes.com/thmb/RmltJvouIGSd0IF5iu3IKksqutI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8730391_Bloody-Caesar_France-Cevallos_4x3-98860061c96b4c55ab87590a156199d0.jpg
Green Apple Martini,https://www.allrecipes.com/green-apple-martini-recipe-8721476,"{'quantity': '2', 'unit': 'fluid ounces', 'name': 'apple flavored vodka'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'green apple pucker liqueur'}, {'quantity': '1', 'unit': 'ounce', 'name': 'lemonade'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'agave syrup or simple syrup'}, {'quantity': None, 'unit': None, 'name': 'green apple slices, for garnish'}","Add green apple vodka, green apple pucker, lemonade, and agave syrup to a cocktail shaker. Fill the shaker with ice.. Shake very well and pour into 2 frosted martini glasses. Garnish with green apple slices.","calories: 119, fat: 0g, carbs: 15g, protein: 0g, servings: 2",https://www.allrecipes.com/thmb/TI_UDtpy0qYeuRC_yPtBxzYwQbc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8721476_Green-Apple-Martini_Shelia-Johnson_4x3-5b4425f88d534aaa9051a640f2bfaf8a.jpg
Blackberry Margarita,https://www.allrecipes.com/blackberry-margarita-recipe-8717118,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '12', 'unit': None, 'name': 'blackberries'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'simple syrup'}, {'quantity': '3/4', 'unit': 'fluid ounces', 'name': 'lime juice'}","Sprinkle salt onto a plate. Moisten the rim of a glass with lime wedge. Press the moistened rim into the salt. Fill the glass with ice.. Fill a cocktail shaker with 10 blackberries, reserving 2 blackberries for garnish. Use a muddler to crush berries to release their juices. Add tequila, triple sec, simple syrup and lime juice to the shaker and add 1 cup of ice. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Strain margarita into the glass and garnish with remaining blackberries.","calories: 309, fat: 1g, carbs: 37g, protein: 2g, servings: 1",https://www.allrecipes.com/thmb/Eb3sNCTcT9RbRr0J1Ym9UebtdSw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8717118_Blackberry-Margarita_France-Cevallos_4x3-ff68c2cee7854a2792f9d225ab6e4dc1.jpg
Dirt Road Martini,https://www.allrecipes.com/dirt-road-martini-recipe-8707143,"{'quantity': None, 'unit': None, 'name': 'ice as needed'}, {'quantity': '2', 'unit': 'ounces', 'name': 'vodka'}, {'quantity': '2', 'unit': 'ounces', 'name': 'unsweetened tea'}, {'quantity': '1/4', 'unit': 'ounce', 'name': 'brine from Mezzetta Italian Mix Giardiniera'}, {'quantity': None, 'unit': None, 'name': 'martini olives'}, {'quantity': None, 'unit': None, 'name': 'vegetable pieces from Mezzetta Italian Mix Giardiniera, for garnish'}",,,https://cdn.jwplayer.com/v2/media/wM3c9eTH/thumbnails/RAuGUfQG.jpg
