name,link,ingredients,steps,nutrition,image_url
New York-Style Crumb Cake,https://www.allrecipes.com/new-york-style-crumb-cake-recipe-8667166,"{'quantity': '4', 'unit': 'cups', 'name': 'cake flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'butter'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch baking pan; set aside.. For crumble, whisk cake flour, brown sugar, white sugar, cinnamon, and salt together in a bowl. Pour in melted butter. Crumble with your hands until mixture forms chunks. Let stand for at least 10 minutes for flour to absorb butter.. For cake, stir all-purpose flour, sugar, baking powder, and salt together in another bowl until well combined. Add egg, buttermilk, oil, and vanilla and stir until well incorporated. Spread into the prepared pan.. Add crumble over cake batter by breaking into large chunks.. Bake until a wooden skewer inserted in the center comes out clean, for 45 to 55 minutes. Cool on a wire rack for at least 1 hour.","calories: 548, fat: 23g, carbs: 80g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/NRzgNOny8fTRAesfhhoaPBPzEuE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8667166_New-York-Style-Crumb-Cake_Yolanda-Gutierrez_4x3-d622ea8f313b495f8c21e7f75c34320e.jpg
Strawberry Crumb Cake,https://www.allrecipes.com/strawberry-crumb-cake-recipe-8641154,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, cut into ½-inch cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'hulled and halved strawberries'}",,"calories: 362, fat: 13g, carbs: 57g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/9QYDU1y8y-ESGbUPV-WWCUtBa8k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/StrawberryButtermilkCrumbCakeKimShupe4x3-7e33dbd3be0d4e8fb7ca06abf63f1e26.jpg
Zucchini Coffee Cake,https://www.allrecipes.com/zucchini-coffee-cake-recipe-7554364,"{'quantity': None, 'unit': '1', 'name': 'zucchini (10 ounces), ends trimmed'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1/2', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}",,"calories: 474, fat: 29g, carbs: 52g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/VjMlffOQr6wGxCVgrcer3FJSVZE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7554364-zucchini-coffee-cake-ddmfs-3x4-2275-b31599caf0e7414bb860cf8bd605147e.jpg
Blueberry Coffee Cake,https://www.allrecipes.com/recipe/7878/blueberry-coffee-cake-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': ""confectioners' sugar for dusting""}","Preheat the oven to 350 degrees F (175 degrees C).. Make the streusel: Mix brown sugar, flour, and cinnamon together in a medium bowl. Cut in butter until mixture is crumbly.. Make the cake: Generously spray a fluted tube pan (such as Bundt) with cooking spray. Whisk flour, baking powder, and salt together in a bowl.. Beat butter in a large bowl with an electric mixer until creamy. Add sugar and beat until fluffy. Beat in egg and vanilla. Add flour mixture in two batches, alternating with milk, beating batter briefly after each addition.. Spread 1/2 of the batter in the prepared pan. Sprinkle blueberries over top, then add remaining batter, one spoon at a time.. Sprinkle streusel over top.. Bake in the preheated oven until deep golden brown, 55 to 60 minutes. Set on a wire rack to cool, about 30 minutes.. Invert cake onto a plate and dust with confectioners' sugar.","calories: 396, fat: 16g, carbs: 60g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/onFBuGw4/poster.jpg?width=720
Fresh Strawberry Coffee Cake,https://www.allrecipes.com/recipe/228949/fresh-strawberry-coffee-cake/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'thinly sliced strawberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flaked coconut'}","Preheat oven to 350 degrees F (175 degrees C). Grease a 9-inch baking pan.. Beat 1/4 cup butter in a bowl until creamy; add 3/4 cup sugar and egg. Beat until fully incorporated.. Mix 1 ½ cups flour, baking powder, and salt together in a separate bowl. Stir flour mixture, alternating with milk, into butter mixture until combined. Pour batter into prepared baking pan. Arrange strawberries on top of batter.. Mix 1/2 cup flour, 1/2 cup sugar, 1/4 cup butter, and coconut together in a bowl. Sprinkle topping over strawberries.. Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, about 35 minutes.","calories: 249, fat: 9g, carbs: 40g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/quYLDZbE4QShrxW37xMOo4XZAzw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1018067-fresh-strawberry-coffee-cake-Occasional-Cooker-4x3-1-65d36a29eab949168c4f361cbc3a9486.jpg
I Tried Our 5 Most Popular Coffee Cake Recipes and This Is the One I'll Make Again and Again,https://www.allrecipes.com/best-coffee-cake-review-7368820,,,,https://www.allrecipes.com/thmb/-QikeQOpZcKdq6uOlR8SrnNrJWs=/1500x0/filters:no_upscale():max_bytes(200000):strip_icc()/coffee_cake_editedCoffee_cake_43-6ec07e1d993d41d5a6df1caaf8b59119.jpg
Aunt Anne's Coffee Cake,https://www.allrecipes.com/recipe/27491/aunt-annes-coffee-cake/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cold butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold butter'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk, or as needed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan.. Make streusel topping: Combine sugar, flour, and cinnamon in a medium bowl. Cut in butter until mixture resembles coarse crumbs. Set aside.. Make cake: Combine flour, sugar, baking powder, and salt in a large bowl. Cut in butter until mixture resembles coarse crumbs. Whisk together egg and milk in a separate bowl; stir in vanilla.. Pour egg mixture into crumb mixture; mix until just moistened.. Spread into the prepared pan and sprinkle with streusel topping.. Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, 25 to 30 minutes.. Allow to cool before slicing.","calories: 236, fat: 10g, carbs: 34g, protein: 3g, servings: 15",https://cdn.jwplayer.com/v2/media/BmQvaSgR/poster.jpg?width=720
15 Best Coffee Cake Recipes with Fresh Summer Fruit,https://www.allrecipes.com/summer-coffee-cake-recipes-8684903,,,,https://www.allrecipes.com/thmb/IdH4sObGSxLIi3He-NMtAn7vv5I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8248404_Raspberry-and-Strawberry-Buckle-4x3-2d56b3a6e5834fa4a4aa7dbf2ce4b3a4.jpg
Cinnamon Streusel Coffee Cake,https://www.allrecipes.com/cinnamon-streusel-coffee-cake-recipe-8641163,"{'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}",,"calories: 652, fat: 29g, carbs: 92g, protein: 8g, servings: 12",https://cdn.jwplayer.com/v2/media/QeXttyZn/poster.jpg?width=720
My Grandma’s Apple Coffee Cake Is the Holiday Treat I Fly Home For,https://www.allrecipes.com/my-grandmas-famous-apple-coffee-cake-recipe-8408355,,,,https://www.allrecipes.com/thmb/r8Ctxm2_gXbJzUBg1CnH_3R0VQY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_2824-Apple-Crumble-Coffee-Cake-4x3-1-2000-969e67a0f0b04cc7bbc148d65a318b8a.jpg
