name,link,ingredients,steps,nutrition,image_url
Slaw of Many Colors,https://www.allrecipes.com/slaw-of-many-colors-recipe-8707151,"{'quantity': '1', 'unit': 'medium head', 'name': 'red cabbage'}, {'quantity': '1', 'unit': 'medium', 'name': 'green bell pepper'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato'}",,"calories: 261, fat: 21g, carbs: 18g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/gUcpHuNzy3IUqzlDe6uxBHx_HsI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8707151-slaw-of-many-colors-4x3-6e9b7d1a2ea24f83a7c83d9b37dc09f2.jpg
Cowboy Coleslaw,https://www.allrecipes.com/cowboy-coleslaw-recipe-8653154,"{'quantity': '16', 'unit': 'ounce', 'name': 'coleslaw mix'}, {'quantity': '(15-ounce)', 'unit': None, 'name': 'black beans,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'frozen corn'}, {'quantity': '1', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'fresh cilantro'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'seeded and finely chopped jalapeño chile'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'adobo sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'taco seasoning'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'scallions'}, {'quantity': None, 'unit': None, 'name': 'lime wedges'}",,"calories: 418, fat: 28g, carbs: 38g, protein: 8g, servings: 6",https://cdn.jwplayer.com/v2/media/yHFVFIRL/thumbnails/tgt7f4cA.jpg
Pikliz,https://www.allrecipes.com/pikliz-recipe-8655382,"{'quantity': '2', 'unit': 'cups', 'name': 'cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'carrot'}, {'quantity': '2', 'unit': None, 'name': 'bell peppers, thinly sliced'}, {'quantity': '1/2', 'unit': 'medium', 'name': 'red onion, sliced'}, {'quantity': '3', 'unit': None, 'name': 'scallions, thinly sliced'}, {'quantity': '1 Jamaican', 'unit': None, 'name': 'Scotch bonnet pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'allspice'}, {'quantity': '4', 'unit': '', 'name': 'peppercorns'}, {'quantity': '2', 'unit': None, 'name': 'cloves'}, {'quantity': '1', 'unit': None, 'name': 'bay leaf'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lime juice'}","Stuff cabbage, carrot, bell peppers, onion, scallions, Scotch bonnet pepper, allspice, peppercorn, cloves, and bay leaf into a mason jar with a lid until it's filled to the brim.. Add vinegar, and lime juice and press down on the ingredients. Seal the jar and shake once.. Refrigerate for 2 days for flavors to meld.","calories: 35, fat: 0g, carbs: 7g, protein: 1g, servings: 10",https://cdn.jwplayer.com/v2/media/c5yl72Bd/thumbnails/qmRtCmQt.jpg
Carolina Red Slaw,https://www.allrecipes.com/carolina-red-slaw-recipe-7550726,"{'quantity': '2', 'unit': 'pounds', 'name': 'green cabbage'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red bell peppers'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili sauce, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha hot sauce, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'green onions, or as needed (optional)'}",,"calories: 76, fat: 0g, carbs: 19g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/sOeJ7czo/poster.jpg?width=720
Best Vinegar Coleslaw,https://www.allrecipes.com/recipe/59318/amish-slaw/,"{'quantity': '1', 'unit': 'large head', 'name': 'cabbage, cored and finely shredded'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, thinly sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vinegar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'celery seed'}, {'quantity': '1 ¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared mustard'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}","Gather the ingredients.. Toss cabbage and onion together in a large bowl; set aside.. Combine sugar, vinegar, oil, celery seed, salt, mustard, and pepper in a small saucepan; bring to a boil and simmer, stirring frequently, until sugar is dissolved, about 3 minutes.. Let mixture cool slightly, about 5 minutes, then pour over cabbage mixture; toss well to coat.. Serve and enjoy!","calories: 224, fat: 9g, carbs: 35g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/DDcYtf8F/thumbnails/cNNccBlZ.jpg
Warm Grilled Red Cabbage Slaw,https://www.allrecipes.com/recipe/8524012/warm-grilled-red-cabbage-slaw/,"{'quantity': '1', 'unit': 'medium', 'name': 'white onion, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'Granny Smith apple - peeled, cored and chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'head', 'name': 'red cabbage, shredded'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped fresh parsley'}","Heat grill to medium high heat to 375 degrees F (190 degrees C).. Pour olive oil into a grill pan and sauté onion for 2 minutes. Add chopped apples, maple syrup, apple cider vinegar, garlic powder, and onion powder to the grill pan and stir until mixed.. Reduce heat to low at 300 degrees F (150 degrees C). Add red cabbage to the grill pan and cook until cabbage is wilted and lightly tender, about 15 minutes.. Remove from heat and add parsley. Enjoy warm.","calories: 160, fat: 6g, carbs: 27g, protein: 3g, servings: 5",https://www.allrecipes.com/thmb/FS6NmHsaIoXi1doVs-tuJOpeTwg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1671715617cabbage-c222dc0d2a14418e99f343539ca2c81c.jpg
Napa Cabbage Salad,https://www.allrecipes.com/recipe/18517/napa-cabbage-salad/,"{'quantity': '1', 'unit': 'head', 'name': 'napa cabbage'}, {'quantity': '1', 'unit': 'bunch', 'name': 'minced green onions'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'ramen noodles, broken'}, {'quantity': '1', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cider vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}","Gather the ingredients.. Finely shred cabbage; do not chop. Combine green onions and cabbage in a large bowl. Cover and refrigerate until ready to serve.. Preheat the oven to 350 degrees F (175 degrees C). Make the crunchy topping: Melt butter in a pot. Stir ramen noodles, almonds, and sesame seeds into the pot with melted butter.. Spoon the mixture onto a baking sheet and bake the crunchies in the preheated oven, turning often to make sure they do not burn, for 5 to 7 minutes. When they are browned remove them from the oven.. Make the dressing: Heat oil, sugar, vinegar, and soy sauce together in a small saucepan. Bring the dressing to a boil, let boil for 1 minute. Remove the pan from heat and let cool.. Toss together cabbage with crunchy topping and dressing immediately before serving. Serve right away or the crunchies will get soggy.. Enjoy!","calories: 632, fat: 51g, carbs: 40g, protein: 9g, servings: 6",https://cdn.jwplayer.com/v2/media/LdRfvGlA/thumbnails/ya5FfzRU.jpg
Best Ramen Noodle Salad,https://www.allrecipes.com/recipe/237732/top-ramen-salad/,"{'quantity': '2', 'unit': '(3 ounce) packages', 'name': 'chicken-flavored ramen noodles, broken into pieces, seasoning packets reserved'}, {'quantity': '½', 'unit': 'cup', 'name': 'raw sunflower seeds'}, {'quantity': '½', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'coleslaw mix'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 450, fat: 31g, carbs: 35g, protein: 10g, servings: 6",https://cdn.jwplayer.com/v2/media/n9IJPJEu/poster.jpg?width=720
Traditional Creamy Coleslaw,https://www.allrecipes.com/recipe/232311/traditional-creamy-coleslaw/,"{'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'seasoned rice wine vinegar'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'prepared horseradish'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'celery salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(28 ounce) package', 'name': 'coleslaw mix'}","Whisk mayonnaise, sugar, vinegar, lemon juice, horseradish, onion powder, dry mustard, celery salt, salt, and pepper in a large mixing bowl until sugar has dissolved.. Fold coleslaw mix into dressing until well combined. Cover and refrigerate for at least 1 hour before serving.","calories: 204, fat: 16g, carbs: 14g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/wRlOcaS6kTirRz-8_EzT3DMNsGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232311traditional-creamy-coleslawlutzflcat4x3-262880b4787e4a8da30065568e87d04c.jpg
20 Fresh Coleslaw Ideas for Crunchtastic Summer Meals,https://www.allrecipes.com/summer-coleslaw-recipes-8677625,,,,https://www.allrecipes.com/thmb/y8BABzWWkrdP3obStNlSZc-fM_U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8536918-Copycat-KFC-Coleslaw-4x3-1-b55263f8b2514c4a9c5c6cf16637964c.jpg
