name,link,ingredients,steps,nutrition
5 Lemon Crinkle Cookie Recipes to Brighten Your Day,https://www.allrecipes.com/gallery/lemon-crinkle-cookie-recipes/,,,
25 Irresistibly Good Cookie Bar Recipes,https://www.allrecipes.com/gallery/cookie-bar-recipes/,,,
How To Make Biscotti,https://www.allrecipes.com/article/perfect-biscotti/,,,
20 Soft Cookies for Your Next Craving,https://www.allrecipes.com/gallery/soft-cookies/,,,
Florentine Cookies,https://www.allrecipes.com/recipe/282681/lace-cookies-florentine-cookies/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'whole raw almonds'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips, melted'}",,"calories: 213, fat: 14g, carbs: 22g, protein: 3g, servings: 18"
Apple Cider Cut-Out Cookies,https://www.allrecipes.com/apple-cider-cut-out-cookies-recipe-8745830,"{'quantity': '3/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'apple cider'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'apple cider'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': ""confectioner's sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': None, 'unit': None, 'name': 'ground cinnamon for sprinkling (optional)'}","Place butter into a light-colored saucepan over medium heat. Cook, stirring frequently, until butter is browned and smells nutty, 5 to 10 minutes. Pour butter into a large mixing bowl.. To the same saucepan, carefully pour in 2 cups of apple cider (it will sputter a bit). Place pan back over medium heat, and cook, stirring often, until cider has reduced to 1/2 cup, 20 to 25 minutes. Measure out 2 tablespoons of the reduced cider; set aside to use for icing. Pour remaining reduced cider into the bowl with browned butter. Allow to cool for 20 minutes.. Add brown sugar, white sugar, egg, vanilla, cinnamon, salt, nutmeg, cloves, and allspice to the butter-cider mixture. Whisk until thoroughly combined. Add in 1 1/2 cups flour, cornstarch, and baking powder, and mix until just combined. Add in remaining 1 1/2 cups flour, and mix until just combined; dough will be thick. Knead dough with your hands a few times until smooth. Pat dough into a flat disc, then wrap and refrigerate for at least 1 hour, or up to 48 hours.. Remove dough from refrigerator. If dough is too stiff to roll out, allow it to sit out at room temperature until it softens slightly, about 15 minutes. Lightly flour a work surface and roll dough out 1/4-inch thick. Cut out cookies using cutters. Gather dough scraps back together, re-roll, and cut out cookies until dough is all used up. Place cut-outs into the refrigerator for at least 15 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. Place chilled cut-outs 1 inch apart on prepared baking sheets.. Bake cookies in the preheated oven, one sheet at a time, until slightly puffed, 10 to 12 minutes. Cool cookies on the pan for several minutes, then remove to a wire rack to cool completely.. For icing, whisk together the reserved 2 tablespoons reduced cider, heavy cream, 1 tablespoons (non-reduced) apple cider, powdered sugar, honey, salt, and vanilla together until smooth. If icing is too thick, add more apple cider until desired consistency is reached; conversely, if icing is too thin, add more powdered sugar to thicken.. Place a wire rack over a baking sheet. Carefully hold a cookie by its edges. Dip the top of the cookie into the icing, then lift straight up to allow excess icing to drip off for several seconds. Carefully invert cookie and place onto the wire rack to catch any icing drips. Lightly sprinkle the top of the cookie with extra cinnamon before icing sets, if desired. Repeat with remaining cookies. Once icing is set, store cookies in an airtight container.","calories: 113, fat: 4g, carbs: 18g, protein: 1g, servings: 40"
Butterball Cookies,https://www.allrecipes.com/recipe/10930/butter-balls-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '⅓', 'unit': 'cup', 'name': ""confectioners' sugar for decoration""}","Preheat the oven to 325 degrees F (165 degrees C).. Beat butter in a large bowl on medium speed for 30 seconds. Add sugar, beat until fluffy. Add flour and beat at low speed until well blended; stir in pecans.. Shape cookie dough into one inch balls and place on an ungreased cookie sheet. Bake in the preheated oven until edges are lightly browned, about 20 minutes. Transfer cookies onto a wire rack to cool.. Roll cooled cookies in confectioners' sugar.","calories: 160, fat: 11g, carbs: 14g, protein: 2g, servings: 24"
Chocolate Chip Cookie Bars,https://www.allrecipes.com/chocolate-chip-cookie-bars-recipe-8417110,"{'quantity': 'baking spray', 'unit': None, 'name': 'baking spray'}, {'quantity': '1 1/3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2/3', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'cups', 'name': 'mini semisweet chocolate chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 350 degrees F (175 degrees C). Gather all ingredients.. Line bottom and sides of a 13x9-inch baking pan with heavy duty aluminum foil, leaving a 2-inch overhang on all sides, lightly spray with baking spray; set aside.. Beat together white sugar, brown sugar, and butter with a stand mixer fitted with paddle attachment on medium speed until light and fluffy, about 3 minutes, stopping to scrape down sides as needed.. With mixer running on low, add eggs, one at a time, beating until just combined after each addition. Beat in vanilla until just combined.. Whisk together flour, baking powder, salt, and baking soda in a medium bowl until combined. With stand mixer running on low speed, gradually beat in flour mixture until almost fully incorporated, about 2 minutes, stopping to scrape down sides as needed.. Stir in chocolate chips and toasted walnuts until combined.. Transfer dough into prepared baking pan, spreading into an even layer.. Bake in preheated oven until golden brown and set, about 40 minutes, rotating baking pan front to back halfway through.. Let cookie cool completely in pan on wire rack, about 1 hour. Using foil overhang as handles, lift cookie out of pan.. Cut into 24 (about 2-inch) squares.","calories: 572, fat: 30g, carbs: 72g, protein: 7g, servings: 12"
4-Ingredient Nutter Butter Cookie Balls,https://www.allrecipes.com/4-ingredient-nutter-butter-cookie-balls-recipe-8737957,"{'quantity': '16', 'unit': 'ounces', 'name': 'peanut butter sandwich cookies (such as Nutter Butter®)'}, {'quantity': '½', 'unit': '(16 ounce) jar', 'name': 'peanut butter (such as Jif®)'}, {'quantity': '½', 'unit': '(24 ounce) package', 'name': 'chocolate candy melts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'multicolored candy sprinkles'}","Cover a baking sheet with parchment paper and set aside.. Crush peanut butter cookies in a food processor until they are crumbs. Pour into the bowl of a stand mixer and add peanut butter. Mix on medium speed until a dough forms, about 5 minutes.. Scoop dough and form 20 balls, placing them onto the prepared baking sheet. Freeze for 30 minutes so they will hold together while dipping.. Melt chocolate candy in a microwave-safe bowl in a microwave, stirring frequently, in 30-second increments.. Insert a toothpick into each cookie ball and dip into melted chocolate. Return balls to the prepared baking sheet and top with sprinkles.",
Puppy Chow Crispy Treats,https://www.allrecipes.com/puppy-chow-crispy-treats-recipe-8732234,"{'quantity': '6', 'unit': 'ounces', 'name': '72% dark chocolate chips'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'creamy peanut butter'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '12', 'unit': 'ounce', 'name': 'rice cereal squares'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'powdered sugar'}, {'quantity': '8', 'unit': 'cups', 'name': 'miniature marshmallows'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'creamy peanut butter (such as Skippy)'}",,"calories: 472, fat: 22g, carbs: 65g, protein: 7g, servings: 12"
