name,link,ingredients,steps,nutrition
Shrimp Ramen Stir Fry,https://www.allrecipes.com/shrimp-ramen-stir-fry-recipe-8733280,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'oyster sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili crisp,'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'grapeseed oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'broccoli florets'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red bell pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/4', 'unit': 'pound', 'name': 'shrimp'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'ramen noodles'}, {'quantity': '1', 'unit': 'pinch', 'name': 'sesame seeds'}, {'quantity': None, 'unit': None, 'name': 'green onions for garnish'}","For sauce, add soy sauce, oyster sauce, sesame oil, rice vinegar, chili crisp, and garlic to a small bowl. Heat grapeseed oil in a small saucepan. Carefully pour heated oil into the bowl; set sauce aside.. Heat remaining 1 teaspoon sesame oil in a wok or heavy skillet. Add broccoli, carrots, bell pepper, and onion. Sauté until vegetables are crisp-tender, about 3 minutes. Add garlic and stir until fragrant, about 35 seconds. Pour in sauce, and add shrimp. Cook for approximately 2 minutes.. Meanwhile, open ramen package; discard seasoning packet. Bring 2½ cups water to a boil in a small saucepan. Add noodles and cook for 2 minutes. Drain; stir noodles into the wok; toss to coat. Garnish with black and white sesame seeds, and chopped green onion.","calories: 649, fat: 33g, carbs: 53g, protein: 38g, servings: 1"
This Viral Toast Recipe Tastes Just Like Pizza But Is Ready In Only 15 Minutes,https://www.allrecipes.com/pizza-lava-toast-7974170,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'slices', 'name': 'sourdough bread'}, {'quantity': '1 ½', 'unit': 'ounces', 'name': 'sliced mozzarella cheese'}, {'quantity': '1/2', 'unit': 'ounce', 'name': 'pepper jack cheese'}, {'quantity': '5', 'unit': 'slices', 'name': 'pickled jalapeno'}, {'quantity': '5', 'unit': 'slices', 'name': 'pepperoni'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pizza sauce'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'italian seasoning, divided'}, {'quantity': None, 'unit': None, 'name': 'Crushed red pepper, to taste'}, {'quantity': None, 'unit': 'Ground', 'name': 'black pepper, to taste'}",,"calories: 703, fat: 30g, carbs: 80g, protein: 31g, servings: 1"
Fried Egg Tortilla,https://www.allrecipes.com/fried-egg-tortilla-recipe-7561904,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'taco seasoning, or to taste'}, {'quantity': '1 1/2', 'unit': 'ounces', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '1', 'unit': '(6 to 7-inch)', 'name': 'flour tortilla'}","In a 10-inch nonstick skillet, melt butter over medium heat, and swirl the pan to coat the bottom evenly.. Carefully break egg into buttered skillet and cook until egg white is opaque and egg is firm enough to turn, about 1 minute.. Turn egg over, being careful not to break yolk; sprinkle with taco seasoning and about half of cheese.. Gently place tortilla over egg and cheese, and cook about 1 minute. Using a silicone egg turner, flip the egg and tortilla, as one.. Sprinkle remaining cheese on top of the egg, and continue cooking until the egg is done to your liking and the tortilla is warm and toasty, about 2 minutes.. Slide tortilla and egg to a serving plate and serve warm.","calories: 473, fat: 30g, carbs: 29g, protein: 20g, servings: 1"
Grilled Pita Pizza,https://www.allrecipes.com/grilled-pita-pizza-recipe-7508264,"{'quantity': '1/4', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1/8', 'unit': 'small', 'name': 'red onion'}, {'quantity': '2 1/4', 'unit': 'teaspoons', 'name': 'talian dressing'}, {'quantity': '1', 'unit': '(6 1/2-inch)', 'name': 'pita bread'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pizza sauce'}, {'quantity': '1/8', 'unit': 'cup', 'name': 'sliced mushrooms'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black olives, or to taste'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat the grill for medium-high heat and lightly oil the grate. Preheat the oven to 425 degrees F (220 degrees C).. Toss bell pepper and red onion with Italian dressing in a bowl. Grill vegetables until tender with a bite, 5 to 8 minutes, turning occasionally. Allow to cool slightly, then cut peppers into thin strips; cut onions into 3/4-inch pieces.. Place pita on the grill until grill marks form, 30 seconds to 2 minutes; turn, and grill the other side until grill marks form, 30 seconds to 2 minutes.. Place pita on a sheet pan. Spread one side of pita with olive oil and pizza sauce. Scatter peppers, onion, mushrooms, and black olives over pita, and sprinkle with mozzarella cheese.. Bake in the preheated oven until cheese melts, about 5 minutes.","calories: 732, fat: 16g, carbs: 118g, protein: 29g, servings: 1"
Peanut Butter Oatmeal,https://www.allrecipes.com/peanut-butter-oatmeal-recipe-7497088,"{'quantity': '1', 'unit': 'cup', 'name': '1% milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'superfine sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cinnamon'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'oats'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped walnuts (optional)'}","Combine milk, sugar, and salt in a saucepan over medium-low heat and bring to a simmer.. Add cinnamon and oats. Cook over medium-low heat until oats are tender with a bite, about 5 minutes. Use a long spoon to stir, and adjust heat to prevent splattering.. Remove from heat; stir in vanilla and peanut butter. Serve in a large bowl, and top with honey and walnuts.","calories: 449, fat: 13g, carbs: 68g, protein: 17g, servings: 1"
Garlic Chili Oil Noodles,https://www.allrecipes.com/garlic-chili-oil-noodles-recipe-7496389,"{'quantity': '1', 'unit': 'package', 'name': 'ramen noodles'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili oil'}, {'quantity': '4', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'sesame seeds'}, {'quantity': '2', 'unit': None, 'name': 'green onions, sliced diagonally, or to taste'}","Bring a pot of water to a boil over high heat. Add ramen noodles, and cook until tender, 3 to 4 minutes.. Meanwhile, heat sesame oil, soy sauce, and chili oil in a wok over medium-high heat.. Add garlic and stir fry until fragrant, 30 to 45 seconds. Remove from heat. Drain ramen noodles, add to the wok, and toss to coat. Sprinkle with sesame seeds and scallions for garnish. Enjoy!","calories: 616, fat: 37g, carbs: 59g, protein: 12g, servings: 1"
Easy Creamy Chicken Ramen,https://www.allrecipes.com/recipe/8505574/easy-creamy-chicken-ramen/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '½', 'unit': 'cup', 'name': 'whipping cream'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'ramen noodles (without flavor packet)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'reduced-sodium soy sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped cooked chicken'}, {'quantity': '', 'unit': '', 'name': '1 pinch everything bagel seasoning (optional)'}","Melt butter in a heavy skillet over medium heat. Add minced garlic and cook, stirring, until fragrant, about 30 seconds. Add chicken broth, cream, and ramen noodles. Cook, stirring occasionally, until noodles soften, about 3 minutes.. Add soy sauce and chopped cooked chicken. Allow to get hot.. Serve garnished with everything bagel seasoning if desired.","calories: 958, fat: 73g, carbs: 56g, protein: 21g, servings: 1"
Grilled Cheese Sandwich,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/,"{'quantity': '4', 'unit': 'slices', 'name': 'white bread'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '2', 'unit': 'slices', 'name': 'Cheddar cheese'}",,"calories: 400, fat: 28g, carbs: 26g, protein: 11g, servings: 2"
Seared Ahi Tuna Steaks,https://www.allrecipes.com/recipe/160099/seared-ahi-tuna-steaks/,"{'quantity': '2', 'unit': '(5 ounce)', 'name': 'ahi tuna steaks'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper (Optional)'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'whole peppercorns'}",,"calories: 301, fat: 18g, carbs: 1g, protein: 33g, servings: 2"
Fish in Foil,https://www.allrecipes.com/recipe/21306/fish-in-foil/,"{'quantity': '2', 'unit': '', 'name': 'rainbow trout fillets'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'sheets', 'name': 'heavy-duty aluminum foil'}, {'quantity': '1', 'unit': '', 'name': 'fresh jalapeno pepper, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced'}","Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).. Rinse and pat fillets dry. Rub fillets with olive oil, and season with garlic salt and black pepper.. Place each fillet on a large sheet of aluminum foil. Top with jalapeno slices, and squeeze the juice from the ends of the lemon over fillets.. Arrange remaining lemon slices on top of fillets.. Carefully seal all edges of the foil to form enclosed packets. Place packets on a baking sheet.. Bake in the preheated oven until fish flakes easily with a fork, 15 to 20 minutes depending on size of fillets.","calories: 213, fat: 11g, carbs: 8g, protein: 24g, servings: 2"
