name,link,ingredients,steps,nutrition
Copycat Red Lobster Shrimp Scampi,https://www.allrecipes.com/copycat-red-lobster-shrimp-scampi-recipe-8730066,"{'quantity': '1', 'unit': 'pound', 'name': 'jumbo shrimp (12 to 16 per pound)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pinot grigio'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'melted butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly squeezed lemon juice'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed red pepper flakes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shredded Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'chopped parsley, for garnish'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges, for garnish'}","Gather all ingredients. Preheat the oven’s broiler to 500 degrees F (260 degrees C).. Place shrimp in a pinwheel fashion in an oven-safe dish, such as a glass pie plate.. Stir pinot grigio, melted butter, lemon juice, garlic, salt, and crushed red pepper flakes together in a cup.. Poor mixture over shrimp. Sprinkle Parmesan over shrimp.. Broil until shrimp is pink and tails curl inward, about 7 minutes.. Sprinkle with chopped parsley and serve with lemon wedges.","calories: 2276, fat: 35g, carbs: 50g, protein: 417g, servings: 4"
Copycat Trader Joe's Gone Bananas,https://www.allrecipes.com/copycat-trader-joe-s-gone-bananas-recipe-8733325,"{'quantity': '1', 'unit': 'large', 'name': 'banana'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'dark chocolate chips'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}","Line a baking sheet with parchment. Slice banana into 1/4-inch thick rounds. Place rounds onto the lined sheet, then place into the freezer. Freeze until solid, about 2 hours.. Place chocolate chips, butter, and oil in a small microwave-safe bowl. Microwave on 50% power for 1 to 2 minutes, stopping to stir every 30 seconds, until chocolate is melted.. Remove banana rounds from freezer. Place one round onto a fork and dip into the chocolate until fully coated. Shake to remove excess chocolate, then use another fork to help slide the chocolate covered banana round back onto the parchment lined baking sheet. Repeat process until all banana pieces are coated in chocolate.. Place chocolate covered banana pieces back into the freezer until chocolate is set, about 30 minutes. Keep stored in the freezer.","calories: 107, fat: 7g, carbs: 10g, protein: 1g, servings: 18"
Copycat Kenny Rogers Chicken,https://www.allrecipes.com/copycat-kenny-rogers-chicken-recipe-8717099,"{'quantity': '1', 'unit': None, 'name': 'lemon,'}, {'quantity': '1', 'unit': None, 'name': 'whole chicken'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'liquid smoke'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': None, 'unit': None, 'name': 'Fresh thyme'}",,"calories: 343, fat: 16g, carbs: 20g, protein: 34g, servings: 6"
Copycat Orange Julius,https://www.allrecipes.com/copycat-orange-julius-recipe-8724358,"{'quantity': '3/4', 'unit': 'cup', 'name': 'orange juice concentrate'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'confectioners sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice'}","Place orange concentrate, milk, heavy cream, water, confectioner’s sugar, and vanilla in a blender cup. Blend until well combined. Add ice and blend until frothy. Serve immediately.","calories: 426, fat: 24g, carbs: 47g, protein: 6g, servings: 2"
Copycat Trader Joe’s Butternut Squash Mac and Cheese,https://www.allrecipes.com/copycat-trader-joes-butternut-squash-mac-and-cheese-recipe-8717042,"{'quantity': '16', 'unit': 'ounces', 'name': 'rigatoni pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'butternut squash'}, {'quantity': '6', 'unit': None, 'name': 'sage leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'turmeric'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'cup', 'name': 'Cheddar cheese'}, {'quantity': '1', 'unit': 'cup shredded', 'name': 'Gouda cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Parmesan cheese'}",,"calories: 412, fat: 19g, carbs: 43g, protein: 19g, servings: 6"
Copycat Cheesecake Factory Brown Bread,https://www.allrecipes.com/copycat-cheesecake-factory-brown-bread-recipe-8721666,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'package', 'name': 'dry yeast'}, {'quantity': '3 1/4', 'unit': 'cups', 'name': 'bread flour,'}, {'quantity': '1 2/3', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'molasses'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1/4', 'unit': 'cup regular', 'name': 'rolled oats'}","Gather all ingredients.. Whisk together warm water and 1 tablespoon honey in a bowl until combined. Sprinkle yeast over top and let stand until foamy, about 5 minutes.. Whisk together 2 ½ cups bread flour, whole wheat flour, cocoa powder, and salt in a large bowl.. Add the yeast mixture, butter, 1/4 cup honey, and molasses. Mix with a wooden spoon until combined.. Turn dough out onto a lightly floured surface. Knead 5 to 8 minutes until dough is smooth, and slightly tacky, adding 2 tablespoons of bread flour at a time to help work the dough.. Form dough into a large ball and place in a greased bowl. Cover bowl and let rise in a warm place until doubled in size, about 1 1/2 hours.. Punch dough down and turn out onto a lightly floured surface.. Divide the dough into 4 equal sized pieces, and shape into small loaves, roughly 6 inches long and 2 inches wide.. Line a large baking sheet with parchment paper. Pour cornmeal onto a plate and dip the bottoms of the loaves in the cornmeal to lightly coat.. Arrange loaves on prepared baking sheet, leaving ample space in between. Lightly moisten tops of loaves with a little water; sprinkle tops with oats.. Cover loaves loosely with greased plastic wrap and let rise in a warm place until nearly doubled in size, 45 to 60 minutes.. Meanwhile, preheat the oven to 350 degrees F (175 degrees C). Remove plastic wrap from loaves and bake until loaves are golden brown and a thermometer inserted in the center of the loaves reads 190 degrees F (88 degrees C), 25 to 35 minutes.. Transfer loaves to a wire rack to cool for at least 30 minutes before slicing and serving.","calories: 197, fat: 3g, carbs: 38g, protein: 5g, servings: 16"
Copycat Chuy's Creamy Jalapeno Ranch Dip,https://www.allrecipes.com/copycat-chuy-s-creamy-jalapeno-ranch-dip-recipe-8710491,"{'quantity': '1', 'unit': 'cup', 'name': 'cilantro leaves'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'jalapeño chiles'}, {'quantity': '8', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ranch seasoning'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': None, 'unit': None, 'name': 'tortilla chips'}",,"calories: 331, fat: 29g, carbs: 15g, protein: 4g, servings: 8"
The Real Copycat Panera Broccoli Cheddar Soup,https://www.allrecipes.com/the-real-copycat-panera-broccoli-cheddar-soup-recipe-8713988,"{'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'Cheddar cheese'}, {'quantity': '8', 'unit': 'unces', 'name': 'processed Cheddar cheese, such as Velveeta®'}, {'quantity': '2 to 2 1/2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '3', 'unit': 'cups', 'name': 'broccoli'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'white pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce'}, {'quantity': None, 'unit': None, 'name': 'bread'}","Melt butter in a large saucepan over medium-high heat.  Add onion and cook, stirring often, until soft and translucent, about 5 minutes. Add in flour and cook for 1 minute, stirring constantly. Whisk in milk and mustard and bring to a boil, stirring occasionally. Reduce heat to a simmer and cook until thick and creamy, 6 to 8 minutes.. Stir in Cheddar and Velveeta and cook, stirring constantly, until melted. Add in chicken stock, cream, carrots, and broccoli and cook until vegetables are tender, 10 to 15 minutes. stirring occasionally. Season with salt, pepper, and hot sauce and cook for 2 minutes more. Remove from heat and serve with crusty bread and more cheese on top if desired.","calories: 499, fat: 36g, carbs: 24g, protein: 21g, servings: 6"
17 Copycat Snacks You Can Make at Home,https://www.allrecipes.com/copycat-snack-recipes-8710445,,,
Copycat Cava Crazy Feta Dip,https://www.allrecipes.com/copycat-cava-crazy-feta-dip-recipe-8660929,"{'quantity': '1/2', 'unit': 'pepper', 'name': 'jalapeno, stems and seeds removed'}, {'quantity': '3/4', 'unit': 'small', 'name': 'red onion, quartered'}, {'quantity': '1/4', 'unit': 'tsp', 'name': 'kosher salt, or to taste'}, {'quantity': '1', 'unit': '(8-ounce)', 'name': 'feta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'extra virgin olive oil'}",,"calories: 276, fat: 26g, carbs: 4g, protein: 8g, servings: 4"
