name,link,ingredients,steps,nutrition,image_url
Jiffy Jalapeno Cheese Cornbread Muffins,https://www.allrecipes.com/jiffy-jalapeno-cheese-cornbread-muffins-recipe-8711179,"{'quantity': '2', 'unit': '(8.5 ounce) boxes', 'name': 'corn muffin mix (such as Jiffy'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'creamed corn'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pickled jalapeno peppers'}, {'quantity': '4', 'unit': 'ounces', 'name': 'heddar cheese,'}, {'quantity': '1', 'unit': 'small', 'name': 'jalapeno pepper'}, {'quantity': None, 'unit': None, 'name': 'softened butter'}","Preheat the oven to 400 degrees F (200 degrees C). Grease 12 standard muffin cups or line with paper liners.. Combine muffin mix, milk, eggs, sour cream, creamed corn, pickled jalapenos, and cheese in a large bowl; stir to combine. Divide mixture among prepared muffin cups. Place a jalapeno slice on top of each muffin.. Bake in the preheated oven until browned around the edges and centers spring back lightly when touched, 17 to 20 minutes. Lightly press down the center of each muffin to flatten the top slightly right after taking them out of the oven. Serve topped with butter.","calories: 206, fat: 10g, carbs: 24g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/Sxe6nbulc8pVAX-I6bK1Bt7H2Lc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8711179_Jalapeno-Cheese-Cornbread-Muffins_Dotdash-Meredith-Food-Studios_4x3-315ef71d441c419d80d7ee09b216a673.jpg
Chef John's Hot Water Cornbread,https://www.allrecipes.com/hot-water-cornbread-recipe-8681186,"{'quantity': '2', 'unit': 'cups', 'name': 'cornmeal'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'vegetable oil for frying, or as needed'}","Combine cornmeal, flour, sugar, salt, and baking powder in a bowl and whisk thoroughly until well mixed.. Pour in water, and carefully mix with a spoon until combined. Add butter and mix with a spoon until combined.. Line a baking sheet with parchment paper. Use a spoon or ice cream scoop to transfer 8 equal portions onto the prepared pan. Cover with plastic and press with your hands to form smooth patties about 1-inch thick.. For best results, chill dough in the refrigerator for at least 1 hour before frying. If needed, dough can be fried as soon as it is made.. Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C), or heat oil, 1/2-inch deep in a heavy skillet to 350 degrees F (175 degrees C).. Deep fry cornbread in the preheated deep fryer (or pan-fry in the preheated skillet) until nicely browned, about 3 minutes per side. Let cool about 10 minutes before serving.","calories: 873, fat: 84g, carbs: 30g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/s3FEqj2I/thumbnails/xNjaWJ6J.jpg
Jalapeno Cheddar Cornbread Muffins,https://www.allrecipes.com/jalapeno-cheddar-cornbread-muffins-recipe-7642461,"{'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'heddar cheese'}, {'quantity': '2', 'unit': None, 'name': 'jalapeno peppers, seeded and chopped'}, {'quantity': '2', 'unit': None, 'name': 'mozzarella sticks, each cut into 6 pieces'}, {'quantity': '12', 'unit': None, 'name': 'jalapeno pepper (optional)'}","Preheat the oven to 400 degrees F (200 degrees C). Grease or line 12 muffin cups.. In a large bowl, mix together cornmeal, flour, baking powder, and salt; stir in honey, egg, milk, and vegetable oil; blend thoroughly. Stir in shredded sharp Cheddar cheese and chopped jalapeños. Pour or spoon batter into the prepared muffin cups.. Add a mozzarella piece to the center of each muffin and one jalapeño slice.. Bake in the preheated oven until a toothpick inserted into center of a muffin comes out clean, about 14 minutes.","calories: 254, fat: 13g, carbs: 27g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/wnNWY5m_YszB1TAZOYBB-HvRR_s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7642461_Jalapeno-Cheddar-Cornbread-Muffins_4x3-b35286c68ce3410e8418d62b61e01c9f.jpg
Jalapeño Cheddar Cornbread,https://www.allrecipes.com/jalapeno-cheddar-cornbread-recipe-7499186,"{'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour, sifted'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': None, 'name': 'jalape'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion, minced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil, or as needed'}","Preheat the oven to 400 degrees F (200 degrees C). Place an 8 to 10-inch cast iron skillet in the oven.. Whisk cornmeal, flour, sugar, baking powder, salt, and pepper together in a bowl. Slowly stir in the 1/4 cup oil until mixture is crumbly. Stir in onions, jalapenos, and 1/2 cup cheese.. Fold in egg and buttermilk just until blended. Do not overmix.. Remove the hot skillet from the oven and swirl the 1 tablespoon oil around to grease the bottom and sides. Pour batter into the skillet.. Bake in the preheated oven until golden brown, 18 to 20 minutes. A toothpick inserted near the center should come out clean.. Sprinkle remaining 1/4 cup cheese on cornbread immediately after removing from the oven; let sit for a few minutes before serving.","calories: 436, fat: 23g, carbs: 45g, protein: 13g, servings: 6",https://www.allrecipes.com/thmb/97wrZhW7oaTHLwoGhEyD-caTUb0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7499186jalapeno-cheddar-cornbread-recipe-lutzflcat4x3-230e76b252884253a9459d6869410b42.jpg
Golden Sweet Cornbread,https://www.allrecipes.com/recipe/17891/golden-sweet-cornbread/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow cornmeal'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}",,"calories: 189, fat: 7g, carbs: 28g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/NkugMiKa/thumbnails/mSl7Z0QL.jpg
Honey Cornbread,https://www.allrecipes.com/recipe/24517/honey-cornbread/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow cornmeal'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}","Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a 9x9-inch baking pan.. Stir together flour, cornmeal, sugar, and baking powder in a large bowl; form a well in the center. Add cream, eggs, oil, and honey; stir until well combined. Pour batter into the prepared baking pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 20 to 25 minutes.","calories: 358, fat: 20g, carbs: 42g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/ovZcapwE/poster.jpg?width=720
Grandmother's Buttermilk Cornbread,https://www.allrecipes.com/recipe/76594/grandmothers-buttermilk-cornbread/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Gather all ingredients.. Preheat the oven to 375 degrees F (175 degrees C). Grease an 8-inch square pan.. Melt butter in a large skillet over medium heat. Remove from heat and stir in sugar. Quickly whisk in eggs.. Combine buttermilk and baking soda in a small bowl; whisk mixture into the skillet. Stir in cornmeal, flour, and salt until well-blended and only a few lumps remain.. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 30 to 40 minutes.. Serve and enjoy!","calories: 284, fat: 12g, carbs: 39g, protein: 5g, servings: 9",https://cdn.jwplayer.com/v2/media/xWrE4dTb/poster.jpg?width=720
Sloppy Joe Cornbread Casserole,https://www.allrecipes.com/sloppy-joe-cornbread-casserole-recipe-8672792,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground chuck'}, {'quantity': '2', 'unit': 'cups', 'name': 'finely chopped yellow onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped green bell pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'ketchup'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'yellow mustard'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'packed light brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': '(8.5 ounce) packages', 'name': 'corn muffin mix (such as Jiffy)'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 9x13-inch baking dish with cooking spray.. Heat a large skillet over medium-high heat. Add ground beef; cook, stirring occasionally and breaking up meat into smaller pieces with a wooden spoon, until almost fully browned, about 4 minutes. Add onion and bell pepper, and cook over medium-high, stirring occasionally, until softened and tender, 6 to 8 minutes.. Stir in tomato paste; cook, stirring constantly, until tomato paste has slightly darkened in color, about 2 minutes. Stir in beef broth, using a spatula to scrape any browned bits from bottom of pan. Stir in ketchup, mustard, Worcestershire sauce, sugar, garlic powder, and black pepper until fully combined. Bring to a boil over medium-high, and cook, stirring occasionally, until sauce thickens and bubbles appear all over the surface, about 7 minutes. Remove from heat, and transfer to the prepared baking dish.. Whisk together corn muffin mix, milk, baking powder, and eggs in a medium bowl until fully combined; spoon in an even layer over sloppy Joe filling.. Bake in the preheated oven until cornbread is golden brown and a wooden pick inserted in the center comes out clean, 20 to 25 minutes. Serve immediately.","calories: 417, fat: 18g, carbs: 38g, protein: 26g, servings: 12",https://www.allrecipes.com/thmb/HyuTHssVoAUIJwFv4gfxJ6Kami8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8672792-sloppy-joe-cornbread-casserole-ddmfs-5872-4x3-beauty-d0a0cab9870f4226b0fc5701f6d28793.jpg
Jalapeño Cornbread Muffins,https://www.allrecipes.com/jalapeno-cornbread-muffins-recipe-7643020,"{'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'jalape'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow cornmeal'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'taco seasoning, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}","Preheat oven to 375 degrees F (190 degrees C) and grease the cups of a 12-muffin tin.. Place 1/4 cup butter in a small skillet and melt. When butter is melted, add onion and minced jalapeño and cook, stirring occasionally, 3 to 5 minutes. Set aside to cool.. In a mixing bowl, combine beaten eggs and buttermilk, stirring briskly to combine.. In a separate bowl, whisk together cornmeal, flour, taco seasoning, salt, and baking soda.. When the onions and jalapeños have cooled to room temperature, combine with egg and buttermilk mixture, stirring briskly.. Add wet ingredients to dry ingredients, stirring until dry ingredients are just moistened and there are no lumps. Pour batter evenly into prepared muffin cups. Place a slice of jalapeño on top of each muffin.. Bake in the center of the preheated oven until browned and a toothpick inserted into the middle of the muffin comes out clean, about 25 minutes. If it does not come out clean, bake about 5 minutes more and test again.. Cool in the pan on a rack, about 5 minutes. Serve warm.","calories: 115, fat: 5g, carbs: 14g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/ACAwpveP50mkJFT8VlCg_Kq1378=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7643020_Jalapeno-Cornbread-Muffins_Bibi_4x3-bbc8dbafadcf407b8da77e78d5f75b10.jpg
Pepper Jack Cornbread Biscuits,https://www.allrecipes.com/recipe/8528589/pepper-jack-cornbread-biscuits/,"{'quantity': '2', 'unit': 'cups', 'name': 'self-rising flour (see Tip)'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow cornmeal'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'stick', 'name': '(1/2 cup) very cold unsalted butter, cubed'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'cold buttermilk'}, {'quantity': '2', 'unit': 'ounces', 'name': 'pepper Jack cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'melted butter for brushing tops'}",,"calories: 188, fat: 9g, carbs: 24g, protein: 3g, servings: 14",https://www.allrecipes.com/thmb/pd7s_j8ph71t1eAhc4i8ow3c2mw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8528589-pepper-jack-cornbread-biscuits-VAT-hero-4x3-753ab1b8086443e49415acc6a664b324.jpg
