name,link,ingredients,steps,nutrition
Loaded Reuben Totchos,https://www.allrecipes.com/recipe/8525335/loaded-reuben-totchos/,"{'quantity': '1', 'unit': '(32 ounce) package', 'name': 'frozen fried potato nuggets'}, {'quantity': '6', 'unit': 'ounces', 'name': 'corned beef, chopped (1 cup)'}, {'quantity': '½', 'unit': 'cup', 'name': 'sauerkraut, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Swiss cheese (4 oz.)'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Colby and Monterey Jack cheese (4 oz.)'}, {'quantity': '½', 'unit': 'cup', 'name': 'Thousand Island salad dressing'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'spicy brown mustard'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped green onion'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'caraway seeds, toasted'}","Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with foil.. Spread potato nuggets on prepared baking sheet. Bake until golden brown, 28 to 32 minutes.. Top potato nuggets with corned beef, sauerkraut, Swiss cheese, and Colby and Monterey Jack cheese. Bake until cheese is melted, 5 to 8 minutes.. Drizzle with Thousand Island dressing and mustard. Sprinkle with green onion and caraway seeds.","calories: 318, fat: 22g, carbs: 23g, protein: 13g, servings: 12"
Slow-Cooker Corned Beef and Cabbage,https://www.allrecipes.com/recipe/84270/slow-cooker-corned-beef-and-cabbage/,"{'quantity': '10', 'unit': '', 'name': 'baby red potatoes, quartered'}, {'quantity': '4', 'unit': 'large', 'name': 'carrots, peeled and cut into matchstick pieces'}, {'quantity': '1', 'unit': '', 'name': 'onion, peeled and cut into bite-sized pieces'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(4 pound)', 'name': 'corned beef brisket with spice packet'}, {'quantity': '6', 'unit': 'ounces', 'name': 'beer'}, {'quantity': '½', 'unit': 'head', 'name': 'cabbage, coarsely chopped'}",,"calories: 473, fat: 20g, carbs: 50g, protein: 24g, servings: 8"
Corned Beef and Cabbage,https://www.allrecipes.com/recipe/16310/corned-beef-and-cabbage-i/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'corned beef brisket with spice packet'}, {'quantity': '10', 'unit': 'small', 'name': 'red potatoes'}, {'quantity': '5', 'unit': 'medium', 'name': 'carrots'}, {'quantity': '1', 'unit': 'large head', 'name': 'cabbage'}",,"calories: 882, fat: 42g, carbs: 50g, protein: 71g, servings: 6"
Reuben Sandwich,https://www.allrecipes.com/recipe/47717/reuben-sandwich-ii/,"{'quantity': '8', 'unit': 'slices', 'name': 'rye bread'}, {'quantity': '½', 'unit': 'cup', 'name': 'Thousand Island dressing'}, {'quantity': '8', 'unit': 'slices', 'name': 'Swiss cheese'}, {'quantity': '8', 'unit': 'slices', 'name': 'deli sliced corned beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'sauerkraut, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}",,"calories: 657, fat: 40g, carbs: 44g, protein: 32g, servings: 4"
Sous Vide Corned Beef,https://www.allrecipes.com/recipe/279006/sous-vide-corned-beef/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'corned beef brisket with spice packet'}","Fill a large pot with water and place a sous vide immersion cooker into the water. Set the temperature to 140 degrees F (60 degrees C) according to manufacturer's instructions.. Rinse corned beef under cool water to remove excess salt, then pat dry. Sprinkle seasoning on fatty side and press into beef. Place corned beef into a large vacuum bag; seal using a vacuum sealer.. Place the sealed bag into the water and set a timer for 48 hours.. Transfer corned beef to a cutting board and slice across the grain.","calories: 125, fat: 9g, carbs: 0g, protein: 9g, servings: 12"
Instant Pot Corned Beef,https://www.allrecipes.com/recipe/268026/instant-pot-corned-beef/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(12 fluid ounce) can or bottle', 'name': 'beer'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(3 pound)', 'name': 'corned beef brisket with spice packet'}",,"calories: 417, fat: 28g, carbs: 5g, protein: 28g, servings: 4"
Braised Corned Beef Brisket,https://www.allrecipes.com/recipe/231030/braised-corned-beef-brisket/,"{'quantity': '1', 'unit': '(5 pound)', 'name': 'flat-cut corned beef brisket'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'browning sauce (such as Kitchen Bouquet), or as desired'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}",,"calories: 455, fat: 34g, carbs: 5g, protein: 31g, servings: 6"
Irish Boiled Dinner (Corned Beef),https://www.allrecipes.com/recipe/30918/irish-boiled-dinner-corned-beef/,"{'quantity': '1', 'unit': '(5 1/2 pound)', 'name': 'corned beef brisket'}, {'quantity': '2', 'unit': 'large', 'name': 'onions'}, {'quantity': '10', 'unit': '', 'name': 'carrots, cut into 1 inch pieces'}, {'quantity': '2', 'unit': 'heads', 'name': 'cabbage, cored and cut into wedges'}, {'quantity': '15', 'unit': 'small', 'name': 'white (Irish) potatoes'}","Gather all ingredients.. Rinse brisket under cold water and place in a large pot. Add enough water to cover roast by 6 inches.. Peel onions and place them in the pot. Bring to a boil; cook for about 30 minutes at a rolling boil. Reduce heat to medium-low, so water is at a gentle boil. Cover and cook for 3 1/2 hours.. Remove onions and cut them into wedges. Return them to the pot. Add carrots to the pot, then place cabbage over roast. Place potatoes on top of cabbage. Cover and cook until potatoes are tender, about 30 minutes more. The potatoes should be immersed in the water by now, but if not, keep the lid on so they can steam.. Remove vegetables from the pot and place in a separate serving bowl. Keep corned beef in the pot until ready to slice and serve because it dries out quickly.","calories: 918, fat: 36g, carbs: 107g, protein: 47g, servings: 6"
Homemade Pastrami,https://www.allrecipes.com/recipe/221900/easy-homemade-pastrami/,"{'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'coarsely ground fresh black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'smoked paprika'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground white pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '4', 'unit': 'pounds', 'name': 'corned beef brisket'}",,"calories: 4709, fat: 384g, carbs: 33g, protein: 273g, servings: 10"
Reuben Casserole,https://www.allrecipes.com/recipe/25407/reuben-casserole/,"{'quantity': '6', 'unit': 'slices', 'name': 'rye bread, cubed'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'sauerkraut, drained and rinsed'}, {'quantity': '1', 'unit': 'pound', 'name': 'deli sliced corned beef, cut into strips'}, {'quantity': '¾', 'unit': 'cup', 'name': 'Russian-style salad dressing'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Swiss cheese'}","Preheat the oven to 400 degrees F (200 degrees C). Spray a 9x13-inch baking dish with cooking spray. Spray one sheet of aluminum foil with cooking spray.. Spread bread cubes in the bottom of the prepared baking dish. Layer bread cubes with sauerkraut and beef strips, then pour dressing over top. Cover with the aluminum foil, sprayed-side down.. Bake in the preheated oven for 20 minutes. Remove and discard foil; sprinkle Swiss cheese over casserole. Continue baking until cheese is melted and bubbly, about 10 more minutes.","calories: 525, fat: 39g, carbs: 18g, protein: 26g, servings: 6"
