name,link,ingredients,steps,nutrition
Parmesan Cheese Crisps,https://www.allrecipes.com/parmesan-cheese-crisps-recipe-7558651,"{'quantity': '1', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or a silicone baking mat.. Using a tablespoon, create 16 mounds of cheese, about 2 inches in diameter, spaced at least 1 inch apart, on the prepared baking sheet. Press down on the middle of each mound to make them evenly thick.. Bake in the preheated oven until cheese is completely melted and edges are browned, 4 to 6 minutes. Remove from the oven to cool for 15 minutes. Remove from baking sheet and store at room temperature in an air-tight container for up to 5 days.","calories: 22, fat: 1g, carbs: 0g, protein: 2g, servings: 15"
Ranch Oyster Crackers,https://www.allrecipes.com/recipe/15956/ranch-oyster-crackers/,"{'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'Ranch-style dressing mix'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'lemon pepper (Optional)'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder (Optional)'}, {'quantity': '5', 'unit': 'cups', 'name': 'oyster crackers'}","Gather all ingredients. Preheat the oven to 250 degrees F (120 degrees C).. Mix vegetable oil, dressing mix, dill weed, lemon pepper, and garlic powder together in a large bowl.. Add oyster crackers; toss to coat. Spread evenly on a baking sheet.. Bake in the preheated oven until lightly browned, 15 to 20 minutes; stir gently after 10 minutes of baking.. Remove from the oven and allow to cool for 10 minutes before serving.","calories: 137, fat: 7g, carbs: 16g, protein: 2g, servings: 20"
Alabama Fire Crackers,https://www.allrecipes.com/recipe/214184/alabama-fire-crackers/,"{'quantity': '1 ⅔', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '(1 ounce) envelopes', 'name': 'ranch dressing mix'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': '(16.5 ounce) package', 'name': 'multigrain saltine crackers'}","Gather all ingredients.. Place vegetable oil, ranch dressing mix, crushed red pepper flakes, garlic powder, onion powder, and black pepper in a 2-gallon resealable plastic bag.. Seal the bag and squeeze with your hands until oil and spices are well combined.. Place crackers into the bag, seal, and turn the bag over to coat crackers with spice mix.. Let sit for about 1 hour, then turn again. Repeat several times until crackers are well-coated with spice mix, then allow the bag to sit 8 hours to overnight.. Remove crackers and serve.","calories: 181, fat: 14g, carbs: 13g, protein: 1g, servings: 30"
Ranch Mix Saltine Crackers,https://www.allrecipes.com/recipe/229550/ranch-mix-saltine-crackers/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'ranch dressing mix'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'saltine crackers'}","Place oil and ranch dressing mix into a 2-gallon resealable plastic bag; seal the bag and shake until well combined. Add crackers and shake until crackers are evenly coated. Set aside to allow crackers to absorb coating, about 3 hours, shaking the bag every 30 minutes.","calories: 325, fat: 25g, carbs: 22g, protein: 3g, servings: 15"
Authentic Taralli,https://www.allrecipes.com/recipe/279509/authentic-taralli/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'fine sea salt, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '¾', 'unit': 'cup', 'name': 'dry white wine'}","Combine flour, 1/4 teaspoon salt, oil, and wine in a stand mixer. Mix ingredients using the paddle attachment until a ball forms. Switch to the dough hook and knead dough for 10 minutes.. Line a baking sheet with parchment paper. Bring a large pot of water to boil over high heat and add the remaining salt. Spread a large, clean cloth out on a counter or table.. Pinch off a walnut-sized piece of dough once kneading has finished. Roll dough piece into a snake about 2 1/2 inches long. Form a tear drop shape, lightly pressing the two ends together to seal them into a ring. Repeat with remaining dough.. Turn down the boiling water to a low boil. Drop taralli into the water a few at a time. Do not stir; they will sink at first, then begin to float. Remove floating taralli with a slotted spoon. Place them on the clean cloth and continue until all the taralli have boiled and are drained on the cloth. Place them on the prepared baking sheet.. Preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until taralli are golden and firm on the outside, but still soft on the inside, about 40 minutes. Cool completely and rest for at least 1 hour before serving. Wrap with a clean cloth or place in a paper bag; store at room temperature for up to 1 week.","calories: 57, fat: 3g, carbs: 6g, protein: 1g, servings: 60"
Lavosh,https://www.allrecipes.com/recipe/22394/lavosh/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '2', 'unit': '', 'name': 'egg whites, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds'}","Preheat oven to 400 degrees F (200 degrees C).. In a large bowl, stir together, flour, sugar and salt. Add water, 1 egg white and melted butter; mix well to make a stiff dough. Knead until dough is smooth, about 5 minutes.. Divide dough into 10 balls. Roll each ball on lightly floured surface until paper thin. Place on ungreased baking sheet. Brush with egg white and sprinkle with sesame seeds.. Bake in preheated oven for 10 to 12 minutes, until browned.","calories: 151, fat: 4g, carbs: 25g, protein: 5g, servings: 10"
Crispy Rosemary Sea Salt Flatbread Crackers,https://www.allrecipes.com/recipe/256101/crispy-rosemary-sea-salt-flatbread-crackers/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced fresh rosemary'}","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with a silicon mat or parchment paper.. Place flour, salt, sugar, and grated cheese in a mixing bowl. Stir together until well mixed. Add rosemary; drizzle with olive oil and add water. Mix with a fork until mixture comes together in a fairly sticky dough and pulls away from the sides of the bowl, 3 to 5 minutes.. Transfer dough onto floured surface and add flour as you knead the dough. Knead until it no longer sticks to work surface, 4 to 5 minutes. Divide dough in half.. Dust work surface with flour. Roll out dough to 1/8-inch thickness or less. Brush or mist surface of dough very lightly with water. Sprinkle with coarse sea salt. Prick the entire surface of dough with the tines of a fork to prevent crackers from puffing too much when baking.. Cut each rolled out half into about 30 pieces with a pizza wheel. You can cut them out in squares, rectangles, or triangles--your choice. Transfer onto prepared baking sheet with a bench scraper or your floured fingers (dough will be very sticky).. Bake in preheated oven until perfectly browned and crunchy, 10 to 15 minutes, depending on the thickness.","calories: 21, fat: 1g, carbs: 3g, protein: 1g, servings: 60"
Firecracker Crackers,https://www.allrecipes.com/recipe/217905/firecracker-crackers/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'canola oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crushed red pepper flakes'}, {'quantity': '1', 'unit': '(1 ounce) packet', 'name': 'ranch dressing mix'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'Whole Wheat Saltine Crackers'}","Whisk canola oil, crushed red pepper flakes, ranch dressing mix, and chili powder together in a bowl.. Divide crackers evenly into two 1-gallon-sized sealable bags. Pour oil mixture evenly over crackers; seal the bags and flip to allow oil mixture to run over the crackers for 5 minutes; flip again. Repeat the flipping every five minutes to evenly coat the crackers for about 1 hour.. Remove crackers from the bags and spread onto large platters. Allow to sit, 8 hours to overnight before serving.","calories: 169, fat: 13g, carbs: 11g, protein: 2g, servings: 30"
Mary's Gone Crackers Copycat,https://www.allrecipes.com/recipe/242058/marys-gone-crackers-copycat/,"{'quantity': '1', 'unit': 'cup', 'name': 'cooked brown rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked quinoa'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'tamari (gluten-free soy sauce) (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water, or as needed (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chia seeds'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame seeds'}, {'quantity': '¼', 'unit': 'cup', 'name': 'flax seeds'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Cut a small square out of a separate sheet of parchment paper and oil 1 side; set aside.. Blend brown rice, quinoa, and tamari in a food processor, adding water if mixture is too dry, until a dough starts to form. Add chia seeds, sesame seeds, flax seeds, and salt; pulse until dough is a sticky ball.. Roll small pieces of dough into 1/2-inch balls and arrange at least 2 1/2 inches apart on the prepared baking sheet. Place the oiled square of parchment paper, oil-side down, onto a dough ball. Flatten the dough ball into a very thin 2-inch-wide disk by pressing the top of a small jar onto the parchment square. Repeat with remaining dough balls.. Bake in the preheated oven until edges of crackers begin to brown, 10 to 12 minutes. Transfer crackers to a wire rack. Place the rack onto the baking sheet and return to oven.. Bake until crackers are dry and crisp, 2 to 3 minutes more.","calories: 126, fat: 6g, carbs: 15g, protein: 4g, servings: 8"
Tasty Seasoned Oyster Crackers,https://www.allrecipes.com/recipe/218300/tasty-seasoned-oyster-crackers/,"{'quantity': '¾', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'ranch dressing mix'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'seasoned salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground white pepper'}, {'quantity': '2', 'unit': '(16 ounce) packages', 'name': 'oyster crackers'}","Preheat oven to 275 degrees F (135 degrees C).. In a large bowl, mix the canola oil, ranch dressing mix, dill, lemon pepper, granulated garlic, onion powder, seasoned salt, and white pepper until thoroughly combined. Gently mix the crackers with the seasonings, tossing to coat the crackers with the seasoned oil. Spread the crackers out onto a jelly roll pan in a single layer.. Bake in the preheated oven until the crackers are very lightly browned at the edges, 15 to 20 minutes, stirring to bake other sides halfway through cooking. Allow to cool completely before storing in airtight canister or resealable plastic bag.","calories: 169, fat: 8g, carbs: 21g, protein: 3g, servings: 32"
