name,link,ingredients,steps,nutrition
Our Best Fruit Cobblers and Crisps for Summer,https://www.allrecipes.com/gallery/best-summer-fruit-cobblers-and-crisps/,,,
"What's the Difference Between a Crisp, Crumble, Cobbler, Slump, and Buckle?",https://www.allrecipes.com/article/difference-cobbler-crisp-crumble-buckle/,,,
Our 10 Best Apple Crisp Recipes of All Time,https://www.allrecipes.com/gallery/best-apple-crisp-recipes/,,,
8 Peach Cobblers and Crisps With Oats,https://www.allrecipes.com/gallery/peach-cobblers-with-oats/,,,
“Grate” Apple Crisp,https://www.allrecipes.com/grate-apple-crisp-recipe-8727014,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '6', 'unit': None, 'name': 'apples'}, {'quantity': '1', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cornstarch'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/3', 'unit': 'cup packed', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Grape Nuts® cereal'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}",,"calories: 364, fat: 15g, carbs: 59g, protein: 2g, servings: 8"
Apple Crisp Topping,https://www.allrecipes.com/recipe/259609/apple-crisp-topping/,"{'quantity': '¾', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cardamom'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'rolled oats'}","Combine brown sugar, flour, cinnamon, salt, and cardamom in a large bowl. Cut in butter until blended and the mixture resembles small peas. Mix in oats with a wooden spoon.","calories: 301, fat: 16g, carbs: 37g, protein: 3g, servings: 6"
"15 Cobblers, Crisps, and Crumbles for Your 9x13 Baking Dish",https://www.allrecipes.com/9x13-cobbler-and-crisp-recipes-8668661,,,
"15 Irresistible Strawberry Cobblers, Crisps, and Crumbles",https://www.allrecipes.com/strawberry-cobblers-crisps-and-crumbles-8647105,,,
Best-Ever Peach Crumble,https://www.allrecipes.com/peach-crumble-recipe-7559227,"{'quantity': '6', 'unit': 'cups', 'name': 'fresh peaches'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter, melted'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 2-1/2 quart baking dish.. Place peaches in the prepared baking dish. Combine brown sugar, 3 tablespoons flour, lemon juice, lemon zest, and cinnamon; sprinkle over peaches.. Combine 1 cup flour, sugar, baking powder, salt, and nutmeg. Stir in egg and mix until mixture has pea-sized crumbles. Sprinkle mixture over peaches. Pour butter evenly over crumbles.. Bake in the preheated oven until the top is lightly browned, 37 to 40 minutes.","calories: 274, fat: 10g, carbs: 45g, protein: 3g, servings: 10"
Peach and Raspberry Crumble,https://www.allrecipes.com/recipe/273453/peach-and-raspberry-crumble/,"{'quantity': '3', 'unit': '', 'name': 'fresh peaches, pitted and sliced into equal crescents'}, {'quantity': '1', 'unit': 'pint', 'name': 'fresh raspberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon, divided'}, {'quantity': '1', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, cubed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 400 degrees F (200 degrees C).. Combine peaches, raspberries, 1/2 cup white sugar, 1/2 tablespoon cinnamon, and lemon juice in a bowl.. Combine oats, flour, butter, remaining 1/4 cup white sugar, brown sugar, and salt in a separate bowl; mix crumble topping thoroughly until smooth and not lumpy.. Pour fruit mixture into a large ceramic baking dish, spreading evenly. Top evenly with oat crumble mixture.. Bake in the preheated oven until golden brown, about 35 minutes.","calories: 305, fat: 11g, carbs: 51g, protein: 4g, servings: 10"
