name,link,ingredients,steps,nutrition,image_url
Chef John's Best Thanksgiving Dessert Recipes,https://www.allrecipes.com/gallery/chef-johns-best-thanksgiving-dessert-recipes/,,,,https://www.allrecipes.com/thmb/DNW6suKFDJzjUUzE2q-p6zMGZBI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chef-johns-pumpkin-pie-photo-by-vanessa-greaves-5f860050c33f401593c270859ee558e3.jpg
Chef John's 21 Best Potato Side Dishes,https://www.allrecipes.com/chef-john-potato-side-dish-recipes-8714065,,,,https://www.allrecipes.com/thmb/Td0J8c2J7UnMlAy2TjJDaGxOaOY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7157217_Steakhouse-Potatoes-Romanoff-4x3-9f2f0dc3a3014e08a638356bbf56d043.jpg
Chef John's Best Mushroom Recipes,https://www.allrecipes.com/gallery/chef-johns-best-mushroom-recipes/,,,,https://www.allrecipes.com/thmb/v2RCUwwT16lO0f6GsKJbj5USw4A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_6401Sausage-MushroomChicken4x3-5ae3931758ee4510a4779b121e8150c4.jpg
Chef John's 17 Best Pumpkin Recipes of All Time,https://www.allrecipes.com/chef-john-best-pumpkin-recipes-8724386,,,,https://www.allrecipes.com/thmb/u-ogOVF6Q3xk4kaM6G2mohYpz6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-holiday-classics-230132-chef-johns-pumpkin-pie-ddmfs-4x3-BG-4017-3fd033c38daf4e48b726036b365c45ea.jpg
How to Flip Food Like a Chef,https://www.allrecipes.com/article/how-to-flip-food-like-a-chef/,,,,https://cdn.jwplayer.com/v2/media/sMFP272w/poster.jpg?width=720
Low and Slow Prime Rib,https://www.allrecipes.com/recipe/8520971/low-and-slow-prime-rib/,"{'quantity': '5', 'unit': 'pounds', 'name': 'prime rib roast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'very soft unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'freshly ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'cayenne pepper'}",,"calories: 2152, fat: 196g, carbs: 1g, protein: 90g, servings: 4",https://cdn.jwplayer.com/v2/media/ltBv4jp3/poster.jpg?width=720
How to Dry Age Prime Rib at Home,https://www.allrecipes.com/article/how-to-dry-age-prime-rib/,,,,https://www.allrecipes.com/thmb/79zBIM3YRW8UCJg9GJ_lFuAb71k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7072753-5e7c1f801d4548f2ad08e9c9bb8b60e4.jpg
Chef John's Cheater Demi-Glace,https://www.allrecipes.com/recipe/254275/chef-johns-cheater-demi-glace/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'ribs', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped (including skins)'}, {'quantity': '2', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '5', 'unit': 'pounds', 'name': 'whole chicken wings'}, {'quantity': '3', 'unit': '(1 inch thick) slices', 'name': 'beef shank'}, {'quantity': '6', 'unit': 'quarts', 'name': 'cold water'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'whole black peppercorns'}","Preheat oven to 425 degrees F (220 degrees C).. Oil a large roasting pan with vegetable oil. Place celery, onions, and carrots in the pan. Drizzle tomato paste over the vegetables; toss together. Arrange chicken wings and beef shanks on the vegetables.. Bake in preheated oven 45 minutes. Turn chicken and beef pieces. Continue roasting until mixture is very well browned and even a bit charred here and there, another 30 to 40 minutes.. Transfer mixture to a large stock pot along with pan juices. Add 6 quarts cold fresh water, bay leaf, and peppercorns. Bring to a simmer over high heat; reduce heat to low to maintain a gentle simmer with small bubbles and very little movement. Simmer until meat is falling off the bone and flavor is extracted from the chicken and beef, 12 to 14 hours. Remove from heat.. Strain out all solids. Return pot to heat and bring to a simmer over medium-high heat. Reduce to about 2 quarts, or by 50 percent. Strain liquid though a strainer into a container; press down solids in strainer to extract all the liquid.. Bring to room temperature before covering; refrigerate. When demi-glace has solidified, gently use a spatula to scrape off any fat that has collected at the top.","calories: 317, fat: 19g, carbs: 9g, protein: 27g, servings: 8",https://cdn.jwplayer.com/v2/media/9MxAr5jm/poster.jpg?width=720
Chef John's Top 10 How-To Videos,https://www.allrecipes.com/article/chef-johns-top-how-to-videos/,,,,https://www.allrecipes.com/thmb/gKjTGA3yl7unRKRtMsqJD4x7no8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2882765_make-ahead-marsala-turkey-gravy_holiday-baker-c031bc1a83a84af6972bd074302dff60.jpg
Crispy Turkey Flautas,https://www.allrecipes.com/recipe/245584/crispy-turkey-flautas/,"{'quantity': '1', 'unit': 'pound', 'name': 'cooked, shredded turkey'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded pepper Jack cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '24', 'unit': '', 'name': 'small white corn tortillas'}, {'quantity': '1', 'unit': '', 'name': 'egg white to seal flautas (Optional)'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded napa cabbage'}, {'quantity': '¾', 'unit': 'cup', 'name': 'guacamole'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '¾', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}","Mix shredded turkey, pepper Jack cheese, green onions, salt and pepper together in a bowl.. Wrap stack of tortillas in a paper towel and place in a sealable plastic bag. Seal the bag only halfway. Microwave on high until tortillas are hot and flexible, about 45 seconds. Keep tortillas warm in the bag as you fill the others.. Place 2 tortillas on a work surface, one about 2 inches off center of the first creating a longer partially double tortilla. Spoon about 1/4 to 1/3 cup turkey mixture in a row just below the center of the long side of the tortilla. Paint a bit of egg white along the top edge of the tortillas. Bring bottom edge of the tortilla up and over the filling and roll rather tightly toward the top edge over the egg white. Set aside with the fold on the bottom while you fill the remaining tortillas.. Place 1/4 inch vegetable oil in a saute pan over medium heat. When oil is hot, place flautas in oil, seam side down. Press down gently with a spatula a couple of seconds to flatten bottoms. Fry in batches until flautas are crispy, golden, and heated through, 3 to 4 minutes per side. Drain about a minute on paper towels. Serve topped with shredded cabbage, guacamole, sour cream, salsa, and chopped cilantro.","calories: 578, fat: 25g, carbs: 54g, protein: 37g, servings: 6",https://cdn.jwplayer.com/v2/media/N2pNCPI7/poster.jpg?width=720
