name,link,ingredients,steps,nutrition
Stuffed Cabbage Rolls,https://www.allrecipes.com/recipe/26661/stuffed-cabbage-rolls/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '8', 'unit': '', 'name': 'cabbage leaves'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, slightly beaten'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed tomato soup, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 223, fat: 13g, carbs: 13g, protein: 13g, servings: 8"
Unstuffed Cabbage Roll,https://www.allrecipes.com/recipe/235997/unstuffed-cabbage-roll/,"{'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'small head', 'name': 'cabbage, chopped'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}",,"calories: 398, fat: 24g, carbs: 16g, protein: 29g, servings: 6"
Cabbage Rolls,https://www.allrecipes.com/recipe/19759/cabbage-rolls/,"{'quantity': '2', 'unit': 'cups', 'name': 'uncooked long-grain rice'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'large heads', 'name': 'savoy cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked long-grain rice'}, {'quantity': '1', 'unit': 'pound', 'name': 'extra-lean ground beef'}, {'quantity': '½', 'unit': 'pound', 'name': 'pork sausage'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried dill weed'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'whole peeled tomatoes, with liquid'}, {'quantity': '1', 'unit': '(26 ounce) can', 'name': 'condensed tomato soup'}, {'quantity': '8', 'unit': '', 'name': 'bay leaves'}","Wash rice thoroughly. Combine rice with 4 cups water in a medium saucepan; bring to a boil. Reduce heat, cover, and simmer until all of the water is absorbed, about 20 minutes.. Meanwhile, remove cabbage cores using a thin, long knife.. Place one cabbage in a microwave-proof container with the cored part facing down. Pour 1/2 cup water into the container, cover, and microwave on high for 10 minutes.. Carefully turn cabbage over, and cook, covered, for an additional 10 minutes. Let cabbage sit until it is cool enough to handle, then separate leaves carefully and remove any tough ribs. Cook the second cabbage in the same manner.. Sauté 1/2 of the onions in 3 tablespoons butter; cook just until translucent (do not brown). Combine the cooked and uncooked rice, cooked and uncooked onions, ground beef, pork sausage, garlic, dill weed, salt, black pepper, and sugar in a large mixing bowl. Mix until incorporated.. Spoon about 2 tablespoons of mixture onto each cabbage leaf. Bring one end of the cabbage leaf over the mixture, rolling and tucking in the ends to prevent the filling from falling out.. Preheat the oven to 350 degrees F (175 degrees C).. Place leftover cabbage leaves on the bottoms of two 9x13-inch casserole dishes. Arrange cabbage rolls in a single layer so they are tight against each other.. Purée tomatoes and condensed tomato soup in a food processor or blender. Pour tomato mixture over the cabbage rolls until just covered. Place 4 bay leaves on top of sauce in each dish. Cover each dish tightly with foil.. Bake in the preheated oven for 2 hours. Remove from the oven and let cool for 15 minutes before removing the foil. Serve hot.","calories: 441, fat: 16g, carbs: 60g, protein: 18g, servings: 12"
Halupki (Stuffed Cabbage),https://www.allrecipes.com/recipe/220002/halupki-stuffed-cabbage/,"{'quantity': '1', 'unit': 'head', 'name': 'cabbage, cored'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground pork'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked white rice'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, slightly beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'tomato sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white vinegar'}, {'quantity': '2 ⅔', 'unit': 'tablespoons', 'name': 'white sugar'}","Place cabbage in a stockpot; pour over enough water to cover. Add 1/4 teaspoon salt; bring to a boil over medium-high heat. Turn cabbage every 2 to 3 minutes; transfer any leaves that separate from cabbage into a strainer to drain and cool. Continue to boil until all the leaves have cooked, about 15 minutes. Reserve 1 1/2 cups of cabbage cooking water. Cut out the tough, thick center ribs of any large cabbage leaves with a sharp knife.. Preheat the oven to 350 degrees F (175 degrees C).. Mix ground beef, ground pork, cooked rice, eggs, onion, fresh parsley, garlic powder, salt, and pepper in a large bowl until combined. Lay 1 cabbage leaf on a flat surface; place 1 heaping tablespoon of filling at the base of a cabbage leaf. Overlap with the bottom of the leaf; fold in side edges and roll up.. Repeat with remaining large cabbage leaves and filling.. Cut any leftover cabbage leaves into pieces and place in the bottom of a roasting pan. Layer stuffed cabbage rolls on top.. Combine tomato sauce, reserved cabbage water, white vinegar, and white sugar in a bowl; pour mixture over cabbage rolls. Cover roasting pan with aluminum foil.. Bake in the preheated oven until filling is cooked through and sauce has thickened, about 2 1/2 hours. Baste stuffed cabbage rolls every hour.","calories: 468, fat: 30g, carbs: 22g, protein: 28g, servings: 10"
Easy Cabbage Rolls,https://www.allrecipes.com/recipe/20045/cabbage-rolls-ii/,"{'quantity': '12', 'unit': '', 'name': 'leaves cabbage'}, {'quantity': '1', 'unit': 'pound', 'name': 'extra-lean ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked white rice'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced onion'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}","Bring a large pot of water to a boil. Boil cabbage leaves for 2 minutes; drain.. Combine ground beef, cooked rice, egg, milk, onion, salt, and pepper in a large bowl. Spoon about 2 tablespoons of mixture onto each cabbage leaf.. Bring one end of the cabbage leaf over the mixture, rolling and tucking in the ends to prevent filling from falling out; arrange rolls in a single layer in the slow cooker.. Mix tomato sauce, brown sugar, lemon juice, and Worcestershire sauce together in a small bowl until combined. Pour over cabbage rolls.. Cover and cook on Low for 8 to 9 hours.","calories: 246, fat: 11g, carbs: 18g, protein: 19g, servings: 6"
Instant Pot Basic Cabbage Rolls,https://www.allrecipes.com/recipe/268289/instant-pot-basic-cabbage-rolls/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'water, plus more for soaking'}, {'quantity': '3', 'unit': 'pounds', 'name': 'head of savoy cabbage'}, {'quantity': '½', 'unit': 'cup', 'name': 'uncooked long grain rice'}, {'quantity': '2', 'unit': '(28 ounce) cans', 'name': ""tomato sauce (such as Hunt's®), divided""}, {'quantity': '⅓', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '⅓', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '⅓', 'unit': 'pound', 'name': 'ground veal'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped onion'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, finely chopped'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Pour 1 1/2 cups water into a multi-functional pressure cooker (such as Instant Pot). Insert the trivet. Remove tough outer leaves and core from cabbage. Place cabbage, core-side down, on the trivet.. Close and lock the lid; set the vent to Sealing. Select Manual function according to manufacturer's instructions; set the timer for 9 minutes. Allow 10 to 15 minutes for pressure to build.. While cabbage is cooking, place rice in a small bowl and cover with water; set aside to soak. Measure out 1/3 cup tomato sauce (from 1 can) and pour into a large bowl. Add beef, pork, veal, onion, garlic, 1 teaspoon salt, parsley, and pepper; set aside.. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Transfer cabbage to a plate. Drain water from the pot insert. Add remaining tomato sauce from the open can and 1 teaspoon salt to the pot. Replace the trivet in the pot.. Drain rice and add to meat mixture; stir to combine.. Separate cooked cabbage leaves carefully and shave off tough veins. Place a cabbage leaf on a work surface; fill with 2 tablespoons meat mixture and roll up, tucking in the sides. Place rolled leaf on the trivet in the pot. Continue with remaining leaves and filling, placing the first layer facing the same way and the second layer facing the opposite way. Pour remaining 1 can tomato sauce over rolls.. Close and lock the lid. Select the Stew/Meat function according to manufacturer's instructions; set the timer for 22 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid.","calories: 316, fat: 9g, carbs: 42g, protein: 22g, servings: 6"
Ukrainian Cabbage Rolls,https://www.allrecipes.com/recipe/21732/ukrainian-cabbage-rolls/,"{'quantity': '1', 'unit': 'medium head', 'name': 'cabbage'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': '(46 fluid ounce) can', 'name': 'tomato juice, or as needed'}","Preheat the oven to 325 degrees F (165 degrees C). Grease a 2-quart casserole dish.. Fill a large pot with a few inches of water and insert a steamer basket; bring to a boil. Place whole head of cabbage into the steamer basket, cover, and steam until tender, 10 to 12 minutes.. At the same time, bring 3 cups water to a boil in a saucepan. Stir in rice and reduce the heat. Cover and simmer until rice is tender and water has been absorbed, about 20 minutes.. Melt butter in a small skillet over medium heat. Add onion and sauté until translucent, about 5 minutes. Stir onion into cooked rice and season with salt and pepper to taste.. Cut leaves off cabbage and cut any larger leaves in half. Spoon 1 tablespoon rice into each leaf and roll tightly. Stack rolls in layers in the prepared casserole dish. Pour tomato juice over the rolls, using enough just to cover.. Cover and bake in the preheated oven for 2 hours.","calories: 207, fat: 4g, carbs: 40g, protein: 6g, servings: 8"
Sarma (Stuffed Cabbage),https://www.allrecipes.com/recipe/18863/sarma-stuffed-cabbage/,"{'quantity': '1', 'unit': 'large head', 'name': 'cabbage, frozen for 3 days, then thawed overnight in the refrigerator'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '½', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '½', 'unit': 'pound', 'name': 'ground ham'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked long-grain white rice'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pound', 'name': 'sauerkraut'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, or as needed to cover'}","Remove the leaves from the head of cabbage.. Mix beef, pork, ham, uncooked rice, onion, egg, salt, pepper, and garlic powder together in a bowl until well combined. Form mixture into oblong balls, using 1/2 cup of the mixture at a time. Wrap a cabbage leaf around each ball.. Spread sauerkraut in the bottom of a large pot. Layer cabbage rolls on top, placing them seam-side down. Pour tomato juice over rolls, then add enough water to cover and bring to a boil. Reduce the heat to low and simmer for about 3 hours, adding more water as necessary.","calories: 315, fat: 15g, carbs: 12g, protein: 32g, servings: 8"
Golabki (Stuffed Cabbage Rolls),https://www.allrecipes.com/recipe/234975/golabki-stuffed-cabbage-rolls/,"{'quantity': '1', 'unit': 'head', 'name': 'cabbage, cored'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely chopped garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, plus more to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper, plus more to taste'}, {'quantity': '3', 'unit': '(10.5 ounce) cans', 'name': 'condensed tomato soup'}, {'quantity': '2', 'unit': '(12 fluid ounce) cans', 'name': 'tomato juice, or more to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'ketchup'}","Bring a large pot of lightly salted water to a boil. Place cabbage head into the pot, cover, and cook until leaves are softened enough to remove from the head, about 3 minutes. Remove cabbage from the pot and let sit until leaves are cool enough to handle, about 10 minutes.. Remove 18 whole leaves from the cabbage head, cutting out any thick tough center ribs. Set whole leaves aside. Chop the remaining cabbage and spread it in the bottom of a casserole dish.. Melt butter in a large skillet over medium-high heat. Add onion and sauté until tender, 5 to 10 minutes. Remove from the heat and let cool, about 5 minutes.. Combine beef, pork, cooked rice, garlic, salt, and pepper in a large bowl. Add onion and mix until well combined.. Preheat the oven to 350 degrees F (175 degrees C).. Place about 1/2 cup beef mixture onto a cabbage leaf. Roll the leaf around beef mixture, tucking in the sides to create an envelope around the meat. Repeat to make remaining cabbage rolls. Place cabbage rolls in a layer over chopped cabbage in the casserole dish. Season with salt and pepper.. Whisk condensed soup, tomato juice, and ketchup together in a bowl; pour over cabbage rolls and cover the dish tightly with aluminum foil.. Bake in the preheated oven until cabbage is tender and meat is cooked through, about 1 hour. Uncover for the last 20 to 30 minutes of cooking. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).","calories: 404, fat: 17g, carbs: 38g, protein: 25g, servings: 9"
Polish Stuffed Cabbage,https://www.allrecipes.com/recipe/16323/polish-stuffed-cabbage/,"{'quantity': '1', 'unit': 'medium head', 'name': 'cabbage'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked rice'}, {'quantity': '', 'unit': '', 'name': 'garlic powder to taste'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'tomato juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}","Place the head of cabbage in a large pot over high heat and add water to cover. Boil cabbage for 15 minutes, or until it is pliable and soft. Drain and allow to cool completely.. Remove the hard outer vein from the leaves.. In a separate large bowl, combine the beef, rice, garlic powder and the egg, mixing well.. Place a small amount, about the size of your palm, into the center of a cabbage leaf.. Fold leaf over, tucking in the sides of the leaf to keep meat mixture inside.. Pile up the filled leaves in a large pot, putting the larger leaves on the bottom. Add the tomato juice, vinegar and sugar and enough water to cover. Simmer over medium low heat for about 60 minutes. (Note: Keep an eye on them, making sure the bottom of leaves do not burn.)","calories: 331, fat: 21g, carbs: 20g, protein: 17g, servings: 6"
"Grandma's Hungarian Stuffed Cabbage, Slow Cooker Variation",https://www.allrecipes.com/recipe/256610/grandmas-hungarian-stuffed-cabbage-slow-cooker-variation/,"{'quantity': '1', 'unit': 'head', 'name': 'cabbage'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked white rice, rinsed'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork sausage'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': '(32 ounce) can', 'name': 'tomato juice'}","Bring a large pot of water to a boil. Cook cabbage in boiling water until outer leaves pull away easily from the head, 3 to 5 minutes.. Separate leaves and let cool. Reserve 1 1/2 cup cooking water.. Heat oil in a large skillet. Add onion and garlic; cook and stir until translucent, about 5 minutes. Stir in wet rice; cook and stir until moisture evaporates, about 1 minute. Remove from heat and let cool, about 5 minutes.. Mix beef, sausage, and egg together in a large bowl. Stir in cooled rice mixture.. Place a golfball-sized amount of the beef mixture on the ribbed end of a cabbage leaf; roll up, tucking in the sides. Repeat with remaining beef mixture and cabbage leaves.. Place rolls seam-side down in a slow cooker. Cover with tomato juice. Pour reserved cooking water on top.. Cook on High for 30 minutes. Switch to Low and cook for 6 1/2 hours.","calories: 403, fat: 22g, carbs: 31g, protein: 22g, servings: 8"
Stuffed Cabbage,https://www.allrecipes.com/recipe/15000/stuffed-cabbage/,"{'quantity': '1', 'unit': 'large head', 'name': 'cabbage'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely diced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cooked white rice'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed tomato soup'}","Place cabbage head in freezer and freeze overnight. Remove from freezer, thaw and peel away leaves.. Preheat oven to 350 degrees F (175 degrees C).. Combine the beef, egg, onion, rice, salt and pepper. Mix together well. Take a small handful and form into a small roll or ball. Place into the center of a cabbage leaf. Fold the sides of the leaf over and roll the ball up into the leaf. Place seam side down in baking dish. Continue until all of the filling is used up.. Mix together the soup with a 1/2 can water; pour over stuffed cabbage.. Bake uncovered at 350 degrees F (175 degrees C) for 1 hour; baste often with the sauce.","calories: 248, fat: 13g, carbs: 20g, protein: 14g, servings: 8"
